ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
18,1961,1961-10-15,5,24.252,DTX,@,BUF,L 24-27,4,11,2.75,0,3,33,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,2,50.0,0,6
19,1961,1961-10-22,6,24.259,DTX,@,HOU,L 7-38,4,-3,-0.75,0,4,55,13.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,1,0.0,0,1
20,1961,1961-12-03,12,24.301,DTX,@,NYT,L 7-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,2,0.0,0,0
21,1962,1962-09-08,1,25.215,DTX,,BOS,W 42-28,10,38,3.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
22,1962,1962-09-23,2,25.230,DTX,@,OAK,W 26-16,11,56,5.09,0,3,11,3.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
23,1962,1962-09-30,3,25.237,DTX,,BUF,W 41-21,9,30,3.33,0,3,58,19.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
24,1962,1962-10-07,4,25.244,DTX,@,SDG,L 28-32,3,16,5.33,0,2,15,7.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
25,1962,1962-10-12,5,25.249,DTX,@,BOS,W 27-7,8,22,2.75,0,1,35,35.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
26,1962,1962-11-18,10,25.286,DTX,@,DEN,W 24-3,3,14,4.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,30,15.00,0,,,,,,,0,0
27,1962,1962-11-25,11,25.293,DTX,,OAK,W 35-7,4,8,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
28,1962,1962-12-09,13,25.307,DTX,,DEN,W 17-10,4,24,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
29,1962,1962-12-16,14,25.314,DTX,,SDG,W 26-17,5,24,4.80,0,1,13,13.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
30,1963,1963-09-07,1,26.214,KAN,@,DEN,W 59-7,7,8,1.14,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
31,1963,1963-09-22,2,26.229,KAN,@,BUF,T 27-27,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
32,1963,1963-09-29,3,26.236,KAN,@,SDG,L 10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1963,1963-10-06,4,26.243,KAN,,HOU,W 28-7,6,26,4.33,0,1,37,37.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
34,1963,1963-10-13,5,26.250,KAN,,BUF,L 26-35,5,9,1.80,0,2,33,16.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
35,1963,1963-10-20,6,26.257,KAN,,SDG,L 17-38,4,-6,-1.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
36,1963,1963-10-27,7,26.264,KAN,@,HOU,L 7-28,4,5,1.25,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,1,2,2.00,0,1,1,100.0,,,,0,1
37,1963,1963-11-03,8,26.271,KAN,@,OAK,L 7-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,10,10.00,0,,,,,,,0,0
38,1963,1963-11-08,9,26.276,KAN,,OAK,L 7-22,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,,,0,1
39,1963,1963-11-17,10,26.285,KAN,@,BOS,T 24-24,13,65,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,4,25.0,0,6
40,1963,1963-12-01,11,26.299,KAN,@,NYJ,L 0-17,13,55,4.23,0,3,8,2.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,2,0.0,0,0
41,1963,1963-12-08,12,26.306,KAN,,DEN,W 52-21,6,17,2.83,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,7,100.0,1,3,33.3,1,16
42,1963,1963-12-14,13,26.312,KAN,,BOS,W 35-3,13,50,3.85,0,1,15,15.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,5,5,100.0,,3,0.0,0,5
43,1963,1963-12-22,14,26.320,KAN,,NYJ,W 48-0,11,25,2.27,1,2,16,8.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,6,7,85.7,,1,0.0,2,18
44,1964,1964-09-13,1,27.221,KAN,@,BUF,L 17-34,4,7,1.75,0,2,7,3.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0
45,1964,1964-09-27,2,27.235,KAN,@,OAK,W 21-9,12,55,4.58,0,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
46,1964,1964-10-04,3,27.242,KAN,,HOU,W 28-7,9,14,1.56,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
47,1964,1964-10-11,4,27.249,KAN,@,DEN,L 27-33,7,25,3.57,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
48,1964,1964-10-18,5,27.256,KAN,,BUF,L 22-35,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
49,1964,1964-10-23,6,27.261,KAN,@,BOS,L 7-24,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
50,1965,1965-09-12,1,28.219,HOU,,NYJ,W 27-21,5,25,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
51,1965,1965-09-19,2,28.226,HOU,,BOS,W 31-10,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
52,1965,1965-09-26,3,28.233,HOU,@,OAK,L 17-21,2,2,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
53,1965,1965-10-03,4,28.240,HOU,@,SDG,L 14-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1965,1965-10-17,5,28.254,HOU,@,DEN,L 17-28,7,58,8.29,1,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
55,1965,1965-10-24,6,28.261,HOU,,KAN,W 38-36,5,8,1.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,29,14.50,0,5,5,100.0,1,1,100.0,0,8
56,1965,1965-10-31,7,28.268,HOU,@,BUF,W 19-17,2,8,4.00,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,1,0.0,0,1
57,1965,1965-11-07,8,28.275,HOU,,OAK,L 21-33,1,-5,-5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,8,8.00,0,,,,,,,0,0
58,1965,1965-11-14,9,28.282,HOU,,DEN,L 21-31,8,24,3.00,0,1,13,13.00,0,0,0,,0,0,0,,0,0,,,1,4,4.00,0,,,,,,,0,0
59,1965,1965-11-21,10,28.289,HOU,@,NYJ,L 14-41,2,13,6.50,1,2,2,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
60,1965,1965-11-28,11,28.296,HOU,@,KAN,L 21-52,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
61,1965,1965-12-05,12,28.303,HOU,,BUF,L 18-29,7,17,2.43,1,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
62,1965,1965-12-12,13,28.310,HOU,,SDG,L 26-37,2,-1,-0.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
63,1965,1965-12-18,14,28.316,HOU,@,BOS,L 14-42,4,19,4.75,0,2,16,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
64,1966,1966-09-04,1,29.211,BUF,@,SDG,L 7-27,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
65,1966,1966-09-18,3,29.225,BUF,,MIA,W 58-24,3,53,17.67,1,1,18,18.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,2,12
66,1966,1966-10-16,7,29.253,BUF,,SDG,T 17-17,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
67,1966,1966-10-30,8,29.267,BUF,@,NYJ,W 33-23,6,28,4.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
68,1966,1966-11-06,9,29.274,BUF,@,MIA,W 29-0,8,23,2.88,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
69,1966,1966-11-20,11,29.288,BUF,@,HOU,W 42-20,3,5,1.67,0,1,27,27.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
70,1966,1966-11-24,12,29.292,BUF,@,OAK,W 31-10,2,5,2.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
71,1966,1966-12-18,14,29.316,BUF,,DEN,W 38-21,4,4,1.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
72,1967,1967-09-24,3,30.231,BUF,,BOS,L 0-23,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
73,1967,1967-10-01,4,30.238,BUF,,SDG,L 17-37,3,8,2.67,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
