ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
45,1987,1987-09-13,1,26.021,NYJ,@,BUF,W 31-28,0,0,,0,0,0,,0,1,11,11.00,0,0,0,,0,0,0,0.0,0,0,0
46,1987,1987-09-21,2,26.029,NYJ,,NWE,W 43-24,,,,,,,,,0,0,,0,,,,,,,,,,
47,1987,1987-10-25,6,26.063,NYJ,@,WAS,L 16-17,0,0,,0,0,0,,0,3,44,14.67,0,0,0,,0,0,0,0.0,0,0,0
48,1987,1987-11-01,7,26.070,NYJ,,IND,L 14-19,0,0,,0,0,0,,0,5,132,26.40,0,0,0,,0,0,0,0.0,0,0,0
49,1987,1987-11-09,8,26.078,NYJ,,SEA,W 30-14,0,0,,0,0,0,,0,2,25,12.50,0,0,0,,0,0,0,0.0,0,0,0
50,1987,1987-11-15,9,26.084,NYJ,@,KAN,W 16-9,0,0,,0,0,0,,0,3,63,21.00,0,0,0,,0,0,0,0.0,0,0,0
51,1987,1987-11-22,10,26.091,NYJ,,BUF,L 14-17,0,0,,0,0,0,,0,1,13,13.00,0,0,0,,0,0,0,0.0,0,0,0
52,1987,1987-11-29,11,26.098,NYJ,,CIN,W 27-20,,,,,,,,,0,0,,0,,,,,,,,,,
53,1987,1987-12-07,12,26.106,NYJ,@,MIA,L 28-37,0,0,,0,0,0,,0,1,47,47.00,0,0,0,,0,0,0,0.0,0,0,0
54,1987,1987-12-13,13,26.112,NYJ,@,NWE,L 20-42,,,,,,,,,0,0,,0,,,,,,,,,,
55,1987,1987-12-20,14,26.119,NYJ,,PHI,L 27-38,0,0,,0,0,0,,0,2,22,11.00,0,0,0,,0,0,0,0.0,0,0,0
56,1987,1987-12-27,15,26.126,NYJ,@,NYG,L 7-20,,,,,,,,,0,0,,0,,,,,,,,,,
57,1988,1988-09-04,1,27.012,NYJ,@,NWE,L 3-28,0,0,,0,0,0,,0,2,33,16.50,0,0,0,,0,0,0,0.0,0,0,0
58,1988,1988-09-11,2,27.019,NYJ,@,CLE,W 23-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,2.0,0,0,0
59,1988,1988-09-18,3,27.026,NYJ,,HOU,W 45-3,0,0,,0,0,0,,0,2,33,16.50,0,0,0,,0,0,0,0.0,0,0,0
60,1988,1988-09-25,4,27.033,NYJ,@,DET,W 17-10,0,0,,0,0,0,,0,1,41,41.00,0,0,0,,0,0,0,0.0,0,0,0
61,1988,1988-10-02,5,27.040,NYJ,,KAN,T 17-17,0,0,,0,0,0,,0,2,65,32.50,0,0,0,,0,0,0,0.0,1,0,0
62,1988,1988-10-09,6,27.047,NYJ,@,CIN,L 19-36,0,0,,0,0,0,,0,1,12,12.00,0,0,0,,0,0,0,0.0,0,0,0
63,1988,1988-10-17,7,27.055,NYJ,,BUF,L 14-37,,,,,,,,,0,0,,0,,,,,,,,,,
64,1988,1988-10-23,8,27.061,NYJ,@,MIA,W 44-30,,,,,,,,,0,0,,0,,,,,,,,,,
65,1988,1988-10-30,9,27.068,NYJ,,PIT,W 24-20,0,0,,0,0,0,,0,1,11,11.00,0,0,0,,0,0,0,0.0,0,0,0
66,1988,1988-11-06,10,27.075,NYJ,@,IND,L 14-38,,,,,,,,,0,0,,0,,,,,,,,,,
67,1988,1988-11-13,11,27.082,NYJ,,NWE,L 13-14,0,0,,0,0,0,,0,3,62,20.67,0,0,0,,0,0,0,0.0,0,0,0
68,1988,1988-11-20,12,27.089,NYJ,@,BUF,L 6-9,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0.0,0,0,0
69,1988,1988-11-27,13,27.096,NYJ,,MIA,W 38-34,,,,,,,,,0,0,,0,,,,,,,,,,
70,1988,1988-12-04,14,27.103,NYJ,@,KAN,L 34-38,0,0,,0,0,0,,0,6,171,28.50,0,0,0,,0,0,0,0.0,0,0,0
71,1988,1988-12-10,15,27.109,NYJ,,IND,W 34-16,0,0,,0,0,0,,0,1,24,24.00,0,0,0,,0,0,0,0.0,0,0,0
72,1988,1988-12-18,16,27.117,NYJ,,NYG,W 27-21,0,0,,0,0,0,,0,1,37,37.00,0,0,0,,0,0,0,0.0,0,0,0
73,1989,1989-09-10,1,28.018,NYJ,,NWE,L 24-27,,,,,,,,,0,0,,0,,,,,,,,,,
74,1989,1989-09-17,2,28.025,NYJ,@,CLE,L 24-38,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0,0,0,0.0,0,0,0
75,1989,1989-09-24,3,28.032,NYJ,@,MIA,W 40-33,0,0,,0,0,0,,0,4,89,22.25,0,0,0,,0,0,0,0.0,0,0,0
76,1989,1989-10-01,4,28.039,NYJ,,IND,L 10-17,0,0,,0,0,0,,0,1,6,6.00,0,0,0,,0,0,0,0.0,0,0,0
77,1989,1989-10-09,5,28.047,NYJ,,RAI,L 7-14,0,0,,0,0,0,,0,2,3,1.50,0,0,0,,0,0,0,0.0,0,0,0
78,1989,1989-10-15,6,28.053,NYJ,@,NOR,L 14-29,0,0,,0,0,0,,0,2,35,17.50,0,0,0,,0,0,0,0.0,0,0,0
79,1989,1989-10-22,7,28.060,NYJ,@,BUF,L 3-34,,,,,,,,,0,0,,0,,,,,,,,,,
80,1989,1989-10-29,8,28.067,NYJ,,SFO,L 10-23,,,,,,,,,0,0,,0,,,,,,,,,,
81,1989,1989-11-05,9,28.074,NYJ,@,NWE,W 27-26,,,,,,,,,0,0,,0,,,,,,,,,,
82,1989,1989-11-12,10,28.081,NYJ,,MIA,L 23-31,0,0,,0,0,0,,0,1,12,12.00,0,0,0,,0,0,0,0.0,0,0,0
83,1989,1989-11-19,11,28.088,NYJ,@,IND,L 10-27,0,0,,0,0,0,,0,3,67,22.33,0,0,0,,0,0,0,0.0,0,0,0
84,1989,1989-11-26,12,28.095,NYJ,,ATL,W 27-7,0,0,,0,0,0,,0,2,19,9.50,0,0,0,,0,0,0,0.0,0,0,0
85,1989,1989-12-03,13,28.102,NYJ,@,SDG,W 20-17,0,0,,0,0,0,,0,1,52,52.00,0,0,0,,0,0,0,0.0,0,0,0
86,1989,1989-12-10,14,28.109,NYJ,,PIT,L 0-13,0,0,,0,0,0,,0,3,55,18.33,0,0,0,,0,0,0,0.0,0,0,0
87,1989,1989-12-17,15,28.116,NYJ,@,RAM,L 14-38,0,0,,0,0,0,,0,4,56,14.00,0,0,0,,0,0,0,0.0,0,0,0
88,1989,1989-12-23,16,28.122,NYJ,,BUF,L 0-37,,,,,,,,,0,0,,0,,,,,,,,,,
89,1990,1990-09-09,1,29.017,RAM,@,GNB,L 24-36,,,,,,,,,,,,,,,,,,,,,,
90,1990,1990-09-16,2,29.024,RAM,@,TAM,W 35-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,44,1
91,1990,1990-09-23,3,29.031,RAM,,PHI,L 21-27,,,,,,,,,,,,,,,,,,,,,,
92,1990,1990-10-07,4,29.045,RAM,,CIN,L 31-34,,,,,,,,,,,,,,,,,,,,,,
93,1990,1990-10-14,5,29.052,RAM,@,CHI,L 9-38,,,,,,,,,,,,,,,,,,,,,,
94,1990,1990-10-21,6,29.059,RAM,,ATL,W 44-24,,,,,,,,,,,,,,,,,,,,,,
95,1990,1990-10-29,7,29.067,RAM,@,PIT,L 10-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
96,1990,1990-11-04,8,29.073,RAM,,HOU,W 17-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
97,1990,1990-11-11,9,29.080,RAM,,NYG,L 7-31,,,,,,,,,,,,,,,,,,,,,,
98,1990,1990-11-18,10,29.087,RAM,,DAL,L 21-24,,,,,,,,,,,,,,,,,,,,,,
99,1990,1990-11-25,11,29.094,RAM,@,SFO,W 28-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,8,0
100,1990,1990-12-02,12,29.101,RAM,@,CLE,W 38-23,,,,,,,,,,,,,,,,,,,,,,
101,1990,1990-12-09,13,29.108,RAM,,NOR,L 20-24,,,,,,,,,,,,,,,,,,,,,,
102,1990,1990-12-17,14,29.116,RAM,,SFO,L 10-26,,,,,,,,,,,,,,,,,,,,,,
103,1990,1990-12-23,15,29.122,RAM,@,ATL,L 13-20,,,,,,,,,,,,,,,,,,,,,,
104,1990,1990-12-31,16,29.130,RAM,@,NOR,L 17-20,,,,,,,,,,,,,,,,,,,,,,
