ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,def_int,def_int_yds,def_int_td
29,1996,1996-11-11,10,25.300,DET,@,SDG,L 21-27,,,,,,,0.0%,,,,,
30,1996,1996-11-17,11,25.306,DET,,SEA,W 17-16,,,,,,,0.0%,,,,,
31,1996,1996-11-24,12,25.313,DET,@,CHI,L 14-31,,,,,,,0.0%,,,,,
32,1996,1996-11-28,13,25.317,DET,,KAN,L 24-28,,,,,,,0.0%,,,,,
33,1996,1996-12-08,14,25.327,DET,,MIN,L 22-24,,,,,,,0.0%,,,,,
34,1996,1996-12-15,15,25.334,DET,,GNB,L 3-31,,,,,,,0.0%,,,,,
35,1996,1996-12-23,16,25.342,DET,@,SFO,L 14-24,,,,,,,0.0%,,,,,
36,1997,1997-08-31,1,26.227,DET,,ATL,W 28-17,,,,,,,0.0%,,,,,
37,1997,1997-09-07,2,26.234,DET,,TAM,L 17-24,,,,,,,0.0%,,,,,
38,1997,1997-09-14,3,26.241,DET,@,CHI,W 32-7,,,,,,,0.0%,,,,,
39,1997,1997-09-21,4,26.248,DET,@,NOR,L 17-35,,,,,,,0.0%,,,,,
40,1997,1997-09-28,5,26.255,DET,,GNB,W 26-15,,,,,,,0.0%,,,,,
41,1997,1997-10-05,6,26.262,DET,@,BUF,L 13-22,,0,0,0,,0,0.0%,,1.0,0,0,0
42,1997,1997-10-12,7,26.269,DET,@,TAM,W 27-9,,,,,,,0.0%,,,,,
43,1997,1997-10-19,8,26.276,DET,,NYG,L 20-26,,,,,,,0.0%,,,,,
44,1997,1997-11-02,9,26.290,DET,@,GNB,L 10-20,,,,,,,0.0%,,,,,
45,1997,1997-11-09,10,26.297,DET,@,WAS,L 7-30,,,,,,,0.0%,,,,,
46,1997,1997-11-16,11,26.304,DET,,MIN,W 38-15,,,,,,,0.0%,,,,,
47,1997,1997-11-23,12,26.311,DET,,IND,W 32-10,,,,,,,0.0%,,,,,
48,1997,1997-11-27,13,26.315,DET,,CHI,W 55-20,,,,,,,0.0%,,,,,
49,1997,1997-12-07,14,26.325,DET,@,MIA,L 30-33,,,,,,,0.0%,,,,,
50,1997,1997-12-14,15,26.332,DET,@,MIN,W 14-13,,,,,,,0.0%,,,,,
51,1997,1997-12-21,16,26.339,DET,,NYJ,W 13-10,,,,,,,0.0%,,,,,
52,1998,1998-09-06,1,27.233,CHI,,JAX,L 23-24,,,,,,,0.0%,,,,,
53,1998,1998-09-13,2,27.240,CHI,@,PIT,L 12-17,,,,,,,0.0%,,,,,
54,1998,1998-09-20,3,27.247,CHI,@,TAM,L 15-27,,,,,,,0.0%,,,,,
55,1998,1998-09-27,4,27.254,CHI,,MIN,L 28-31,,,,,,,0.0%,,,,,
56,1998,1998-10-04,5,27.261,CHI,,DET,W 31-27,,,,,,,0.0%,,,,,
57,1998,1998-10-11,6,27.268,CHI,@,ARI,L 7-20,,,,,,,0.0%,,,,,
58,1998,1998-10-18,7,27.275,CHI,,DAL,W 13-12,,,,,,,0.0%,,,,,
59,1998,1998-10-25,8,27.282,CHI,@,TEN,W 23-20,,0,0,0,,0,0.0%,,1.0,0,0,0
60,1998,1998-11-08,9,27.296,CHI,,STL,L 12-20,,,,,,,0.0%,,,,,
61,1998,1998-11-15,10,27.303,CHI,@,DET,L 3-26,,,,,,,0.0%,,,,,
62,1998,1998-11-22,11,27.310,CHI,@,ATL,L 13-20,,0,0,0,,0,0.0%,,2.0,0,0,0
63,1998,1998-11-29,12,27.317,CHI,,TAM,L 17-31,,,,,,,0.0%,,,,,
64,1998,1998-12-06,13,27.324,CHI,@,MIN,L 22-48,,,,,,,0.0%,,,,,
65,1998,1998-12-13,14,27.331,CHI,@,GNB,L 20-26,,,,,,,0.0%,,,,,
66,1998,1998-12-27,16,27.345,CHI,,GNB,L 13-16,,,,,,,0.0%,,,,,
67,1999,1999-09-12,1,28.239,CHI,,KAN,W 20-17,*,,,,,,0.0%,,,,,
68,1999,1999-09-19,2,28.246,CHI,,SEA,L 13-14,*,0,0,0,,0,0.0%,,0.5,0,0,0
69,1999,1999-09-26,3,28.253,CHI,@,OAK,L 17-24,*,0,,,,,0.0%,,,,,
70,1999,1999-10-03,4,28.260,CHI,,NOR,W 14-10,*,0,,,,,0.0%,,,,,
71,1999,1999-10-10,5,28.267,CHI,@,MIN,W 24-22,*,0,,,,,0.0%,,,,,
72,1999,1999-10-17,6,28.274,CHI,,PHI,L 16-20,*,0,,,,,0.0%,,,,,
73,1999,1999-10-24,7,28.281,CHI,@,TAM,L 3-6,*,0,0,0,,0,0.0%,,0.5,0,0,0
74,1999,1999-10-31,8,28.288,CHI,@,WAS,L 22-48,*,0,,,,,0.0%,,,,,
75,1999,1999-11-07,9,28.295,CHI,@,GNB,W 14-13,*,0,,,,,0.0%,,,,,
76,1999,1999-11-14,10,28.302,CHI,,MIN,L 24-27,*,0,,,,,0.0%,,,,,
77,1999,1999-11-21,11,28.309,CHI,@,SDG,W 23-20,*,0,,,,,0.0%,,,,,
78,1999,1999-11-25,12,28.313,CHI,@,DET,L 17-21,*,0,,,,,0.0%,,,,,
79,1999,1999-12-05,13,28.323,CHI,,GNB,L 19-35,*,0,,,,,0.0%,,,,,
80,1999,1999-12-19,14,28.337,CHI,,DET,W 28-10,*,0,,,,,0.0%,,,,,
81,1999,1999-12-26,15,28.344,CHI,@,STL,L 12-34,*,0,,,,,0.0%,,,,,
82,1999,2000-01-02,16,28.351,CHI,,TAM,L 6-20,*,0,,,,,0.0%,,,,,
83,2000,2000-09-03,1,29.231,CHI,@,MIN,L 27-30,,0,,,,,0.0%,,,,,
84,2000,2000-09-10,2,29.238,CHI,@,TAM,L 0-41,,0,,,,,0.0%,,,,,
85,2000,2000-09-17,3,29.245,CHI,,NYG,L 7-14,*,0,,,,,0.0%,,,,,
86,2000,2000-09-24,4,29.252,CHI,,DET,L 14-21,*,0,,,,,0.0%,,,,,
87,2000,2000-10-01,5,29.259,CHI,@,GNB,W 27-24,*,0,,,,,0.0%,,,,,
88,2000,2000-10-08,6,29.266,CHI,,NOR,L 10-31,*,0,,,,,0.0%,,,,,
89,2000,2000-10-15,7,29.273,CHI,,MIN,L 16-28,*,0,0,0,,0,0.0%,,1.0,0,0,0
90,2000,2000-10-22,8,29.280,CHI,@,PHI,L 9-13,*,0,,,,,0.0%,,,,,
91,2000,2000-11-05,9,29.294,CHI,,IND,W 27-24,*,1,1,13,13.00,0,100.0%,13.00,0.0,0,0,0
92,2000,2000-11-12,10,29.301,CHI,@,BUF,L 3-20,,0,,,,,0.0%,,,,,
93,2000,2000-11-19,11,29.308,CHI,,TAM,W 13-10,,0,,,,,0.0%,,,,,
94,2000,2000-11-26,12,29.315,CHI,@,NYJ,L 10-17,,0,0,0,,0,0.0%,,0.0,1,21,0
95,2000,2000-12-03,13,29.322,CHI,,GNB,L 6-28,*,0,,,,,0.0%,,,,,
96,2000,2000-12-10,14,29.329,CHI,,NWE,W 24-17,,,,,,,0.0%,,,,,
97,2000,2000-12-17,15,29.336,CHI,@,SFO,L 0-17,*,0,,,,,0.0%,,,,,
98,2000,2000-12-24,16,29.343,CHI,@,DET,W 23-20,*,0,,,,,0.0%,,,,,
99,2001,2001-09-09,1,30.236,IND,@,NYJ,W 45-24,,,,,,,0.0%,,,,,
100,2001,2001-09-23,2,30.250,IND,,BUF,W 42-26,,0,,,,,0.0%,,,,,
101,2001,2001-09-30,3,30.257,IND,@,NWE,L 13-44,,0,,,,,0.0%,,,,,
102,2001,2001-10-14,4,30.271,IND,,OAK,L 18-23,,0,,,,,0.0%,,,,,
103,2001,2001-10-21,5,30.278,IND,,NWE,L 17-38,,0,,,,,0.0%,,,,,
104,2001,2001-10-25,6,30.282,IND,@,KAN,W 35-28,,,,,,,0.0%,,,,,
105,2001,2001-11-04,7,30.292,IND,@,BUF,W 30-14,,,,,,,0.0%,,,,,
106,2001,2001-11-11,8,30.299,IND,,MIA,L 24-27,,,,,,,0.0%,,,,,
107,2001,2001-11-18,9,30.306,IND,@,NOR,L 20-34,,0,,,,,0.0%,,,,,
108,2001,2001-11-25,10,30.313,IND,,SFO,L 21-40,,0,,,,,0.0%,,,,,
109,2001,2001-12-02,11,30.320,IND,@,BAL,L 27-39,,0,,,,,0.0%,,,,,
110,2001,2001-12-10,12,30.328,IND,@,MIA,L 6-41,,0,,,,,0.0%,,,,,
111,2001,2001-12-16,13,30.334,IND,,ATL,W 41-27,,,,,,,0.0%,,,,,
112,2001,2001-12-23,14,30.341,IND,,NYJ,L 28-29,,0,,,,,0.0%,,,,,
113,2001,2001-12-30,15,30.348,IND,@,STL,L 17-42,,0,,,,,0.0%,,,,,
114,2001,2002-01-06,16,30.355,IND,,DEN,W 29-10,,0,,,,,0.0%,,,,,
