ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
45,2013,2013-12-05,13,24.258,HOU,@,JAX,L 20-27,*,0,0,0,,0,0.0%,,,0,0,0.0,3,0,0,0,0
46,2013,2013-12-15,14,24.268,HOU,@,IND,L 3-25,*,0,0,0,,0,0.0%,,,0,0,0.0,1,4,0,0,0
47,2013,2013-12-22,15,24.275,HOU,,DEN,L 13-37,*,0,0,0,,0,0.0%,,,0,0,0.0,1,1,0,0,0
48,2013,2013-12-29,16,24.282,HOU,@,TEN,L 10-16,*,0,0,0,,0,0.0%,,,0,0,1.0,9,0,0,0,0
49,2014,2014-09-07,1,25.169,HOU,,WAS,W 17-6,*,0,0,0,,0,0.0%,,,0,0,1.0,2,1,0,0,0
50,2014,2014-09-14,2,25.176,HOU,@,OAK,W 30-14,*,1,1,1,1.00,1,100.0%,1.00,,1,6,0.0,0,0,0,0,0
51,2014,2014-09-21,3,25.183,HOU,@,NYG,L 17-30,*,0,0,0,,0,0.0%,,,0,0,1.0,5,2,0,0,0
52,2014,2014-09-28,4,25.190,HOU,,BUF,W 23-17,*,0,0,0,,0,0.0%,,,0,6,0.0,2,3,1,80,1
53,2014,2014-10-05,5,25.197,HOU,@,DAL,L 17-20,*,0,0,0,,0,0.0%,,,0,0,0.0,4,0,0,0,0
54,2014,2014-10-09,6,25.201,HOU,,IND,L 28-33,*,0,0,0,,0,0.0%,,,0,6,2.0,4,3,0,0,0
55,2014,2014-10-20,7,25.212,HOU,@,PIT,L 23-30,*,0,0,0,,0,0.0%,,,0,0,1.0,2,1,0,0,0
56,2014,2014-10-26,8,25.218,HOU,@,TEN,W 30-16,*,0,0,0,,0,0.0%,,,0,0,2.0,3,0,0,0,0
57,2014,2014-11-02,9,25.225,HOU,,PHI,L 21-31,*,0,0,0,,0,0.0%,,,0,0,1.5,4,3,0,0,0
58,2014,2014-11-16,10,25.239,HOU,@,CLE,W 23-7,*,1,1,2,2.00,1,100.0%,2.00,,1,6,1.0,4,1,0,0,0
59,2014,2014-11-23,11,25.246,HOU,,CIN,L 13-22,*,0,0,0,,0,0.0%,,,0,0,0.0,4,3,0,0,0
60,2014,2014-11-30,12,25.253,HOU,,TEN,W 45-21,*,1,1,1,1.00,1,100.0%,1.00,,1,6,2.0,3,0,0,0,0
61,2014,2014-12-07,13,25.260,HOU,@,JAX,W 27-13,*,0,0,0,,0,0.0%,,,0,0,3.0,4,0,0,0,0
62,2014,2014-12-14,14,25.267,HOU,@,IND,L 10-17,*,0,0,0,,0,0.0%,,,0,0,2.0,5,1,0,0,0
63,2014,2014-12-21,15,25.274,HOU,,BAL,W 25-13,*,0,0,0,,0,0.0%,,,0,0,1.0,7,1,0,0,0
64,2014,2014-12-28,16,25.281,HOU,,JAX,W 23-17,*,0,0,0,,0,0.0%,,1,0,2,3.0,6,0,0,0,0
65,2015,2015-09-13,1,26.175,HOU,,KAN,L 20-27,*,0,0,0,,0,0.0%,,,0,0,2.0,9,0,0,0,0
66,2015,2015-09-20,2,26.182,HOU,@,CAR,L 17-24,*,0,0,0,,0,0.0%,,,0,0,1.0,4,1,0,0,0
67,2015,2015-09-27,3,26.189,HOU,,TAM,W 19-9,*,0,0,0,,0,0.0%,,,0,0,0.0,2,3,0,0,0
68,2015,2015-10-04,4,26.196,HOU,@,ATL,L 21-48,*,0,0,0,,0,0.0%,,,0,0,1.0,4,1,0,0,0
69,2015,2015-10-08,5,26.200,HOU,,IND,L 20-27,*,0,0,0,,0,0.0%,,,0,0,0.0,0,2,0,0,0
70,2015,2015-10-18,6,26.210,HOU,@,JAX,W 31-20,*,0,0,0,,0,0.0%,,,0,0,0.0,2,0,0,0,0
71,2015,2015-10-25,7,26.217,HOU,@,MIA,L 26-44,*,0,0,0,,0,0.0%,,,0,0,2.0,6,1,0,0,0
72,2015,2015-11-01,8,26.224,HOU,,TEN,W 20-6,*,0,0,0,,0,0.0%,,,0,0,2.5,3,2,0,0,0
73,2015,2015-11-16,9,26.239,HOU,@,CIN,W 10-6,*,0,0,0,,0,0.0%,,,0,0,1.0,2,0,0,0,0
74,2015,2015-11-22,10,26.245,HOU,,NYJ,W 24-17,*,1,0,0,,0,0.0%,0.00,,0,0,2.0,8,0,0,0,0
75,2015,2015-11-29,11,26.252,HOU,,NOR,W 24-6,*,0,0,0,,0,0.0%,,,0,0,2.0,3,2,0,0,0
76,2015,2015-12-06,12,26.259,HOU,@,BUF,L 21-30,*,0,0,0,,0,0.0%,,,0,0,0.0,2,2,0,0,0
77,2015,2015-12-13,13,26.266,HOU,,NWE,L 6-27,*,0,0,0,,0,0.0%,,,0,0,0.0,3,0,0,0,0
78,2015,2015-12-20,14,26.273,HOU,@,IND,W 16-10,*,0,0,0,,0,0.0%,,,0,0,0.0,2,2,0,0,0
79,2015,2015-12-27,15,26.280,HOU,@,TEN,W 34-6,*,0,0,0,,0,0.0%,,,0,0,1.0,2,0,0,0,0
80,2015,2016-01-03,16,26.287,HOU,,JAX,W 30-6,*,0,0,0,,0,0.0%,,,0,0,3.0,5,3,0,0,0
81,2016,2016-09-11,1,27.173,HOU,,CHI,W 23-14,*,0,0,0,,0,0.0%,,,0,0,0.0,0,1,0,0,0
82,2016,2016-09-18,2,27.180,HOU,,KAN,W 19-12,*,0,0,0,,0,0.0%,,,0,0,1.5,1,4,0,0,0
83,2016,2016-09-22,3,27.184,HOU,@,NWE,L 0-27,*,0,0,0,,0,0.0%,,,0,0,0.0,0,2,0,0,0
84,2017,2017-09-10,1,28.172,HOU,,JAX,L 7-29,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,0
85,2017,2017-09-14,2,28.176,HOU,@,CIN,W 13-9,*,0,0,0,,0,0.0%,,,0,0,0.0,5,1,0,0,0
86,2017,2017-09-24,3,28.186,HOU,@,NWE,L 33-36,*,0,0,0,,0,0.0%,,,0,0,0.0,5,1,0,0,0
87,2017,2017-10-01,4,28.193,HOU,,TEN,W 57-14,*,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0
88,2017,2017-10-08,5,28.200,HOU,,KAN,L 34-42,*,0,0,0,,0,0.0%,,,0,0,0.0,0,2,0,0,0
89,2018,2018-09-09,1,29.171,HOU,@,NWE,L 20-27,*,0,0,0,,0,0.0%,,,0,0,0.0,2,0,0,0,0
90,2018,2018-09-16,2,29.178,HOU,@,TEN,L 17-20,*,0,0,0,,0,0.0%,,,0,0,0.0,4,2,0,0,0
91,2018,2018-09-23,3,29.185,HOU,,NYG,L 22-27,*,0,0,0,,0,0.0%,,,0,0,3.0,4,4,0,0,0
