ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
20,1958,1958-12-14,12,22.356,GNB,@,RAM,L 20-34,5,13,2.60,0,1,-2,-2.00,0,0,0,,0,0,,,,,,,,,,,,,0,
21,1959,1959-09-27,1,23.278,GNB,,CHI,W 9-6,19,61,3.21,0,1,5,5.00,0,1,2,50.00,20,0,0,85.4,0,0,10.00,10.00,,,,,,,0,
22,1959,1959-10-04,2,23.285,GNB,,DET,W 28-10,14,44,3.14,0,1,2,2.00,0,1,1,100.00,14,0,0,118.7,0,0,14.00,14.00,,,,,,,0,
23,1959,1959-10-11,3,23.292,GNB,,SFO,W 21-20,28,138,4.93,1,1,6,6.00,0,0,0,,0,0,,,,,,,,,,,,,1,
24,1959,1959-10-18,4,23.299,GNB,,RAM,L 6-45,13,54,4.15,0,5,58,11.60,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,0,
25,1959,1959-10-25,5,23.306,GNB,@,BAL,L 21-38,8,22,2.75,0,2,16,8.00,0,1,2,50.00,5,0,0,56.2,0,0,2.50,2.50,,,,,,,0,
26,1959,1959-11-01,6,23.313,GNB,@,NYG,L 3-20,11,36,3.27,0,1,19,19.00,0,0,0,,0,0,,,,,,,,,,,,,0,
27,1959,1959-11-08,7,23.320,GNB,@,CHI,L 17-28,4,-3,-0.75,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,
28,1959,1959-11-15,8,23.327,GNB,,BAL,L 24-28,8,77,9.63,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,
29,1959,1959-11-22,9,23.334,GNB,,WAS,W 21-0,16,78,4.88,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,1,
30,1959,1959-11-26,10,23.338,GNB,@,DET,W 24-17,5,17,3.40,2,0,0,,0,0,0,,0,0,,,,,,,,,,,,,2,
31,1959,1959-12-06,11,23.348,GNB,@,RAM,W 38-20,11,74,6.73,0,2,2,1.00,0,2,2,100.00,56,2,0,158.3,0,0,28.00,48.00,,,,,,,0,
32,1959,1959-12-13,12,23.355,GNB,@,SFO,W 36-14,15,83,5.53,3,2,5,2.50,0,0,0,,0,0,,,,,,,,,,,,,3,
33,1960,1960-09-25,1,24.277,GNB,,CHI,L 14-17,13,54,4.15,1,3,14,4.67,0,1,2,50.00,9,0,0,62.5,0,0,4.50,4.50,2,2,100.0,,2,0.0,1,8
34,1960,1960-10-02,2,24.284,GNB,,DET,W 28-9,14,73,5.21,1,1,16,16.00,1,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,4,4,100.0,,,,2,16
35,1960,1960-10-09,3,24.291,GNB,,BAL,W 35-21,13,77,5.92,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,5,100.0,,1,0.0,0,5
36,1960,1960-10-23,4,24.305,GNB,,SFO,W 41-14,13,72,5.54,2,1,10,10.00,0,1,2,50.00,23,0,0,91.7,0,0,11.50,11.50,5,5,100.0,2,3,66.7,2,23
37,1960,1960-10-30,5,24.312,GNB,@,PIT,W 19-13,9,33,3.67,0,2,20,10.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,1,100.0,4,6,66.7,0,13
38,1960,1960-11-06,6,24.319,GNB,@,BAL,L 24-38,17,99,5.82,2,5,46,9.20,0,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,3,3,100.0,1,2,50.0,2,18
39,1960,1960-11-13,7,24.326,GNB,,DAL,W 41-7,13,17,1.31,1,3,32,10.67,0,1,2,50.00,12,0,0,68.7,0,0,6.00,6.00,5,5,100.0,2,3,66.7,1,17
40,1960,1960-11-20,8,24.333,GNB,,RAM,L 31-33,16,47,2.94,2,2,45,22.50,0,1,2,50.00,18,1,0,120.8,0,0,9.00,19.00,4,4,100.0,1,3,33.3,2,19
41,1960,1960-11-24,9,24.337,GNB,@,DET,L 10-23,9,23,2.56,1,1,4,4.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,1,100.0,1,1,100.0,1,10
42,1960,1960-12-04,10,24.347,GNB,@,CHI,W 41-13,14,68,4.86,1,3,32,10.67,1,0,0,,0,0,0,,0,0,,,5,5,100.0,2,2,100.0,2,23
43,1960,1960-12-10,11,24.353,GNB,@,SFO,W 13-0,19,86,4.53,1,4,25,6.25,0,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,1,13
44,1960,1960-12-17,12,24.360,GNB,@,RAM,W 35-21,10,22,2.20,1,3,13,4.33,0,1,2,50.00,40,1,0,135.4,0,0,20.00,30.00,5,5,100.0,,2,0.0,1,11
45,1961,1961-09-17,1,25.268,GNB,,DET,L 13-17,7,24,3.43,0,3,17,5.67,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,1,100.0,2,3,66.7,0,7
46,1961,1961-09-24,2,25.275,GNB,,SFO,W 30-10,17,51,3.00,1,1,12,12.00,0,0,0,,0,0,0,,0,0,,,3,3,100.0,3,4,75.0,1,18
47,1961,1961-10-01,3,25.282,GNB,,CHI,W 24-0,9,59,6.56,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6
48,1961,1961-10-08,4,25.289,GNB,,BAL,W 45-7,11,111,10.09,3,3,28,9.33,1,0,0,,0,0,0,,0,0,,,6,6,100.0,1,1,100.0,4,33
49,1961,1961-10-15,5,25.296,GNB,@,CLE,W 49-17,7,37,5.29,1,0,0,,0,0,0,,0,0,0,,0,0,,,7,7,100.0,,1,0.0,1,13
50,1961,1961-10-22,6,25.303,GNB,@,MIN,W 33-7,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15
51,1961,1961-10-29,7,25.310,GNB,,MIN,W 28-10,12,70,5.83,1,1,1,1.00,0,1,1,100.00,10,1,0,147.9,0,0,10.00,30.00,4,4,100.0,,,,1,10
52,1961,1961-11-05,8,25.317,GNB,@,BAL,L 21-45,7,32,4.57,1,0,0,,0,1,1,100.00,12,0,0,116.7,0,0,12.00,12.00,3,3,100.0,,1,0.0,1,9
53,1961,1961-11-12,9,25.324,GNB,@,CHI,W 31-28,22,94,4.27,1,1,34,34.00,1,0,0,,0,0,0,,0,0,,,4,4,100.0,1,2,50.0,2,19
54,1961,1961-11-19,10,25.331,GNB,,RAM,W 35-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1961,1961-11-23,11,25.335,GNB,@,DET,W 17-9,14,23,1.64,0,2,29,14.50,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
56,1961,1961-12-03,12,25.345,GNB,,NYG,W 20-17,11,54,4.91,0,1,7,7.00,0,1,1,100.00,20,0,0,118.7,0,0,20.00,20.00,2,2,100.0,2,2,100.0,0,8
57,1961,1961-12-10,13,25.352,GNB,@,SFO,L 21-22,8,25,3.13,0,2,10,5.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,3,100.0,,1,0.0,0,3
58,1961,1961-12-17,14,25.359,GNB,@,RAM,W 24-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1962,1962-09-16,1,26.267,GNB,,MIN,W 34-7,10,67,6.70,3,2,2,1.00,0,1,1,100.00,41,0,0,118.7,0,0,41.00,41.00,4,4,100.0,2,3,66.7,3,28
60,1962,1962-09-23,2,26.274,GNB,,STL,W 17-0,11,34,3.09,1,0,0,,0,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,2,2,100.0,1,2,50.0,1,11
61,1962,1962-09-30,3,26.281,GNB,,CHI,W 49-0,2,14,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,7,7,100.0,,,,0,7
62,1962,1962-10-07,4,26.288,GNB,,DET,W 9-7,10,37,3.70,0,2,10,5.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,,,3,4,75.0,0,9
63,1962,1962-10-14,5,26.295,GNB,@,MIN,W 48-21,6,10,1.67,1,1,3,3.00,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,1,7
64,1962,1962-10-21,6,26.302,GNB,,SFO,W 31-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1962,1962-10-28,7,26.309,GNB,@,BAL,W 17-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1962,1962-11-04,8,26.316,GNB,@,CHI,W 38-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1962,1962-11-11,9,26.323,GNB,@,PHI,W 49-0,1,4,4.00,0,0,0,,0,2,2,100.00,31,0,0,118.7,0,0,15.50,15.50,,,,,1,0.0,0,0
68,1962,1962-11-18,10,26.330,GNB,,BAL,W 17-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1962,1962-11-22,11,26.334,GNB,@,DET,L 14-26,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1962,1962-12-02,12,26.344,GNB,,RAM,W 41-10,9,27,3.00,0,2,65,32.50,1,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,,,,,,1,6
71,1962,1962-12-09,13,26.351,GNB,@,SFO,W 31-21,4,16,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0
72,1962,1962-12-16,14,26.358,GNB,@,RAM,W 20-17,4,10,2.50,0,2,88,44.00,1,0,0,,0,0,0,,0,0,,,,,,,,,1,6
73,1964,1964-09-13,1,28.265,GNB,,CHI,W 23-12,15,77,5.13,0,0,0,,0,1,2,50.00,9,0,0,62.5,0,0,4.50,4.50,2,2,100.0,3,5,60.0,0,11
74,1964,1964-09-20,2,28.272,GNB,,BAL,L 20-21,10,49,4.90,2,1,2,2.00,0,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,2,3,66.7,,,,2,14
75,1964,1964-09-28,3,28.280,GNB,@,DET,W 14-10,11,17,1.55,1,3,57,19.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,2,100.0,,2,0.0,1,8
76,1964,1964-10-04,4,28.286,GNB,,MIN,L 23-24,12,60,5.00,1,1,21,21.00,0,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,2,3,66.7,1,1,100.0,1,11
77,1964,1964-10-11,5,28.293,GNB,,SFO,W 24-14,5,24,4.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,0,5
78,1964,1964-10-18,6,28.300,GNB,@,BAL,L 21-24,4,13,3.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,,5,0.0,0,3
79,1964,1964-10-25,7,28.307,GNB,,RAM,L 17-27,9,61,6.78,0,1,8,8.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,2,100.0,1,3,33.3,0,5
80,1964,1964-11-01,8,28.314,GNB,@,MIN,W 42-13,8,20,2.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,6,100.0,,1,0.0,0,6
81,1964,1964-11-08,9,28.321,GNB,,DET,W 30-7,5,17,3.40,0,2,5,2.50,0,0,0,,0,0,0,,0,0,,,3,3,100.0,3,4,75.0,0,12
82,1964,1964-11-15,10,28.328,GNB,@,SFO,L 14-24,5,31,6.20,0,0,0,,0,1,2,50.00,10,0,0,64.6,0,0,5.00,5.00,2,2,100.0,,4,0.0,0,2
83,1964,1964-11-22,11,28.335,GNB,,CLE,W 28-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,,1,0.0,0,4
84,1964,1964-11-29,12,28.342,GNB,@,DAL,W 45-21,5,-2,-0.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,6,100.0,1,2,50.0,0,9
85,1964,1964-12-05,13,28.348,GNB,@,CHI,W 17-3,10,41,4.10,1,1,5,5.00,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,1,11
86,1964,1964-12-13,14,28.356,GNB,@,RAM,T 24-24,4,7,1.75,0,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,3,3,100.0,1,4,25.0,0,6
87,1965,1965-09-19,1,29.270,GNB,@,PIT,W 41-9,11,50,4.55,0,1,10,10.00,1,0,0,,0,0,0,,0,0,,,,,,,,,1,6
88,1965,1965-09-26,2,29.277,GNB,,BAL,W 20-17,8,20,2.50,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0
89,1965,1965-10-03,3,29.284,GNB,,CHI,W 23-14,8,33,4.13,1,3,85,28.33,0,0,0,,0,0,0,,0,0,,,,,,,,,1,6
90,1965,1965-10-10,4,29.291,GNB,,SFO,W 27-10,9,43,4.78,1,2,25,12.50,0,0,0,,0,0,0,,0,0,,,,,,,,,1,6
91,1965,1965-10-17,5,29.298,GNB,@,DET,W 31-21,3,2,0.67,0,3,27,9.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0
92,1965,1965-10-24,6,29.305,GNB,,DAL,W 13-3,8,42,5.25,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0
93,1965,1965-10-31,7,29.312,GNB,@,CHI,L 10-31,7,16,2.29,0,1,13,13.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0
94,1965,1965-11-07,8,29.319,GNB,,DET,L 7-12,4,7,1.75,0,1,5,5.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,,,,,,0,0
95,1965,1965-11-14,9,29.326,GNB,,RAM,W 6-3,8,18,2.25,0,1,10,10.00,0,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,,,,,,,0,0
96,1965,1965-11-28,11,29.340,GNB,@,RAM,L 10-21,5,9,1.80,0,2,25,12.50,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0
97,1965,1965-12-12,13,29.354,GNB,@,BAL,W 42-27,15,61,4.07,3,2,115,57.50,2,0,0,,0,0,0,,0,0,,,,,,,,,5,30
98,1965,1965-12-19,14,29.361,GNB,@,SFO,T 24-24,3,-2,-0.67,0,1,10,10.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0
99,1966,1966-09-10,1,30.261,GNB,,BAL,W 24-3,14,34,2.43,0,3,16,5.33,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0
100,1966,1966-09-18,2,30.269,GNB,@,CLE,W 21-20,14,51,3.64,0,3,69,23.00,1,0,0,,0,0,0,,0,0,,,,,,,,,1,6
101,1966,1966-09-25,3,30.276,GNB,,RAM,W 24-13,11,33,3.00,1,2,45,22.50,1,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,,,,,,,2,12
102,1966,1966-10-02,4,30.283,GNB,,DET,W 23-14,15,22,1.47,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0
103,1966,1966-10-09,5,30.290,GNB,@,SFO,L 20-21,11,30,2.73,0,3,51,17.00,1,0,0,,0,0,0,,0,0,,,,,,,,,1,6
104,1966,1966-10-16,6,30.297,GNB,@,CHI,W 17-0,6,11,1.83,1,1,4,4.00,0,0,0,,0,0,0,,0,0,,,,,,,,,1,6
105,1966,1966-12-18,14,30.360,GNB,@,RAM,W 27-23,5,19,3.80,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0
