ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
21,2012,2012-11-11,9,26.151,NYJ,@,SEA,L 7-28,,5,1,10,10.00,0,20.0%,2.00,0,0,,0,3,81,27.00,0,0,0,,0,0.0,0,0
22,2012,2012-11-18,10,26.158,NYJ,@,STL,W 27-13,*,2,1,10,10.00,0,50.0%,5.00,1,12,12.00,0,0,0,,0,0,0,,0,0.0,0,0
23,2012,2012-11-22,11,26.162,NYJ,,NWE,L 19-49,*,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
24,2012,2012-12-17,14,26.187,NYJ,@,TEN,L 10-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
25,2012,2012-12-23,15,26.193,NYJ,,SDG,L 17-27,,6,3,65,21.67,0,50.0%,10.83,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
26,2012,2012-12-30,16,26.200,NYJ,@,BUF,L 9-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
27,2013,2013-09-08,1,27.087,NYJ,,TAM,W 18-17,,4,1,17,17.00,0,25.0%,4.25,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
28,2013,2013-09-12,2,27.091,NYJ,@,NWE,L 10-13,*,8,2,42,21.00,0,25.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0.0,1,0
29,2013,2013-09-22,3,27.101,NYJ,,BUF,W 27-20,,1,0,0,,0,0.0%,0.00,0,0,,0,3,53,17.67,0,0,0,,0,0.0,0,0
30,2013,2013-09-29,4,27.108,NYJ,@,TEN,L 13-38,,3,3,24,8.00,0,100.0%,8.00,0,0,,0,2,46,23.00,0,0,0,,0,0.0,0,0
31,2013,2013-10-07,5,27.116,NYJ,@,ATL,W 30-28,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,2,54,27.00,0,0,0,,0,0.0,0,0
32,2013,2013-10-13,6,27.122,NYJ,,PIT,L 6-19,*,7,5,36,7.20,0,71.4%,5.14,0,0,,0,2,56,28.00,0,0,0,,0,0.0,0,0
