ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
17,1999,1999-12-27,15,26.171,MIA,,NYJ,L 31-38,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
18,1999,2000-01-02,16,26.177,MIA,@,WAS,L 10-21,,18,29,62.07,162,1,1,74.2,3,10,5.59,4.72,2,22,11.00,0,0,0,0,,0,0.0%,,0.0,,
19,2000,2000-09-03,1,27.056,MIA,,SEA,W 23-0,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
20,2000,2000-09-10,2,27.063,MIA,@,MIN,L 7-13,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
21,2000,2000-09-17,3,27.070,MIA,,BAL,W 19-6,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
22,2000,2000-09-24,4,27.077,MIA,,NWE,W 10-3,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
23,2000,2000-10-01,5,27.084,MIA,@,CIN,W 31-16,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
24,2000,2000-10-08,6,27.091,MIA,,BUF,W 22-13,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
25,2000,2000-10-23,7,27.106,MIA,@,NYJ,L 37-40,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
26,2000,2000-10-29,8,27.112,MIA,,GNB,W 28-20,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
27,2000,2000-11-05,9,27.119,MIA,@,DET,W 23-8,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
28,2000,2000-11-12,10,27.126,MIA,@,SDG,W 17-7,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
29,2000,2000-11-19,11,27.133,MIA,,NYJ,L 3-20,,16,29,55.17,128,0,3,26.9,2,10,4.41,-0.24,0,0,,0,0,0,0,,0,0.0%,,0.0,,
30,2000,2000-11-26,12,27.140,MIA,@,IND,W 17-14,*,22,33,66.67,183,1,0,90.8,2,12,5.55,6.15,0,0,,0,0,0,0,,0,0.0%,,0.0,,
31,2000,2000-12-03,13,27.147,MIA,@,BUF,W 33-6,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
32,2000,2000-12-10,14,27.154,MIA,,TAM,L 13-16,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
33,2000,2000-12-17,15,27.161,MIA,,IND,L 13-20,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
34,2000,2000-12-24,16,27.168,MIA,@,NWE,W 27-24,,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,0,0,,0,0,0,0,,0,0.0%,,0.0,,
35,2002,2002-09-15,2,29.068,NWE,@,NYJ,W 44-7,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,
36,2002,2002-11-10,9,29.124,NWE,@,CHI,W 33-30,,0,0,,0,0,0,,,,,,1,4,4.00,0,0,0,0,,0,0.0%,,0.0,,
37,2003,2003-12-07,13,30.151,NWE,,MIA,W 12-0,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
38,2003,2003-12-27,16,30.171,NWE,,BUF,W 31-0,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-1,-1.00,0,0,0,0,,0,0.0%,,0.0,,
39,2006,2006-09-10,1,33.063,KAN,,CIN,L 10-23,,12,20,60.00,140,1,0,97.9,4,30,7.00,8.00,1,8,8.00,0,0,0,0,,0,0.0%,,0.0,,
40,2006,2006-09-17,2,33.070,KAN,@,DEN,L 6-9,*,17,23,73.91,133,0,0,87.8,1,2,5.78,5.78,1,0,0.00,0,1,1,-4,-4.00,0,100.0%,-4.00,0.0,,
41,2006,2006-10-01,3,33.084,KAN,,SFO,W 41-0,*,18,23,78.26,208,2,0,133.3,0,0,9.04,10.78,1,4,4.00,0,0,0,0,,0,0.0%,,0.0,,
42,2006,2006-10-08,4,33.091,KAN,@,ARI,W 23-20,*,26,38,68.42,288,2,0,108.2,3,26,7.58,8.63,2,-1,-0.50,0,0,0,0,,0,0.0%,,0.0,,
43,2006,2006-10-15,5,33.098,KAN,@,PIT,L 7-45,*,16,32,50.00,162,0,1,51.8,0,0,5.06,3.66,0,0,,0,0,0,0,,0,0.0%,,0.0,,
44,2006,2006-10-22,6,33.105,KAN,,SDG,W 30-27,*,15,27,55.56,232,2,0,108.9,2,11,8.59,10.07,0,0,,0,1,1,-2,-2.00,0,100.0%,-2.00,0.0,,
45,2006,2006-10-29,7,33.112,KAN,,SEA,W 35-28,*,17,25,68.00,312,1,0,124.1,1,4,12.48,13.28,3,-2,-0.67,0,0,0,0,,0,0.0%,,0.0,,
46,2006,2006-11-05,8,33.119,KAN,@,STL,W 31-17,*,10,15,66.67,148,3,0,138.3,2,17,9.87,13.87,1,0,0.00,0,0,0,0,,0,0.0%,,0.0,,
47,2006,2006-11-12,9,33.126,KAN,@,MIA,L 10-13,*,15,38,39.47,201,0,0,57.0,3,16,5.29,5.29,0,0,,0,0,0,0,,0,0.0%,,0.0,,
48,2006,2006-12-31,16,33.175,KAN,,JAX,W 35-30,,2,3,66.67,54,0,0,109.7,0,0,18.00,18.00,0,0,,0,0,0,0,,0,0.0%,,0.0,,
49,2007,2007-09-09,1,34.062,KAN,@,HOU,L 3-20,*,22,33,66.67,168,0,2,53.6,3,21,5.09,2.36,1,0,0.00,0,0,0,0,,0,0.0%,,0.0,,
50,2007,2007-09-16,2,34.069,KAN,@,CHI,L 10-20,*,19,28,67.86,175,1,1,81.7,3,16,6.25,5.36,1,1,1.00,0,0,0,0,,0,0.0%,,0.0,,
51,2007,2007-09-23,3,34.076,KAN,,MIN,W 13-10,*,20,29,68.97,206,1,0,100.6,1,5,7.10,7.79,2,4,2.00,0,0,0,0,,0,0.0%,,0.0,,
52,2007,2007-09-30,4,34.083,KAN,@,SDG,W 30-16,*,17,29,58.62,284,2,2,86.0,2,20,9.79,8.07,2,-3,-1.50,0,0,0,0,,0,0.0%,,0.0,,
53,2007,2007-10-07,5,34.090,KAN,,JAX,L 7-17,*,19,30,63.33,196,0,1,68.2,2,13,6.53,5.03,0,0,,0,0,0,0,,0,0.0%,,0.0,,
54,2007,2007-10-14,6,34.097,KAN,,CIN,W 27-20,*,25,35,71.43,264,2,0,112.1,5,31,7.54,8.69,1,-1,-1.00,0,0,0,0,,0,0.0%,,0.0,,
55,2007,2007-10-21,7,34.104,KAN,@,OAK,W 12-10,*,16,31,51.61,177,0,1,55.4,2,13,5.71,4.26,2,-2,-1.00,0,0,0,0,,0,0.0%,,0.0,,
56,2007,2007-11-04,8,34.118,KAN,,GNB,L 22-33,*,19,32,59.38,213,2,2,74.1,5,40,6.66,5.09,0,0,,0,0,0,0,,0,0.0%,,0.0,,
57,2007,2007-11-11,9,34.125,KAN,,DEN,L 11-27,*,6,15,40.00,83,0,2,18.9,2,7,5.53,-0.47,0,0,,0,0,0,0,,0,0.0%,,0.0,,
58,2007,2007-12-02,12,34.146,KAN,,SDG,L 10-24,*,19,34,55.88,186,1,2,56.7,7,38,5.47,3.41,0,0,,0,0,0,0,,0,0.0%,,0.0,,
59,2007,2007-12-23,15,34.167,KAN,@,DET,L 20-25,,24,36,66.67,305,2,0,111.5,4,30,8.47,9.58,0,0,,0,0,0,0,,0,0.0%,,0.0,,
60,2008,2008-09-07,1,35.060,KAN,@,NWE,L 10-17,,8,12,66.67,118,1,1,91.7,3,14,9.83,7.75,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
61,2008,2008-09-14,2,35.067,KAN,,OAK,L 8-23,*,2,4,50.00,17,0,1,21.9,1,8,4.25,-7.00,1,15,15.00,0,0,0,0,,0,0.0%,,0.0,0,0
62,2008,2008-09-28,4,35.081,KAN,,DEN,W 33-19,*,21,28,75.00,160,1,0,100.3,1,3,5.71,6.43,1,-1,-1.00,0,0,0,0,,0,0.0%,,0.0,0,0
63,2008,2008-10-05,5,35.088,KAN,@,CAR,L 0-34,*,10,21,47.62,86,0,2,19.2,2,16,4.10,-0.19,1,-1,-1.00,0,0,0,0,,0,0.0%,,0.0,1,0
64,2008,2008-10-19,6,35.102,KAN,,TEN,L 10-34,,9,16,56.25,96,0,0,74.0,2,15,6.00,6.00,1,0,0.00,0,0,0,0,,0,0.0%,,0.0,0,0
