ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
36,1993,1993-10-31,7,25.256,MIA,,KAN,W 30-10,,,,,,,0.0%,,,,,,,,,,,
37,1993,1993-11-07,8,25.263,MIA,@,NYJ,L 10-27,,,,,,,0.0%,,,,,,,,,,,
38,1993,1993-11-14,9,25.270,MIA,@,PHI,W 19-14,,,,,,,0.0%,,,,,,,,,,,
39,1993,1993-11-21,10,25.277,MIA,,NWE,W 17-13,,,,,,,0.0%,,,,,,,,,,,
40,1993,1993-11-25,11,25.281,MIA,@,DAL,W 16-14,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,26,0
41,1993,1993-12-05,12,25.291,MIA,,NYG,L 14-19,,,,,,,0.0%,,,,,,,,,,,
42,1993,1993-12-13,13,25.299,MIA,,PIT,L 20-21,,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
43,1993,1993-12-19,14,25.305,MIA,,BUF,L 34-47,,,,,,,0.0%,,,,,,,,,,,
44,1993,1993-12-27,15,25.313,MIA,@,SDG,L 20-45,,,,,,,0.0%,,,,,,,,,,,
45,1993,1994-01-02,16,25.319,MIA,@,NWE,L 27-33,,,,,,,0.0%,,,,,,,,,,,
46,1994,1994-09-04,1,26.199,MIA,,NWE,W 39-35,,,,,,,0.0%,,,,,,,,,,,
47,1994,1994-09-11,2,26.206,MIA,@,GNB,W 24-14,,,,,,,0.0%,,,,,,,,,,,
48,1994,1994-09-18,3,26.213,MIA,,NYJ,W 28-14,,,,,,,0.0%,,,,,,,,,,,
49,1994,1994-09-25,4,26.220,MIA,@,MIN,L 35-38,,,,,,,0.0%,,,,,,,,,,,
50,1994,1994-10-02,5,26.227,MIA,@,CIN,W 23-7,,,,,,,0.0%,,,,,,,,,,,
51,1994,1994-10-09,6,26.234,MIA,@,BUF,L 11-21,,,,,,,0.0%,,,,,,,,,,,
52,1994,1994-10-16,7,26.241,MIA,,RAI,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
53,1994,1994-10-30,8,26.255,MIA,@,NWE,W 23-3,,,,,,,0.0%,,,,,,,,,,,
54,1994,1994-11-06,9,26.262,MIA,,IND,W 22-21,,,,,,,0.0%,,,,,,,,,,,
55,1994,1994-11-13,10,26.269,MIA,,CHI,L 14-17,,,,,,,0.0%,,,,,,,,,,,
56,1994,1994-11-20,11,26.276,MIA,@,PIT,L 13-16,,,,,,,0.0%,,,,,,,,,,,
57,1994,1994-11-27,12,26.283,MIA,@,NYJ,W 28-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
58,1994,1994-12-04,13,26.290,MIA,,BUF,L 31-42,,,,,,,0.0%,,,,,,,,,,,
59,1994,1994-12-12,14,26.298,MIA,,KAN,W 45-28,,,,,,,0.0%,,,,,,,,,,,
60,1994,1994-12-18,15,26.304,MIA,@,IND,L 6-10,,,,,,,0.0%,,,,,,,,,,,
61,1994,1994-12-25,16,26.311,MIA,,DET,W 27-20,,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
62,1995,1995-09-03,1,27.198,MIA,,NYJ,W 52-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
63,1995,1995-09-10,2,27.205,MIA,@,NWE,W 20-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,1,12,0
64,1995,1995-09-18,3,27.213,MIA,,PIT,W 23-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.5,0,0,0
65,1995,1995-10-01,4,27.226,MIA,@,CIN,W 26-23,,,,,,,0.0%,,,,,,,,,,,
66,1995,1995-10-08,5,27.233,MIA,,IND,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
67,1995,1995-10-15,6,27.240,MIA,@,NOR,L 30-33,,,,,,,0.0%,,,,,,,,,,,
68,1995,1995-10-22,7,27.247,MIA,@,NYJ,L 16-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
69,1995,1995-10-29,8,27.254,MIA,,BUF,W 23-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
70,1995,1995-11-05,9,27.261,MIA,@,SDG,W 24-14,,,,,,,0.0%,,,,,,,,,,,
71,1995,1995-11-12,10,27.268,MIA,,NWE,L 17-34,,,,,,,0.0%,,,,,,,,,,,
72,1995,1995-11-20,11,27.276,MIA,,SFO,L 20-44,,,,,,,0.0%,,,,,,,,,,,
73,1995,1995-11-26,12,27.282,MIA,@,IND,L 28-36,,0,0,0,,0,0.0%,,0,0,,0,0,0,2.0,0,0,0
74,1995,1995-12-03,13,27.289,MIA,,ATL,W 21-20,,,,,,,0.0%,,,,,,,,,,,
75,1995,1995-12-11,14,27.297,MIA,,KAN,W 13-6,,,,,,,0.0%,,,,,,,,,,,
76,1995,1995-12-17,15,27.303,MIA,@,BUF,L 20-23,,,,,,,0.0%,,,,,,,,,,,
77,1995,1995-12-24,16,27.310,MIA,@,STL,W 41-22,,,,,,,0.0%,,,,,,,,,,,
78,1996,1996-09-02,1,28.198,CHI,,DAL,W 22-6,,,,,,,0.0%,,,,,,,,,,,
79,1996,1996-09-08,2,28.204,CHI,@,WAS,L 3-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
80,1996,1996-09-15,3,28.211,CHI,,MIN,L 14-20,,,,,,,0.0%,,,,,,,,,,,
81,1996,1996-09-22,4,28.218,CHI,@,DET,L 16-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
82,1996,1996-09-29,5,28.225,CHI,,OAK,W 19-17,,,,,,,0.0%,,,,,,,,,,,
83,1996,1996-10-06,6,28.232,CHI,,GNB,L 6-37,,,,,,,0.0%,,,,,,,,,,,
84,1996,1996-10-13,7,28.239,CHI,@,NOR,L 24-27,,,,,,,0.0%,,,,,,,,,,,
85,1996,1996-10-28,8,28.254,CHI,@,MIN,W 15-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
86,1996,1996-11-03,9,28.260,CHI,,TAM,W 13-10,,,,,,,0.0%,,,,,,,,,,,
87,1997,1997-09-01,1,29.196,CHI,@,GNB,L 24-38,,,,,,,0.0%,,,,,,,,,,,
88,1997,1997-09-07,2,29.202,CHI,,MIN,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
89,1997,1997-09-14,3,29.209,CHI,,DET,L 7-32,,,,,,,0.0%,,,,,,,,,,,
90,1997,1997-09-21,4,29.216,CHI,@,NWE,L 3-31,,,,,,,0.0%,,,,,,,,,,,
91,1997,1997-09-28,5,29.223,CHI,@,DAL,L 3-27,,,,,,,0.0%,,,,,,,,,,,
92,1997,1997-10-05,6,29.230,CHI,,NOR,L 17-20,,,,,,,0.0%,,,,,,,,,,,
93,1997,1997-10-12,7,29.237,CHI,,GNB,L 23-24,,,,,,,0.0%,,,,,,,,,,,
94,1997,1997-10-27,8,29.252,CHI,@,MIA,W 36-33,,,,,,,0.0%,,,,,,,,,,,
95,1997,1997-11-02,9,29.258,CHI,,WAS,L 8-31,,,,,,,0.0%,,,,,,,,,,,
96,1997,1997-11-09,10,29.265,CHI,@,MIN,L 22-29,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
97,1997,1997-11-16,11,29.272,CHI,,NYJ,L 15-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.5,0,0,0
98,1997,1997-11-23,12,29.279,CHI,,TAM,W 13-7,,,,,,,0.0%,,,,,,,,,,,
99,1997,1997-11-27,13,29.283,CHI,@,DET,L 20-55,,,,,,,0.0%,,,,,,,,,,,
100,1997,1997-12-07,14,29.293,CHI,,BUF,W 20-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
101,1997,1997-12-14,15,29.300,CHI,@,STL,W 13-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.5,0,0,0
102,1997,1997-12-21,16,29.307,CHI,@,TAM,L 15-31,,,,,,,0.0%,,,,,,,,,,,
103,1998,1998-09-06,1,30.201,NYJ,@,SFO,L 30-36,,,0,0,,0,0.0%,,0,0,,0,0,0,2.0,0,0,0
104,1998,1998-11-01,8,30.257,NYJ,@,KAN,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
105,1998,1998-11-08,9,30.264,NYJ,,BUF,W 34-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
106,1998,1998-11-29,12,30.285,NYJ,,CAR,W 48-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
107,1998,1998-12-13,14,30.299,NYJ,@,MIA,W 21-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
108,1999,1999-09-12,1,31.207,NYJ,,NWE,L 28-30,*,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,1,27,1
109,1999,1999-09-19,2,31.214,NYJ,@,BUF,L 3-17,*,0,,,,,0.0%,,,,,,,,,,,
110,1999,1999-09-26,3,31.221,NYJ,,WAS,L 20-27,*,0,,,,,0.0%,,,,,,,,,,,
111,1999,1999-10-03,4,31.228,NYJ,@,DEN,W 21-13,*,0,,,,,0.0%,,,,,,,,,,,
112,1999,1999-10-11,5,31.236,NYJ,,JAX,L 6-16,*,0,,,,,0.0%,,,,,,,,,,,
113,1999,1999-10-17,6,31.242,NYJ,,IND,L 13-16,*,0,,,,,0.0%,,,,,,,,,,,
114,1999,1999-10-24,7,31.249,NYJ,@,OAK,L 23-24,*,0,,,,,0.0%,,,,,,,,,,,
115,1999,1999-11-07,8,31.263,NYJ,,ARI,W 12-7,*,0,,,,,0.0%,,,,,,,,,,,
116,1999,1999-11-15,9,31.271,NYJ,@,NWE,W 24-17,*,0,,,,,0.0%,,,,,,,,,,,
117,1999,1999-11-21,10,31.277,NYJ,,BUF,W 17-7,*,0,,,,,0.0%,,,,,,,,,,,
118,1999,1999-11-28,11,31.284,NYJ,@,IND,L 6-13,*,,,,,,0.0%,,,,,,,,,,,
119,1999,1999-12-05,12,31.291,NYJ,@,NYG,L 28-41,,0,,,,,0.0%,,,,,,,,,,,
120,2000,2000-09-03,1,32.199,NYJ,@,GNB,W 20-16,*,0,,,,,0.0%,,,,,,,,,,,
121,2000,2000-09-11,2,32.207,NYJ,,NWE,W 20-19,*,0,,,,,0.0%,,,,,,,,,,,
122,2000,2000-09-17,3,32.213,NYJ,,BUF,W 27-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.5,0,0,0
123,2000,2000-09-24,4,32.220,NYJ,@,TAM,W 21-17,*,0,,,,,0.0%,,,,,,,,,,,
124,2000,2000-10-08,5,32.234,NYJ,,PIT,L 3-20,,0,,,,,0.0%,,,,,,,,,,,
125,2000,2000-10-15,6,32.241,NYJ,@,NWE,W 34-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
126,2000,2000-10-23,7,32.249,NYJ,,MIA,W 40-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
127,2000,2000-10-29,8,32.255,NYJ,@,BUF,L 20-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
128,2000,2000-11-05,9,32.262,NYJ,,DEN,L 23-30,,0,,,,,0.0%,,,,,,,,,,,
129,2000,2000-11-12,10,32.269,NYJ,@,IND,L 15-23,*,0,,,,,0.0%,,,,,,,,,,,
130,2000,2000-11-19,11,32.276,NYJ,@,MIA,W 20-3,*,0,,,,,0.0%,,,,,,,,,,,
131,2000,2000-11-26,12,32.283,NYJ,,CHI,W 17-10,,0,,,,,0.0%,,,,,,,,,,,
132,2000,2000-12-03,13,32.290,NYJ,,IND,W 27-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,2.0,0,0,0
133,2000,2000-12-10,14,32.297,NYJ,@,OAK,L 7-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.5,0,0,0
134,2000,2000-12-17,15,32.304,NYJ,,DET,L 7-10,,0,,,,,0.0%,,,,,,,,,,,
135,2001,2001-09-09,1,33.204,NWE,@,CIN,L 17-23,*,0,,,,,0.0%,,,,,,,,,,,
136,2001,2001-09-23,2,33.218,NWE,,NYJ,L 3-10,*,0,,,,,0.0%,,,,,,,,,,,
137,2001,2001-09-30,3,33.225,NWE,,IND,W 44-13,*,0,,,,,0.0%,,,,,,,,,,,
138,2001,2001-10-07,4,33.232,NWE,@,MIA,L 10-30,*,0,,,,,0.0%,,,,,,,,,,,
139,2001,2001-10-14,5,33.239,NWE,,SDG,W 29-26,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0,0
140,2001,2001-10-21,6,33.246,NWE,@,IND,W 38-17,*,0,,,,,0.0%,,,,,,,,,,,
141,2001,2001-10-28,7,33.253,NWE,@,DEN,L 20-31,*,0,,,,,0.0%,,,,,,,,,,,
142,2001,2001-12-02,12,33.288,NWE,@,NYJ,W 17-16,,0,,,,,0.0%,,,,,,,,,,,
143,2001,2001-12-16,14,33.302,NWE,@,BUF,W 12-9,,,,,,,0.0%,,,,,,,,,,,
144,2001,2001-12-22,15,33.308,NWE,,MIA,W 20-13,,0,,,,,0.0%,,,,,,,,,,,
145,2001,2002-01-06,16,33.323,NWE,@,CAR,W 38-6,,0,,,,,0.0%,,,,,,,,,,,
146,2002,2002-09-08,1,34.203,NOR,@,TAM,W 26-20,,,,,,,0.0%,,,,,,,,,,,
147,2002,2002-10-13,6,34.238,NOR,@,WAS,W 43-27,,0,,,,,0.0%,,,,,,,,,,,
148,2002,2002-10-20,7,34.245,NOR,,SFO,W 35-27,*,0,,,,,0.0%,,,,,,,,,,,
149,2002,2002-10-27,8,34.252,NOR,,ATL,L 35-37,,0,0,0,,0,0.0%,,1,14,14.00,0,0,0,0.0,0,0,0
150,2002,2002-11-10,9,34.266,NOR,@,CAR,W 34-24,,,,,,,0.0%,,,,,,,,,,,
151,2002,2002-12-01,12,34.287,NOR,,TAM,W 23-20,,,,,,,0.0%,,,,,,,,,,,
152,2002,2002-12-08,13,34.294,NOR,@,BAL,W 37-25,,0,,,,,0.0%,,,,,,,,,,,
153,2002,2002-12-22,15,34.308,NOR,@,CIN,L 13-20,,,,,,,0.0%,,,,,,,,,,,
154,2002,2002-12-29,16,34.315,NOR,,CAR,L 6-10,,,,,,,0.0%,,,,,,,,,,,
