ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
23,1966,1966-12-18,14,23.291,SDG,,KAN,L 17-27,2,11,5.50,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
24,1967,1967-09-09,1,24.191,SDG,,BOS,W 28-14,7,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
25,1967,1967-09-24,2,24.206,SDG,,HOU,W 13-3,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
26,1968,1968-10-20,6,25.232,SDG,,DEN,W 55-24,5,3,0.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
27,1968,1968-10-27,7,25.239,SDG,@,KAN,L 20-27,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,9,,0,0,0,0,0,,0
28,1968,1968-11-03,8,25.246,SDG,,MIA,W 34-28,6,16,2.67,0,1,10,10.00,0,1,1,100.00,23,1,0,158.3,0,0,23.00,43.00,1,19,19.00,0,0,0,0,0,,0
29,1968,1968-11-10,9,25.253,SDG,@,BOS,W 27-17,7,12,1.71,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
30,1968,1968-11-17,10,25.260,SDG,@,BUF,W 21-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,28,14.00,0,0,0,0,0,,0
31,1968,1968-11-24,11,25.267,SDG,,NYJ,L 15-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,0,0,,0
32,1968,1968-12-01,12,25.274,SDG,@,DEN,W 47-23,3,3,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
33,1968,1968-12-08,13,25.281,SDG,,KAN,L 3-40,1,-3,-3.00,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,1,16,16.00,0,0,0,0,0,,0
34,1968,1968-12-15,14,25.288,SDG,,OAK,L 27-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,31,15.50,0,0,0,0,0,,0
