ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
67,2008,2008-09-07,1,27.154,TAM,@,NOR,L 20-24,*,,,,,,,,,,0.0%,,,,
68,2008,2008-09-14,2,27.161,TAM,,ATL,W 24-9,*,,,,,,,,,,0.0%,,,,
69,2008,2008-09-21,3,27.168,TAM,@,CHI,W 27-24,*,,,,,,,,,,0.0%,,,,
70,2008,2008-09-28,4,27.175,TAM,,GNB,W 30-21,*,,,,,,,,,,0.0%,,,,
71,2008,2008-10-05,5,27.182,TAM,@,DEN,L 13-16,*,,,,,0,,,,,0.0%,,,,
72,2008,2008-10-12,6,27.189,TAM,,CAR,W 27-3,*,,,,,0,,,,,0.0%,,,,
73,2008,2008-10-19,7,27.196,TAM,,SEA,W 20-10,*,,,,,,,,,,0.0%,,,,
74,2008,2008-10-26,8,27.203,TAM,@,DAL,L 9-13,*,,,,,0,,,,,0.0%,,,,
75,2008,2008-11-02,9,27.210,TAM,@,KAN,W 30-27,*,,,,,,,,,,0.0%,,,,
76,2008,2008-11-16,10,27.224,TAM,,MIN,W 19-13,*,,,,,,,,,,0.0%,,,,
77,2008,2008-11-23,11,27.231,TAM,@,DET,W 38-20,*,,,,,,,,,,0.0%,,,,
78,2008,2008-11-30,12,27.238,TAM,,NOR,W 23-20,*,,,,,,,,,,0.0%,,,,
79,2008,2008-12-08,13,27.246,TAM,@,CAR,L 23-38,*,,,,,,,,,,0.0%,,,,
80,2008,2008-12-14,14,27.252,TAM,@,ATL,L 10-13,*,,,,,,,,,,0.0%,,,,
81,2008,2008-12-21,15,27.259,TAM,,SDG,L 24-41,*,,,,,,,,,,0.0%,,,,
82,2008,2008-12-28,16,27.266,TAM,,OAK,L 24-31,*,,,,,,,,,,0.0%,,,,
83,2009,2009-09-13,1,28.160,TAM,,DAL,L 21-34,*,,,,,,,,,,0.0%,,,,
84,2009,2009-10-18,6,28.195,TAM,,CAR,L 21-28,*,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
85,2009,2009-10-25,7,28.202,TAM,,NWE,L 7-35,*,,,,,,,,,,0.0%,,,,
86,2009,2009-11-08,8,28.216,TAM,,GNB,W 38-28,*,0,0,,0,,0,0,,0,0.0%,,0.0,0,0
87,2009,2009-11-15,9,28.223,TAM,@,MIA,L 23-25,*,,,,,,,,,,0.0%,,,,
88,2009,2009-11-22,10,28.230,TAM,,NOR,L 7-38,*,0,0,,0,,0,0,,0,0.0%,,0.0,1,0
89,2009,2009-11-29,11,28.237,TAM,@,ATL,L 17-20,*,,,,,,,,,,0.0%,,,,
90,2009,2009-12-06,12,28.244,TAM,@,CAR,L 6-16,*,,,,,,,,,,0.0%,,,,
91,2009,2009-12-13,13,28.251,TAM,,NYJ,L 3-26,*,,,,,,,,,,0.0%,,,,
92,2009,2009-12-20,14,28.258,TAM,@,SEA,W 24-7,*,,,,,,,,,,0.0%,,,,
93,2009,2009-12-27,15,28.265,TAM,@,NOR,W 20-17,*,,,,,,,,,,0.0%,,,,
94,2009,2010-01-03,16,28.272,TAM,,ATL,L 10-20,*,,,,,,,,,,0.0%,,,,
95,2010,2010-09-12,1,29.159,TAM,,CLE,W 17-14,*,,,,,,,,,,0.0%,,,,
96,2010,2010-09-19,2,29.166,TAM,@,CAR,W 20-7,*,,,,,0,,,,,0.0%,,,,
97,2010,2010-09-26,3,29.173,TAM,,PIT,L 13-38,*,0,0,,0,,0,0,,0,0.0%,,0.0,0,0
98,2010,2010-10-10,4,29.187,TAM,@,CIN,W 24-21,*,,,,,,,,,,0.0%,,,,
99,2010,2010-11-14,9,29.222,TAM,,CAR,W 31-16,*,,,,,,,,,,0.0%,,,,
100,2010,2010-11-21,10,29.229,TAM,@,SFO,W 21-0,*,,,,,,,,,,0.0%,,,,
101,2010,2010-11-28,11,29.236,TAM,@,BAL,L 10-17,*,,,,,,,,,,0.0%,,,,
102,2010,2010-12-05,12,29.243,TAM,,ATL,L 24-28,*,,,,,,,,,,0.0%,,,,
103,2011,2011-09-11,1,30.158,TAM,,DET,L 20-27,*,,,,,,,,,,0.0%,,,,
104,2011,2011-09-18,2,30.165,TAM,@,MIN,W 24-20,*,,,,,0,,,,,0.0%,,,,
105,2011,2011-09-25,3,30.172,TAM,,ATL,W 16-13,*,,,,,,,,,,0.0%,,,,
106,2011,2011-10-03,4,30.180,TAM,,IND,W 24-17,*,,,,,,,,,,0.0%,,,,
107,2011,2011-10-09,5,30.186,TAM,@,SFO,L 3-48,*,,,,,,,,,,0.0%,,,,
108,2011,2011-10-16,6,30.193,TAM,,NOR,W 26-20,*,,,,,0,,,,,0.0%,,,,
109,2011,2011-11-06,8,30.214,TAM,@,NOR,L 16-27,*,,,,,,,,,,0.0%,,,,
110,2011,2011-11-13,9,30.221,TAM,,HOU,L 9-37,*,,,,,,,,,,0.0%,,,,
111,2011,2011-11-20,10,30.228,TAM,@,GNB,L 26-35,*,,,,,,,,,,0.0%,,,,
112,2011,2011-11-27,11,30.235,TAM,@,TEN,L 17-23,*,,,,,,,,,,0.0%,,,,
113,2011,2011-12-04,12,30.242,TAM,,CAR,L 19-38,*,,,,,,,,,,0.0%,,,,
114,2011,2011-12-11,13,30.249,TAM,@,JAX,L 14-41,*,,,,,,,,,,0.0%,,,,
115,2011,2011-12-17,14,30.255,TAM,,DAL,L 15-31,*,,,,,0,,,,,0.0%,,,,
116,2011,2011-12-24,15,30.262,TAM,@,CAR,L 16-48,*,,,,,,,,,,0.0%,,,,
117,2011,2012-01-01,16,30.270,TAM,@,ATL,L 24-45,*,0,0,,0,,0,0,,0,0.0%,,0.0,0,0
118,2012,2012-09-10,1,31.157,CIN,@,BAL,L 13-44,*,,,,,,,,,,0.0%,,,,
119,2012,2012-09-16,2,31.163,CIN,,CLE,W 34-27,*,,,,,,,,,,0.0%,,,,
120,2012,2012-09-23,3,31.170,CIN,@,WAS,W 38-31,*,,,,,0,,,,,0.0%,,,,
121,2012,2012-09-30,4,31.177,CIN,@,JAX,W 27-10,*,,,,,,,,,,0.0%,,,,
122,2012,2012-10-07,5,31.184,CIN,,MIA,L 13-17,*,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
123,2012,2012-10-14,6,31.191,CIN,@,CLE,L 24-34,*,,,,,,,,,,0.0%,,,,
124,2012,2012-10-21,7,31.198,CIN,,PIT,L 17-24,*,,,,,,,,,,0.0%,,,,
125,2012,2012-11-04,8,31.212,CIN,,DEN,L 23-31,,,,,,0,,,,,0.0%,,,,
126,2012,2012-11-18,10,31.226,CIN,@,KAN,W 28-6,,,,,,,,,,,0.0%,,,,
