ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
34,1960,1960-12-04,10,25.359,RAM,,SFO,L 7-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,4,164,41.00,0
35,1961,1961-09-17,1,26.280,NYG,,STL,L 10-21,6,77,12.83,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
36,1961,1961-09-24,2,26.287,NYG,@,PIT,W 17-14,7,97,13.86,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
37,1961,1961-10-01,3,26.294,NYG,@,WAS,W 24-21,8,103,12.88,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
38,1961,1961-10-08,4,26.301,NYG,@,STL,W 24-9,3,57,19.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
39,1961,1961-10-15,5,26.308,NYG,@,DAL,W 31-10,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
40,1961,1961-10-22,6,26.315,NYG,,RAM,W 24-14,3,50,16.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
41,1961,1961-10-29,7,26.322,NYG,,DAL,L 16-17,4,66,16.50,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
42,1961,1961-11-05,8,26.329,NYG,,WAS,W 53-0,6,122,20.33,3,0,0,,0,0,0,,0,0,0,,0,0,,,3,18,0,0,0,0,0,,0
43,1961,1961-11-12,9,26.336,NYG,,PHI,W 38-21,8,137,17.13,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
44,1961,1961-11-19,10,26.343,NYG,,PIT,W 42-21,5,90,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
45,1961,1961-11-26,11,26.350,NYG,@,CLE,W 37-21,6,97,16.17,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
46,1961,1961-12-03,12,26.357,NYG,@,GNB,L 17-20,1,29,29.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
47,1961,1961-12-10,13,26.364,NYG,@,PHI,W 28-24,4,95,23.75,3,0,0,,0,0,0,,0,0,0,,0,0,,,3,18,0,0,0,0,0,,0
48,1961,1961-12-17,14,27.006,NYG,,CLE,T 7-7,6,92,15.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
49,1962,1962-09-16,1,27.279,NYG,@,CLE,L 7-17,5,76,15.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
50,1962,1962-09-23,2,27.286,NYG,@,PHI,W 29-13,3,135,45.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,,0
51,1962,1962-09-30,3,27.293,NYG,@,PIT,W 31-27,3,52,17.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
52,1962,1962-10-07,4,27.300,NYG,@,STL,W 31-14,4,41,10.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
53,1962,1962-10-14,5,27.307,NYG,,PIT,L 17-20,6,90,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
54,1962,1962-10-28,7,27.321,NYG,,WAS,W 49-34,11,269,24.45,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
55,1962,1962-11-04,8,27.328,NYG,,STL,W 31-28,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
56,1962,1962-11-11,9,27.335,NYG,@,DAL,W 41-10,6,158,26.33,3,0,0,,0,0,0,,0,0,0,,0,0,,,3,18,0,0,0,0,0,,0
57,1962,1962-11-18,10,27.342,NYG,,PHI,W 19-14,3,59,19.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
58,1962,1962-11-25,11,27.349,NYG,@,WAS,W 42-24,5,125,25.00,3,1,4,4.00,0,0,0,,0,0,0,,0,0,,,3,18,0,0,0,0,0,,0
59,1962,1962-12-02,12,27.356,NYG,@,CHI,W 26-24,5,97,19.40,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
60,1962,1962-12-09,13,27.363,NYG,,CLE,W 17-13,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
61,1963,1963-09-15,1,28.278,NYG,@,BAL,W 37-28,5,85,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
62,1963,1963-09-22,2,28.285,NYG,@,PIT,L 0-31,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
63,1963,1963-09-29,3,28.292,NYG,@,PHI,W 37-14,4,73,18.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
64,1963,1963-10-06,4,28.299,NYG,@,WAS,W 24-14,4,107,26.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
65,1963,1963-10-13,5,28.306,NYG,,CLE,L 24-35,5,54,10.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
66,1963,1963-10-20,6,28.313,NYG,,DAL,W 37-21,3,52,17.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
67,1963,1963-10-27,7,28.320,NYG,@,CLE,W 33-6,7,108,15.43,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
68,1963,1963-11-03,8,28.327,NYG,@,STL,W 38-21,5,78,15.60,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
69,1963,1963-11-10,9,28.334,NYG,,PHI,W 42-14,6,119,19.83,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
70,1963,1963-11-17,10,28.341,NYG,,SFO,W 48-14,7,159,22.71,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
71,1963,1963-11-24,11,28.348,NYG,,STL,L 17-24,5,106,21.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
72,1963,1963-12-01,12,28.355,NYG,@,DAL,W 34-27,5,82,16.40,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
73,1963,1963-12-08,13,28.362,NYG,,WAS,W 44-14,3,26,8.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
74,1963,1963-12-15,14,29.004,NYG,,PIT,W 33-17,3,110,36.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
75,1964,1964-09-20,2,29.284,NYG,@,PIT,L 24-27,4,96,24.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
76,1964,1964-09-25,3,29.289,NYG,,WAS,W 13-10,4,76,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
77,1964,1964-10-04,4,29.298,NYG,@,DET,L 3-26,4,48,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
78,1964,1964-10-11,5,29.305,NYG,@,DAL,T 13-13,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
79,1964,1964-10-18,6,29.312,NYG,,PHI,L 17-23,4,62,15.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
80,1964,1964-10-25,7,29.319,NYG,@,CLE,L 20-42,5,31,6.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
81,1965,1965-09-19,1,30.282,NYG,@,DAL,L 2-31,2,13,6.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
82,1965,1965-09-26,2,30.289,NYG,@,PHI,W 16-14,2,41,20.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
83,1965,1965-10-03,3,30.296,NYG,@,PIT,W 23-13,2,60,30.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
84,1965,1965-10-09,4,30.302,NYG,@,MIN,L 14-40,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
85,1965,1965-10-24,6,30.317,NYG,,CLE,L 14-38,2,49,24.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
86,1965,1965-10-31,7,30.324,NYG,,STL,W 14-10,2,30,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
87,1965,1965-11-07,8,30.331,NYG,,WAS,L 7-23,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
88,1965,1965-11-28,11,30.352,NYG,,CHI,L 14-35,4,61,15.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
89,1965,1965-12-05,12,30.359,NYG,,PIT,W 35-10,4,90,22.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
90,1965,1965-12-12,13,31.001,NYG,@,WAS,W 27-10,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
91,1966,1966-09-25,3,31.288,NYG,@,PHI,L 17-35,2,10,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
92,1966,1966-11-20,10,31.344,NYG,,ATL,L 16-27,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
93,1967,1967-09-17,1,32.280,NYG,@,STL,W 37-20,1,33,33.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,,0
94,1967,1967-09-24,2,32.287,NYG,@,DAL,L 24-38,2,37,18.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
95,1967,1967-11-12,9,32.336,NYG,@,CHI,L 7-34,2,46,23.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
96,1967,1967-12-10,13,32.364,NYG,,DET,L 7-30,2,30,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0
