ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring
12,2015,2015-12-06,12,21.171,OAK,,KAN,L 20-34,*,8,4,69,17.25,0,50.0%,8.63,1,-7,-7.00,0,0,0,,0,,0,0
13,2015,2015-12-13,13,21.178,OAK,@,DEN,W 15-12,*,8,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
14,2015,2015-12-20,14,21.185,OAK,,GNB,L 20-30,*,9,6,120,20.00,2,66.7%,13.33,0,0,,0,0,0,,0,,2,12
15,2015,2015-12-24,15,21.189,OAK,,SDG,W 23-20,*,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,,0,0
16,2015,2016-01-03,16,21.199,OAK,@,KAN,L 17-23,*,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,0,,0,0
17,2016,2016-09-11,1,22.085,OAK,@,NOR,W 35-34,*,11,6,137,22.83,0,54.5%,12.45,0,0,,0,0,0,,0,1,0,2
18,2016,2016-09-18,2,22.092,OAK,,ATL,L 28-35,*,9,5,71,14.20,0,55.6%,7.89,0,0,,0,0,0,,0,,0,0
19,2016,2016-09-25,3,22.099,OAK,@,TEN,W 17-10,*,9,4,62,15.50,0,44.4%,6.89,0,0,,0,0,0,,0,,0,0
20,2016,2016-10-02,4,22.106,OAK,@,BAL,W 28-27,,6,5,48,9.60,0,83.3%,8.00,0,0,,0,0,0,,0,,0,0
21,2016,2016-10-09,5,22.113,OAK,,SDG,W 34-31,*,12,6,138,23.00,1,50.0%,11.50,0,0,,0,0,0,,0,1,1,8
22,2016,2016-10-16,6,22.120,OAK,,KAN,L 10-26,*,13,10,129,12.90,0,76.9%,9.92,0,0,,0,0,0,,0,,0,0
23,2016,2016-10-23,7,22.127,OAK,@,JAX,W 33-16,*,5,4,29,7.25,0,80.0%,5.80,0,0,,0,0,0,,0,,0,0
24,2016,2016-10-30,8,22.134,OAK,@,TAM,W 30-24,*,15,12,173,14.42,1,80.0%,11.53,0,0,,0,0,0,,0,,1,6
25,2016,2016-11-06,9,22.141,OAK,,DEN,W 30-20,*,8,6,56,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,,0,0
26,2016,2016-11-21,10,22.156,OAK,,HOU,W 27-20,*,5,4,57,14.25,1,80.0%,11.40,0,0,,0,0,0,,0,,1,6
27,2016,2016-11-27,11,22.162,OAK,,CAR,W 35-32,*,7,4,22,5.50,0,57.1%,3.14,0,0,,0,0,0,,0,,0,0
28,2016,2016-12-04,12,22.169,OAK,,BUF,W 38-24,*,4,2,59,29.50,1,50.0%,14.75,1,0,0.00,0,0,0,,0,,1,6
29,2016,2016-12-08,13,22.173,OAK,@,KAN,L 13-21,*,10,5,29,5.80,0,50.0%,2.90,0,0,,0,0,0,,0,,0,0
30,2016,2016-12-18,14,22.183,OAK,@,SDG,W 19-16,*,3,1,28,28.00,0,33.3%,9.33,0,0,,0,0,0,,0,,0,0
31,2016,2016-12-24,15,22.189,OAK,,IND,W 33-25,*,7,5,76,15.20,0,71.4%,10.86,0,0,,0,0,0,,0,,0,0
32,2016,2017-01-01,16,22.197,OAK,@,DEN,L 6-24,,8,4,39,9.75,1,50.0%,4.88,0,0,,0,0,0,,0,,1,6
33,2017,2017-09-10,1,23.084,OAK,@,TEN,W 26-16,*,13,5,62,12.40,1,38.5%,4.77,0,0,,0,0,0,,0,,1,6
34,2017,2017-09-17,2,23.091,OAK,,NYJ,W 45-20,*,5,4,33,8.25,0,80.0%,6.60,0,0,,0,0,0,,0,,0,0
35,2017,2017-09-24,3,23.098,OAK,@,WAS,L 10-27,*,5,1,6,6.00,0,20.0%,1.20,0,0,,0,0,0,,0,,0,0
36,2017,2017-10-01,4,23.105,OAK,@,DEN,L 10-16,*,8,2,9,4.50,0,25.0%,1.13,0,0,,0,0,0,,0,,0,0
37,2017,2017-10-08,5,23.112,OAK,,BAL,L 17-30,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,,0,0
38,2017,2017-10-15,6,23.119,OAK,,LAC,L 16-17,*,6,5,28,5.60,0,83.3%,4.67,0,0,,0,0,0,,0,,0,0
39,2017,2017-10-19,7,23.123,OAK,,KAN,W 31-30,*,19,11,210,19.09,2,57.9%,11.05,0,0,,0,0,0,,0,,2,12
40,2017,2017-10-29,8,23.133,OAK,@,BUF,L 14-34,*,10,5,48,9.60,0,50.0%,4.80,1,4,4.00,0,0,0,,0,,0,0
41,2017,2017-11-05,9,23.140,OAK,@,MIA,W 27-24,*,9,4,58,14.50,0,44.4%,6.44,0,0,,0,0,0,,0,,0,0
42,2017,2017-11-19,10,23.154,OAK,,NWE,L 8-33,*,7,3,28,9.33,1,42.9%,4.00,0,0,,0,0,0,,0,,1,6
43,2017,2017-11-26,11,23.161,OAK,,DEN,W 21-14,*,1,1,9,9.00,1,100.0%,9.00,0,0,,0,0,0,,0,,1,6
44,2017,2017-12-10,13,23.175,OAK,@,KAN,L 15-26,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
45,2017,2017-12-25,15,23.190,OAK,@,PHI,L 10-19,,4,3,66,22.00,1,75.0%,16.50,0,0,,0,0,0,,0,,1,6
46,2017,2017-12-31,16,23.196,OAK,@,LAC,L 10-30,,6,3,115,38.33,1,50.0%,19.17,0,0,,0,0,0,,0,,1,6
47,2018,2018-09-10,1,24.084,OAK,,LAR,L 13-33,*,3,1,9,9.00,0,33.3%,3.00,1,9,9.00,0,0,0,,0,,0,0
48,2018,2018-09-16,2,24.090,OAK,@,DEN,L 19-20,*,10,10,116,11.60,0,100.0%,11.60,0,0,,0,0,0,,0,,0,0
49,2018,2018-09-23,3,24.097,OAK,@,MIA,L 20-28,*,5,2,17,8.50,0,40.0%,3.40,0,0,,0,0,0,,0,,0,0
