ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
46,1986,1986-11-30,13,26.006,PHI,@,RAI,W 33-27,0,0,,0,4,99,24.75,1,1,6
47,1986,1986-12-07,14,26.013,PHI,,STL,T 10-10,3,40,13.33,0,2,9,4.50,0,0,0
48,1986,1986-12-14,15,26.020,PHI,@,DAL,W 23-21,1,27,27.00,0,0,0,,0,0,0
49,1986,1986-12-21,16,26.027,PHI,,WAS,L 14-21,1,21,21.00,0,2,16,8.00,0,0,0
50,1987,1987-09-13,1,26.293,PHI,@,WAS,L 24-34,1,18,18.00,0,1,10,10.00,0,0,0
51,1987,1987-09-20,2,26.300,PHI,,NOR,W 27-17,0,0,,0,0,0,,0,,
52,1987,1987-10-25,6,26.335,PHI,,DAL,W 37-20,0,0,,0,2,2,1.00,0,0,0
53,1987,1987-11-01,7,26.342,PHI,@,STL,W 28-23,1,9,9.00,1,0,0,,0,1,6
54,1987,1987-11-08,8,26.349,PHI,,WAS,W 31-27,3,63,21.00,1,0,0,,0,1,6
55,1987,1987-11-15,9,26.356,PHI,,NYG,L 17-20,2,50,25.00,0,0,0,,0,0,0
56,1987,1987-11-22,10,26.363,PHI,,STL,L 19-31,1,20,20.00,0,1,4,4.00,0,0,0
57,1987,1987-11-29,11,27.005,PHI,@,NWE,W 34-31,1,40,40.00,0,0,0,,0,0,0
58,1987,1987-12-06,12,27.012,PHI,@,NYG,L 20-23,1,19,19.00,0,0,0,,0,0,0
59,1987,1987-12-13,13,27.019,PHI,,MIA,L 10-28,0,0,,0,0,0,,0,,
60,1987,1987-12-20,14,27.026,PHI,@,NYJ,W 38-27,1,10,10.00,0,0,0,,0,0,0
61,1987,1987-12-27,15,27.033,PHI,,BUF,W 17-7,1,13,13.00,0,0,0,,0,0,0
62,1988,1988-09-04,1,27.285,PHI,@,TAM,W 41-14,3,35,11.67,0,0,0,,0,0,0
63,1988,1988-09-11,2,27.292,PHI,,CIN,L 24-28,1,19,19.00,0,0,0,,0,0,0
64,1988,1988-09-18,3,27.299,PHI,@,WAS,L 10-17,0,0,,0,,,,,,
65,1988,1988-09-25,4,27.306,PHI,@,MIN,L 21-23,0,0,,0,,,,,,
66,1988,1988-10-02,5,27.313,PHI,,HOU,W 32-23,3,31,10.33,1,0,0,,0,1,6
67,1988,1988-10-10,6,27.321,PHI,,NYG,W 24-13,3,43,14.33,0,0,0,,0,0,0
68,1988,1988-10-16,7,27.327,PHI,@,CLE,L 3-19,0,0,,0,,,,,,
69,1988,1988-10-23,8,27.334,PHI,,DAL,W 24-23,5,66,13.20,0,0,0,,0,0,0
70,1988,1988-10-30,9,27.341,PHI,,ATL,L 24-27,2,14,7.00,0,0,0,,0,0,0
71,1989,1989-09-10,1,28.290,PHI,,SEA,W 31-7,0,0,,0,,,,,,
72,1989,1989-09-17,2,28.297,PHI,@,WAS,W 42-37,2,41,20.50,0,0,0,,0,0,0
73,1989,1989-09-24,3,28.304,PHI,,SFO,L 28-38,2,14,7.00,0,0,0,,0,0,0
74,1989,1989-10-02,4,28.312,PHI,@,CHI,L 13-27,4,83,20.75,1,0,0,,0,1,6
75,1989,1989-10-08,5,28.318,PHI,,NYG,W 21-19,1,15,15.00,0,0,0,,0,0,0
76,1989,1989-10-15,6,28.325,PHI,@,PHO,W 17-5,2,31,15.50,0,0,0,,0,0,0
77,1989,1989-10-22,7,28.332,PHI,,RAI,W 10-7,0,0,,0,,,,,,
78,1989,1989-10-29,8,28.339,PHI,@,DEN,W 28-24,1,21,21.00,0,0,0,,0,0,0
79,1989,1989-11-05,9,28.346,PHI,@,SDG,L 17-20,1,4,4.00,1,0,0,,0,1,6
