ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
29,1990,1990-09-30,4,24.356,NYJ,@,NWE,W 37-13,,,,,,,,,,,,,,,
30,1990,1990-10-07,5,24.363,NYJ,@,MIA,L 16-20,,,,,,,,,,,,,,,
31,1990,1990-10-14,6,25.005,NYJ,,SDG,L 3-39,,,,,,,,,,,,,,,
32,1990,1990-10-21,7,25.012,NYJ,@,BUF,L 27-30,,,,,,,,,,,,,,,
33,1990,1990-10-28,8,25.019,NYJ,@,HOU,W 17-12,,,,,,,,,,,,,,,
34,1990,1990-11-04,9,25.026,NYJ,,DAL,W 24-9,,,,,,,,,,,,,,,
35,1990,1990-11-11,10,25.033,NYJ,,MIA,L 3-17,,,,,,,,,,,,,,,
36,1990,1990-11-18,11,25.040,NYJ,@,IND,L 14-17,,,,,,,,,,,,,,,
37,1990,1990-11-25,12,25.047,NYJ,,PIT,L 7-24,,,,,,,,,,,,,,,
38,1990,1990-12-30,16,25.082,NYJ,@,TAM,W 16-14,,,,,,,,,,,,,,,
39,1991,1991-09-08,2,25.334,PHI,,PHO,L 10-26,,,,,,,,,,,,,,,
40,1991,1991-09-22,4,25.348,PHI,,PIT,W 23-14,,,,,,,,,,,,,,,
41,1991,1991-10-06,6,25.362,PHI,@,TAM,L 13-14,,,,,,,,,,,,,,,
42,1991,1991-10-13,7,26.004,PHI,,NOR,L 6-13,,,,,,,,,,,,,,,
43,1991,1991-10-27,8,26.018,PHI,,SFO,L 7-23,,,,,,,,,,,,,,,
44,1991,1991-11-04,9,26.026,PHI,,NYG,W 30-7,,,,,,,,,,,,,,,
45,1991,1991-11-10,10,26.032,PHI,@,CLE,W 32-30,,,,,,,,,,,,,,,
46,1991,1991-11-17,11,26.039,PHI,,CIN,W 17-10,,,,,,,,,,,,,,,
47,1991,1991-11-24,12,26.046,PHI,@,PHO,W 34-14,,0,0,,0,,,0,0,,0,0.0,1,24,0
48,1991,1991-12-02,13,26.054,PHI,@,HOU,W 13-6,,0,0,,0,,,0,0,,0,1.0,0,0,0
49,1991,1991-12-08,14,26.060,PHI,@,NYG,W 19-14,,,,,,,,,,,,,,,
50,1991,1991-12-15,15,26.067,PHI,,DAL,L 13-25,,,,,,,,,,,,,,,
51,1991,1991-12-22,16,26.074,PHI,,WAS,W 24-22,,,,,,,,,,,,,,,
52,1992,1992-09-06,1,26.333,PHI,,NOR,W 15-13,,,,,,0.0%,,0,0,,0,,,,
53,1992,1992-09-13,2,26.340,PHI,@,PHO,W 31-14,,,,,,0.0%,,0,0,,0,,,,
54,1992,1992-09-20,3,26.347,PHI,,DEN,W 30-0,,,,,,0.0%,,0,0,,0,,,,
55,1992,1992-10-05,4,26.362,PHI,,DAL,W 31-7,,0,0,,0,0.0%,,0,0,,0,0.0,1,22,0
56,1992,1992-10-11,5,27.002,PHI,@,KAN,L 17-24,,,,,,0.0%,,0,0,,0,,,,
57,1992,1992-10-18,6,27.009,PHI,@,WAS,L 12-16,,0,0,,0,0.0%,,1,11,11.00,0,0.0,0,0,0
58,1992,1992-10-25,7,27.016,PHI,,PHO,W 7-3,,,,,,0.0%,,0,0,,0,,,,
59,1992,1992-11-01,8,27.023,PHI,@,DAL,L 10-20,,,,,,0.0%,,0,0,,0,,,,
60,1992,1992-11-08,9,27.030,PHI,,RAI,W 31-10,,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0
61,1992,1992-11-15,10,27.037,PHI,@,GNB,L 24-27,,,,,,0.0%,,0,0,,0,,,,
62,1992,1992-11-22,11,27.044,PHI,@,NYG,W 47-34,,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0
63,1992,1992-11-29,12,27.051,PHI,@,SFO,L 14-20,,,,,,0.0%,,0,0,,0,,,,
64,1992,1992-12-06,13,27.058,PHI,,MIN,W 28-17,,,,,,0.0%,,0,0,,0,,,,
65,1992,1992-12-13,14,27.065,PHI,@,SEA,W 20-17,,,,,,0.0%,,0,0,,0,,,,
66,1992,1992-12-20,15,27.072,PHI,,WAS,W 17-13,,,,,,0.0%,,0,0,,0,,,,
67,1992,1992-12-27,16,27.079,PHI,,NYG,W 20-10,,,,,,0.0%,,0,0,,0,,,,
68,1993,1993-09-05,1,27.331,PHO,@,PHI,L 17-23,,,,,,0.0%,,,,,,,,,
69,1993,1993-09-12,2,27.338,PHO,@,WAS,W 17-10,,0,0,,0,0.0%,,0,0,,0,0.0,1,19,0
70,1993,1993-09-19,3,27.345,PHO,,DAL,L 10-17,,,,,,0.0%,,,,,,,,,
71,1993,1993-09-26,4,27.352,PHO,@,DET,L 20-26,,0,0,,0,0.0%,,0,0,,0,1.0,0,0,0
72,1993,1993-10-10,5,28.001,PHO,,NWE,L 21-23,,0,0,,0,0.0%,,0,0,,0,1.0,1,5,0
73,1993,1993-10-17,6,28.008,PHO,,WAS,W 36-6,,,,,,0.0%,,,,,,,,,
74,1993,1993-10-24,7,28.015,PHO,@,SFO,L 14-28,,0,0,,0,0.0%,,0,0,,0,1.0,0,0,0
75,1993,1993-12-05,12,28.057,PHO,,RAM,W 38-10,,,,,,0.0%,,,,,,,,,
76,1993,1993-12-12,13,28.064,PHO,,DET,L 14-21,,,,,,0.0%,,,,,,,,,
77,1993,1993-12-19,14,28.071,PHO,@,SEA,W 30-27,,,,,,0.0%,,,,,,,,,
78,1993,1993-12-26,15,28.078,PHO,,NYG,W 17-6,,,,,,0.0%,,,,,,,,,
79,1993,1994-01-02,16,28.085,PHO,@,ATL,W 27-10,,,,,,0.0%,,,,,,,,,
80,1994,1994-09-04,1,28.330,NYG,,PHI,W 28-23,,,,,,0.0%,,,,,,,,,
81,1994,1994-09-11,2,28.337,NYG,@,ARI,W 20-17,,,,,,0.0%,,,,,,,,,
82,1994,1994-09-18,3,28.344,NYG,,WAS,W 31-23,0,0,0,,0,0.0%,,0,0,,0,0.0,1,36,0
83,1994,1994-10-02,4,28.358,NYG,@,NOR,L 22-27,0,0,0,,0,0.0%,,0,0,,0,0.0,1,34,0
84,1994,1994-10-10,5,29.001,NYG,,MIN,L 10-27,,,,,,0.0%,,,,,,,,,
85,1994,1994-10-16,6,29.007,NYG,@,RAM,L 10-17,,,,,,0.0%,,,,,,,,,
86,1994,1994-10-23,7,29.014,NYG,,PIT,L 6-10,,,,,,0.0%,,,,,,,,,
87,1994,1994-10-30,8,29.021,NYG,,DET,L 25-28,,,,,,0.0%,,,,,,,,,
88,1994,1994-11-07,9,29.029,NYG,@,DAL,L 10-38,,,,,,0.0%,,,,,,,,,
89,1994,1994-11-13,10,29.035,NYG,,ARI,L 9-10,,,,,,0.0%,,,,,,,,,
90,1994,1994-11-21,11,29.043,NYG,@,HOU,W 13-10,,,,,,0.0%,,,,,,,,,
91,1994,1994-11-27,12,29.049,NYG,@,WAS,W 21-19,0,0,0,,0,0.0%,,0,0,,0,0.0,1,25,0
92,1994,1994-12-04,13,29.056,NYG,@,CLE,W 16-13,,,,,,0.0%,,,,,,,,,
93,1994,1994-12-11,14,29.063,NYG,,CIN,W 27-20,,,,,,0.0%,,,,,,,,,
94,1994,1994-12-18,15,29.070,NYG,@,PHI,W 16-13,,,,,,0.0%,,,,,,,,,
95,1994,1994-12-24,16,29.076,NYG,,DAL,W 15-10,,,,,,0.0%,,,,,,,,,
96,1995,1995-09-03,1,29.329,TAM,@,PHI,W 21-6,,0,0,,0,0.0%,,,,,,,,,
97,1995,1995-09-10,2,29.336,TAM,@,CLE,L 6-22,,0,0,,0,0.0%,,,,,,,,,
98,1995,1995-09-17,3,29.343,TAM,,CHI,L 6-25,0,0,0,,0,0.0%,,,,,,,,,
99,1995,1995-09-24,4,29.350,TAM,,WAS,W 14-6,0,0,0,,0,0.0%,,,,,,,,,
100,1995,1995-10-01,5,29.357,TAM,@,CAR,W 20-13,1,1,48,48.00,0,100.0%,48.00,0,0,,0,0.0,1,21,0
101,1995,1995-10-08,6,29.364,TAM,,CIN,W 19-16,0,0,0,,0,0.0%,,,,,,,,,
102,1995,1995-10-15,7,30.006,TAM,,MIN,W 20-17,0,0,0,,0,0.0%,,,,,,,,,
