ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
20,1971,1971-10-25,6,24.265,BAL,@,MIN,L 3-10,0,0,,0,0,0,,0,,,,1,2,50.0,0,3
21,1971,1971-10-31,7,24.271,BAL,,PIT,W 34-21,0,0,,0,0,0,,0,4,4,100.0,2,3,66.7,0,10
22,1971,1971-11-08,8,24.279,BAL,,RAM,W 24-17,0,0,,0,0,0,,0,3,3,100.0,1,3,33.3,0,6
23,1971,1971-11-14,9,24.285,BAL,@,NYJ,W 14-13,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
24,1971,1971-11-21,10,24.292,BAL,@,MIA,L 14-17,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
25,1971,1971-11-28,11,24.299,BAL,@,OAK,W 37-14,0,0,,0,0,0,,0,4,4,100.0,3,3,100.0,0,13
26,1971,1971-12-05,12,24.306,BAL,,BUF,W 24-0,0,0,,0,0,0,,0,3,3,100.0,1,4,25.0,0,6
27,1971,1971-12-11,13,24.312,BAL,,MIA,W 14-3,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
28,1971,1971-12-19,14,24.320,BAL,,NWE,L 17-21,0,0,,0,0,0,,0,2,2,100.0,1,2,50.0,0,5
29,1972,1972-09-17,1,25.228,BAL,,STL,L 3-10,0,0,,0,0,0,,0,,,,1,5,20.0,0,3
30,1972,1972-09-24,2,25.235,BAL,,NYJ,L 34-44,0,0,,0,0,0,,0,4,4,100.0,2,3,66.7,0,10
31,1972,1972-10-01,3,25.242,BAL,@,BUF,W 17-0,0,0,,0,0,0,,0,2,2,100.0,1,4,25.0,0,5
32,1972,1972-10-08,4,25.249,BAL,,SDG,L 20-23,0,0,,0,0,0,,0,2,2,100.0,2,2,100.0,0,8
33,1972,1972-10-15,5,25.256,BAL,,DAL,L 0-21,0,0,,0,0,0,,0,,,,,2,0.0,0,0
34,1972,1972-10-22,6,25.263,BAL,@,NYJ,L 20-24,5,91,18.20,1,1,7,7.00,0,2,2,100.0,2,5,40.0,1,14
35,1972,1972-10-29,7,25.270,BAL,,MIA,L 0-23,1,22,22.00,0,0,0,,0,,,,,1,0.0,0,0
36,1972,1972-11-06,8,25.278,BAL,@,NWE,W 24-17,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6
37,1972,1972-11-12,9,25.284,BAL,@,SFO,L 21-24,1,37,37.00,0,1,-3,-3.00,0,1,1,100.0,,,,0,1
38,1972,1972-11-19,10,25.291,BAL,@,CIN,W 20-19,1,40,40.00,1,0,0,,0,1,1,100.0,2,3,66.7,1,13
39,1972,1972-11-26,11,25.298,BAL,,NWE,W 31-0,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6
40,1972,1972-12-03,12,25.305,BAL,,BUF,W 35-7,0,0,,0,0,0,,0,5,5,100.0,,,,0,5
41,1972,1972-12-10,13,25.312,BAL,@,KAN,L 10-24,2,59,29.50,0,1,5,5.00,0,1,1,100.0,1,1,100.0,0,4
42,1972,1972-12-16,14,25.318,BAL,@,MIA,L 0-16,1,14,14.00,0,0,0,,0,,,,,1,0.0,0,0
43,1973,1973-09-16,1,26.226,DET,@,PIT,L 10-24,1,5,5.00,0,0,0,,0,,,,,,,0,0
44,1973,1973-09-23,2,26.233,DET,@,GNB,T 13-13,,,,,,,,,,,,,,,,
45,1973,1973-10-01,3,26.241,DET,,ATL,W 31-6,,,,,,,,,,,,,,,,
46,1973,1973-10-07,4,26.247,DET,,MIN,L 9-23,,,,,,,,,,,,,,,,
47,1973,1973-10-14,5,26.254,DET,@,NOR,L 13-20,,,,,,,,,,,,,,,,
48,1973,1973-10-21,6,26.261,DET,,BAL,L 27-29,0,0,,0,0,0,,0,3,3,100.0,2,3,66.7,0,9
49,1973,1973-10-28,7,26.268,DET,,GNB,W 34-0,0,0,,0,0,0,,0,4,4,100.0,2,3,66.7,0,10
50,1973,1973-11-04,8,26.275,DET,,SFO,W 30-20,0,0,,0,0,0,,0,3,3,100.0,3,5,60.0,0,12
51,1973,1973-11-11,9,26.282,DET,@,MIN,L 7-28,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
52,1973,1973-11-18,10,26.289,DET,@,CHI,W 30-7,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6
53,1973,1973-11-22,11,26.293,DET,,WAS,L 0-20,0,0,,0,0,0,,0,,,,,1,0.0,0,0
54,1973,1973-12-02,12,26.303,DET,@,STL,W 20-16,1,9,9.00,0,0,0,,0,,,,,,,0,0
55,1973,1973-12-09,13,26.310,DET,,CHI,W 40-7,,,,,,,,,,,,,,,,
56,1973,1973-12-15,14,26.316,DET,@,MIA,L 7-34,,,,,,,,,,,,,,,,
