ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
42,1998,1998-11-08,9,25.049,ARI,,WAS,W 29-27,,,,,,,,,,,,,,,
43,1998,1998-11-15,10,25.056,ARI,,DAL,L 28-35,,,,,,,,,,,,,,,
44,1998,1998-11-22,11,25.063,ARI,@,WAS,W 45-42,,,,,,,,,,,,,,,
45,1998,1998-11-29,12,25.070,ARI,@,KAN,L 24-34,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
46,1998,1998-12-27,16,25.098,ARI,,SDG,W 16-13,,,,,,,,,,,,,,,
47,1999,1999-09-12,1,25.357,ARI,@,PHI,W 25-24,*,,,,,,,,,,,,,,
48,1999,1999-09-19,2,25.364,ARI,@,MIA,L 16-19,*,,,,,,,,,,,,,,
49,1999,1999-09-27,3,26.007,ARI,,SFO,L 10-24,*,,,,,,,,,,,,,,
50,1999,1999-10-03,4,26.013,ARI,@,DAL,L 7-35,*,,,,,,,,,,,,,,
51,1999,1999-10-10,5,26.020,ARI,,NYG,W 14-3,*,,,,,,,,,,,,,,
52,1999,1999-10-17,6,26.027,ARI,,WAS,L 10-24,*,0,0,,0,0,0,,0,0,0,0.0,1,0,0
53,1999,1999-10-31,7,26.041,ARI,,NWE,L 3-27,*,,,,,,,,,,,,,,
54,1999,1999-11-07,8,26.048,ARI,@,NYJ,L 7-12,*,,,,,,,,,,,,,,
55,1999,1999-11-14,9,26.055,ARI,,DET,W 23-19,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
56,1999,1999-11-21,10,26.062,ARI,,DAL,W 13-9,*,,,,,,,,,,,,,,
57,1999,1999-11-28,11,26.069,ARI,@,NYG,W 34-24,*,,,,,,,,,,,,,,
58,1999,1999-12-05,12,26.076,ARI,,PHI,W 21-17,*,,,,,,,,,,,,,,
59,1999,1999-12-12,13,26.083,ARI,@,WAS,L 3-28,*,,,,,,,,,,,,,,
60,1999,1999-12-19,14,26.090,ARI,,BUF,L 21-31,*,,,,,,,,,,,,,,
61,1999,1999-12-26,15,26.097,ARI,@,ATL,L 14-37,*,,,,,,,,,,,,,,
62,1999,2000-01-02,16,26.104,ARI,@,GNB,L 24-49,*,,,,,,,,,,,,,,
63,2000,2000-09-03,1,26.349,ARI,@,NYG,L 16-21,,,,,,,,,,,,,,,
64,2000,2000-09-10,2,26.356,ARI,,DAL,W 32-31,*,,,,,,,,,,,,,,
65,2000,2000-09-24,3,27.004,ARI,,GNB,L 3-29,*,,,,,,,,,,,,,,
66,2000,2000-10-01,4,27.011,ARI,@,SFO,L 20-27,*,,,,,,,,,,,,,,
67,2000,2000-10-08,5,27.018,ARI,,CLE,W 29-21,*,,,,,,,,,,,,,,
68,2000,2000-10-15,6,27.025,ARI,,PHI,L 14-33,*,,,,,,,,,,,,,,
69,2000,2000-10-22,7,27.032,ARI,@,DAL,L 7-48,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
70,2000,2000-10-29,8,27.039,ARI,,NOR,L 10-21,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
71,2000,2000-11-05,9,27.046,ARI,,WAS,W 16-15,*,,,,,,,,,,,,,,
72,2000,2000-11-12,10,27.053,ARI,@,MIN,L 14-31,*,,,,,,,,,,,,,,
73,2000,2000-11-19,11,27.060,ARI,@,PHI,L 9-34,,0,0,,0,1,9,9.00,0,0,0,0.0,0,0,0
74,2000,2000-11-26,12,27.067,ARI,,NYG,L 7-31,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
75,2000,2000-12-03,13,27.074,ARI,@,CIN,L 13-24,,,,,,,,,,,,,,,
76,2000,2000-12-10,14,27.081,ARI,@,JAX,L 10-44,*,,,,,,,,,,,,,,
77,2000,2000-12-17,15,27.088,ARI,,BAL,L 7-13,,,,,,,,,,,,,,,
78,2000,2000-12-24,16,27.095,ARI,@,WAS,L 3-20,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
79,2001,2001-09-23,1,28.003,ARI,,DEN,L 17-38,*,,,,,,,,,,,,,,
80,2001,2001-09-30,2,28.010,ARI,,ATL,L 14-34,*,,,,,,,,,,,,,,
81,2001,2001-10-07,3,28.017,ARI,@,PHI,W 21-20,*,,,,,,,,,,,,,,
82,2001,2001-10-14,4,28.024,ARI,@,CHI,L 13-20,*,,,,,,,,,,,,,,
83,2001,2001-10-21,5,28.031,ARI,,KAN,W 24-16,*,,,,,,,,,,,,,,
84,2001,2001-10-28,6,28.038,ARI,@,DAL,L 3-17,*,,,,,,,,,,,,,,
85,2001,2001-11-04,7,28.045,ARI,,PHI,L 7-21,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
86,2001,2001-11-11,8,28.052,ARI,,NYG,L 10-17,*,,,,,,,,,,,,,,
87,2001,2001-11-18,9,28.059,ARI,,DET,W 45-38,*,,,,,,,,,,,,,,
88,2001,2001-11-25,10,28.066,ARI,@,SDG,W 20-17,*,,,,,,,,,,,,,,
89,2001,2001-12-02,11,28.073,ARI,@,OAK,W 34-31,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
90,2001,2001-12-09,12,28.080,ARI,,WAS,L 10-20,*,,,,,,,,,,,,,,
91,2001,2001-12-15,13,28.086,ARI,@,NYG,L 13-17,*,,,,,,,,,,,,,,
92,2001,2001-12-23,14,28.094,ARI,,DAL,W 17-10,*,0,0,,0,0,0,,0,1,6,0.0,1,24,1
93,2001,2001-12-30,15,28.101,ARI,@,CAR,W 30-7,*,,,,,,,,,,,,,,
94,2001,2002-01-06,16,28.108,ARI,@,WAS,L 17-20,*,,,,,,,,,,,,,,
95,2002,2002-09-08,1,28.353,ARI,@,WAS,L 23-31,*,,,,,,,,,,,,,,
96,2002,2002-09-15,2,28.360,ARI,@,SEA,W 24-13,*,,,,,,,,,,,,,,
97,2002,2002-09-22,3,29.002,ARI,,SDG,L 15-23,*,,,,,,,,,,,,,,
98,2002,2002-09-29,4,29.009,ARI,,NYG,W 21-7,*,,,,,,,,,,,,,,
99,2002,2002-10-06,5,29.016,ARI,@,CAR,W 16-13,*,,,,,,,,,,,,,,
100,2002,2002-10-20,6,29.030,ARI,,DAL,W 9-6,*,,,,,,,,,,,,,,
101,2002,2002-10-27,7,29.037,ARI,@,SFO,L 28-38,*,,,,,,,,,,,,,,
102,2002,2002-11-03,8,29.044,ARI,,STL,L 14-27,*,,,,,,,,,,,,,,
103,2002,2002-11-10,9,29.051,ARI,,SEA,L 6-27,*,,,,,,,,,,,,,,
104,2002,2002-11-17,10,29.058,ARI,@,PHI,L 14-38,*,,,,,,,,,,,,,,
105,2002,2002-11-24,11,29.065,ARI,,OAK,L 20-41,*,,,,,,,,,,,,,,
106,2002,2002-12-01,12,29.072,ARI,@,KAN,L 0-49,*,,,,,,,,,,,,,,
107,2002,2002-12-08,13,29.079,ARI,,DET,W 23-20,*,,,,,,,,,,,,,,
108,2002,2002-12-15,14,29.086,ARI,@,STL,L 28-30,*,,,,,,,,,,,,,,
109,2002,2002-12-21,15,29.092,ARI,,SFO,L 14-17,*,,,,,,,,,,,,,,
110,2002,2002-12-29,16,29.100,ARI,@,DEN,L 7-37,*,,,,,,,,,,,,,,
111,2003,2003-09-07,1,29.352,ARI,@,DET,L 24-42,*,,,,,,,,,,,,,,
112,2003,2003-09-14,2,29.359,ARI,,SEA,L 0-38,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
113,2003,2003-09-21,3,30.001,ARI,,GNB,W 20-13,*,,,,,,,,,,,,,,
114,2003,2003-09-28,4,30.008,ARI,@,STL,L 13-37,*,,,,,,,,,,,,,,
115,2003,2003-10-05,5,30.015,ARI,@,DAL,L 7-24,*,,,,,,,,,,,,,,
116,2003,2003-10-12,6,30.022,ARI,,BAL,L 18-26,*,,,,,,,,,,,,,,
117,2003,2003-10-26,7,30.036,ARI,,SFO,W 16-13,*,,,,,,,,,,,,,,
118,2003,2003-11-02,8,30.043,ARI,,CIN,W 17-14,*,,,,,,,,,,,,,,
119,2003,2003-11-09,9,30.050,ARI,@,PIT,L 15-28,*,,,,,,,,,,,,,,
120,2003,2003-11-16,10,30.057,ARI,@,CLE,L 6-44,*,,,,,,,,,,,,,,
121,2003,2003-11-23,11,30.064,ARI,,STL,L 27-30,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
122,2003,2003-11-30,12,30.071,ARI,@,CHI,L 3-28,*,,,,,,,,,,,,,,
123,2003,2003-12-07,13,30.078,ARI,@,SFO,L 14-50,*,,,,,,,,,,,,,,
124,2003,2003-12-14,14,30.085,ARI,,CAR,L 17-20,*,,,,,,,,,,,,,,
125,2003,2003-12-21,15,30.092,ARI,@,SEA,L 10-28,*,,,,,,,,,,,,,,
126,2003,2003-12-28,16,30.099,ARI,,MIN,W 18-17,*,,,,,,,,,,,,,,
127,2004,2004-09-12,1,30.358,ARI,@,STL,L 10-17,*,,,,,,,,,,,,,,
128,2004,2004-09-19,2,30.365,ARI,,NWE,L 12-23,,,,,,,,,,,,,,,
129,2004,2004-09-26,3,31.006,ARI,@,ATL,L 3-6,*,,,,,,,,,,,,,,
130,2004,2004-10-03,4,31.013,ARI,,NOR,W 34-10,*,,,,,,,,,,,,,,
131,2004,2004-10-10,5,31.020,ARI,@,SFO,L 28-31,*,,,,,,,,,,,,,,
132,2004,2004-10-24,6,31.034,ARI,,SEA,W 25-17,,,,,,,,,,,,,,,
133,2004,2004-10-31,7,31.041,ARI,@,BUF,L 14-38,*,,,,,,,,,,,,,,
134,2004,2004-11-07,8,31.048,ARI,@,MIA,W 24-23,,,,,,,,,,,,,,,
135,2004,2004-11-14,9,31.055,ARI,,NYG,W 17-14,*,,,,,,,,,,,,,,
136,2004,2004-11-21,10,31.062,ARI,@,CAR,L 10-35,,,,,,,,,,,,,,,
137,2004,2004-11-28,11,31.069,ARI,,NYJ,L 3-13,*,,,,,,,,,,,,,,
138,2004,2004-12-05,12,31.076,ARI,@,DET,L 12-26,*,,,,,,,,,,,,,,
139,2004,2004-12-12,13,31.083,ARI,,SFO,L 28-31,*,,,,,,,,,,,,,,
140,2004,2004-12-19,14,31.090,ARI,,STL,W 31-7,*,,,,,,,,,,,,,,
141,2004,2004-12-26,15,31.097,ARI,@,SEA,L 21-24,,,,,,,,,,,,,,,
142,2004,2005-01-02,16,31.104,ARI,,TAM,W 12-7,,,,,,,,,,,,,,,
143,2005,2005-09-11,1,31.356,NOR,@,CAR,W 23-20,,,,,,,,,,,,,,,
144,2005,2005-09-19,2,31.364,NOR,,NYG,L 10-27,,,,,,,,,,,,,,,
145,2005,2005-09-25,3,32.005,NOR,@,MIN,L 16-33,,,,,,,,,,,,,,,
146,2005,2005-10-02,4,32.012,NOR,,BUF,W 19-7,,,,,,,,,,,,,,,
147,2005,2005-10-09,5,32.019,NOR,@,GNB,L 3-52,,,,,,,,,,,,,,,
148,2005,2005-10-16,6,32.026,NOR,,ATL,L 31-34,*,,,,,,,,,,,,,,
149,2005,2005-10-23,7,32.033,NOR,@,STL,L 17-28,,,,,,,,,,,,,,,
150,2005,2005-10-30,8,32.040,NOR,,MIA,L 6-21,*,,,,,,,,,,,,,,
151,2005,2005-11-06,9,32.047,NOR,,CHI,L 17-20,*,,,,,,,,,,,,,,
152,2005,2005-11-20,10,32.061,NOR,@,NWE,L 17-24,*,,,,,,,,,,,,,,
153,2005,2005-11-27,11,32.068,NOR,@,NYJ,W 21-19,*,,,,,,,,,,,,,,
154,2005,2005-12-04,12,32.075,NOR,,TAM,L 3-10,*,,,,,,,,,,,,,,
155,2005,2005-12-12,13,32.083,NOR,@,ATL,L 17-36,*,,,,,,,,,,,,,,
156,2005,2005-12-18,14,32.089,NOR,,CAR,L 10-27,,,,,,,,,,,,,,,
157,2005,2005-12-24,15,32.095,NOR,,DET,L 12-13,*,,,,,,,,,,,,,,
158,2005,2006-01-01,16,32.103,NOR,@,TAM,L 13-27,*,,,,,,,,,,,,,,
