ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
37,1991,1991-09-29,5,24.073,NYJ,,MIA,W 41-23,0,0,,0,1.0,0,0,0
38,1991,1991-10-06,6,24.080,NYJ,@,CLE,W 17-14,,,,,,,,
39,1991,1991-10-13,7,24.087,NYJ,,HOU,L 20-23,,,,,,,,
40,1991,1991-10-20,8,24.094,NYJ,@,IND,W 17-6,,,,,,,,
41,1991,1991-11-03,9,24.108,NYJ,,GNB,W 19-16,0,0,,0,2.0,0,0,0
42,1991,1991-11-10,10,24.115,NYJ,,IND,L 27-28,,,,,,,,
43,1991,1991-11-17,11,24.122,NYJ,@,NWE,W 28-21,0,0,,0,1.0,0,0,0
44,1991,1991-11-24,12,24.129,NYJ,,SDG,W 24-3,0,0,,0,0.5,0,0,0
45,1991,1991-12-01,13,24.136,NYJ,@,BUF,L 13-24,0,0,,0,1.0,0,0,0
46,1991,1991-12-08,14,24.143,NYJ,@,DET,L 20-34,,,,,,,,
47,1991,1991-12-15,15,24.150,NYJ,,NWE,L 3-6,0,0,,0,1.0,0,0,0
48,1991,1991-12-22,16,24.157,NYJ,@,MIA,W 23-20,0,0,,0,0.5,0,0,0
49,1992,1992-09-06,1,25.050,NYJ,@,ATL,L 17-20,,,,,,,,
50,1992,1992-09-13,2,25.057,NYJ,@,PIT,L 10-27,0,0,,0,1.0,0,0,0
51,1993,1993-09-05,1,26.049,NYJ,,DEN,L 20-26,,,,,,,,
52,1993,1993-09-12,2,26.056,NYJ,@,MIA,W 24-14,,,,,,,,
53,1993,1993-09-26,3,26.070,NYJ,,NWE,W 45-7,0,0,,0,1.0,1,15,0
54,1993,1993-10-03,4,26.077,NYJ,,PHI,L 30-35,0,0,,0,1.0,0,0,0
55,1993,1993-10-10,5,26.084,NYJ,@,RAI,L 20-24,,,,,,,,
56,1993,1993-10-24,6,26.098,NYJ,,BUF,L 10-19,0,0,,0,1.0,0,0,0
57,1993,1993-10-31,7,26.105,NYJ,@,NYG,W 10-6,0,0,,0,1.0,0,0,0
58,1993,1993-11-07,8,26.112,NYJ,,MIA,W 27-10,,,,,,,,
59,1993,1993-11-14,9,26.119,NYJ,@,IND,W 31-17,,,,,,,,
60,1993,1993-11-21,10,26.126,NYJ,,CIN,W 17-12,0,0,,0,1.0,0,0,0
61,1993,1993-11-28,11,26.133,NYJ,@,NWE,W 6-0,,,,,,,,
62,1993,1993-12-05,12,26.140,NYJ,,IND,L 6-9,,,,,,,,
63,1993,1993-12-11,13,26.146,NYJ,@,WAS,W 3-0,0,0,,0,1.0,0,0,0
64,1993,1993-12-18,14,26.153,NYJ,,DAL,L 7-28,0,0,,0,1.0,0,0,0
65,1993,1993-12-26,15,26.161,NYJ,@,BUF,L 14-16,,,,,,,,
66,1993,1994-01-02,16,26.168,NYJ,@,HOU,L 0-24,0,0,,0,1.5,0,0,0
67,1994,1994-09-04,1,27.048,NYJ,@,BUF,W 23-3,0,0,,0,1.0,0,0,0
68,1994,1994-09-11,2,27.055,NYJ,,DEN,W 25-22,,,,,,,,
69,1994,1994-09-18,3,27.062,NYJ,@,MIA,L 14-28,,,,,,,,
70,1994,1994-09-25,4,27.069,NYJ,,CHI,L 7-19,0,0,,0,2.5,0,0,0
71,1994,1994-10-02,5,27.076,NYJ,@,CLE,L 7-27,,,,,,,,
72,1994,1994-10-09,6,27.083,NYJ,,IND,W 16-6,,,,,,,,
73,1994,1994-10-16,7,27.090,NYJ,,NWE,W 24-17,,,,,,,,
74,1994,1994-10-30,8,27.104,NYJ,@,IND,L 25-28,0,0,,0,1.0,0,0,0
75,1994,1994-11-06,9,27.111,NYJ,,BUF,W 22-17,0,0,,0,0.5,0,0,0
76,1994,1994-11-13,10,27.118,NYJ,@,GNB,L 10-17,,,,,,,,
77,1994,1994-11-20,11,27.125,NYJ,@,MIN,W 31-21,0,0,,0,1.0,0,0,0
78,1994,1994-11-27,12,27.132,NYJ,,MIA,L 24-28,,,,,,,,
79,1994,1994-12-04,13,27.139,NYJ,@,NWE,L 13-24,,,,,,,,
80,1994,1994-12-10,14,27.145,NYJ,,DET,L 7-18,,,,,,,,
81,1994,1994-12-18,15,27.153,NYJ,,SDG,L 6-21,0,0,,0,0.5,0,0,0
82,1994,1994-12-24,16,27.159,NYJ,@,HOU,L 10-24,,,,,,,,
83,1995,1995-09-03,1,28.047,JAX,,HOU,L 3-10,,,,,,,,
84,1995,1995-09-10,2,28.054,JAX,@,CIN,L 17-24,0,0,,0,0.5,0,0,0
85,1995,1995-09-17,3,28.061,JAX,@,NYJ,L 10-27,,,,,,,,
86,1995,1995-09-24,4,28.068,JAX,,GNB,L 14-24,0,0,,0,1.5,0,0,0
87,1995,1995-10-01,5,28.075,JAX,@,HOU,W 17-16,,,,,,,,
88,1995,1995-10-08,6,28.082,JAX,,PIT,W 20-16,,,,,,,,
89,1995,1995-10-15,7,28.089,JAX,,CHI,L 27-30,,,,,,,,
90,1995,1995-10-22,8,28.096,JAX,@,CLE,W 23-15,0,0,,0,1.0,0,0,0
91,1995,1995-10-29,9,28.103,JAX,@,PIT,L 7-24,,,,,,,,
92,1995,1995-11-12,10,28.117,JAX,,SEA,L 30-47,,,,,,,,
93,1995,1995-11-19,11,28.124,JAX,@,TAM,L 16-17,,,,,,,,
94,1996,1996-09-01,1,29.045,JAX,,PIT,W 24-9,0,0,,0,2.0,0,0,0
95,1996,1996-09-08,2,29.052,JAX,,HOU,L 27-34,,,,,,,,
96,1996,1996-09-15,3,29.059,JAX,@,OAK,L 3-17,,,,,,,,
97,1996,1996-10-20,8,29.094,JAX,@,STL,L 14-17,0,0,,0,1.0,0,0,0
98,1996,1996-10-27,9,29.101,JAX,@,CIN,L 21-28,0,0,,0,0.5,0,0,0
99,1996,1996-11-10,10,29.115,MIA,,IND,W 37-13,,,,,,,,
100,1996,1996-11-17,11,29.122,JAX,@,PIT,L 3-28,,,,,,,,
101,1996,1996-11-24,12,29.129,NWE,,IND,W 27-13,,,,,,,,
102,1996,1996-12-01,13,29.136,JAX,,CIN,W 30-27,,,,,,,,
103,1996,1996-12-08,14,29.143,JAX,@,HOU,W 23-17,,,,,,,,
104,1996,1996-12-15,15,29.150,JAX,,SEA,W 20-13,0,0,,0,1.0,0,0,0
105,1996,1996-12-22,16,29.157,JAX,,ATL,W 19-17,,,,,,,,
106,1997,1997-08-31,1,30.044,MIA,,IND,W 16-10,,,,,,,,
107,1997,1997-09-07,2,30.051,JAX,,NYG,W 40-13,,,,,,,,
108,1997,1997-09-22,3,30.066,JAX,,PIT,W 30-21,,,,,,,,
109,1997,1997-09-28,4,30.072,JAX,@,WAS,L 12-24,,,,,,,,
110,1997,1997-10-05,5,30.079,JAX,,CIN,W 21-13,,,,,,,,
111,1997,1997-10-12,6,30.086,JAX,,PHI,W 38-21,0,0,,0,1.0,0,0,0
112,1997,1997-10-19,7,30.093,JAX,@,DAL,L 22-26,,,,,,,,
113,1997,1997-10-26,8,30.100,JAX,@,PIT,L 17-23,0,0,,0,1.0,0,0,0
114,1997,1997-11-02,9,30.107,JAX,@,TEN,W 30-24,,,,,,,,
115,1997,1997-11-09,10,30.114,JAX,,KAN,W 24-10,0,0,,0,2.0,0,0,0
116,1997,1997-11-16,11,30.121,JAX,,TEN,W 17-9,,,,,,,,
117,1997,1997-11-23,12,30.128,JAX,@,CIN,L 26-31,,,,,,,,
118,1997,1997-11-30,13,30.135,NWE,,IND,W 20-17,,,,,,,,
119,1997,1997-12-07,14,30.142,JAX,,NWE,L 20-26,,,,,,,,
120,1997,1997-12-14,15,30.149,JAX,@,BUF,W 20-14,,,,,,,,
121,1997,1997-12-21,16,30.156,JAX,@,OAK,W 20-9,0,0,,0,1.0,0,0,0
122,1998,1998-09-06,1,31.050,JAX,@,CHI,W 24-23,,,,,,,,
