ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
31,1985,1985-09-22,3,24.108,DAL,,CLE,W 20-7,,,,,0,0,,0,,,,
32,1985,1985-09-29,4,24.115,DAL,@,HOU,W 17-10,0,0,,0,1,0,0.00,0,0.0,1,0,0
33,1985,1985-10-06,5,24.122,DAL,@,NYG,W 30-29,,,,,0,0,,0,,,,
34,1985,1985-10-13,6,24.129,DAL,,PIT,W 27-13,,,,,0,0,,0,,,,
35,1985,1985-10-20,7,24.136,DAL,@,PHI,L 14-16,0,0,,0,1,3,3.00,0,0.0,0,0,0
36,1985,1985-10-27,8,24.143,DAL,,ATL,W 24-10,0,0,,0,4,10,2.50,0,0.0,0,0,0
37,1985,1985-11-04,9,24.151,DAL,@,STL,L 10-21,0,0,,0,4,42,10.50,0,0.0,0,0,0
38,1985,1985-11-10,10,24.157,DAL,@,WAS,W 13-7,0,0,,0,4,35,8.75,0,0.0,0,0,0
39,1985,1985-11-17,11,24.164,DAL,,CHI,L 0-44,0,0,,0,2,24,12.00,0,1.0,1,2,0
40,1985,1985-11-24,12,24.171,DAL,,PHI,W 34-17,0,0,,0,1,7,7.00,0,0.0,1,8,0
41,1985,1985-11-28,13,24.175,DAL,,STL,W 35-17,0,0,,0,2,11,5.50,0,0.0,0,0,0
42,1985,1985-12-08,14,24.185,DAL,@,CIN,L 24-50,0,0,,0,2,14,7.00,0,0.0,0,0,0
43,1985,1985-12-15,15,24.192,DAL,,NYG,W 28-21,,,,,0,0,,0,,,,
44,1985,1985-12-22,16,24.199,DAL,@,SFO,L 16-31,,,,,0,0,,0,,,,
45,1986,1986-09-08,1,25.094,DAL,,NYG,W 31-28,,,,,,,,,,,,
46,1986,1986-09-14,2,25.100,DAL,@,DET,W 31-7,,,,,,,,,,,,
47,1986,1986-09-21,3,25.107,DAL,,ATL,L 35-37,,,,,,,,,,,,
48,1986,1986-09-29,4,25.115,DAL,@,STL,W 31-7,,,,,,,,,,,,
49,1986,1986-10-05,5,25.121,DAL,@,DEN,L 14-29,,,,,,,,,,,,
50,1986,1986-10-19,7,25.135,DAL,@,PHI,W 17-14,0,0,,0,0,0,,0,2.0,0,0,0
51,1986,1986-10-26,8,25.142,DAL,,STL,W 37-6,,,,,,,,,,,,
52,1986,1986-11-02,9,25.149,DAL,@,NYG,L 14-17,,,,,,,,,,,,
53,1986,1986-11-09,10,25.156,DAL,,RAI,L 13-17,,,,,,,,,,,,
54,1986,1986-11-16,11,25.163,DAL,@,SDG,W 24-21,,,,,,,,,,,,
55,1986,1986-11-23,12,25.170,DAL,@,WAS,L 14-41,,,,,,,,,,,,
56,1986,1986-11-27,13,25.174,DAL,,SEA,L 14-31,,,,,,,,,,,,
57,1986,1986-12-07,14,25.184,DAL,@,RAM,L 10-29,,,,,,,,,,,,
58,1986,1986-12-14,15,25.191,DAL,,PHI,L 21-23,,,,,,,,,,,,
59,1986,1986-12-21,16,25.198,DAL,,CHI,L 10-24,0,0,,0,0,0,,0,0.5,0,0,0
60,1987,1987-09-13,1,26.099,DAL,@,STL,L 13-24,0,0,,0,0,0,,0,1.0,0,0,0
61,1987,1987-09-20,2,26.106,DAL,@,NYG,W 16-14,0,0,,0,0,0,,0,0.0,2,28,0
62,1987,1987-10-25,6,26.141,DAL,@,PHI,L 20-37,,,,,,,,,,,,
63,1987,1987-11-02,7,26.149,DAL,,NYG,W 33-24,,,,,,,,,,,,
64,1987,1987-11-08,8,26.155,DAL,@,DET,L 17-27,0,0,,0,0,0,,0,0.0,1,0,0
65,1987,1987-11-15,9,26.162,DAL,@,NWE,W 23-17,,,,,,,,,,,,
66,1987,1987-11-22,10,26.169,DAL,,MIA,L 14-20,,,,,,,,,,,,
67,1987,1987-11-26,11,26.173,DAL,,MIN,L 38-44,0,0,,0,0,0,,0,1.0,0,0,0
68,1987,1987-12-06,12,26.183,DAL,,ATL,L 10-21,,,,,,,,,,,,
69,1987,1987-12-13,13,26.190,DAL,@,WAS,L 20-24,0,0,,0,0,0,,0,1.0,0,0,0
70,1987,1987-12-21,14,26.198,DAL,@,RAM,W 29-21,,,,,,,,,,,,
71,1987,1987-12-27,15,26.204,DAL,,STL,W 21-16,,,,,,,,,,,,
72,1988,1988-09-04,1,27.090,DAL,@,PIT,L 21-24,,,,,,,,,,,,
73,1988,1988-09-12,2,27.098,DAL,@,PHO,W 17-14,,,,,,,,,,,,
74,1988,1988-09-18,3,27.104,DAL,,NYG,L 10-12,0,0,,0,0,0,,0,0.0,1,0,0
75,1988,1988-09-25,4,27.111,DAL,,ATL,W 26-20,0,0,,0,0,0,,0,0.5,0,0,0
76,1988,1988-10-03,5,27.119,DAL,@,NOR,L 17-20,,,,,,,,,,,,
77,1988,1988-10-09,6,27.125,DAL,,WAS,L 17-35,,,,,,,,,,,,
78,1988,1988-10-16,7,27.132,DAL,@,CHI,L 7-17,,,,,,,,,,,,
79,1988,1988-10-23,8,27.139,DAL,@,PHI,L 23-24,,,,,,,,,,,,
80,1988,1988-10-30,9,27.146,DAL,,PHO,L 10-16,,,,,,,,,,,,
81,1988,1988-11-06,10,27.153,DAL,@,NYG,L 21-29,,,,,,,,,,,,
82,1988,1988-11-13,11,27.160,DAL,,MIN,L 3-43,,,,,,,,,,,,
83,1988,1988-11-20,12,27.167,DAL,,CIN,L 24-38,,,,,,,,,,,,
84,1988,1988-11-24,13,27.171,DAL,,HOU,L 17-25,,,,,,,,,,,,
85,1988,1988-12-04,14,27.181,DAL,@,CLE,L 21-24,,,,,,,,,,,,
86,1988,1988-12-11,15,27.188,DAL,@,WAS,W 24-17,,,,,,,,,,,,
87,1988,1988-12-18,16,27.195,DAL,,PHI,L 7-23,,,,,,,,,,,,
88,1989,1989-09-10,1,28.096,DAL,@,NOR,L 0-28,0,0,,0,,,,,,,,
89,1989,1989-09-17,2,28.103,DAL,@,ATL,L 21-27,0,0,,0,,,,,,,,
90,1989,1989-09-24,3,28.110,DAL,,WAS,L 7-30,0,0,,0,,,,,,,,
91,1989,1989-10-01,4,28.117,DAL,,NYG,L 13-30,0,0,,0,,,,,,,,
92,1989,1989-10-08,5,28.124,DAL,@,GNB,L 13-31,0,0,,0,,,,,,,,
93,1989,1989-10-15,6,28.131,DAL,,SFO,L 14-31,0,0,,0,,,,,,,,
94,1989,1989-10-22,7,28.138,DAL,@,KAN,L 28-36,0,0,,0,,,,,,,,
95,1989,1989-10-29,8,28.145,DAL,,PHO,L 10-19,0,0,,0,,,,,,,,
96,1989,1989-11-05,9,28.152,DAL,@,WAS,W 13-3,0,0,,0,0,0,,0,0.0,1,18,0
97,1989,1989-11-12,10,28.159,DAL,@,PHO,L 20-24,0,0,,0,,,,,,,,
98,1989,1989-11-19,11,28.166,DAL,,MIA,L 14-17,0,0,,0,,,,,,,,
99,1989,1989-11-23,12,28.170,DAL,,PHI,L 0-27,0,0,,0,,,,,,,,
100,1989,1989-12-03,13,28.180,DAL,,RAM,L 31-35,0,0,,0,,,,,,,,
101,1989,1989-12-10,14,28.187,DAL,@,PHI,L 10-20,0,0,,0,,,,,,,,
102,1989,1989-12-16,15,28.193,DAL,@,NYG,L 0-15,1,0,0.00,0,0,0,,0,0.0,0,0,0
103,1989,1989-12-24,16,28.201,DAL,,GNB,L 10-20,0,0,,0,,,,,,,,
104,1990,1990-09-09,1,29.095,DAL,,SDG,W 17-14,0,0,,0,,,,,,,,
105,1990,1990-09-16,2,29.102,DAL,,NYG,L 7-28,1,4,4.00,0,0,0,,0,0.0,0,0,0
106,1990,1990-09-23,3,29.109,DAL,@,WAS,L 15-19,0,0,,0,,,,,,,,
107,1990,1990-09-30,4,29.116,DAL,@,NYG,L 17-31,0,0,,0,,,,,,,,
108,1990,1990-10-07,5,29.123,DAL,,TAM,W 14-10,0,0,,0,,,,,,,,
109,1990,1990-10-14,6,29.130,DAL,@,PHO,L 3-20,0,0,,0,,,,,,,,
110,1990,1990-10-21,7,29.137,DAL,@,TAM,W 17-13,0,0,,0,0,0,,0,0.0,1,4,0
111,1990,1990-10-28,8,29.144,DAL,,PHI,L 20-21,0,0,,0,,,,,,,,
112,1990,1990-11-04,9,29.151,DAL,@,NYJ,L 9-24,0,0,,0,,,,,,,,
113,1990,1990-11-11,10,29.158,DAL,,SFO,L 6-24,0,0,,0,,,,,,,,
114,1990,1990-11-18,11,29.165,DAL,@,RAM,W 24-21,0,0,,0,,,,,,,,
115,1990,1990-11-22,12,29.169,DAL,,WAS,W 27-17,0,0,,0,,,,,,,,
116,1990,1990-12-02,13,29.179,DAL,,NOR,W 17-13,0,0,,0,,,,,,,,
117,1990,1990-12-16,14,29.193,DAL,,PHO,W 41-10,0,0,,0,,,,,,,,
118,1990,1990-12-23,15,29.200,DAL,@,PHI,L 3-17,0,0,,0,,,,,,,,
119,1990,1990-12-30,16,29.207,DAL,@,ATL,L 7-26,0,0,,0,,,,,,,,
120,1991,1991-09-01,1,30.087,DAL,@,CLE,W 26-14,,,,,,,,,,,,
121,1991,1991-09-09,2,30.095,DAL,,WAS,L 31-33,,,,,,,,,,,,
122,1991,1991-09-15,3,30.101,DAL,,PHI,L 0-24,,,,,,,,,,,,
123,1991,1991-09-22,4,30.108,DAL,@,PHO,W 17-9,,,,,,,,,,,,
124,1991,1991-09-29,5,30.115,DAL,,NYG,W 21-16,,,,,,,,,,,,
125,1991,1991-10-06,6,30.122,DAL,@,GNB,W 20-17,,,,,,,,,,,,
126,1991,1991-10-13,7,30.129,DAL,,CIN,W 35-23,,,,,,,,,,,,
127,1991,1991-10-27,8,30.143,DAL,@,DET,L 10-34,,,,,,,,,,,,
128,1991,1991-11-03,9,30.150,DAL,,PHO,W 27-7,,,,,,,,,,,,
129,1991,1991-11-10,10,30.157,DAL,@,HOU,L 23-26,,,,,,,,,,,,
130,1991,1991-11-17,11,30.164,DAL,@,NYG,L 9-22,,,,,,,,,,,,
131,1991,1991-11-24,12,30.171,DAL,@,WAS,W 24-21,,,,,,,,,,,,
132,1991,1991-11-28,13,30.175,DAL,,PIT,W 20-10,,,,,,,,,,,,
133,1991,1991-12-08,14,30.185,DAL,,NOR,W 23-14,,,,,,,,,,,,
134,1991,1991-12-15,15,30.192,DAL,@,PHI,W 25-13,,,,,,,,,,,,
135,1991,1991-12-22,16,30.199,DAL,,ATL,W 31-27,,,,,,,,,,,,
136,1992,1992-09-07,1,31.093,DAL,,WAS,W 23-10,,,,,,,,,,,,
137,1992,1992-09-13,2,31.099,DAL,@,NYG,W 34-28,,,,,,,,,,,,
138,1992,1992-09-20,3,31.106,DAL,,PHO,W 31-20,,,,,,,,,,,,
139,1992,1992-10-05,4,31.121,DAL,@,PHI,L 7-31,,,,,,,,,,,,
140,1992,1992-10-11,5,31.127,DAL,,SEA,W 27-0,,,,,,,,,,,,
141,1993,1993-09-06,1,32.092,DAL,@,WAS,L 16-35,,,,,,,,,,,,
142,1993,1993-09-12,2,32.098,DAL,,BUF,L 10-13,,,,,,,,,,,,
143,1993,1993-09-19,3,32.105,DAL,@,PHO,W 17-10,,,,,,,,,,,,
144,1993,1993-10-03,4,32.119,DAL,,GNB,W 36-14,,,,,,,,,,,,
145,1993,1993-10-10,5,32.126,DAL,@,IND,W 27-3,,,,,,,,,,,,
146,1993,1993-10-17,6,32.133,DAL,,SFO,W 26-17,,,,,,,,,,,,
147,1993,1993-10-31,7,32.147,DAL,@,PHI,W 23-10,,,,,,,,,,,,
148,1993,1993-11-07,8,32.154,DAL,,NYG,W 31-9,,,,,,,,,,,,
149,1993,1993-11-14,9,32.161,DAL,,PHO,W 20-15,,,,,,,,,,,,
150,1993,1993-11-21,10,32.168,DAL,@,ATL,L 14-27,,,,,,,,,,,,
151,1993,1993-11-25,11,32.172,DAL,,MIA,L 14-16,0,0,,0,0,0,,0,0.0,1,3,0
152,1993,1993-12-06,12,32.183,DAL,,PHI,W 23-17,0,0,,0,0,0,,0,0.0,1,22,0
153,1993,1993-12-12,13,32.189,DAL,@,MIN,W 37-20,,,,,,,,,,,,
154,1993,1993-12-18,14,32.195,DAL,@,NYJ,W 28-7,,,,,,,,,,,,
155,1993,1993-12-26,15,32.203,DAL,,WAS,W 38-3,,,,,,,,,,,,
156,1993,1994-01-02,16,32.210,DAL,@,NYG,W 16-13,,,,,,,,,,,,
157,1994,1994-09-04,1,33.090,DAL,@,PIT,W 26-9,0,0,,0,0,0,,0,1.0,0,0,0
158,1994,1994-09-11,2,33.097,DAL,,HOU,W 20-17,,,,,,,,,,,,
159,1994,1994-09-19,3,33.105,DAL,,DET,L 17-20,,,,,,,,,,,,
160,1994,1994-10-02,4,33.118,DAL,@,WAS,W 34-7,,,,,,,,,,,,
161,1994,1994-10-09,5,33.125,DAL,,ARI,W 38-3,,,,,,,,,,,,
162,1994,1994-10-16,6,33.132,DAL,,PHI,W 24-13,,,,,,,,,,,,
163,1994,1994-10-23,7,33.139,DAL,@,ARI,W 28-21,,,,,,,,,,,,
164,1994,1994-10-30,8,33.146,DAL,@,CIN,W 23-20,,,,,,,,,,,,
165,1994,1994-11-07,9,33.154,DAL,,NYG,W 38-10,,,,,,,,,,,,
166,1994,1994-11-13,10,33.160,DAL,@,SFO,L 14-21,,,,,,,,,,,,
167,1994,1994-11-20,11,33.167,DAL,,WAS,W 31-7,,,,,,,,,,,,
168,1994,1994-11-24,12,33.171,DAL,,GNB,W 42-31,,,,,,,,,,,,
169,1994,1994-12-04,13,33.181,DAL,@,PHI,W 31-19,,,,,,,,,,,,
170,1994,1994-12-19,15,33.196,DAL,@,NOR,W 24-16,,,,,,,,,,,,
171,1994,1994-12-24,16,33.201,DAL,@,NYG,L 10-15,,,,,,,,,,,,
172,1995,1995-09-04,1,34.090,DAL,@,NYG,W 35-0,,,,,,,,,,,,
173,1995,1995-09-10,2,34.096,DAL,,DEN,W 31-21,,,,,,,,,,,,
174,1995,1995-09-17,3,34.103,DAL,@,MIN,W 23-17,,,,,,,,,,,,
175,1995,1995-09-24,4,34.110,DAL,,ARI,W 34-20,,,,,,,,,,,,
176,1995,1995-10-01,5,34.117,DAL,@,WAS,L 23-27,,,,,,,,,,,,
177,1995,1995-10-08,6,34.124,DAL,,GNB,W 34-24,,,,,,,,,,,,
178,1995,1995-10-15,7,34.131,DAL,@,SDG,W 23-9,,,,,,,,,,,,
179,1995,1995-10-29,8,34.145,DAL,@,ATL,W 28-13,,,,,,,,,,,,
180,1995,1995-11-06,9,34.153,DAL,,PHI,W 34-12,,,,,,,,,,,,
181,1995,1995-11-12,10,34.159,DAL,,SFO,L 20-38,,,,,,,,,,,,
182,1995,1995-11-19,11,34.166,DAL,@,OAK,W 34-21,,,,,,,,,,,,
183,1995,1995-11-23,12,34.170,DAL,,KAN,W 24-12,,,,,,,,,,,,
184,1995,1995-12-03,13,34.180,DAL,,WAS,L 17-24,,,,,,,,,,,,
185,1995,1995-12-10,14,34.187,DAL,@,PHI,L 17-20,,,,,,,,,,,,
186,1995,1995-12-17,15,34.194,DAL,,NYG,W 21-20,,,,,,,,,,,,
187,1995,1995-12-25,16,34.202,DAL,@,ARI,W 37-13,,,,,,,,,,,,
188,1996,1996-09-02,1,35.088,DAL,@,CHI,L 6-22,,,,,,,,,,,,
189,1996,1996-09-08,2,35.094,DAL,,NYG,W 27-0,,,,,,,,,,,,
190,1996,1996-09-15,3,35.101,DAL,,IND,L 24-25,,,,,,,,,,,,
191,1996,1996-09-22,4,35.108,DAL,@,BUF,L 7-10,,,,,,,,,,,,
192,1996,1996-09-30,5,35.116,DAL,@,PHI,W 23-19,,,,,,,,,,,,
193,1996,1996-10-13,6,35.129,DAL,,ARI,W 17-3,,,,,,,,,,,,
194,1996,1996-10-20,7,35.136,DAL,,ATL,W 32-28,,,,,,,,,,,,
195,1996,1996-10-27,8,35.143,DAL,@,MIA,W 29-10,,,,,,,,,,,,
196,1996,1996-11-03,9,35.150,DAL,,PHI,L 21-31,,,,,,,,,,,,
197,1996,1996-11-10,10,35.157,DAL,@,SFO,W 20-17,,,,,,,,,,,,
198,1996,1996-11-18,11,35.165,DAL,,GNB,W 21-6,,,,,,,,,,,,
199,1996,1996-11-24,12,35.171,DAL,@,NYG,L 6-20,,,,,,,,,,,,
200,1996,1996-11-28,13,35.175,DAL,,WAS,W 21-10,,,,,,,,,,,,
201,1996,1996-12-08,14,35.185,DAL,@,ARI,W 10-6,,,,,,,,,,,,
202,1997,1997-08-31,1,36.086,DAL,@,PIT,W 37-7,,,,,,,,,,,,
203,1997,1997-09-07,2,36.093,DAL,@,ARI,L 22-25,,,,,,,,,,,,
204,1997,1997-09-15,3,36.101,DAL,,PHI,W 21-20,,,,,,,,,,,,
205,1997,1997-09-28,4,36.114,DAL,,CHI,W 27-3,,,,,,,,,,,,
206,1997,1997-10-05,5,36.121,DAL,@,NYG,L 17-20,,,,,,,,,,,,
207,1997,1997-10-13,6,36.129,DAL,@,WAS,L 16-21,,,,,,,,,,,,
208,1997,1997-10-19,7,36.135,DAL,,JAX,W 26-22,,,,,,,,,,,,
209,1997,1997-10-26,8,36.142,DAL,@,PHI,L 12-13,,,,,,,,,,,,
210,1997,1997-11-02,9,36.149,DAL,@,SFO,L 10-17,,,,,,,,,,,,
211,1997,1997-11-09,10,36.156,DAL,,ARI,W 24-6,0,0,,0,0,0,,0,1.0,0,0,0
212,1997,1997-11-16,11,36.163,DAL,,WAS,W 17-14,,,,,,,,,,,,
213,1997,1997-11-23,12,36.170,DAL,@,GNB,L 17-45,,,,,,,,,,,,
214,1997,1997-11-27,13,36.174,DAL,,TEN,L 14-27,,,,,,,,,,,,
215,1997,1997-12-08,14,36.185,DAL,,CAR,L 13-23,,,,,,,,,,,,
216,1997,1997-12-14,15,36.191,DAL,@,CIN,L 24-31,,,,,,,,,,,,
217,1997,1997-12-21,16,36.198,DAL,,NYG,L 7-20,,,,,,,,,,,,
