ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
115,1991,1991-11-04,9,29.259,NYG,@,PHI,L 7-30,,,,,,,,
116,1991,1991-11-10,10,29.265,NYG,@,PHO,W 21-14,,,,,,,,
117,1991,1991-11-17,11,29.272,NYG,,DAL,W 22-9,,,,,,,,
118,1991,1991-11-24,12,29.279,NYG,@,TAM,W 21-14,,,,,,,,
119,1991,1991-12-01,13,29.286,NYG,@,CIN,L 24-27,,,,,,,,
120,1991,1991-12-08,14,29.293,NYG,,PHI,L 14-19,,,,,,,,
121,1991,1991-12-15,15,29.300,NYG,@,WAS,L 17-34,,,,,,,,
122,1991,1991-12-21,16,29.306,NYG,,HOU,W 24-20,,,,,,,,
123,1992,1992-09-20,3,30.215,CIN,@,GNB,L 23-24,,,,,,,,
124,1992,1992-09-27,4,30.222,CIN,,MIN,L 7-42,,,,,,,,
125,1992,1992-10-19,6,30.244,CIN,@,PIT,L 0-20,,,,,,,,
126,1992,1992-10-25,7,30.250,CIN,@,HOU,L 10-26,,,,,,,,
127,1992,1992-11-01,8,30.257,CIN,,CLE,W 30-10,,,,,,,,
128,1992,1992-11-08,9,30.264,CIN,@,CHI,W 31-28,,,,,,,,
129,1992,1992-11-15,10,30.271,CIN,@,NYJ,L 14-17,,,,,,,,
130,1992,1992-11-22,11,30.278,CIN,,DET,L 13-19,,,,,,,,
131,1992,1992-11-29,12,30.285,CIN,,PIT,L 9-21,,,,,,,,
132,1992,1992-12-06,13,30.292,CIN,@,CLE,L 21-37,,,,,,,,
133,1992,1992-12-20,15,30.306,CIN,,NWE,W 20-10,,,,,,,,
134,1992,1992-12-27,16,30.313,CIN,,IND,L 17-21,,,,,,,,
