ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
44,1981,1981-10-04,5,26.211,MIN,,CHI,W 24-21,*,20,38,52.63,223,2,1,77.0,1,12,5.87,5.74,0,0,,0,0,0,,0,0,0
45,1981,1981-10-11,6,26.218,MIN,@,SDG,W 33-31,*,27,43,62.79,444,4,2,109.1,1,11,10.33,10.09,3,-1,-0.33,0,0,0,,0,0,0
46,1981,1981-10-18,7,26.225,MIN,,PHI,W 35-23,*,24,46,52.17,257,4,0,97.8,2,17,5.59,7.33,0,0,,0,0,0,,0,0,0
47,1981,1981-10-25,8,26.232,MIN,@,STL,L 17-30,*,25,55,45.45,343,2,2,62.9,3,25,6.24,5.33,1,7,7.00,0,0,0,,0,0,0
48,1981,1981-11-02,9,26.240,MIN,@,DEN,L 17-19,*,22,36,61.11,230,0,1,68.1,1,7,6.39,5.14,1,1,1.00,0,0,0,,0,0,0
49,1981,1981-11-08,10,26.246,MIN,,TAM,W 25-10,*,24,41,58.54,228,1,2,61.8,1,7,5.56,3.85,0,0,,0,0,0,,0,0,0
50,1981,1981-11-15,11,26.253,MIN,,NOR,W 20-10,*,19,40,47.50,287,1,0,79.9,0,0,7.18,7.68,0,0,,0,0,0,,0,0,0
51,1981,1981-11-23,12,26.261,MIN,@,ATL,L 30-31,*,24,47,51.06,330,4,4,66.8,0,0,7.02,4.89,1,0,0.00,0,0,0,,0,0,0
52,1981,1981-11-29,13,26.267,MIN,,GNB,L 23-35,*,38,55,69.09,384,2,5,63.0,1,8,6.98,3.62,0,0,,0,0,0,,0,0,0
53,1981,1981-12-06,14,26.274,MIN,@,CHI,L 9-10,*,21,36,58.33,268,1,2,67.8,2,14,7.44,5.50,2,-1,-0.50,0,0,0,,0,0,0
54,1981,1981-12-12,15,26.280,MIN,@,DET,L 7-45,*,17,42,40.48,155,1,2,39.3,3,11,3.69,2.02,0,0,,0,0,0,,0,0,0
55,1981,1981-12-20,16,26.288,MIN,,KAN,L 6-10,*,17,38,44.74,177,0,1,47.8,2,16,4.66,3.47,2,7,3.50,0,0,0,,0,0,0
56,1982,1982-09-12,1,27.189,MIN,,TAM,W 17-10,*,16,28,57.14,131,1,0,81.1,3,16,4.68,5.39,6,4,0.67,0,0,0,,0,0,0
57,1982,1982-09-16,2,27.193,MIN,@,BUF,L 22-23,*,20,46,43.48,265,2,1,67.8,1,7,5.76,5.65,1,8,8.00,0,0,0,,0,0,0
58,1982,1982-11-21,3,27.259,MIN,@,GNB,L 7-26,*,9,17,52.94,111,0,0,73.4,1,6,6.53,6.53,1,4,4.00,1,0,0,,0,1,6
59,1982,1982-11-28,4,27.266,MIN,,CHI,W 35-7,*,26,35,74.29,342,5,2,120.5,3,21,9.77,10.06,2,2,1.00,0,0,0,,0,0,0
60,1982,1982-12-05,5,27.273,MIN,@,MIA,L 14-22,*,16,28,57.14,127,0,3,29.0,5,38,4.54,-0.29,1,18,18.00,1,0,0,,0,1,6
61,1982,1982-12-12,6,27.280,MIN,,BAL,W 13-10,*,19,35,54.29,258,1,1,75.7,0,0,7.37,6.66,2,-2,-1.00,0,0,0,,0,0,0
62,1982,1982-12-19,7,27.287,MIN,@,DET,W 34-31,*,20,29,68.97,233,3,0,127.5,4,17,8.03,10.10,2,3,1.50,0,0,0,,0,0,0
63,1982,1982-12-26,8,27.294,MIN,,NYJ,L 14-42,*,32,56,57.14,328,1,3,57.7,1,5,5.86,3.80,4,24,6.00,1,0,0,,0,1,6
64,1982,1983-01-03,9,27.302,MIN,,DAL,W 31-27,*,18,34,52.94,242,2,2,71.0,3,20,7.12,5.65,2,16,8.00,0,0,0,,0,0,0
65,1983,1983-09-04,1,28.181,MIN,@,CLE,W 27-21,*,22,33,66.67,198,1,1,80.1,0,0,6.00,5.24,6,-5,-0.83,0,0,0,,0,0,0
66,1983,1983-09-08,2,28.185,MIN,,SFO,L 17-48,*,25,41,60.98,274,1,3,58.4,3,27,6.68,3.88,1,0,0.00,0,0,0,,0,0,0
67,1983,1983-09-18,3,28.195,MIN,@,TAM,W 19-16,*,8,8,100.00,78,1,0,146.9,0,0,9.75,12.25,1,8,8.00,0,0,0,,0,0,0
68,1984,1984-09-02,1,29.179,MIN,,SDG,L 13-42,*,11,30,36.67,104,0,3,7.5,4,13,3.47,-1.03,0,0,,0,0,0,,0,0,0
69,1984,1984-09-09,2,29.186,MIN,@,PHI,L 17-19,*,11,20,55.00,101,0,1,48.1,2,8,5.05,2.80,0,0,,0,1,20,20.00,1,1,6
70,1984,1984-09-16,3,29.193,MIN,,ATL,W 27-20,*,15,30,50.00,203,2,0,94.2,2,12,6.77,8.10,4,-6,-1.50,0,0,0,,0,0,0
71,1984,1984-09-23,4,29.200,MIN,@,DET,W 29-28,*,15,25,60.00,225,1,0,102.9,2,10,9.00,9.80,4,16,4.00,0,0,0,,0,0,0
72,1984,1984-09-30,5,29.207,MIN,,SEA,L 12-20,*,16,31,51.61,227,0,1,62.2,5,31,7.32,5.87,1,0,0.00,0,0,0,,0,0,0
73,1984,1984-10-07,6,29.214,MIN,@,TAM,L 31-35,*,27,47,57.45,386,2,2,80.6,2,12,8.21,7.15,2,-2,-1.00,0,0,0,,0,0,0
74,1984,1984-10-14,7,29.221,MIN,@,RAI,L 20-23,*,11,19,57.89,168,2,0,122.3,5,46,8.84,10.95,2,0,0.00,0,0,0,,0,0,0
75,1984,1984-10-21,8,29.228,MIN,,DET,L 14-16,*,7,15,46.67,142,1,1,74.9,1,10,9.47,7.80,1,1,1.00,0,0,0,,0,0,0
76,1984,1984-11-18,12,29.256,MIN,@,DEN,L 21-42,*,11,19,57.89,122,1,2,55.0,1,3,6.42,2.74,1,0,0.00,0,0,0,,0,0,0
77,1985,1985-09-08,1,30.185,MIN,,SFO,W 28-21,*,12,25,48.00,191,1,0,87.2,1,9,7.64,8.44,4,3,0.75,0,0,0,,0,0,0
