ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,def_int,def_int_yds,def_int_td
93,1978,1978-11-05,10,28.156,MIN,,DET,W 17-7,,,,,,,
94,1978,1978-11-12,11,28.163,MIN,,CHI,W 17-14,,,,,,,
95,1978,1978-11-19,12,28.170,MIN,,SDG,L 7-13,,,,,,,
96,1978,1978-11-26,13,28.177,MIN,@,GNB,T 10-10,,,,,,,
97,1978,1978-12-03,14,28.184,MIN,,PHI,W 28-27,,,,,,,
98,1978,1978-12-09,15,28.190,MIN,@,DET,L 14-45,,,,,,,
99,1978,1978-12-17,16,28.198,MIN,@,OAK,L 20-27,,,,,,,
100,1979,1979-09-02,1,29.092,MIN,,SFO,W 28-22,,,,,,,
101,1979,1979-09-09,2,29.099,MIN,@,CHI,L 7-26,,,,,,,
102,1979,1979-09-16,3,29.106,MIN,,MIA,L 12-27,,,,,,,
103,1979,1979-09-23,4,29.113,MIN,,GNB,W 27-21,,,,,,,
104,1979,1979-09-30,5,29.120,MIN,@,DET,W 13-10,,,,,,,
105,1979,1979-10-07,6,29.127,MIN,,DAL,L 20-36,,,,,,,
106,1979,1979-10-15,7,29.135,MIN,@,NYJ,L 7-14,,,,,,,
107,1979,1979-10-21,8,29.141,MIN,,CHI,W 30-27,,,,,,,
108,1979,1979-10-28,9,29.148,MIN,,TAM,L 10-12,,,,,,,
109,1979,1979-11-04,10,29.155,MIN,@,STL,L 7-37,,,,,,,
110,1979,1979-11-11,11,29.162,MIN,@,GNB,L 7-19,,,,,,,
111,1979,1979-11-18,12,29.169,MIN,,DET,W 14-7,,,,,,,
112,1979,1979-11-25,13,29.176,MIN,@,TAM,W 23-22,,,,,,,
113,1979,1979-12-02,14,29.183,MIN,@,RAM,L 21-27,,,,,,,
114,1979,1979-12-09,15,29.190,MIN,,BUF,W 10-3,,,,,,,
115,1979,1979-12-16,16,29.197,MIN,@,NWE,L 23-27,,,,,,,
116,1980,1980-09-07,1,30.097,MIN,,ATL,W 24-23,,,,,,,
117,1980,1980-09-14,2,30.104,MIN,,PHI,L 7-42,,,,,,,
118,1980,1980-09-21,3,30.111,MIN,@,CHI,W 34-14,,,,,,,
119,1980,1980-09-28,4,30.118,MIN,@,DET,L 7-27,,,,,,,
120,1980,1980-10-05,5,30.125,MIN,,PIT,L 17-23,,,,,,,
121,1980,1980-10-12,6,30.132,MIN,,CHI,W 13-7,,,,,,,
122,1980,1980-10-19,7,30.139,MIN,@,CIN,L 0-14,,,,,,,
123,1980,1980-10-26,8,30.146,MIN,@,GNB,L 3-16,,,,,,,
124,1980,1980-11-02,9,30.153,MIN,@,WAS,W 39-14,,,,,,,
125,1980,1980-11-09,10,30.160,MIN,,DET,W 34-0,,,,,,,
126,1980,1980-11-16,11,30.167,MIN,,TAM,W 38-30,,,,,,,
127,1980,1980-11-23,12,30.174,MIN,,GNB,L 13-25,,,,,,,
128,1980,1980-11-30,13,30.181,MIN,@,NOR,W 23-20,,,,,,,
129,1980,1980-12-07,14,30.188,MIN,@,TAM,W 21-10,,,,,,,
130,1980,1980-12-14,15,30.195,MIN,,CLE,W 28-23,,,,,,,
131,1980,1980-12-21,16,30.202,MIN,@,HOU,L 16-20,,,,,,,
132,1981,1981-09-05,1,31.095,MIN,@,TAM,L 13-21,,,,,,,
133,1981,1981-09-14,2,31.104,MIN,,OAK,L 10-36,0,0,,0,,,
134,1981,1981-09-20,3,31.110,MIN,,DET,W 26-24,0,0,,0,,,
135,1981,1981-09-27,4,31.117,MIN,@,GNB,W 30-13,0,0,,0,,,
136,1981,1981-10-04,5,31.124,MIN,,CHI,W 24-21,0,0,,0,,,
137,1981,1981-10-11,6,31.131,MIN,@,SDG,W 33-31,0,0,,0,,,
138,1981,1981-10-18,7,31.138,MIN,,PHI,W 35-23,0,0,,0,,,
139,1981,1981-10-25,8,31.145,MIN,@,STL,L 17-30,1,0,0.00,0,0,0,0
140,1981,1981-11-02,9,31.153,MIN,@,DEN,L 17-19,0,0,,0,,,
141,1981,1981-11-08,10,31.159,MIN,,TAM,W 25-10,0,0,,0,,,
142,1981,1981-11-15,11,31.166,MIN,,NOR,W 20-10,0,0,,0,,,
143,1981,1981-11-23,12,31.174,MIN,@,ATL,L 30-31,0,0,,0,,,
144,1981,1981-11-29,13,31.180,MIN,,GNB,L 23-35,0,0,,0,,,
145,1981,1981-12-06,14,31.187,MIN,@,CHI,L 9-10,0,0,,0,,,
146,1981,1981-12-12,15,31.193,MIN,@,DET,L 7-45,0,0,,0,,,
147,1981,1981-12-20,16,31.201,MIN,,KAN,L 6-10,0,0,,0,,,
148,1982,1982-09-12,1,32.102,MIN,,TAM,W 17-10,,,,,,,
149,1982,1982-09-16,2,32.106,MIN,@,BUF,L 22-23,,,,,,,
150,1982,1982-11-21,3,32.172,MIN,@,GNB,L 7-26,,,,,,,
151,1982,1982-11-28,4,32.179,MIN,,CHI,W 35-7,,,,,,,
152,1982,1982-12-05,5,32.186,MIN,@,MIA,L 14-22,,,,,,,
153,1982,1982-12-12,6,32.193,MIN,,BAL,W 13-10,,,,,,,
154,1982,1982-12-19,7,32.200,MIN,@,DET,W 34-31,,,,,,,
155,1982,1982-12-26,8,32.207,MIN,,NYJ,L 14-42,,,,,,,
156,1982,1983-01-03,9,32.215,MIN,,DAL,W 31-27,,,,,,,
