ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
31,1999,1999-09-19,2,25.234,SEA,@,CHI,W 14-13,*,11,7,137,19.57,1,63.6%,12.45,0,0,,0,1,6
32,1999,1999-09-26,3,25.241,SEA,@,PIT,W 29-10,*,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0
33,1999,1999-10-03,4,25.248,SEA,,OAK,W 22-21,*,4,2,36,18.00,1,50.0%,9.00,0,0,,0,1,6
34,1999,1999-10-17,5,25.262,SEA,@,SDG,L 10-13,*,8,4,32,8.00,0,50.0%,4.00,0,0,,0,0,0
35,1999,1999-10-24,6,25.269,SEA,,BUF,W 26-16,*,7,6,105,17.50,2,85.7%,15.00,0,0,,0,2,12
36,1999,1999-11-01,7,25.277,SEA,@,GNB,W 27-7,*,7,4,36,9.00,1,57.1%,5.14,0,0,,0,1,6
37,1999,1999-11-07,8,25.283,SEA,,CIN,W 37-20,*,5,5,61,12.20,1,100.0%,12.20,0,0,,0,1,6
38,1999,1999-11-14,9,25.290,SEA,,DEN,W 20-17,*,8,4,39,9.75,1,50.0%,4.88,0,0,,0,1,6
39,1999,1999-11-21,10,25.297,SEA,@,KAN,W 31-19,*,3,,,,,0.0%,,,,,,,
40,1999,1999-11-28,11,25.304,SEA,,TAM,L 3-16,*,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0
41,1999,1999-12-05,12,25.311,SEA,@,OAK,L 21-30,*,6,5,56,11.20,0,83.3%,9.33,0,0,,0,0,0
42,1999,1999-12-12,13,25.318,SEA,,SDG,L 16-19,*,9,5,58,11.60,1,55.6%,6.44,0,0,,0,1,6
43,1999,1999-12-19,14,25.325,SEA,@,DEN,L 30-36,*,7,4,70,17.50,1,57.1%,10.00,0,0,,0,1,6
44,1999,1999-12-26,15,25.332,SEA,,KAN,W 23-14,*,2,2,18,9.00,1,100.0%,9.00,0,0,,0,1,6
45,1999,2000-01-02,16,25.339,SEA,@,NYJ,L 9-19,*,8,5,64,12.80,0,62.5%,8.00,0,0,,0,0,0
46,2000,2000-09-03,1,26.219,SEA,@,MIA,L 0-23,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0
47,2000,2000-09-10,2,26.226,SEA,,STL,L 34-37,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0
48,2000,2000-10-02,5,26.248,SEA,@,KAN,L 17-24,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0
49,2000,2000-10-08,6,26.254,SEA,@,CAR,L 3-26,,,,,,,0.0%,,,,,,,
50,2000,2000-10-22,8,26.268,SEA,@,OAK,L 3-31,,,,,,,0.0%,,,,,,,
51,2000,2000-10-29,9,26.275,SEA,,KAN,L 19-24,,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0
52,2000,2000-11-05,10,26.282,SEA,,SDG,W 17-15,,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0
53,2000,2000-11-12,11,26.289,SEA,@,JAX,W 28-21,,9,4,39,9.75,1,44.4%,4.33,0,0,,0,1,6
54,2000,2000-11-26,12,26.303,SEA,,DEN,L 31-38,,8,2,49,24.50,0,25.0%,6.13,0,0,,0,0,0
55,2000,2000-12-03,13,26.310,SEA,@,ATL,W 30-10,,6,5,36,7.20,0,83.3%,6.00,0,0,,0,0,0
56,2000,2000-12-10,14,26.317,SEA,@,DEN,L 24-31,,7,5,27,5.40,0,71.4%,3.86,0,0,,0,0,0
57,2000,2000-12-16,15,26.323,SEA,,OAK,W 27-24,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0
58,2000,2000-12-23,16,26.330,SEA,,BUF,L 23-42,,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0
