ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
35,2001,2001-09-30,3,26.250,CLE,@,JAX,W 23-14,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
36,2001,2001-10-07,4,26.257,CLE,,SDG,W 20-16,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0.0,,,0,0,,0
37,2001,2001-10-14,5,26.264,CLE,@,CIN,L 14-24,,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,,,,
38,2001,2001-10-21,6,26.271,CLE,,BAL,W 24-14,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
39,2001,2001-11-04,7,26.285,CLE,@,CHI,L 21-27,,0,0,,0,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,,,,
40,2001,2001-11-11,8,26.292,CLE,,PIT,L 12-15,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
41,2001,2001-11-18,9,26.299,CLE,@,BAL,W 27-17,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,,,0,0,,0
42,2001,2001-11-25,10,26.306,CLE,,CIN,W 18-0,,0,0,,0,0,0,,0,0,0,,,,,,,1,0.0,4,4,100.0,0,12,0.0,,,0,0,,0
43,2001,2001-12-02,11,26.313,CLE,,TEN,L 15-31,,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,,,,
44,2001,2001-12-09,12,26.320,CLE,@,NWE,L 16-27,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0.0,,,0,0,,0
45,2001,2001-12-16,13,26.327,CLE,,JAX,L 10-15,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
46,2001,2001-12-23,14,26.334,CLE,@,GNB,L 7-30,,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,,,,
47,2001,2001-12-30,15,26.341,CLE,@,TEN,W 41-38,,0,0,,0,0,0,,0,0,0,,,,,,5,5,100.0,2,2,100.0,0,11,0.0,,,0,0,,0
48,2001,2002-01-06,16,26.348,CLE,@,PIT,L 7-28,,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,,,,
49,2002,2002-09-08,1,27.228,CLE,,KAN,L 39-40,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,4,4,100.0,0,15,0.0,,,0,0,,0
50,2002,2002-09-15,2,27.235,CLE,,CIN,W 20-7,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
51,2002,2002-09-22,3,27.242,CLE,@,TEN,W 31-28,,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,1,2,50.0,0,7,0.0,,,0,0,,0
52,2002,2002-09-29,4,27.249,CLE,@,PIT,L 13-16,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,2,3,66.7,0,7,0.0,,,0,0,,0
53,2002,2002-10-06,5,27.256,CLE,,BAL,L 21-26,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,,,0,1,0.0,,,1,16,16.00,0
54,2002,2002-10-13,6,27.263,CLE,@,TAM,L 3-17,,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,0,0,,0
55,2002,2002-10-20,7,27.270,CLE,,HOU,W 34-17,,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,,,0,0,,0
56,2002,2002-10-27,8,27.277,CLE,@,NYJ,W 24-21,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0.0,,,0,0,,0
57,2002,2002-11-03,9,27.284,CLE,,PIT,L 20-23,,0,0,,0,0,0,,0,0,,,,,,,2,3,66.7,,,,0,2,,,,,,,
58,2002,2002-11-17,10,27.298,CLE,@,CIN,W 27-20,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0.0,,,0,0,,0
59,2002,2002-11-24,11,27.305,CLE,@,NOR,W 24-15,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
60,2002,2002-12-01,12,27.312,CLE,,CAR,L 6-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,2,3,66.7,0,6,0.0,,,0,0,,0
61,2002,2002-12-08,13,27.319,CLE,@,JAX,W 21-20,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,,2,0.0,0,3,0.0,,,0,0,,0
62,2002,2002-12-15,14,27.326,CLE,,IND,L 23-28,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
63,2002,2002-12-22,15,27.333,CLE,@,BAL,W 14-13,,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,,,,
64,2002,2002-12-29,16,27.340,CLE,,ATL,W 24-16,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,1,20,20.00,0
65,2003,2003-09-07,1,28.227,CLE,,IND,L 6-9,,0,0,,0,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0.0,,,0,0,,0
66,2003,2003-09-14,2,28.234,CLE,@,BAL,L 13-33,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
67,2003,2003-09-21,3,28.241,CLE,@,SFO,W 13-12,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
68,2003,2003-09-28,4,28.248,CLE,,CIN,L 14-21,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,,1,0.0,0,2,0.0,,,0,0,,0
69,2003,2003-10-05,5,28.255,CLE,@,PIT,W 33-13,,0,0,,0,0,0,,0,0,0,,,,,,3,4,75.0,2,2,100.0,0,9,0.0,,,0,0,,0
70,2003,2003-10-12,6,28.262,CLE,,OAK,W 13-7,,1,14,14.00,0,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
71,2003,2003-10-19,7,28.269,CLE,,SDG,L 20-26,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0.0,,,0,0,,0
72,2003,2003-10-26,8,28.276,CLE,@,NWE,L 3-9,,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,0,0,,0
73,2003,2003-11-09,9,28.290,CLE,@,KAN,L 20-41,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
74,2003,2003-11-16,10,28.297,CLE,,ARI,W 44-6,,0,0,,0,0,0,,0,0,0,,,,,,5,5,100.0,3,3,100.0,0,14,0.0,,,0,0,,0
75,2003,2003-11-23,11,28.304,CLE,,PIT,L 6-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0.0,,,0,0,,0
76,2003,2003-11-30,12,28.311,CLE,@,SEA,L 7-34,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,,,0,1,0.0,,,1,29,29.00,0
77,2003,2003-12-08,13,28.319,CLE,,STL,L 20-26,,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,,,,
78,2004,2004-09-12,1,29.233,CLE,,BAL,W 20-3,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
79,2004,2004-09-19,2,29.240,CLE,@,DAL,L 12-19,,0,0,,0,0,0,,0,0,0,,,,,,,,,4,4,100.0,0,12,0.0,,,0,0,,0
80,2004,2004-09-26,3,29.247,CLE,@,NYG,L 10-27,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
81,2004,2004-10-03,4,29.254,CLE,,WAS,W 17-13,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
82,2004,2004-10-10,5,29.261,CLE,@,PIT,L 23-34,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
83,2004,2004-10-17,6,29.268,CLE,,CIN,W 34-17,,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,,,0,0,,0
84,2004,2004-10-24,7,29.275,CLE,,PHI,L 31-34,,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0.0,,,0,0,,0
85,2004,2004-11-07,8,29.289,CLE,@,BAL,L 13-27,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
86,2004,2004-11-14,9,29.296,CLE,,PIT,L 10-24,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
87,2004,2004-11-21,10,29.303,CLE,,NYJ,L 7-10,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,2,0.0,0,1,0.0,,,0,0,,0
88,2004,2004-11-28,11,29.310,CLE,@,CIN,L 48-58,,0,0,,0,0,0,,0,0,0,,,,,,6,6,100.0,2,2,100.0,0,12,0.0,,,0,0,,0
89,2004,2004-12-05,12,29.317,CLE,,NWE,L 15-42,,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,,,,
90,2004,2004-12-12,13,29.324,CLE,@,BUF,L 7-37,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
91,2004,2004-12-19,14,29.331,CLE,,SDG,L 0-21,,0,0,,0,0,0,,0,0,0,,,,,,,,,,1,0.0,0,0,0.0,,,0,0,,0
92,2004,2004-12-26,15,29.338,CLE,@,MIA,L 7-10,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
93,2004,2005-01-02,16,29.345,CLE,@,HOU,W 22-14,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,5,5,100.0,0,16,0.0,,,0,0,,0
94,2005,2005-09-11,1,30.231,CLE,,CIN,L 13-27,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
95,2005,2005-09-18,2,30.238,CLE,@,GNB,W 26-24,,0,0,,0,0,0,,0,0,0,,,,,,2,3,66.7,2,2,100.0,0,8,0.0,,,0,0,,0
96,2005,2005-09-25,3,30.245,CLE,@,IND,L 6-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0.0,,,0,0,,0
97,2005,2005-10-09,4,30.259,CLE,,CHI,W 20-10,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
98,2005,2005-10-16,5,30.266,CLE,@,BAL,L 3-16,,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,0,0,,0
99,2005,2005-10-23,6,30.273,CLE,,DET,L 10-13,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
100,2005,2005-10-30,7,30.280,CLE,@,HOU,L 16-19,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0.0,,,0,0,,0
101,2005,2005-11-06,8,30.287,CLE,,TEN,W 20-14,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0.0,,,0,0,,0
102,2005,2005-11-13,9,30.294,CLE,@,PIT,L 21-34,,0,0,,0,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,,,,
103,2005,2005-11-20,10,30.301,CLE,,MIA,W 22-0,,0,0,,0,0,0,,0,0,0,,,,,,1,2,50.0,3,3,100.0,0,10,0.0,,,0,0,,0
104,2005,2005-11-27,11,30.308,CLE,@,MIN,L 12-24,,0,0,,0,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0.0,,,1,31,31.00,0
105,2005,2005-12-04,12,30.315,CLE,,JAX,L 14-20,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,,1,0.0,0,2,0.0,,,1,22,22.00,0
106,2005,2005-12-11,13,30.322,CLE,@,CIN,L 20-23,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
107,2005,2005-12-18,14,30.329,CLE,@,OAK,W 9-7,,0,0,,0,0,0,,0,0,0,,,,,,,,,3,3,100.0,0,9,0.0,,,0,0,,0
108,2005,2005-12-24,15,30.335,CLE,,PIT,L 0-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2005,2006-01-01,16,30.343,CLE,,BAL,W 20-16,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
110,2006,2006-09-10,1,31.230,CLE,,NOR,L 14-19,,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,,,,
111,2006,2006-09-17,2,31.237,CLE,@,CIN,L 17-34,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,1,31,31.00,0
112,2006,2006-09-24,3,31.244,CLE,,BAL,L 14-15,,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,,,,
113,2006,2006-10-01,4,31.251,CLE,@,OAK,W 24-21,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
114,2006,2006-10-08,5,31.258,CLE,@,CAR,L 12-20,,0,0,,0,0,0,,0,0,0,,,,,,,,,4,4,100.0,0,12,0.0,,,0,0,,0
115,2006,2006-10-22,6,31.272,CLE,,DEN,L 7-17,,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,,,,
116,2006,2006-10-29,7,31.279,CLE,,NYJ,W 20-13,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0.0,,,0,0,,0
117,2006,2006-11-05,8,31.286,CLE,@,SDG,L 25-32,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,6,6,100.0,0,19,0.0,,,0,0,,0
118,2006,2006-11-12,9,31.293,CLE,@,ATL,W 17-13,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
119,2006,2006-11-19,10,31.300,CLE,,PIT,L 20-24,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0.0,,,0,0,,0
120,2006,2006-11-26,11,31.307,CLE,,CIN,L 0-30,,0,0,,0,0,0,,0,0,0,,,,,,,,,,1,0.0,0,0,0.0,,,0,0,,0
121,2006,2006-12-03,12,31.314,CLE,,KAN,W 31-28,,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0.0,,,0,0,,0
122,2006,2006-12-07,13,31.318,CLE,@,PIT,L 7-27,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
123,2006,2006-12-17,14,31.328,CLE,@,BAL,L 17-27,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0.0,,,0,0,,0
124,2006,2006-12-24,15,31.335,CLE,,TAM,L 7-22,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0.0,,,1,27,27.00,0
125,2006,2006-12-31,16,31.342,CLE,@,HOU,L 6-14,,0,0,,0,0,0,,0,0,0,,,,,,,,,2,3,66.7,0,6,0.0,,,0,0,,0
126,2007,2007-09-09,1,32.229,CLE,,PIT,L 7-34,,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,,,,
127,2007,2007-09-16,2,32.236,CLE,,CIN,W 51-45,,0,0,,0,0,0,,0,0,0,,,,,,6,6,100.0,3,3,100.0,0,15,0.0,,,0,0,,0
128,2007,2007-09-23,3,32.243,CLE,@,OAK,L 24-26,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
129,2007,2007-09-30,4,32.250,CLE,,BAL,W 27-13,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,,,0,0,,0
130,2007,2007-10-07,5,32.257,CLE,@,NWE,L 17-34,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
131,2007,2007-10-14,6,32.264,CLE,,MIA,W 41-31,,0,0,,0,0,0,,0,0,0,,,,,,5,5,100.0,2,2,100.0,0,11,0.0,,,0,0,,0
132,2007,2007-10-28,7,32.278,CLE,@,STL,W 27-20,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,,,0,0,,0
133,2007,2007-11-04,8,32.285,CLE,,SEA,W 33-30,,0,0,,0,0,0,,0,0,0,,,,,,1,2,50.0,2,2,100.0,0,7,0.0,,,0,0,,0
134,2007,2007-11-11,9,32.292,CLE,@,PIT,L 28-31,,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,,1,0.0,0,4,0.0,,,0,0,,0
135,2007,2007-11-18,10,32.299,CLE,@,BAL,W 33-30,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,4,5,80.0,0,15,0.0,,,0,0,,0
136,2007,2007-11-25,11,32.306,CLE,,HOU,W 27-17,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,,,0,0,,0
137,2007,2007-12-02,12,32.313,CLE,@,ARI,L 21-27,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
138,2007,2007-12-09,13,32.320,CLE,@,NYJ,W 24-18,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
139,2007,2007-12-16,14,32.327,CLE,,BUF,W 8-0,,0,0,,0,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0.0,,,0,0,,0
140,2007,2007-12-23,15,32.334,CLE,@,CIN,L 14-19,,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,,,,
141,2007,2007-12-30,16,32.341,CLE,,SFO,W 20-7,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0.0,,,0,0,,0
142,2008,2008-09-07,1,33.228,CLE,,DAL,L 10-28,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
143,2008,2008-09-14,2,33.235,CLE,,PIT,L 6-10,,0,0,,0,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0.0,0,0,0,0,,0
144,2008,2008-09-21,3,33.242,CLE,@,BAL,L 10-28,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
145,2008,2008-09-28,4,33.249,CLE,@,CIN,W 20-12,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,1,33,33.00,0
146,2008,2008-10-13,5,33.264,CLE,,NYG,W 35-14,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,0,,0
147,2008,2008-10-19,6,33.270,CLE,@,WAS,L 11-14,,0,0,,0,0,0,,0,0,0,,,,,,,,,1,2,50.0,0,3,0.0,0,0,0,0,,0
148,2008,2008-10-26,7,33.277,CLE,@,JAX,W 23-17,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0
149,2008,2008-11-02,8,33.284,CLE,,BAL,L 27-37,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0
150,2008,2008-11-06,9,33.288,CLE,,DEN,L 30-34,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,,0
151,2008,2008-11-17,10,33.299,CLE,@,BUF,W 29-27,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,5,5,100.0,0,17,0.0,0,0,0,0,,0
152,2008,2008-11-23,11,33.305,CLE,,HOU,L 6-16,,0,0,,0,0,0,,0,0,0,,,,,,,,,2,3,66.7,0,6,0.0,0,0,0,0,,0
153,2008,2008-11-30,12,33.312,CLE,,IND,L 6-10,,0,0,,0,0,0,,0,0,0,,,,,,,,,2,3,66.7,0,6,0.0,0,0,0,0,,0
154,2008,2008-12-07,13,33.319,CLE,@,TEN,L 9-28,,0,0,,0,0,0,,0,0,0,,,,,,,,,3,4,75.0,0,9,0.0,0,0,0,0,,0
155,2008,2008-12-15,14,33.327,CLE,@,PHI,L 10-30,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
