ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
26,1971,1971-12-05,12,24.244,ATL,,OAK,W 24-13,,,,,,
27,1971,1971-12-12,13,24.251,ATL,@,SFO,L 3-24,,,,,,
28,1971,1971-12-19,14,24.258,ATL,@,NOR,W 24-20,,,,,,
29,1972,1972-09-17,1,25.165,GNB,@,CLE,W 26-10,,,,,,
30,1972,1972-09-24,2,25.172,GNB,,OAK,L 14-20,,,,,,
31,1972,1972-10-01,3,25.179,GNB,,DAL,W 16-13,,,,,,
32,1972,1972-10-08,4,25.186,GNB,,CHI,W 20-17,,,,,,
33,1972,1972-10-16,5,25.194,GNB,@,DET,W 24-23,,,,,,
34,1972,1972-10-22,6,25.200,GNB,,ATL,L 9-10,,,,,,
35,1972,1972-10-29,7,25.207,GNB,,MIN,L 13-27,,,,,,
36,1972,1972-11-05,8,25.214,GNB,,SFO,W 34-24,,,,,,
37,1972,1972-11-12,9,25.221,GNB,@,CHI,W 23-17,,,,,,
38,1972,1972-11-19,10,25.228,GNB,@,HOU,W 23-10,,,,,,
39,1972,1972-11-26,11,25.235,GNB,@,WAS,L 16-21,,,,,,
40,1972,1972-12-03,12,25.242,GNB,,DET,W 33-7,,,,,,
41,1972,1972-12-10,13,25.249,GNB,@,MIN,W 23-7,,,,,,
42,1972,1972-12-17,14,25.256,GNB,@,NOR,W 30-20,,,,,,
43,1973,1973-09-17,1,26.165,GNB,,NYJ,W 23-7,,,,,,
44,1973,1973-09-23,2,26.171,GNB,,DET,T 13-13,,,,,,
45,1973,1973-09-30,3,26.178,GNB,@,MIN,L 3-11,,,,,,
46,1973,1973-10-07,4,26.185,GNB,@,NYG,W 16-14,,,,,,
47,1973,1973-10-14,5,26.192,GNB,,KAN,T 10-10,,,,,,
48,1973,1973-10-21,6,26.199,GNB,@,RAM,L 7-24,,,,,,
49,1973,1973-10-28,7,26.206,GNB,@,DET,L 0-34,,,,,,
50,1973,1973-11-04,8,26.213,GNB,,CHI,L 17-31,,,,,,
51,1973,1973-11-11,9,26.220,GNB,,STL,W 25-21,,,,,,
52,1973,1973-11-18,10,26.227,GNB,@,NWE,L 24-33,,,,,,
53,1973,1973-11-26,11,26.235,GNB,@,SFO,L 6-20,,,,,,
54,1973,1973-12-02,12,26.241,GNB,,NOR,W 30-10,,,,,,
55,1973,1973-12-08,13,26.247,GNB,,MIN,L 7-31,,,,,,
56,1973,1973-12-16,14,26.255,GNB,@,CHI,W 21-0,,,,,,
57,1974,1974-09-15,1,27.163,GNB,,MIN,L 17-32,,,,,,
58,1974,1974-09-22,2,27.170,GNB,@,BAL,W 20-13,,,,,,
59,1974,1974-09-29,3,27.177,GNB,,DET,W 21-19,,,,,,
60,1974,1974-10-06,4,27.184,GNB,,BUF,L 7-27,,,,,,
61,1974,1974-10-13,5,27.191,GNB,,RAM,W 17-6,,,,,,
62,1974,1974-10-21,6,27.199,GNB,@,CHI,L 9-10,,,,,,
63,1974,1974-10-27,7,27.205,GNB,@,DET,L 17-19,,,,,,
64,1974,1974-11-03,8,27.212,GNB,,WAS,L 6-17,,,,,,
65,1974,1974-11-10,9,27.219,GNB,,CHI,W 20-3,,,,,,
66,1974,1974-11-17,10,27.226,GNB,@,MIN,W 19-7,,,,,,
67,1974,1974-11-24,11,27.233,GNB,,SDG,W 34-0,,,,,,
68,1974,1974-12-01,12,27.240,GNB,@,PHI,L 14-36,,,,,,
69,1974,1974-12-08,13,27.247,GNB,@,SFO,L 6-7,,,,,,
70,1974,1974-12-15,14,27.254,GNB,@,ATL,L 3-10,,,,,,
