ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
40,2012,2012-11-12,9,25.015,KAN,@,PIT,L 13-16,*,0,0,,0,0,0,,0,3,17,5.67,0,0,0,0.0,2,1,0,0,0
41,2012,2012-11-18,10,25.021,KAN,,CIN,L 6-28,*,0,0,,0,0,0,,0,3,30,10.00,0,0,0,0.0,3,0,0,0,0
42,2012,2012-11-25,11,25.028,KAN,,DEN,L 9-17,*,0,0,,0,0,,,0,2,29,14.50,0,0,0,0.0,5,0,0,0,0
43,2012,2012-12-02,12,25.035,KAN,,CAR,W 27-21,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
44,2012,2012-12-09,13,25.042,KAN,@,CLE,L 7-30,*,0,0,,0,0,0,,0,3,5,1.67,0,0,0,0.0,7,1,0,0,0
45,2012,2012-12-16,14,25.049,KAN,@,OAK,L 0-15,*,0,0,,0,0,0,,0,2,11,5.50,0,0,0,0.0,7,1,0,0,0
46,2012,2012-12-23,15,25.056,KAN,,IND,L 13-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
47,2012,2012-12-30,16,25.063,KAN,@,DEN,L 3-38,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,1,0,0,0
48,2013,2013-09-08,1,25.315,ARI,@,STL,L 24-27,,0,0,,0,2,32,16.00,0,0,0,,0,0,0,0.0,1,0,0,0,0
49,2013,2013-09-15,2,25.322,ARI,,DET,W 25-21,,,,,,,,,,,,,,,,,,,,,
50,2013,2013-09-22,3,25.329,ARI,@,NOR,L 7-31,,0,0,,0,2,66,33.00,0,0,0,,0,0,0,0.0,1,0,0,0,0
51,2013,2013-09-29,4,25.336,ARI,@,TAM,W 13-10,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
52,2013,2013-10-06,5,25.343,ARI,,CAR,W 22-6,,,,,,,,,,,,,,,,,,,,,
53,2013,2013-10-13,6,25.350,ARI,@,SFO,L 20-32,,0,0,,0,2,42,21.00,0,0,0,,0,0,0,0.0,0,0,0,0,0
54,2013,2013-10-17,7,25.354,ARI,,SEA,L 22-34,,0,0,,0,2,45,22.50,0,0,0,,0,0,0,0.0,0,0,0,0,0
55,2013,2013-10-27,8,25.364,ARI,,ATL,W 27-13,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
56,2013,2013-11-10,9,26.013,ARI,,HOU,W 27-24,,0,0,,0,2,38,19.00,0,0,0,,0,0,0,0.0,1,0,0,0,0
57,2013,2013-11-17,10,26.020,ARI,@,JAX,W 27-14,,,,,,,,,,,,,,,,,,,,,
58,2013,2013-11-24,11,26.027,ARI,,IND,W 40-11,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
59,2013,2013-12-01,12,26.034,ARI,@,PHI,L 21-24,,0,0,,0,4,79,19.75,0,1,0,0.00,0,0,0,0.0,1,0,0,0,0
60,2013,2013-12-08,13,26.041,ARI,,STL,W 30-10,,0,0,,0,1,26,26.00,0,0,0,,0,0,0,0.0,1,0,0,0,0
61,2013,2013-12-15,14,26.048,ARI,@,TEN,W 37-34,,0,0,,0,3,72,24.00,0,0,0,,0,0,0,0.0,0,1,0,0,0
62,2013,2013-12-22,15,26.055,ARI,@,SEA,W 17-10,,0,0,,0,2,46,23.00,0,0,0,,0,0,0,1.0,2,0,0,0,0
63,2013,2013-12-29,16,26.062,ARI,,SFO,L 20-23,,0,0,,0,3,47,15.67,0,0,0,,0,0,0,0.0,0,0,0,0,0
64,2014,2014-11-23,11,27.026,ATL,,CLE,L 24-26,,,,,,,,,,,,,,,,,,,,,
65,2014,2014-11-30,12,27.033,ATL,,ARI,W 29-18,,,,,,,,,,,,,,,,,,,,,
66,2014,2014-12-08,13,27.041,ATL,@,GNB,L 37-43,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
67,2014,2014-12-14,14,27.047,ATL,,PIT,L 20-27,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
68,2014,2014-12-21,15,27.054,ATL,@,NOR,W 30-14,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
69,2014,2014-12-28,16,27.061,ATL,,CAR,L 3-34,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
