ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
62,1975,1975-11-23,10,29.069,MIN,,SDG,W 28-13,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0,0,0
63,1975,1975-11-30,11,29.076,MIN,@,WAS,L 30-31,,,,,,,,,,,,,,,,,
64,1975,1975-12-07,12,29.083,MIN,,GNB,W 24-3,,,,,,,,,,,,,,,,,
65,1975,1975-12-14,13,29.090,MIN,@,DET,L 10-17,,,,,,,,,,,,,,,,,
66,1975,1975-12-20,14,29.096,MIN,@,BUF,W 35-13,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
67,1976,1976-09-19,2,30.004,NOR,,DAL,L 6-24,0,0,,0,0,0,,0,1,18,18.00,0,0,0,0,0,0
68,1976,1976-09-26,3,30.011,NOR,@,KAN,W 27-17,0,0,,0,0,0,,0,5,15,3.00,0,0,0,0,0,0
69,1976,1976-10-03,4,30.018,NOR,,HOU,L 26-31,0,0,,0,2,68,34.00,0,6,161,26.83,0,0,0,0,0,0
70,1976,1976-10-10,5,30.025,NOR,,ATL,W 30-0,0,0,,0,0,0,,0,5,39,7.80,0,0,0,1,22,0
71,1976,1976-10-17,6,30.032,NOR,@,SFO,L 3-33,0,0,,0,0,0,,0,3,23,7.67,0,0,0,0,0,0
72,1976,1976-10-24,7,30.039,NOR,,RAM,L 10-16,0,0,,0,0,0,,0,2,14,7.00,0,0,0,0,0,0
73,1976,1976-10-31,8,30.046,NOR,@,ATL,L 20-23,,,,,,,,,,,,,,,,,
74,1976,1976-11-07,9,30.053,NOR,@,GNB,L 27-32,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0,0,0
75,1976,1976-11-14,10,30.060,NOR,,DET,W 17-16,,,,,,,,,,,,,,,,,
76,1976,1976-11-21,11,30.067,NOR,@,SEA,W 51-27,0,0,,0,0,0,,0,2,23,11.50,0,0,0,0,0,0
77,1976,1976-11-28,12,30.074,NOR,@,RAM,L 14-33,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
78,1976,1976-12-05,13,30.081,NOR,@,NWE,L 6-27,0,0,,0,0,0,,0,2,13,6.50,0,0,0,0,0,0
79,1976,1976-12-12,14,30.088,NOR,,SFO,L 7-27,0,0,,0,0,0,,0,6,20,3.33,0,0,0,1,0,0
