ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks
45,1992,1992-10-25,7,28.225,PIT,@,KAN,W 27-3,,,,,
46,1992,1992-11-01,8,28.232,PIT,,HOU,W 21-20,,,,,
47,1992,1992-11-08,9,28.239,PIT,@,BUF,L 20-28,,,,,
48,1992,1992-11-15,10,28.246,PIT,,DET,W 17-14,,,,,
49,1992,1992-11-22,11,28.253,PIT,,IND,W 30-14,,,,,
50,1992,1992-11-29,12,28.260,PIT,@,CIN,W 21-9,0,0,,0,2.0
51,1992,1992-12-06,13,28.267,PIT,,SEA,W 20-14,,,,,
52,1992,1992-12-13,14,28.274,PIT,@,CHI,L 6-30,,,,,
53,1992,1992-12-20,15,28.281,PIT,,MIN,L 3-6,0,0,,0,1.0
54,1992,1992-12-27,16,28.288,PIT,,CLE,W 23-13,,,,,
55,1993,1993-09-05,1,29.175,PIT,,SFO,L 13-24,0,0,,0,1.0
56,1993,1993-09-12,2,29.182,PIT,@,RAM,L 0-27,,,,,
57,1993,1993-09-19,3,29.189,PIT,,CIN,W 34-7,,,,,
58,1993,1993-09-27,4,29.197,PIT,@,ATL,W 45-17,,,,,
59,1993,1993-10-10,5,29.210,PIT,,SDG,W 16-3,,,,,
60,1993,1993-10-17,6,29.217,PIT,,NOR,W 37-14,0,0,,0,1.0
61,1993,1993-10-24,7,29.224,PIT,@,CLE,L 23-28,0,0,,0,1.5
62,1993,1993-11-07,8,29.238,PIT,@,CIN,W 24-16,,,,,
63,1993,1993-11-15,9,29.246,PIT,,BUF,W 23-0,0,0,,0,1.0
64,1993,1993-11-21,10,29.252,PIT,@,DEN,L 13-37,,,,,
65,1993,1993-11-28,11,29.259,PIT,@,HOU,L 3-23,0,0,,0,1.0
66,1993,1993-12-05,12,29.266,PIT,,NWE,W 17-14,,,,,
67,1993,1993-12-13,13,29.274,PIT,@,MIA,W 21-20,,,,,
68,1993,1993-12-19,14,29.280,PIT,,HOU,L 17-26,,,,,
69,1993,1993-12-26,15,29.287,PIT,@,SEA,L 6-16,0,0,,0,1.0
70,1993,1994-01-02,16,29.294,PIT,,CLE,W 16-9,,,,,
71,1994,1994-09-04,1,30.174,NYJ,@,BUF,W 23-3,,,,,
72,1994,1994-09-11,2,30.181,NYJ,,DEN,W 25-22,,,,,
73,1994,1994-09-18,3,30.188,NYJ,@,MIA,L 14-28,,,,,
74,1994,1994-09-25,4,30.195,NYJ,,CHI,L 7-19,,,,,
75,1994,1994-10-02,5,30.202,NYJ,@,CLE,L 7-27,,,,,
76,1994,1994-10-09,6,30.209,NYJ,,IND,W 16-6,,,,,
77,1994,1994-10-16,7,30.216,NYJ,,NWE,W 24-17,,,,,
78,1994,1994-10-30,8,30.230,NYJ,@,IND,L 25-28,,,,,
79,1994,1994-11-06,9,30.237,NYJ,,BUF,W 22-17,,,,,
80,1994,1994-11-13,10,30.244,NYJ,@,GNB,L 10-17,,,,,
81,1994,1994-11-20,11,30.251,NYJ,@,MIN,W 31-21,,,,,
82,1994,1994-11-27,12,30.258,NYJ,,MIA,L 24-28,,,,,
83,1994,1994-12-04,13,30.265,NYJ,@,NWE,L 13-24,0,0,,0,0.5
84,1994,1994-12-10,14,30.271,NYJ,,DET,L 7-18,,,,,
85,1994,1994-12-18,15,30.279,NYJ,,SDG,L 6-21,,,,,
86,1994,1994-12-24,16,30.285,NYJ,@,HOU,L 10-24,,,,,
87,1995,1995-09-03,1,31.173,NYJ,@,MIA,L 14-52,,,,,
88,1995,1995-09-10,2,31.180,NYJ,,IND,L 24-27,0,0,,0,2.0
89,1995,1995-09-17,3,31.187,NYJ,,JAX,W 27-10,,,,,
90,1995,1995-09-24,4,31.194,NYJ,@,ATL,L 3-13,,,,,
