ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
29,2001,2001-12-16,13,23.344,GNB,@,TEN,L 20-26,*,5,3,-2,-0.67,0,60.0%,-0.40,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
30,2001,2001-12-23,14,23.351,GNB,,CLE,W 30-7,*,5,4,29,7.25,2,80.0%,5.80,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,,
31,2001,2001-12-30,15,23.358,GNB,,MIN,W 24-13,*,4,4,40,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
32,2001,2002-01-06,16,24.000,GNB,@,NYG,W 34-25,*,2,1,23,23.00,0,50.0%,11.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
33,2002,2002-09-08,1,24.245,GNB,,ATL,W 37-34,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
34,2002,2002-09-15,2,24.252,GNB,@,NOR,L 20-35,*,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
35,2002,2002-09-22,3,24.259,GNB,@,DET,W 37-31,*,9,9,62,6.89,1,100.0%,6.89,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
36,2002,2002-09-29,4,24.266,GNB,,CAR,W 17-14,*,6,4,33,8.25,0,66.7%,5.50,1,1,100.00,31,1,0,158.3,0,0,31.00,51.00,0,0,,0,0,0,0.0,,
37,2002,2002-10-07,5,24.274,GNB,@,CHI,W 34-21,*,2,1,5,5.00,1,50.0%,2.50,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
38,2002,2002-10-13,6,24.280,GNB,@,NWE,W 28-10,*,5,5,46,9.20,1,100.0%,9.20,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
39,2002,2002-10-20,7,24.287,GNB,,WAS,W 30-9,*,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
40,2002,2002-11-04,8,24.302,GNB,,MIA,W 24-10,*,5,3,29,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
41,2002,2002-11-10,9,24.308,GNB,,DET,W 40-14,*,5,4,53,13.25,1,80.0%,10.60,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
42,2002,2002-11-17,10,24.315,GNB,@,MIN,L 21-31,*,5,4,25,6.25,1,80.0%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
43,2002,2002-11-24,11,24.322,GNB,@,TAM,L 7-21,,5,4,29,7.25,0,80.0%,5.80,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
44,2002,2002-12-01,12,24.329,GNB,,CHI,W 30-20,*,7,6,34,5.67,1,85.7%,4.86,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
45,2002,2002-12-08,13,24.336,GNB,,MIN,W 26-22,*,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
46,2002,2002-12-15,14,24.343,GNB,@,SFO,W 20-14,*,5,4,37,9.25,0,80.0%,7.40,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
47,2002,2002-12-22,15,24.350,GNB,,BUF,W 10-0,*,1,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,
48,2002,2002-12-29,16,24.357,GNB,@,NYJ,L 17-42,*,6,3,35,11.67,1,50.0%,5.83,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
49,2003,2003-09-07,1,25.244,GNB,,MIN,L 25-30,*,6,3,18,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
50,2003,2003-09-14,2,25.251,GNB,,DET,W 31-6,*,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
51,2003,2003-09-21,3,25.258,GNB,@,ARI,L 13-20,*,6,3,22,7.33,0,50.0%,3.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
52,2003,2003-09-29,4,25.266,GNB,@,CHI,W 38-23,*,3,3,39,13.00,1,100.0%,13.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
53,2003,2003-10-05,5,25.272,GNB,,SEA,W 35-13,*,4,3,40,13.33,0,75.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
54,2003,2003-10-12,6,25.279,GNB,,KAN,L 34-40,*,3,1,1,1.00,1,33.3%,0.33,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
55,2003,2003-10-19,7,25.286,GNB,@,STL,L 24-34,*,4,4,26,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
56,2003,2003-11-02,8,25.300,GNB,@,MIN,W 30-27,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
57,2003,2003-11-10,9,25.308,GNB,,PHI,L 14-17,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
58,2003,2003-11-16,10,25.314,GNB,@,TAM,W 20-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
59,2003,2003-11-23,11,25.321,GNB,,SFO,W 20-10,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
60,2003,2003-11-27,12,25.325,GNB,@,DET,L 14-22,*,4,4,32,8.00,1,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
61,2003,2003-12-07,13,25.335,GNB,,CHI,W 34-21,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
62,2003,2003-12-14,14,25.342,GNB,@,SDG,W 38-21,*,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
63,2003,2003-12-22,15,25.350,GNB,@,OAK,W 41-7,*,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
64,2003,2003-12-28,16,25.356,GNB,,DEN,W 31-3,*,2,1,2,2.00,1,50.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
65,2004,2004-09-13,1,26.251,GNB,@,CAR,W 24-14,*,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
66,2004,2004-09-19,2,26.257,GNB,,CHI,L 10-21,*,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
67,2004,2004-09-26,3,26.264,GNB,@,IND,L 31-45,*,5,4,35,8.75,0,80.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
68,2004,2004-10-03,4,26.271,GNB,,NYG,L 7-14,*,5,3,21,7.00,0,60.0%,4.20,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
69,2004,2004-10-11,5,26.279,GNB,,TEN,L 27-48,*,5,2,12,6.00,2,40.0%,2.40,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,,
70,2004,2004-10-17,6,26.285,GNB,@,DET,W 38-10,*,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
71,2004,2004-10-24,7,26.292,GNB,,DAL,W 41-20,*,1,1,8,8.00,1,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
72,2004,2004-10-31,8,26.299,GNB,@,WAS,W 28-14,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
73,2004,2004-11-14,9,26.313,GNB,,MIN,W 34-31,,2,2,24,12.00,1,100.0%,12.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
74,2004,2004-11-21,10,26.320,GNB,@,HOU,W 16-13,*,3,2,43,21.50,0,66.7%,14.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
75,2004,2004-11-29,11,26.328,GNB,,STL,W 45-17,*,2,2,36,18.00,1,100.0%,18.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
76,2004,2004-12-05,12,26.334,GNB,@,PHI,L 17-47,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
77,2004,2004-12-12,13,26.341,GNB,,DET,W 16-13,*,6,4,29,7.25,0,66.7%,4.83,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
78,2004,2004-12-19,14,26.348,GNB,,JAX,L 25-28,*,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
79,2004,2004-12-24,15,26.353,GNB,@,MIN,W 34-31,*,2,1,22,22.00,1,50.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
80,2004,2005-01-02,16,26.362,GNB,@,CHI,W 31-14,*,5,4,59,14.75,1,80.0%,11.80,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
81,2005,2005-09-11,1,27.248,GNB,@,DET,L 3-17,,6,4,27,6.75,0,66.7%,4.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
82,2005,2005-09-18,2,27.255,GNB,,CLE,L 24-26,*,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
83,2005,2005-10-09,5,27.276,GNB,,NOR,W 52-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
84,2005,2005-10-23,6,27.290,GNB,@,MIN,L 20-23,*,3,3,38,12.67,0,100.0%,12.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
85,2005,2005-10-30,7,27.297,GNB,@,CIN,L 14-21,*,11,7,62,8.86,1,63.6%,5.64,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
86,2005,2005-11-06,8,27.304,GNB,,PIT,L 10-20,*,7,3,22,7.33,0,42.9%,3.14,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
87,2005,2005-11-13,9,27.311,GNB,@,ATL,W 33-25,*,5,4,34,8.50,0,80.0%,6.80,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
88,2005,2005-11-21,10,27.319,GNB,,MIN,L 17-20,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
89,2005,2005-11-27,11,27.325,GNB,@,PHI,L 14-19,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
90,2005,2005-12-04,12,27.332,GNB,@,CHI,L 7-19,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
91,2006,2006-09-10,1,28.247,GNB,,CHI,L 0-26,*,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
92,2006,2006-09-17,2,28.254,GNB,,NOR,L 27-34,*,7,3,18,6.00,0,42.9%,2.57,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
93,2006,2006-09-24,3,28.261,GNB,@,DET,W 31-24,,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
94,2006,2006-10-02,4,28.269,GNB,@,PHI,L 9-31,*,7,3,32,10.67,0,42.9%,4.57,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
95,2006,2006-10-08,5,28.275,GNB,,STL,L 20-23,*,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
96,2006,2006-10-22,6,28.289,GNB,@,MIA,W 34-24,,4,1,18,18.00,0,25.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
97,2006,2006-10-29,7,28.296,GNB,,ARI,W 31-14,*,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
98,2006,2006-11-05,8,28.303,GNB,@,BUF,L 10-24,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
99,2006,2006-11-12,9,28.310,GNB,@,MIN,W 23-17,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
100,2006,2006-11-19,10,28.317,GNB,,NWE,L 0-35,*,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
101,2006,2006-11-27,11,28.325,GNB,@,SEA,L 24-34,*,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
102,2006,2006-12-03,12,28.331,GNB,,NYJ,L 10-38,*,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
103,2006,2006-12-10,13,28.338,GNB,@,SFO,W 30-19,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
104,2006,2006-12-17,14,28.345,GNB,,DET,W 17-9,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
105,2006,2006-12-21,15,28.349,GNB,,MIN,W 9-7,*,7,5,43,8.60,0,71.4%,6.14,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
106,2006,2006-12-31,16,28.359,GNB,@,CHI,W 26-7,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
107,2007,2007-09-09,1,29.246,GNB,,PHI,W 16-13,,6,2,17,8.50,0,33.3%,2.83,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
108,2007,2007-09-16,2,29.253,GNB,@,NYG,W 35-13,,5,4,20,5.00,1,80.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
109,2007,2007-09-23,3,29.260,GNB,,SDG,W 31-24,,4,1,5,5.00,1,25.0%,1.25,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
110,2007,2007-09-30,4,29.267,GNB,@,MIN,W 23-16,,6,4,30,7.50,0,66.7%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
111,2007,2007-10-07,5,29.274,GNB,,CHI,L 20-27,,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
112,2007,2007-10-14,6,29.281,GNB,,WAS,W 17-14,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
113,2007,2007-12-23,15,29.351,GNB,@,CHI,L 7-35,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
114,2007,2007-12-30,16,29.358,GNB,,DET,W 34-13,*,4,3,34,11.33,1,75.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
115,2008,2008-09-07,1,30.245,NYJ,@,MIA,W 20-14,*,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
116,2008,2008-09-14,2,30.252,NYJ,,NWE,L 10-19,*,3,2,-4,-2.00,0,66.7%,-1.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
117,2008,2008-09-22,3,30.260,NYJ,@,SDG,L 29-48,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,6,6.00,0,0,0,0.0,0,0
118,2008,2008-09-28,4,30.266,NYJ,,ARI,W 56-35,,3,2,32,16.00,0,66.7%,10.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
119,2008,2008-10-12,5,30.280,NYJ,,CIN,W 26-14,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,0
120,2008,2008-10-19,6,30.287,NYJ,@,OAK,L 13-16,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
121,2008,2008-12-14,14,30.343,NYJ,,BUF,W 31-27,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
122,2008,2008-12-21,15,30.350,NYJ,@,SEA,L 3-13,*,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
