ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
46,1997,1997-09-07,2,26.011,CHI,,MIN,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
47,1997,1997-09-14,3,26.018,CHI,,DET,L 7-32,,,,,,,0.0%,,,,,,,,,,,,,,,
48,1997,1997-09-21,4,26.025,CHI,@,NWE,L 3-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
49,1997,1997-09-28,5,26.032,CHI,@,DAL,L 3-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
50,1997,1997-10-05,6,26.039,CHI,,NOR,L 17-20,,,,,,,0.0%,,,,,,,,,,,,,,,
51,1997,1997-10-12,7,26.046,CHI,,GNB,L 23-24,,,,,,,0.0%,,,,,,,,,,,,,,,
52,1997,1997-10-27,8,26.061,CHI,@,MIA,W 36-33,,,,,,,0.0%,,,,,,,,,,,,,,,
53,1997,1997-11-02,9,26.067,CHI,,WAS,L 8-31,,,,,,,0.0%,,,,,,,,,,,,,,,
54,1997,1997-11-09,10,26.074,CHI,@,MIN,L 22-29,,,,,,,0.0%,,,,,,,,,,,,,,,
55,1997,1997-11-16,11,26.081,CHI,,NYJ,L 15-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
56,1997,1997-11-23,12,26.088,CHI,,TAM,W 13-7,,,,,,,0.0%,,,,,,,,,,,,,,,
57,1997,1997-11-27,13,26.092,CHI,@,DET,L 20-55,,,,,,,0.0%,,,,,,,,,,,,,,,
58,1997,1997-12-07,14,26.102,CHI,,BUF,W 20-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
59,1997,1997-12-14,15,26.109,CHI,@,STL,W 13-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
60,1997,1997-12-21,16,26.116,CHI,@,TAM,L 15-31,,,,,,,0.0%,,,,,,,,,,,,,,,
61,1998,1998-09-06,1,27.010,CHI,,JAX,L 23-24,,,,,,,0.0%,,,,,,,,,,,,,,,
62,1998,1998-09-13,2,27.017,CHI,@,PIT,L 12-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.5,0,0,0
63,1998,1998-09-20,3,27.024,CHI,@,TAM,L 15-27,,,,,,,0.0%,,,,,,,,,,,,,,,
64,1998,1998-09-27,4,27.031,CHI,,MIN,L 28-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
65,1998,1998-10-04,5,27.038,CHI,,DET,W 31-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,3.0,0,0,0
66,1998,1998-10-11,6,27.045,CHI,@,ARI,L 7-20,,,,,,,0.0%,,,,,,,,,,,,,,,
67,1998,1998-10-18,7,27.052,CHI,,DAL,W 13-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
68,1998,1998-10-25,8,27.059,CHI,@,TEN,W 23-20,,,,,,,0.0%,,,,,,,,,,,,,,,
69,1998,1998-11-08,9,27.073,CHI,,STL,L 12-20,,,,,,,0.0%,,,,,,,,,,,,,,,
70,1998,1998-11-15,10,27.080,CHI,@,DET,L 3-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
71,1998,1998-11-22,11,27.087,CHI,@,ATL,L 13-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
72,1998,1998-11-29,12,27.094,CHI,,TAM,L 17-31,,,,,,,0.0%,,,,,,,,,,,,,,,
73,1998,1998-12-06,13,27.101,CHI,@,MIN,L 22-48,,,,,,,0.0%,,,,,,,,,,,,,,,
74,1998,1998-12-13,14,27.108,CHI,@,GNB,L 20-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
75,1998,1998-12-27,16,27.122,CHI,,GNB,L 13-16,,,,,,,0.0%,,,,,,,,,,,,,,,
76,1999,1999-09-12,1,28.016,CHI,,KAN,W 20-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,
77,1999,1999-09-19,2,28.023,CHI,,SEA,L 13-14,*,,,,,,0.0%,,,,,,,,,,,,,,,
78,1999,1999-09-26,3,28.030,CHI,@,OAK,L 17-24,*,,,,,,0.0%,,,,,,,,,,,,,,,
79,1999,1999-10-03,4,28.037,CHI,,NOR,W 14-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,
80,1999,1999-10-10,5,28.044,CHI,@,MIN,W 24-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,2.0,0,0,0
81,1999,1999-10-17,6,28.051,CHI,,PHI,L 16-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
82,1999,1999-10-24,7,28.058,CHI,@,TAM,L 3-6,*,0,,,,,0.0%,,,,,,,,,,,,,,,
83,1999,1999-10-31,8,28.065,CHI,@,WAS,L 22-48,*,0,,,,,0.0%,,,,,,,,,,,,,,,
84,1999,1999-11-07,9,28.072,CHI,@,GNB,W 14-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
85,1999,1999-11-14,10,28.079,CHI,,MIN,L 24-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
86,1999,1999-11-21,11,28.086,CHI,@,SDG,W 23-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,
87,1999,1999-11-25,12,28.090,CHI,@,DET,L 17-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,
88,1999,1999-12-05,13,28.100,CHI,,GNB,L 19-35,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
89,1999,1999-12-19,14,28.114,CHI,,DET,W 28-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,6,0
90,1999,1999-12-26,15,28.121,CHI,@,STL,L 12-34,*,0,,,,,0.0%,,,,,,,,,,,,,,,
91,1999,2000-01-02,16,28.128,CHI,,TAM,L 6-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,
92,2000,2000-09-03,1,29.007,CHI,@,MIN,L 27-30,,0,,,,,0.0%,,,,,,,,,,,,,,,
93,2000,2000-09-10,2,29.014,CHI,@,TAM,L 0-41,,0,,,,,0.0%,,,,,,,,,,,,,,,
94,2000,2000-09-17,3,29.021,CHI,,NYG,L 7-14,*,0,,,,,0.0%,,,,,,,,,,,,,,,
95,2000,2000-09-24,4,29.028,CHI,,DET,L 14-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
96,2000,2000-10-01,5,29.035,CHI,@,GNB,W 27-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,
97,2000,2000-10-08,6,29.042,CHI,,NOR,L 10-31,*,0,,,,,0.0%,,,,,,,,,,,,,,,
98,2000,2000-10-15,7,29.049,CHI,,MIN,L 16-28,*,0,,,,,0.0%,,,,,,,,,,,,,,,
99,2000,2000-10-22,8,29.056,CHI,@,PHI,L 9-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
100,2000,2000-11-05,9,29.070,CHI,,IND,W 27-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,
101,2000,2000-11-12,10,29.077,CHI,@,BUF,L 3-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
102,2000,2000-11-19,11,29.084,CHI,,TAM,W 13-10,,0,,,,,0.0%,,,,,,,,,,,,,,,
103,2000,2000-11-26,12,29.091,CHI,@,NYJ,L 10-17,,0,,,,,0.0%,,,,,,,,,,,,,,,
104,2000,2000-12-03,13,29.098,CHI,,GNB,L 6-28,*,0,,,,,0.0%,,,,,,,,,,,,,,,
105,2000,2000-12-10,14,29.105,CHI,,NWE,W 24-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
106,2000,2000-12-17,15,29.112,CHI,@,SFO,L 0-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,
107,2000,2000-12-24,16,29.119,CHI,@,DET,W 23-20,,,,,,,0.0%,,,,,,,,,,,,,,,
108,2001,2001-09-09,1,30.013,GNB,,DET,W 28-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,2.0,0,0,0
109,2001,2001-09-24,2,30.028,GNB,,WAS,W 37-0,*,0,,,,,0.0%,,,,,,,,,,,,,,,
110,2001,2001-09-30,3,30.034,GNB,@,CAR,W 28-7,*,0,,,,,0.0%,,,,,,,,,,,,,,,
111,2001,2001-10-07,4,30.041,GNB,@,TAM,L 10-14,,,,,,,0.0%,,,,,,,,,,,,,,,
112,2001,2001-10-14,5,30.048,GNB,,BAL,W 31-23,,0,,,,,0.0%,,,,,,,,,,,,,,,
113,2001,2001-10-21,6,30.055,GNB,@,MIN,L 13-35,,0,,,,,0.0%,,,,,,,,,,,,,,,
114,2001,2001-11-04,7,30.069,GNB,,TAM,W 21-20,,,,,,,0.0%,,,,,,,,,,,,,,,
115,2001,2001-11-11,8,30.076,GNB,@,CHI,W 20-12,,0,0,0,,0,0.0%,,0,0,,0,1,9,9.00,0,0,0,0.0,0,0,0
116,2001,2001-11-18,9,30.083,GNB,,ATL,L 20-23,*,0,,,,,0.0%,,,,,,,,,,,,,,,
117,2001,2001-11-22,10,30.087,GNB,@,DET,W 29-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
118,2001,2001-12-03,11,30.098,GNB,@,JAX,W 28-21,,0,,,,,0.0%,,,,,,,,,,,,,,,
119,2001,2001-12-09,12,30.104,GNB,,CHI,W 17-7,*,0,,,,,0.0%,,,,,,,,,,,,,,,
120,2001,2001-12-16,13,30.111,GNB,@,TEN,L 20-26,*,0,,,,,0.0%,,,,,,,,,,,,,,,
121,2001,2001-12-23,14,30.118,GNB,,CLE,W 30-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.5,0,0,0
122,2001,2001-12-30,15,30.125,GNB,,MIN,W 24-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
123,2001,2002-01-06,16,30.132,GNB,@,NYG,W 34-25,*,0,,,,,0.0%,,,,,,,,,,,,,,,
124,2002,2002-09-15,2,31.019,SFO,,DEN,L 14-24,,,,,,,0.0%,,,,,,,,,,,,,,,
125,2002,2002-09-22,3,31.026,SFO,,WAS,W 20-10,,0,,,,,0.0%,,,,,,,,,,,,,,,
126,2002,2002-10-06,4,31.040,SFO,,STL,W 37-13,,0,,,,,0.0%,,,,,,,,,,,,,,,
127,2002,2002-10-14,5,31.048,SFO,@,SEA,W 28-21,,0,,,,,0.0%,,,,,,,,,,,,,,,
128,2002,2002-10-20,6,31.054,SFO,@,NOR,L 27-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
129,2002,2002-10-27,7,31.061,SFO,,ARI,W 38-28,,,,,,,0.0%,,,,,,,,,,,,,,,
130,2002,2002-11-03,8,31.068,SFO,@,OAK,W 23-20,,,,,,,0.0%,,,,,,,,,,,,,,,
131,2002,2002-11-10,9,31.075,SFO,,KAN,W 17-13,,0,,,,,0.0%,,,,,,,,,,,,,,,
132,2002,2002-11-17,10,31.082,SFO,@,SDG,L 17-20,,,,,,,0.0%,,,,,,,,,,,,,,,
133,2002,2002-11-25,11,31.090,SFO,,PHI,L 17-38,,,,,,,0.0%,,,,,,,,,,,,,,,
134,2002,2002-12-01,12,31.096,SFO,,SEA,W 31-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,
135,2002,2002-12-08,13,31.103,SFO,@,DAL,W 31-27,,0,,,,,0.0%,,,,,,,,,,,,,,,
136,2002,2002-12-15,14,31.110,SFO,,GNB,L 14-20,,0,,,,,0.0%,,,,,,,,,,,,,,,
137,2002,2002-12-21,15,31.116,SFO,@,ARI,W 17-14,,,,,,,0.0%,,,,,,,,,,,,,,,
138,2002,2002-12-30,16,31.125,SFO,@,STL,L 20-31,,,,,,,0.0%,,,,,,,,,,,,,,,
139,2003,2003-11-02,8,32.067,PHI,@,ATL,W 23-16,,0,,,,,0.0%,,,,,,,,,,,,,,,
140,2003,2003-11-10,9,32.075,PHI,@,GNB,W 17-14,,,,,,,0.0%,,,,,,,,,,,,,,,
141,2003,2003-11-16,10,32.081,PHI,,NYG,W 28-10,,0,,,,,0.0%,,,,,,,,,,,,,,,
142,2003,2003-11-23,11,32.088,PHI,,NOR,W 33-20,,,,,,,0.0%,,,,,,,,,,,,,,,
143,2003,2003-11-30,12,32.095,PHI,@,CAR,W 25-16,,0,,,,,0.0%,,,,,,,,,,,,,,,
144,2003,2003-12-07,13,32.102,PHI,,DAL,W 36-10,,,,,,,0.0%,,,,,,,,,,,,,,,
