ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
28,1987,1987-11-29,11,25.286,GNB,@,CHI,L 10-23,3,100,33.33,0
29,1987,1987-12-06,12,25.293,GNB,,SFO,L 12-23,4,141,35.25,0
30,1987,1987-12-13,13,25.300,GNB,,MIN,W 16-10,5,193,38.60,0
31,1987,1987-12-19,14,25.306,GNB,@,NYG,L 10-20,8,324,40.50,0
32,1987,1987-12-27,15,25.314,GNB,@,NOR,L 24-33,5,228,45.60,0
33,1988,1988-09-04,1,26.201,GNB,,RAM,L 7-34,6,242,40.33,0
34,1988,1988-09-11,2,26.208,GNB,,TAM,L 10-13,4,144,36.00,0
35,1988,1988-09-18,3,26.215,GNB,@,MIA,L 17-24,5,168,33.60,1
36,1988,1988-09-25,4,26.222,GNB,,CHI,L 6-24,6,297,49.50,0
37,1988,1988-10-02,5,26.229,GNB,@,TAM,L 24-27,6,220,36.67,0
38,1988,1988-10-09,6,26.236,GNB,,NWE,W 45-3,5,216,43.20,0
39,1988,1988-10-16,7,26.243,GNB,@,MIN,W 34-14,4,170,42.50,0
40,1988,1988-10-23,8,26.250,GNB,,WAS,L 17-20,8,306,38.25,0
41,1988,1988-10-30,9,26.257,GNB,@,BUF,L 0-28,9,382,42.44,0
42,1988,1988-11-06,10,26.264,GNB,@,ATL,L 0-20,5,176,35.20,0
43,1988,1988-11-13,11,26.271,GNB,,IND,L 13-20,5,157,31.40,0
44,1988,1988-11-20,12,26.278,GNB,,DET,L 9-19,3,103,34.33,0
45,1988,1988-11-27,13,26.285,GNB,@,CHI,L 0-16,5,192,38.40,0
46,1988,1988-12-04,14,26.292,GNB,@,DET,L 14-30,5,183,36.60,0
47,1988,1988-12-11,15,26.299,GNB,,MIN,W 18-6,5,183,36.60,0
48,1988,1988-12-18,16,26.306,GNB,@,PHO,W 26-17,4,148,37.00,0
49,1989,1989-09-10,1,27.206,GNB,,TAM,L 21-23,1,44,44.00,0
50,1989,1989-09-17,2,27.213,GNB,,NOR,W 35-34,2,68,34.00,0
51,1989,1989-09-24,3,27.220,GNB,@,RAM,L 38-41,2,75,37.50,0
52,1989,1989-10-01,4,27.227,GNB,,ATL,W 23-21,3,105,35.00,0
53,1989,1989-10-08,5,27.234,GNB,,DAL,W 31-13,3,109,36.33,0
54,1989,1989-10-15,6,27.241,GNB,@,MIN,L 14-26,5,231,46.20,0
55,1989,1989-10-22,7,27.248,GNB,@,MIA,L 20-23,4,180,45.00,0
56,1989,1989-10-29,8,27.255,GNB,,DET,W 23-20,4,182,45.50,0
57,1989,1989-11-05,9,27.262,GNB,,CHI,W 14-13,6,290,48.33,0
58,1989,1989-11-12,10,27.269,GNB,@,DET,L 22-31,4,147,36.75,0
59,1989,1989-11-19,11,27.276,GNB,@,SFO,W 21-17,5,177,35.40,0
60,1989,1989-11-26,12,27.283,GNB,,MIN,W 20-19,6,264,44.00,0
61,1989,1989-12-03,13,27.290,GNB,@,TAM,W 17-16,9,344,38.22,0
62,1989,1989-12-10,14,27.297,GNB,,KAN,L 3-21,8,289,36.13,0
63,1989,1989-12-17,15,27.304,GNB,@,CHI,W 40-28,0,0,,
64,1989,1989-12-24,16,27.311,GNB,@,DAL,W 20-10,4,177,44.25,0
65,1990,1990-09-09,1,28.205,GNB,,RAM,W 36-24,5,204,40.80,0
66,1990,1990-09-16,2,28.212,GNB,,CHI,L 13-31,3,128,42.67,0
67,1990,1990-09-23,3,28.219,GNB,,KAN,L 3-17,3,87,29.00,1
68,1990,1990-09-30,4,28.226,GNB,@,DET,W 24-21,3,114,38.00,0
69,1990,1990-10-07,5,28.233,GNB,@,CHI,L 13-27,7,254,36.29,0
70,1990,1990-10-14,6,28.240,GNB,@,TAM,L 14-26,2,95,47.50,0
71,1990,1990-10-28,7,28.254,GNB,,MIN,W 24-10,6,219,36.50,0
72,1990,1990-11-04,8,28.261,GNB,,SFO,L 20-24,5,161,32.20,0
73,1990,1990-11-11,9,28.268,GNB,@,RAI,W 29-16,3,127,42.33,0
74,1990,1990-11-18,10,28.275,GNB,@,PHO,W 24-21,2,86,43.00,0
75,1990,1990-11-25,11,28.282,GNB,,TAM,W 20-10,3,120,40.00,0
76,1990,1990-12-02,12,28.289,GNB,@,MIN,L 7-23,3,116,38.67,0
77,1990,1990-12-09,13,28.296,GNB,,SEA,L 14-20,6,231,38.50,0
78,1990,1990-12-16,14,28.303,GNB,@,PHI,L 0-31,9,320,35.56,0
79,1990,1990-12-22,15,28.309,GNB,,DET,L 17-24,2,66,33.00,0
80,1990,1990-12-30,16,28.317,GNB,@,DEN,L 13-22,2,103,51.50,0
81,1992,1992-09-06,1,30.203,RAM,@,BUF,L 7-40,6,255,42.50,0
82,1992,1992-09-13,2,30.210,RAM,,NWE,W 14-0,7,335,47.86,0
83,1992,1992-09-20,3,30.217,RAM,@,MIA,L 10-26,3,116,38.67,0
84,1992,1992-09-27,4,30.224,RAM,,NYJ,W 18-10,5,214,42.80,0
85,1992,1992-10-04,5,30.231,RAM,@,SFO,L 24-27,3,114,38.00,0
86,1992,1992-10-11,6,30.238,RAM,@,NOR,L 10-13,5,190,38.00,0
87,1992,1992-10-18,7,30.245,RAM,,NYG,W 38-17,2,103,51.50,0
88,1992,1992-11-01,8,30.259,RAM,@,ATL,L 28-30,7,284,40.57,0
89,1992,1992-11-08,9,30.266,RAM,,PHO,L 14-20,5,189,37.80,0
90,1992,1992-11-15,10,30.273,RAM,@,DAL,W 27-23,4,146,36.50,0
91,1992,1992-11-22,11,30.280,RAM,,SFO,L 10-27,8,333,41.63,0
92,1992,1992-11-29,12,30.287,RAM,,MIN,L 17-31,4,170,42.50,0
93,1992,1992-12-06,13,30.294,RAM,@,TAM,W 31-27,3,135,45.00,0
94,1992,1992-12-13,14,30.301,RAM,,NOR,L 14-37,3,116,38.67,0
95,1992,1992-12-20,15,30.308,RAM,@,GNB,L 13-28,5,179,35.80,0
96,1992,1992-12-27,16,30.315,RAM,,ATL,W 38-27,6,243,40.50,0
97,1993,1993-09-05,1,31.201,RAM,@,GNB,L 6-36,5,197,39.40,0
98,1993,1993-09-12,2,31.208,RAM,,PIT,W 27-0,4,160,40.00,0
99,1993,1993-09-19,3,31.215,RAM,@,NYG,L 10-20,8,294,36.75,0
