ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
22,1991,1991-10-13,6,24.028,SFO,,ATL,L 34-39,1,6,6.00,0,,1,1,1.00,0,,,7,167,23.86,0,0,0,,0,0,0
23,1991,1991-10-20,7,24.035,SFO,,DET,W 35-3,10,36,3.60,0,,1,26,26.00,0,,,0,0,,0,0,0,,0,0,0
24,1991,1991-10-27,8,24.042,SFO,@,PHI,W 23-7,2,5,2.50,0,,0,0,,0,,,1,26,26.00,0,0,0,,0,0,0
25,1991,1991-11-03,9,24.049,SFO,@,ATL,L 14-17,4,25,6.25,0,,2,29,14.50,0,,,3,58,19.33,0,0,0,,0,0,0
26,1991,1991-11-10,10,24.056,SFO,@,NOR,L 3-10,3,8,2.67,0,,3,23,7.67,0,,,0,0,,0,0,0,,0,0,0
27,1991,1991-11-17,11,24.063,SFO,,PHO,W 14-10,4,21,5.25,0,,1,5,5.00,0,,,3,45,15.00,0,0,0,,0,0,0
28,1991,1991-11-25,12,24.071,SFO,@,RAM,W 33-10,14,38,2.71,1,,0,0,,0,,,1,21,21.00,0,0,0,,0,1,6
29,1991,1991-12-01,13,24.077,SFO,,NOR,W 38-24,1,4,4.00,0,,4,45,11.25,1,,,3,134,44.67,1,0,0,,0,2,12
30,1991,1991-12-08,14,24.084,SFO,@,SEA,W 24-22,3,14,4.67,0,,1,4,4.00,0,,,5,84,16.80,0,0,0,,0,0,0
31,1991,1991-12-14,15,24.090,SFO,,KAN,W 28-14,11,81,7.36,1,,3,31,10.33,0,,,2,48,24.00,0,0,0,,0,1,6
32,1991,1991-12-23,16,24.099,SFO,,CHI,W 52-14,9,36,4.00,0,,3,46,15.33,0,,,2,40,20.00,0,0,0,,0,0,0
33,1992,1992-11-22,11,25.068,SFO,@,RAM,W 27-10,0,0,,0,,0,0,,0,0.0%,,2,55,27.50,0,0,0,,0,0,0
34,1992,1992-11-29,12,25.075,SFO,,PHI,W 20-14,0,0,,0,2,1,43,43.00,1,50.0%,21.50,0,0,,0,0,0,,0,1,6
35,1992,1992-12-06,13,25.082,SFO,,MIA,W 27-3,4,9,2.25,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
36,1993,1993-09-05,1,25.355,SFO,@,PIT,W 24-13,1,-1,-1.00,0,,0,0,,0,0.0%,,0,0,,0,3,17,5.67,0,0,0
37,1993,1993-09-13,2,25.363,SFO,@,CLE,L 13-23,0,0,,0,,0,0,,0,0.0%,,0,0,,0,3,29,9.67,0,0,0
38,1993,1993-09-19,3,26.004,SFO,,ATL,W 37-30,0,0,,0,,0,0,,0,0.0%,,2,42,21.00,0,2,40,20.00,0,0,0
39,1993,1993-09-26,4,26.011,SFO,@,NOR,L 13-16,0,0,,0,,0,0,,0,0.0%,,0,0,,0,1,4,4.00,0,0,0
40,1993,1993-10-03,5,26.018,SFO,,MIN,W 38-19,0,0,,0,,0,0,,0,0.0%,,3,64,21.33,0,5,131,26.20,1,1,6
41,1993,1993-10-17,6,26.032,SFO,@,DAL,L 17-26,0,0,,0,1,0,0,,0,0.0%,0.00,5,68,13.60,0,1,13,13.00,0,0,0
42,1993,1993-10-24,7,26.039,SFO,,PHO,W 28-14,0,0,,0,1,0,0,,0,0.0%,0.00,1,9,9.00,0,0,0,,0,0,0
43,1993,1993-10-31,8,26.046,SFO,,RAM,W 40-17,0,0,,0,,0,0,,0,0.0%,,1,7,7.00,0,1,0,0.00,0,0,0
44,1993,1993-11-14,9,26.060,SFO,@,TAM,W 45-21,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,1,5,5.00,0,0,0
45,1993,1993-11-22,10,26.068,SFO,,NOR,W 42-7,3,5,1.67,0,,0,0,,0,0.0%,,1,16,16.00,0,2,25,12.50,0,0,0
46,1993,1993-11-28,11,26.074,SFO,@,RAM,W 35-10,0,0,,0,,0,0,,0,0.0%,,0,0,,0,5,71,14.20,0,0,0
47,1993,1993-12-05,12,26.081,SFO,,CIN,W 21-8,0,0,,0,1,0,0,,0,0.0%,0.00,2,52,26.00,0,2,12,6.00,0,0,0
48,1993,1993-12-11,13,26.087,SFO,@,ATL,L 24-27,0,0,,0,2,1,14,14.00,0,50.0%,7.00,2,24,12.00,0,1,0,0.00,0,0,0
49,1993,1993-12-19,14,26.095,SFO,@,DET,W 55-17,1,50,50.00,1,,0,0,,0,0.0%,,0,0,,0,3,34,11.33,0,1,6
50,1993,1993-12-25,15,26.101,SFO,,HOU,L 7-10,1,1,1.00,0,,0,0,,0,0.0%,,2,21,10.50,0,2,20,10.00,0,0,0
51,1993,1994-01-03,16,26.110,SFO,,PHI,L 34-37,4,17,4.25,0,3,2,26,13.00,0,66.7%,8.67,6,191,31.83,0,2,10,5.00,0,0,0
52,1994,1994-09-05,1,26.355,SFO,,RAI,W 44-14,1,7,7.00,0,0,0,0,,0,0.0%,,2,56,28.00,0,2,22,11.00,0,0,0
53,1994,1994-09-11,2,26.361,SFO,@,KAN,L 17-24,1,18,18.00,0,0,0,0,,0,0.0%,,4,104,26.00,0,2,40,20.00,0,0,0
54,1994,1994-09-18,3,27.003,SFO,@,RAM,W 34-19,0,0,,0,0,0,0,,0,0.0%,,3,87,29.00,0,3,18,6.00,0,0,0
55,1994,1994-09-25,4,27.010,SFO,,NOR,W 24-13,0,0,,0,0,0,0,,0,0.0%,,4,77,19.25,0,4,17,4.25,0,0,0
56,1994,1994-10-02,5,27.017,SFO,,PHI,L 8-40,0,0,,0,0,0,0,,0,0.0%,,5,86,17.20,0,1,6,6.00,0,0,0
57,1994,1994-10-09,6,27.024,SFO,@,DET,W 27-21,0,0,,0,0,0,0,,0,0.0%,,4,98,24.50,0,2,25,12.50,0,0,0
58,1994,1994-10-16,7,27.031,SFO,@,ATL,W 42-3,0,0,,0,0,0,0,,0,0.0%,,2,51,25.50,0,1,26,26.00,0,0,0
59,1994,1994-10-23,8,27.038,SFO,,TAM,W 41-16,0,0,,0,1,1,10,10.00,0,100.0%,10.00,1,17,17.00,0,1,-1,-1.00,0,0,0
60,1994,1994-11-06,9,27.052,SFO,@,WAS,W 37-22,1,-5,-5.00,0,1,1,5,5.00,0,100.0%,5.00,4,148,37.00,1,5,48,9.60,0,1,6
61,1994,1994-11-13,10,27.059,SFO,,DAL,W 21-14,0,0,,0,0,0,0,,0,0.0%,,2,31,15.50,0,4,30,7.50,0,0,0
62,1994,1994-11-20,11,27.066,SFO,,RAM,W 31-27,2,17,8.50,0,1,1,6,6.00,0,100.0%,6.00,4,74,18.50,0,0,0,,0,0,0
63,1994,1994-11-28,12,27.074,SFO,@,NOR,W 35-14,1,3,3.00,0,2,2,25,12.50,0,100.0%,12.50,1,45,45.00,0,2,11,5.50,0,0,0
64,1994,1994-12-04,13,27.080,SFO,,ATL,W 50-14,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0,2,8,4.00,0,0,0
65,1994,1994-12-11,14,27.087,SFO,@,SDG,W 38-15,0,0,,0,0,0,0,,0,0.0%,,3,54,18.00,0,3,32,10.67,0,0,0
66,1994,1994-12-17,15,27.093,SFO,,DEN,W 42-19,0,0,,0,1,1,44,44.00,0,100.0%,44.00,4,85,21.25,0,2,15,7.50,0,0,0
67,1994,1994-12-26,16,27.102,SFO,@,MIN,L 14-21,2,-6,-3.00,0,1,1,9,9.00,0,100.0%,9.00,4,71,17.75,0,4,24,6.00,0,0,0
68,1995,1995-09-03,1,27.353,NYJ,@,MIA,L 14-52,0,0,,0,1,1,0,0.00,0,100.0%,0.00,6,103,17.17,0,2,16,8.00,0,0,0
69,1995,1995-09-10,2,27.360,NYJ,,IND,L 24-27,0,0,,0,0,0,0,,0,0.0%,,2,26,13.00,0,1,1,1.00,0,0,0
70,1995,1995-09-17,3,28.002,NYJ,,JAX,W 27-10,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,4,24,6.00,0,0,0
71,1995,1995-09-24,4,28.009,NYJ,@,ATL,L 3-13,0,0,,0,0,0,0,,0,0.0%,,2,68,34.00,0,1,9,9.00,0,0,0
72,1995,1995-10-01,5,28.016,NYJ,,OAK,L 10-47,0,0,,0,0,0,0,,0,0.0%,,7,191,27.29,0,3,19,6.33,0,0,0
73,1995,1995-10-08,6,28.023,NYJ,@,BUF,L 10-29,0,0,,0,0,0,0,,0,0.0%,,4,51,12.75,0,0,0,,0,0,0
74,1995,1995-10-15,7,28.030,NYJ,@,CAR,L 15-26,0,0,,0,0,0,0,,0,0.0%,,2,35,17.50,0,1,14,14.00,0,0,0
75,1995,1995-10-22,8,28.037,NYJ,,MIA,W 17-16,0,0,,0,0,0,0,,0,0.0%,,3,104,34.67,0,3,24,8.00,0,0,0
76,1995,1995-10-29,9,28.044,NYJ,@,IND,L 10-17,0,0,,0,0,0,0,,0,0.0%,,1,41,41.00,0,4,30,7.50,0,0,0
77,1995,1995-11-05,10,28.051,NYJ,,NWE,L 7-20,0,0,,0,0,0,0,,0,0.0%,,5,63,12.60,0,2,8,4.00,0,0,0
78,1995,1995-11-12,10,28.058,SFO,@,DAL,W 38-20,0,0,,0,0,0,0,,0,0.0%,,4,72,18.00,0,1,21,21.00,0,0,0
79,1995,1995-11-20,11,28.066,SFO,@,MIA,W 44-20,0,0,,0,1,0,0,,0,0.0%,0.00,4,105,26.25,0,3,17,5.67,0,0,0
80,1995,1995-11-26,12,28.072,SFO,,STL,W 41-13,0,0,,0,0,0,0,,0,0.0%,,2,41,20.50,0,0,0,,0,0,0
81,1995,1995-12-03,13,28.079,SFO,,BUF,W 27-17,0,0,,0,0,0,0,,0,0.0%,,3,79,26.33,0,0,0,,0,0,0
82,1995,1995-12-10,14,28.086,SFO,@,CAR,W 31-10,6,19,3.17,0,2,1,4,4.00,0,50.0%,2.00,1,19,19.00,0,0,0,,0,0,0
83,1995,1995-12-18,15,28.094,SFO,,MIN,W 37-30,1,3,3.00,0,0,0,0,,0,0.0%,,5,122,24.40,0,4,126,31.50,1,1,6
84,1995,1995-12-24,16,28.100,SFO,@,ATL,L 27-28,0,0,,0,1,0,0,,0,0.0%,0.00,4,84,21.00,0,1,0,0.00,0,0,0
85,1996,1996-09-01,1,28.352,SFO,,NOR,W 27-11,0,0,,0,0,0,0,,0,0.0%,,3,68,22.67,0,1,5,5.00,0,0,0
86,1996,1996-09-08,2,28.359,SFO,,STL,W 34-0,3,15,5.00,1,0,0,0,,0,0.0%,,1,27,27.00,0,4,31,7.75,0,1,6
87,1996,1996-09-22,3,29.007,SFO,@,CAR,L 7-23,2,7,3.50,0,0,0,0,,0,0.0%,,4,81,20.25,0,2,6,3.00,0,0,0
88,1996,1996-09-29,4,29.014,SFO,,ATL,W 39-17,1,18,18.00,0,0,0,0,,0,0.0%,,2,50,25.00,0,2,19,9.50,0,0,0
89,1996,1996-10-06,5,29.021,SFO,@,STL,W 28-11,5,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,3,60,20.00,0,0,0
90,1996,1996-10-14,6,29.029,SFO,@,GNB,L 20-23,0,0,,0,0,0,0,,0,0.0%,,6,141,23.50,0,1,12,12.00,0,0,0
91,1996,1996-10-20,7,29.035,SFO,,CIN,W 28-21,1,18,18.00,0,0,0,0,,0,0.0%,,1,15,15.00,0,1,8,8.00,0,0,0
92,1996,1996-10-27,8,29.042,SFO,@,HOU,W 10-9,0,0,,0,0,0,0,,0,0.0%,,2,40,20.00,0,4,21,5.25,0,0,0
93,1996,1996-11-03,9,29.049,SFO,@,NOR,W 24-17,0,0,,0,0,0,0,,0,0.0%,,3,106,35.33,0,4,32,8.00,0,0,0
94,1996,1996-11-10,10,29.056,SFO,,DAL,L 17-20,1,-2,-2.00,0,0,0,0,,0,0.0%,,2,33,16.50,0,4,64,16.00,0,0,0
95,1996,1996-11-17,11,29.063,SFO,,BAL,W 38-20,0,0,,0,0,0,0,,0,0.0%,,2,26,13.00,0,3,25,8.33,0,0,0
96,1996,1996-11-24,12,29.070,SFO,@,WAS,W 19-16,1,-7,-7.00,0,1,0,0,,0,0.0%,0.00,5,118,23.60,0,1,11,11.00,0,0,0
97,1996,1996-12-02,13,29.078,SFO,@,ATL,W 34-10,1,0,0.00,0,0,0,0,,0,0.0%,,2,41,20.50,0,2,3,1.50,0,0,0
98,1996,1996-12-08,14,29.084,SFO,,CAR,L 24-30,0,0,,0,0,0,0,,0,0.0%,,7,130,18.57,0,2,6,3.00,0,0,0
99,1996,1996-12-15,15,29.091,SFO,@,PIT,W 25-15,0,0,,0,,,,,,0.0%,,0,0,,0,0,0,,0,,
100,1996,1996-12-23,16,29.099,SFO,,DET,W 24-14,4,17,4.25,0,0,0,0,,0,0.0%,,1,33,33.00,0,2,14,7.00,0,0,0
