ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
47,1972,1972-09-24,2,29.221,WAS,,STL,W 24-10,,,,,,,,,,,,,,,,,,,
48,1972,1972-10-01,3,29.228,WAS,@,NWE,L 23-24,,,,,,,,,,,,,,,,,,,
49,1972,1972-10-08,4,29.235,WAS,,PHI,W 14-0,,,,,,,,,,,,,,,,,,,
50,1972,1972-10-15,5,29.242,WAS,@,STL,W 33-3,,,,,,,,,,,,,,,,,,,
51,1972,1972-10-22,6,29.249,WAS,,DAL,W 24-20,,,,,,,,,,,,,,,,,,,
52,1972,1972-10-29,7,29.256,WAS,@,NYG,W 23-16,,,,,,,,,,,,,,,,,,,
53,1972,1972-11-05,8,29.263,WAS,@,NYJ,W 35-17,,,,,,,,,,,,,,,,,,,
54,1972,1972-11-12,9,29.270,WAS,,NYG,W 27-13,,,,,,,,,,,,,,,,,,,
55,1972,1972-11-20,10,29.278,WAS,,ATL,W 24-13,,,,,,,,,,,,,,,,,,,
56,1972,1972-11-26,11,29.284,WAS,,GNB,W 21-16,,,,,,,,,,,,,,,,,,,
57,1972,1972-12-03,12,29.291,WAS,@,PHI,W 23-7,,,,,,,,,,,,,,,,,,,
58,1972,1972-12-09,13,29.297,WAS,@,DAL,L 24-34,,,,,,,,,,,,,,,,,,,
59,1972,1972-12-17,14,29.305,WAS,,BUF,L 17-24,0,0,,0,0,0,,0,,,,,,,0,0,1,0,0
60,1973,1973-09-16,1,30.212,WAS,,SDG,W 38-0,0,0,,0,0,0,,0,,,,,,,0,0,1,19,0
61,1973,1973-09-23,2,30.219,WAS,@,STL,L 27-34,,,,,,,,,,,,,,,,,,,
62,1973,1973-09-30,3,30.226,WAS,@,PHI,W 28-7,,,,,,,,,,,,,,,,,,,
63,1973,1973-10-08,4,30.234,WAS,,DAL,W 14-7,0,0,,0,0,0,,0,,,,,,,1,6,1,26,1
64,1973,1973-10-14,5,30.240,WAS,@,NYG,W 21-3,,,,,,,,,,,,,,,,,,,
65,1973,1973-10-21,6,30.247,WAS,,STL,W 31-13,,,,,,,,,,,,,,,,,,,
66,1973,1973-10-28,7,30.254,WAS,@,NOR,L 3-19,,,,,,,,,,,,,,,,,,,
67,1973,1973-11-05,8,30.262,WAS,@,PIT,L 16-21,0,0,,0,0,0,,0,,,,,,,0,0,2,44,0
68,1973,1973-11-11,9,30.268,WAS,,SFO,W 33-9,0,0,,0,0,0,,0,,,,,,,0,0,1,21,0
69,1973,1973-11-18,10,30.275,WAS,,BAL,W 22-14,,,,,,,,,,,,,,,,,0,13,0
70,1973,1973-11-22,11,30.279,WAS,@,DET,W 20-0,,,,,,,,,,,,,,,,,,,
71,1973,1973-12-02,12,30.289,WAS,,NYG,W 27-24,,,,,,,,,,,,,,,,,,,
72,1973,1973-12-09,13,30.296,WAS,@,DAL,L 7-27,,,,,,,,,,,,,,,,,,,
73,1973,1973-12-16,14,30.303,WAS,,PHI,W 38-20,,,,,,,,,,,,,,,,,,,
74,1974,1974-09-15,1,31.211,WAS,@,NYG,W 13-10,,,,,,,,,,,,,,,,,,,
75,1974,1974-09-22,2,31.218,WAS,,STL,L 10-17,,,,,,,,,,,,,,,,,,,
76,1974,1974-09-30,3,31.226,WAS,,DEN,W 30-3,0,0,,0,0,0,,0,,,,,,,0,0,1,16,0
77,1974,1974-10-06,4,31.232,WAS,@,CIN,L 17-28,,,,,,,,,,,,,,,,,,,
78,1974,1974-10-13,5,31.239,WAS,,MIA,W 20-17,,,,,,,,,,,,,,,,,,,
79,1974,1974-10-20,6,31.246,WAS,,NYG,W 24-3,0,0,,0,0,0,,0,,,,,,,0,0,1,24,0
80,1974,1974-10-27,7,31.253,WAS,@,STL,L 20-23,,,,,,,,,,,,,,,,,,,
81,1974,1974-11-03,8,31.260,WAS,@,GNB,W 17-6,,,,,,,,,,,,,,,,,,,
82,1974,1974-11-10,9,31.267,WAS,@,PHI,W 27-20,0,0,,0,0,0,,0,,,,,,,0,0,1,19,0
83,1974,1974-11-17,10,31.274,WAS,,DAL,W 28-21,,,,,,,,,,,,,,,,,,,
84,1974,1974-11-24,11,31.281,WAS,,PHI,W 26-7,,,,,,,,,,,,,,,,,,,
85,1974,1974-11-28,12,31.285,WAS,@,DAL,L 23-24,,,,,,,,,,,,,,,,,,,
86,1974,1974-12-09,13,31.296,WAS,@,RAM,W 23-17,,,,,,,,,,,,,,,,,,,
87,1974,1974-12-15,14,31.302,WAS,,CHI,W 42-0,0,0,,0,0,0,,0,,,,,,,0,0,1,0,0
88,1975,1975-09-21,1,32.217,WAS,,NOR,W 41-3,,,,,,,,,,,,,,,,,,,
89,1975,1975-09-28,2,32.224,WAS,,NYG,W 49-13,,,,,,,,,,,,,,,,,,,
90,1975,1975-10-05,3,32.231,WAS,@,PHI,L 10-26,,,,,,,,,,,,,,,,,,,
91,1975,1975-10-13,4,32.239,WAS,,STL,W 27-17,,,,,,,,,,,,,,,,,,,
92,1975,1975-10-19,5,32.245,WAS,@,HOU,L 10-13,,,,,,,,,,,,,,,,,,,
93,1975,1975-10-26,6,32.252,WAS,@,CLE,W 23-7,,,,,,,,,,,,,,,,,,,
94,1975,1975-11-02,7,32.259,WAS,,DAL,W 30-24,,,,,,,,,,,,,,,,,,,
95,1975,1975-11-09,8,32.266,WAS,@,NYG,W 21-13,,,,,,,,,,,,,,,,,,,
96,1975,1975-11-16,9,32.273,WAS,@,STL,L 17-20,,,,,,,,,,,,,,,,,,,
97,1975,1975-11-23,10,32.280,WAS,,OAK,L 23-26,,,,,,,,,,,,,,,,,,,
98,1975,1975-11-30,11,32.287,WAS,,MIN,W 31-30,,,,,,,,,,,,,,,,,,,
99,1975,1975-12-07,12,32.294,WAS,@,ATL,W 30-27,0,0,,0,0,0,,0,,,,,,,0,0,1,25,0
100,1975,1975-12-13,13,32.300,WAS,@,DAL,L 10-31,,,,,,,,,,,,,,,,,,,
101,1975,1975-12-21,14,32.308,WAS,,PHI,L 3-26,,,,,,,,,,,,,,,,,,,
102,1976,1976-09-12,1,33.209,WAS,,NYG,W 19-17,,,,,,,,,,,,,,,,,,,
103,1976,1976-09-19,2,33.216,WAS,,SEA,W 31-7,,,,,,,,,,,,,,,,,,,
104,1976,1976-09-27,3,33.224,WAS,@,PHI,W 20-17,,,,,,,,,,,,,,,,,,,
105,1976,1976-10-03,4,33.230,WAS,@,CHI,L 7-33,,,,,,,,,,,,,,,,,,,
106,1976,1976-10-10,5,33.237,WAS,,KAN,L 30-33,,,,,,,,,,,,,,,,,,,
107,1976,1976-10-17,6,33.244,WAS,,DET,W 20-7,,,,,,,,,,,,,,,,,,,
108,1976,1976-10-25,7,33.252,WAS,,STL,W 20-10,,,,,,,,,,,,,,,,,,,
109,1976,1976-10-31,8,33.258,WAS,,DAL,L 7-20,,,,,,,,,,,,,,,,,,,
110,1976,1976-11-07,9,33.265,WAS,@,SFO,W 24-21,,,,,,,,,,,,,,,,,,,
111,1976,1976-11-14,10,33.272,WAS,@,NYG,L 9-12,1,15,15.00,0,0,0,,0,,,,,,,0,0,0,0,0
112,1976,1976-11-21,11,33.279,WAS,@,STL,W 16-10,,,,,,,,,,,,,,,,,,,
113,1976,1976-11-28,12,33.286,WAS,,PHI,W 24-0,,,,,,,,,,,,,,,,,,,
114,1976,1976-12-05,13,33.293,WAS,@,NYJ,W 37-16,,,,,,,,,,,,,,,,,,,
115,1976,1976-12-12,14,33.300,WAS,@,DAL,W 27-14,,,,,,,,,,,,,,,,,,,
116,1977,1977-10-09,4,34.235,WAS,@,TAM,W 10-0,,,,,,,,,,,,,,,,,,,
117,1977,1977-10-23,6,34.249,WAS,,NYG,L 6-17,,,,,,,,,,,,,,,,,,,
118,1977,1977-10-30,7,34.256,WAS,,PHI,W 23-17,,,,,,,,,,,,,,,,,,,
119,1977,1977-11-07,8,34.264,WAS,@,BAL,L 3-10,,,,,,,,,,,,,,,,,,,
