ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
81,2011,2011-11-28,11,28.176,NOR,,NYG,W 49-24,*,6,3,78,26.00,0,50.0%,13.00,0,0,,0,0,0,0.0,0,0
82,2011,2011-12-04,12,28.182,NOR,,DET,W 31-17,,8,6,54,9.00,0,75.0%,6.75,0,0,,0,0,0,0.0,0,0
83,2011,2011-12-11,13,28.189,NOR,@,TEN,W 22-17,,7,7,105,15.00,2,100.0%,15.00,0,0,,0,2,12,0.0,0,0
84,2011,2011-12-18,14,28.196,NOR,@,MIN,W 42-20,*,9,8,91,11.38,0,88.9%,10.11,0,0,,0,0,0,0.0,0,0
85,2011,2011-12-26,15,28.204,NOR,,ATL,W 45-16,,11,7,81,11.57,1,63.6%,7.36,0,0,,0,1,6,0.0,0,0
86,2011,2012-01-01,16,28.210,NOR,,CAR,W 45-17,,10,7,145,20.71,2,70.0%,14.50,0,0,,0,2,12,0.0,0,0
87,2012,2012-09-09,1,29.096,NOR,,WAS,L 32-40,*,11,4,71,17.75,0,36.4%,6.45,0,0,,0,0,0,0.0,0,0
88,2012,2012-09-16,2,29.103,NOR,@,CAR,L 27-35,*,4,3,49,16.33,0,75.0%,12.25,0,0,,0,0,0,0.0,0,0
89,2012,2012-09-23,3,29.110,NOR,,KAN,L 24-27,,4,3,40,13.33,0,75.0%,10.00,0,0,,0,0,0,0.0,0,0
90,2012,2012-09-30,4,29.117,NOR,@,GNB,L 27-28,*,13,9,153,17.00,1,69.2%,11.77,0,0,,0,1,6,0.0,0,0
91,2012,2012-10-07,5,29.124,NOR,,SDG,W 31-24,*,18,9,131,14.56,3,50.0%,7.28,0,0,,0,3,18,0.0,0,0
92,2012,2012-10-21,6,29.138,NOR,@,TAM,W 35-28,*,10,7,73,10.43,1,70.0%,7.30,0,0,,0,1,6,0.0,0,0
93,2012,2012-10-28,7,29.145,NOR,@,DEN,L 14-34,*,10,5,63,12.60,0,50.0%,6.30,0,0,,0,0,0,0.0,0,0
94,2012,2012-11-05,8,29.153,NOR,,PHI,W 28-13,*,4,4,46,11.50,1,100.0%,11.50,0,0,,0,1,6,0.0,0,0
95,2012,2012-11-11,9,29.159,NOR,,ATL,W 31-27,*,6,3,26,8.67,1,50.0%,4.33,0,0,,0,1,6,0.0,0,0
96,2012,2012-11-18,10,29.166,NOR,@,OAK,W 38-17,*,6,4,69,17.25,0,66.7%,11.50,0,0,,0,0,0,0.0,0,0
97,2012,2012-11-25,11,29.173,NOR,,SFO,L 21-31,*,5,4,36,9.00,1,80.0%,7.20,0,0,,0,1,6,0.0,0,0
98,2012,2012-11-29,12,29.177,NOR,@,ATL,L 13-23,*,11,6,71,11.83,0,54.5%,6.45,0,0,,0,0,0,0.0,0,0
99,2012,2012-12-09,13,29.187,NOR,@,NYG,L 27-52,,4,4,61,15.25,0,100.0%,15.25,0,0,,0,0,0,0.0,0,0
