ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,def_int,def_int_yds,def_int_td
29,1970,1970-11-09,8,33.184,GNB,,BAL,L 10-13,0,0,,0,0,0,1,18,0
30,1970,1970-11-15,9,33.190,GNB,,CHI,W 20-19,,,,,,,,,
31,1970,1970-11-22,10,33.197,GNB,@,MIN,L 3-10,,,,,,,,,
32,1970,1970-11-26,11,33.201,GNB,@,DAL,L 3-16,,,,,,,,,
33,1970,1970-12-06,12,33.211,GNB,@,PIT,W 20-12,0,0,,0,0,0,1,8,0
34,1970,1970-12-13,13,33.218,GNB,@,CHI,L 17-35,,,,,,,,,
35,1970,1970-12-20,14,33.225,GNB,@,DET,L 0-20,,,,,,,,,
36,1971,1971-10-03,3,34.147,CHI,@,RAM,L 3-17,,,,,,,,,
37,1971,1971-10-10,4,34.154,CHI,,NOR,W 35-14,,,,,,,,,
38,1971,1971-10-17,5,34.161,CHI,@,SFO,L 0-13,,,,,,,,,
39,1971,1971-10-24,6,34.168,CHI,@,DET,W 28-23,0,0,,0,0,0,1,0,0
40,1971,1971-10-31,7,34.175,CHI,,DAL,W 23-19,,,,,,,,,
41,1971,1971-11-29,11,34.204,CHI,@,MIA,L 3-34,,,,,,,,,
42,1971,1971-12-05,12,34.210,CHI,@,DEN,L 3-6,,,,,,,,,
43,1971,1971-12-12,13,34.217,CHI,@,GNB,L 10-31,,,,,,,,,
44,1971,1971-12-19,14,34.224,CHI,,MIN,L 10-27,,,,,,,,,
45,1972,1972-10-08,4,35.152,CHI,@,GNB,L 17-20,,,,,,,,,
46,1972,1972-10-15,5,35.159,CHI,@,CLE,W 17-0,,,,,,,,,
47,1972,1972-10-23,6,35.167,CHI,,MIN,W 13-10,,,,,,,,,
48,1972,1972-10-29,7,35.173,CHI,@,STL,W 27-10,,,,,,,,,
49,1972,1972-11-05,8,35.180,CHI,@,DET,L 0-14,,,,,,,,,
50,1972,1972-11-12,9,35.187,CHI,,GNB,L 17-23,0,0,,0,0,0,1,0,0
51,1972,1972-11-19,10,35.194,CHI,,SFO,L 21-34,,,,,,,,,
52,1972,1972-11-26,11,35.201,CHI,,CIN,L 3-13,,,,,,,,,
53,1972,1972-12-03,12,35.208,CHI,@,MIN,L 10-23,0,0,,0,0,0,1,0,0
54,1972,1972-12-17,14,35.222,CHI,@,OAK,L 21-28,,,,,,,,,
55,1973,1973-09-16,1,36.130,CHI,,DAL,L 17-20,,,,,,,,,
56,1973,1973-09-23,2,36.137,CHI,,MIN,L 13-22,,,,,,,,,
57,1973,1973-09-30,3,36.144,CHI,@,DEN,W 33-14,,,,,,,,,
58,1973,1973-10-07,4,36.151,CHI,@,NOR,L 16-21,,,,,,,,,
59,1973,1973-10-14,5,36.158,CHI,@,ATL,L 6-46,,,,,,,,,
60,1973,1973-10-21,6,36.165,CHI,,NWE,L 10-13,,,,,,,,,
61,1973,1973-10-28,7,36.172,CHI,,HOU,W 35-14,,,,,,,,,
62,1973,1973-11-04,8,36.179,CHI,@,GNB,W 31-17,,,,,,,,,
63,1973,1973-11-12,9,36.187,CHI,@,KAN,L 7-19,,,,,,,,,
64,1973,1973-11-18,10,36.193,CHI,,DET,L 7-30,,,,,,,,,
65,1973,1973-11-25,11,36.200,CHI,@,MIN,L 13-31,,,,,,,,,
66,1973,1973-12-02,12,36.207,CHI,,RAM,L 0-26,,,,,,,,,
67,1973,1973-12-09,13,36.214,CHI,@,DET,L 7-40,,,,,,,,,
