ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
80,1991,1991-12-01,13,29.114,CLE,@,IND,W 31-0,9,69,7.67,1,,3,19,6.33,1,,,2,12
81,1991,1991-12-08,14,29.121,CLE,,DEN,L 7-17,14,87,6.21,1,,3,13,4.33,0,,,1,6
82,1991,1991-12-15,15,29.128,CLE,,HOU,L 14-17,15,73,4.87,0,,3,24,8.00,0,,,0,0
83,1991,1991-12-22,16,29.135,CLE,@,PIT,L 10-17,8,23,2.88,0,,2,18,9.00,0,,,0,0
84,1992,1992-10-11,5,30.063,CLE,,PIT,W 17-9,12,32,2.67,1,2,1,9,9.00,0,50.0%,4.50,1,6
85,1992,1992-10-18,6,30.070,CLE,,GNB,W 17-6,19,75,3.95,2,,0,0,,0,0.0%,,2,12
86,1992,1992-10-25,7,30.077,CLE,@,NWE,W 19-17,16,38,2.38,0,1,1,4,4.00,0,100.0%,4.00,0,0
87,1992,1992-11-01,8,30.084,CLE,@,CIN,L 10-30,11,30,2.73,0,2,2,22,11.00,0,100.0%,11.00,0,0
88,1992,1992-11-08,9,30.091,CLE,@,HOU,W 24-14,13,39,3.00,0,2,2,10,5.00,0,100.0%,5.00,0,0
89,1992,1992-11-15,10,30.098,CLE,,SDG,L 13-14,17,35,2.06,0,,0,0,,0,0.0%,,0,0
90,1992,1992-11-22,11,30.105,CLE,@,MIN,L 13-17,14,47,3.36,1,1,0,0,,0,0.0%,0.00,1,6
91,1992,1992-11-29,12,30.112,CLE,,CHI,W 27-14,20,53,2.65,1,1,1,3,3.00,0,100.0%,3.00,1,6
92,1992,1992-12-06,13,30.119,CLE,,CIN,W 37-21,10,40,4.00,1,1,1,3,3.00,0,100.0%,3.00,1,6
93,1992,1992-12-13,14,30.126,CLE,@,DET,L 14-24,6,27,4.50,0,1,1,23,23.00,0,100.0%,23.00,0,0
94,1992,1992-12-20,15,30.133,CLE,,HOU,L 14-17,21,95,4.52,0,3,3,14,4.67,0,100.0%,4.67,0,0
95,1992,1992-12-27,16,30.140,CLE,@,PIT,L 13-23,10,32,3.20,0,1,1,-7,-7.00,0,100.0%,-7.00,0,0
96,1993,1993-12-12,13,31.125,CLE,@,HOU,L 17-19,4,16,4.00,0,,0,0,,0,0.0%,,0,0
97,1993,1993-12-19,14,31.132,CLE,,NWE,L 17-20,0,0,,0,,,,,,0.0%,,,
98,1993,1993-12-26,15,31.139,CLE,@,RAM,W 42-14,6,17,2.83,1,,0,0,,0,0.0%,,1,6
99,1993,1994-01-02,16,31.146,CLE,@,PIT,L 9-16,0,0,,0,,,,,,0.0%,,,
