ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
33,2006,2006-09-24,3,23.051,GNB,@,DET,W 31-24,,0,,,,,0.0%,,,,,,,,,,,
34,2006,2006-10-02,4,23.059,GNB,@,PHI,L 9-31,,0,0,0,,0,0.0%,,0,0,,0,1.0,,,0,0,0
35,2006,2006-11-26,11,23.114,JAX,@,BUF,L 24-27,,0,,,,,0.0%,,,,,,,,,,,
36,2008,2008-09-07,1,25.034,NYJ,@,MIA,W 20-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
37,2008,2008-09-14,2,25.041,NYJ,,NWE,L 10-19,,,,,,,0.0%,,,,,,,,,,,
38,2008,2008-09-22,3,25.049,NYJ,@,SDG,L 29-48,,,,,,,0.0%,,,,,,,,,,,
39,2008,2008-09-28,4,25.055,NYJ,,ARI,W 56-35,,,,,,,0.0%,,,,,,,,,,,
40,2008,2008-10-12,5,25.069,NYJ,,CIN,W 26-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1,0,0,0
41,2008,2008-10-19,6,25.076,NYJ,@,OAK,L 13-16,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
42,2008,2008-10-26,7,25.083,NYJ,,KAN,W 28-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
43,2008,2008-11-02,8,25.090,NYJ,@,BUF,W 26-17,,,,,,,0.0%,,,,,,,,,,,
44,2008,2008-11-09,9,25.097,NYJ,,STL,W 47-3,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
45,2008,2008-11-13,10,25.101,NYJ,@,NWE,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
46,2008,2008-11-23,11,25.111,NYJ,@,TEN,W 34-13,,,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
47,2008,2008-11-30,12,25.118,NYJ,,DEN,L 17-34,,,,,,,0.0%,,,,,,,,,,,
48,2008,2008-12-07,13,25.125,NYJ,@,SFO,L 14-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
49,2008,2008-12-14,14,25.132,NYJ,,BUF,W 31-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
50,2008,2008-12-21,15,25.139,NYJ,@,SEA,L 3-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1,0,0,0
51,2008,2008-12-28,16,25.146,NYJ,,MIA,L 17-24,,1,0,11,,0,0.0%,11.00,0,0,,0,0.0,0,0,0,0,0
52,2009,2009-09-13,1,26.040,NYJ,@,HOU,W 24-7,,,,,,,0.0%,,,,,,,,,,,
53,2009,2009-09-20,2,26.047,NYJ,,NWE,W 16-9,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
54,2009,2009-09-27,3,26.054,NYJ,,TEN,W 24-17,,,,,,,0.0%,,,,,,,,,,,
55,2009,2009-10-04,4,26.061,NYJ,@,NOR,L 10-24,,,,,,,0.0%,,,,,,,,,,,
56,2009,2009-10-18,6,26.075,NYJ,,BUF,L 13-16,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
57,2009,2009-10-25,7,26.082,NYJ,@,OAK,W 38-0,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
