ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,def_int,def_int_yds,def_int_td
78,1975,1975-11-09,8,29.126,RAM,,SFO,L 23-24,,,,,,,,,,
79,1975,1975-11-16,9,29.133,RAM,@,ATL,W 16-7,,,,,,,,,,
80,1975,1975-11-23,10,29.140,RAM,,CHI,W 38-10,,,,,,,,,,
81,1975,1975-11-27,11,29.144,RAM,@,DET,W 20-0,,,,,,,,,,
82,1975,1975-12-07,12,29.154,RAM,@,NOR,W 14-7,,,,,,,,,,
83,1975,1975-12-14,13,29.161,RAM,,GNB,W 22-5,,,,,,,,,,
84,1975,1975-12-20,14,29.167,RAM,,PIT,W 10-3,,,,,,,,,,
85,1976,1976-09-12,1,30.068,RAM,@,ATL,W 30-14,,,,,,,,,,
86,1976,1976-09-19,2,30.075,RAM,@,MIN,T 10-10,,,,,,,,,,
87,1976,1976-09-26,3,30.082,RAM,,NYG,W 24-10,,,,,,,,,,
88,1976,1976-10-03,4,30.089,RAM,@,MIA,W 31-28,,,,,,,,,,
89,1976,1976-10-11,5,30.097,RAM,,SFO,L 0-16,,,,,,,,,,
90,1976,1976-10-17,6,30.103,RAM,,CHI,W 20-12,,,,,,,,,,
91,1976,1976-10-24,7,30.110,RAM,@,NOR,W 16-10,,,,,,,,,,
92,1976,1976-10-31,8,30.117,RAM,,SEA,W 45-6,,,,,,,,,,
93,1976,1976-11-08,9,30.125,RAM,@,CIN,L 12-20,,,,,,,,,,
94,1976,1976-11-14,10,30.131,RAM,,STL,L 28-30,,,,,,,,,,
95,1976,1976-11-21,11,30.138,RAM,@,SFO,W 23-3,,,,,,,,,,
96,1976,1976-11-28,12,30.145,RAM,,NOR,W 33-14,,,,,,,,,,
97,1976,1976-12-04,13,30.151,RAM,,ATL,W 59-0,,,,,,,,,,
98,1976,1976-12-11,14,30.158,RAM,@,DET,W 20-17,,,,,,,,,,
99,1977,1977-09-18,1,31.074,RAM,@,ATL,L 6-17,,,,,,,,,,
100,1977,1977-09-25,2,31.081,RAM,,PHI,W 20-0,,,,,,,,,,
101,1977,1977-10-02,3,31.088,RAM,,SFO,W 34-14,,,,,,,,,,
102,1977,1977-10-10,4,31.096,RAM,@,CHI,L 23-24,,,,,,,,,,
103,1977,1977-10-16,5,31.102,RAM,,NOR,W 14-7,,,,,,,,,,
104,1977,1977-10-24,6,31.110,RAM,,MIN,W 35-3,,,,,,,,,,
105,1977,1977-10-30,7,31.116,RAM,@,NOR,L 26-27,,,,,,,,,,
106,1977,1977-11-06,8,31.123,RAM,,TAM,W 31-0,,,,,,,,,,
107,1977,1977-11-13,9,31.130,RAM,@,GNB,W 24-6,,,,,,,,,,
108,1977,1977-11-20,10,31.137,RAM,@,SFO,W 23-10,,,,,,,,,,
109,1977,1977-11-27,11,31.144,RAM,@,CLE,W 9-0,,,,,,,,,,
110,1977,1977-12-04,12,31.151,RAM,,OAK,W 20-14,,,,,,,,,,
111,1977,1977-12-11,13,31.158,RAM,,ATL,W 23-7,,,,,,,,,,
112,1977,1977-12-17,14,31.164,RAM,@,WAS,L 14-17,,,,,,,,,,
113,1978,1978-09-03,1,32.059,RAM,@,PHI,W 16-14,,,,,,,,,,
114,1978,1978-09-10,2,32.066,RAM,,ATL,W 10-0,,,,,,,,,,
115,1978,1978-09-17,3,32.073,RAM,,DAL,W 27-14,,,,,,,,,,
116,1978,1978-09-24,4,32.080,RAM,@,HOU,W 10-6,,,,,,,,,,
117,1978,1978-10-01,5,32.087,RAM,@,NOR,W 26-20,,,,,,,,,,
118,1978,1978-10-08,6,32.094,RAM,,SFO,W 27-10,,,,,,,,,,
119,1978,1978-10-15,7,32.101,RAM,@,MIN,W 34-17,,,,,,,,,,
120,1978,1978-10-22,8,32.108,RAM,,NOR,L 3-10,,,,,,,,,,
121,1978,1978-10-30,9,32.116,RAM,@,ATL,L 7-15,,,,,,,,,,
122,1978,1978-11-05,10,32.122,RAM,,TAM,W 26-23,,,,,,,,,,
123,1978,1978-11-12,11,32.129,RAM,,PIT,W 10-7,,,,,,,,,,
124,1978,1978-11-19,12,32.136,RAM,@,SFO,W 31-28,,,,,,,,,,
125,1978,1978-11-26,13,32.143,RAM,@,CLE,L 19-30,,,,,,,,,,
126,1978,1978-12-03,14,32.150,RAM,@,NYG,W 20-17,,,,,,,,,,
127,1978,1978-12-11,15,32.158,RAM,,CIN,L 19-20,,,,,,,,,,
128,1978,1978-12-17,16,32.164,RAM,,GNB,W 31-14,,,,,,,,,,
129,1979,1979-09-02,1,33.058,RAM,,OAK,L 17-24,,,,,,,,,,
130,1979,1979-09-06,2,33.062,RAM,@,DEN,W 13-9,,,,,,,,,,
131,1979,1979-09-16,3,33.072,RAM,,SFO,W 27-24,,,,,,,,,,
132,1979,1979-09-23,4,33.079,RAM,@,TAM,L 6-21,,,,,,,,,,
133,1979,1979-09-30,5,33.086,RAM,,STL,W 21-0,,,,,,,,,,
134,1979,1979-10-07,6,33.093,RAM,@,NOR,W 35-17,,,,,,,,,,
135,1979,1979-10-14,7,33.100,RAM,@,DAL,L 6-30,,,,,,,,,,
136,1979,1979-10-21,8,33.107,RAM,,SDG,L 16-40,,,,,,,,,,
137,1979,1979-10-28,9,33.114,RAM,,NYG,L 14-20,,,,,,,,,,
138,1979,1979-11-04,10,33.121,RAM,@,SEA,W 24-0,,,,,,,,,,
139,1979,1979-11-11,11,33.128,RAM,@,CHI,L 23-27,,,,,,,,,,
140,1979,1979-11-19,12,33.136,RAM,,ATL,W 20-14,,,,,,,,,,
141,1979,1979-11-25,13,33.142,RAM,@,SFO,W 26-20,,,,,,,,,,
142,1979,1979-12-02,14,33.149,RAM,,MIN,W 27-21,,,,,,,,,,
143,1979,1979-12-09,15,33.156,RAM,@,ATL,W 34-13,,,,,,,,,,
144,1979,1979-12-16,16,33.163,RAM,,NOR,L 14-29,,,,,,,,,,
145,1980,1980-09-07,1,34.063,RAM,,DET,L 20-41,,,,,,,,,,
146,1980,1980-09-11,2,34.067,RAM,@,TAM,L 9-10,,,,,,,,,,
147,1980,1980-09-21,3,34.077,RAM,,GNB,W 51-21,,,,,,,,,,
148,1980,1980-09-28,4,34.084,RAM,@,NYG,W 28-7,,,,,,,,,,
149,1980,1980-10-05,5,34.091,RAM,,SFO,W 48-26,,,,,,,,,,
150,1980,1980-10-12,6,34.098,RAM,@,STL,W 21-13,,,,,,,,,,
151,1980,1980-10-19,7,34.105,RAM,@,SFO,W 31-17,,,,,,,,,,
152,1980,1980-10-26,8,34.112,RAM,@,ATL,L 10-13,,,,,,,,,,
153,1980,1980-11-02,9,34.119,RAM,,NOR,W 45-31,,,,,,,,,,
154,1980,1980-11-09,10,34.126,RAM,,MIA,L 14-35,,,,,,,,,,
155,1980,1980-11-16,11,34.133,RAM,@,NWE,W 17-14,,,,,,,,,,
156,1980,1980-11-24,12,34.141,RAM,@,NOR,W 27-7,,,,,,,,,,
157,1980,1980-11-30,13,34.147,RAM,,NYJ,W 38-13,,,,,,,,,,
158,1980,1980-12-07,14,34.154,RAM,@,BUF,L 7-10,,,,,,,,,,
159,1980,1980-12-15,15,34.162,RAM,,DAL,W 38-14,,,,,,,,,,
160,1980,1980-12-21,16,34.168,RAM,,ATL,W 20-17,,,,,,,,,,
161,1981,1981-09-13,2,35.069,RAM,@,NOR,L 17-23,,,,,,,,,,
162,1981,1981-09-20,3,35.076,RAM,,GNB,W 35-23,,,,,,,,,,
