ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
57,2016,2016-11-24,11,25.194,DAL,,WAS,W 31-26,,0,0,,0,,,,,,,0,0,0.0,2,1,0,0,0
58,2016,2016-12-01,12,25.201,DAL,@,MIN,W 17-15,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
59,2016,2016-12-11,13,25.211,DAL,@,NYG,L 7-10,,0,0,,0,,,,,,,0,0,0.0,1,0,0,0,0
60,2016,2016-12-18,14,25.218,DAL,,TAM,W 26-20,,0,0,,0,,,,,,,0,0,0.0,1,0,1,19,0
61,2016,2016-12-26,15,25.226,DAL,,DET,W 42-21,,0,0,,0,,,,,,,0,0,0.0,2,1,0,0,0
62,2016,2017-01-01,16,25.232,DAL,@,PHI,L 13-27,,0,0,,0,,,,,,,0,0,0.0,2,1,0,0,0
63,2017,2017-09-10,1,26.119,DAL,,NYG,W 19-3,*,0,0,,0,,,,,,,0,0,0.0,4,0,0,0,0
64,2017,2017-09-17,2,26.126,DAL,@,DEN,L 17-42,*,0,0,,0,,,,,,,0,0,0.0,2,1,0,0,0
65,2017,2017-09-25,3,26.134,DAL,@,ARI,W 28-17,*,0,0,,0,,,,,,,0,0,0.0,3,1,0,0,0
66,2017,2017-10-01,4,26.140,DAL,,LAR,L 30-35,*,0,0,,0,,,,,,,0,0,0.0,5,1,0,0,0
67,2017,2017-10-08,5,26.147,DAL,,GNB,L 31-35,*,0,0,,0,,,,,,,0,0,0.0,2,2,0,0,0
68,2017,2017-10-22,6,26.161,DAL,@,SFO,W 40-10,*,0,0,,0,2,3,66.7,,,,0,2,0.0,6,0,0,0,0
69,2017,2017-10-29,7,26.168,DAL,@,WAS,W 33-19,*,0,0,,0,,,,,,,0,0,0.0,3,0,0,0,0
70,2017,2017-11-05,8,26.175,DAL,,KAN,W 28-17,*,0,0,,0,,,,,,,0,0,0.0,1,0,1,3,0
71,2017,2017-11-12,9,26.182,DAL,@,ATL,L 7-27,*,0,0,,0,,,,,,,0,0,0.0,5,0,0,0,0
72,2017,2017-11-23,11,26.193,DAL,,LAC,L 6-28,*,0,0,,0,,,,,,,0,0,0.0,5,1,0,0,0
73,2017,2017-11-30,12,26.200,DAL,,WAS,W 38-14,*,0,0,,0,,,,,,,0,0,0.0,2,0,1,14,0
74,2017,2017-12-10,13,26.210,DAL,@,NYG,W 30-10,*,0,0,,0,,,,,,,0,0,0.0,7,2,1,3,0
75,2017,2017-12-17,14,26.217,DAL,@,OAK,W 20-17,*,0,0,,0,,,,,,,0,0,0.0,6,0,0,0,0
76,2017,2017-12-24,15,26.224,DAL,,SEA,L 12-21,*,0,0,,0,,,,,,,0,0,0.0,4,0,0,0,0
77,2017,2017-12-31,16,26.231,DAL,@,PHI,W 6-0,*,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
78,2018,2018-09-09,1,27.118,DAL,@,CAR,L 8-16,*,0,0,,0,,,,,,,0,0,0.0,5,1,0,0,0
79,2018,2018-09-16,2,27.125,DAL,,NYG,W 20-13,*,0,0,,0,,,,,,,0,0,0.0,2,2,0,0,0
80,2018,2018-09-23,3,27.132,DAL,@,SEA,L 13-24,*,0,0,,0,,,,,,,0,0,0.0,2,2,0,0,0
