ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
17,1958,1958-11-02,6,23.231,WAS,@,PIT,L 16-24,13,39,3.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,
18,1958,1958-11-16,8,23.245,WAS,,CLE,L 10-20,3,12,4.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,
19,1958,1958-11-23,9,23.252,WAS,@,NYG,L 0-30,6,7,1.17,0,0,0,,0,0,0,,0,0,,,,,,,,,,
20,1958,1958-11-30,10,23.259,WAS,@,CLE,L 14-21,16,63,3.94,0,4,79,19.75,0,0,0,,0,0,,,,,,,,,,
21,1958,1958-12-07,11,23.266,WAS,,PIT,T 14-14,10,54,5.40,0,0,0,,0,0,0,,0,0,,,,,,,,,,
22,1958,1958-12-14,12,23.273,WAS,,PHI,W 20-0,12,29,2.42,1,1,16,16.00,0,0,0,,0,0,,,,,,,,,,
23,1959,1959-09-27,1,24.195,WAS,@,CRD,L 21-49,7,29,4.14,0,1,26,26.00,0,0,0,,0,0,,,,,,,,,,
24,1959,1959-10-04,2,24.202,WAS,@,PIT,W 23-17,4,7,1.75,0,1,22,22.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,
25,1959,1959-10-11,3,24.209,WAS,,CRD,W 23-14,11,40,3.64,1,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,
26,1959,1959-10-18,4,24.216,WAS,,PIT,L 6-27,4,13,3.25,0,0,0,,0,0,0,,0,0,,,,,,,,,,
27,1959,1959-11-01,6,24.230,WAS,@,PHI,L 23-30,5,18,3.60,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,
28,1959,1959-11-08,7,24.237,WAS,,BAL,W 27-24,6,19,3.17,0,2,15,7.50,0,1,2,50.00,22,1,0,129.2,0,0,11.00,21.00,,,,
29,1959,1959-11-15,8,24.244,WAS,,CLE,L 17-31,7,26,3.71,0,0,0,,0,0,0,,0,0,,,,,,,,,,
30,1959,1959-11-22,9,24.251,WAS,@,GNB,L 0-21,3,15,5.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,
31,1959,1959-11-29,10,24.258,WAS,@,NYG,L 14-45,2,-4,-2.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,
32,1959,1959-12-06,11,24.265,WAS,,PHI,L 14-34,1,11,11.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,
33,1959,1959-12-13,12,24.272,WAS,,NYG,L 10-24,11,58,5.27,0,0,0,,0,1,1,100.00,29,0,0,118.7,0,0,29.00,29.00,,,,
34,1960,1960-10-02,2,25.200,NYG,@,STL,W 35-14,2,9,4.50,0,1,14,14.00,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0
35,1960,1960-10-16,4,25.214,NYG,,WAS,T 24-24,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,41,20.50,0
36,1960,1960-10-30,5,25.228,NYG,,STL,L 13-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,49,24.50,0
37,1960,1960-11-06,6,25.235,NYG,@,CLE,W 17-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0
38,1960,1960-11-13,7,25.242,NYG,,PIT,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,55,18.33,0
39,1960,1960-11-20,8,25.249,NYG,,PHI,L 10-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,44,14.67,0
40,1960,1960-11-27,9,25.256,NYG,@,PHI,L 23-31,5,57,11.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0
41,1960,1960-12-04,10,25.263,NYG,,DAL,T 31-31,7,62,8.86,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0
42,1960,1960-12-11,11,25.270,NYG,@,WAS,W 17-3,2,-10,-5.00,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,0,0,,0
43,1960,1960-12-18,12,25.277,NYG,,CLE,L 34-48,3,12,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0
