ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
124,1980,1980-11-23,12,31.030,DET,@,TAM,W 24-10,,,,,,,,,,,,,
125,1980,1980-11-27,13,31.034,DET,,CHI,L 17-23,,,,,,,,,,,,,
126,1980,1980-12-07,14,31.044,DET,@,STL,L 23-24,,,,,,,,,,,,,
127,1980,1980-12-14,15,31.051,DET,,TAM,W 27-14,,,,,,,,,,,,,
128,1980,1980-12-21,16,31.058,DET,,GNB,W 24-3,0,0,,0,0,0,,0,0,0,1,15,0
129,1981,1981-09-06,1,31.317,DET,,SFO,W 24-17,,,,,,,,,,,,,
130,1981,1981-09-13,2,31.324,DET,@,SDG,L 23-28,,,,,,,,,,,,,
131,1981,1981-09-20,3,31.331,DET,@,MIN,L 24-26,0,0,,0,0,0,,0,0,0,1,5,0
132,1981,1981-09-27,4,31.338,DET,,OAK,W 16-0,,,,,,,,,,,,,
133,1981,1981-10-04,5,31.345,DET,@,TAM,L 10-28,,,,,,,,,,,,,
134,1981,1981-10-11,6,31.352,DET,@,DEN,L 21-27,,,,,,,,,,,,,
135,1981,1981-10-19,7,31.360,DET,,CHI,W 48-17,0,0,,0,0,0,,0,0,0,1,16,0
136,1981,1981-10-25,8,32.001,DET,,GNB,W 31-27,,,,,,,,,,,,,
137,1981,1981-11-01,9,32.008,DET,@,RAM,L 13-20,,,,,,,,,,,,,
138,1981,1981-11-08,10,32.015,DET,@,WAS,L 31-33,,,,,,,,,,,,,
139,1981,1981-11-15,11,32.022,DET,,DAL,W 27-24,,,,,,,,,,,,,
140,1981,1981-11-22,12,32.029,DET,@,CHI,W 23-7,0,0,,0,0,0,,0,0,0,1,14,0
141,1981,1981-11-26,13,32.033,DET,,KAN,W 27-10,0,0,,0,0,0,,0,0,0,1,2,0
142,1981,1981-12-06,14,32.043,DET,@,GNB,L 17-31,,,,,,,,,,,,,
143,1981,1981-12-12,15,32.049,DET,,MIN,W 45-7,,,,,,,,,,,,,
144,1981,1981-12-20,16,32.057,DET,,TAM,L 17-20,,,,,,,,,,,,,
145,1982,1982-09-12,1,32.323,DET,,CHI,W 17-10,,,,,,,,,,,,,
146,1982,1982-09-19,2,32.330,DET,@,RAM,W 19-14,0,0,,0,0,0,,0,0,0,1,3,0
147,1982,1982-11-21,3,33.028,DET,@,CHI,L 17-20,,,,,,,,,,,,,
148,1982,1982-11-25,4,33.032,DET,,NYG,L 6-13,,,,,,,,,,,,,
149,1982,1982-12-06,5,33.043,DET,,NYJ,L 13-28,,,,,,,,,,,,,
150,1982,1982-12-12,6,33.049,DET,@,GNB,W 30-10,0,0,,0,0,0,,0,0,0,1,0,0
151,1982,1982-12-19,7,33.056,DET,,MIN,L 31-34,,,,,,,,,,,,,
152,1982,1982-12-26,8,33.063,DET,@,TAM,L 21-23,,,,,,,,,,,,,
153,1982,1983-01-02,9,33.070,DET,,GNB,W 27-24,0,0,,0,0,0,,0,0,0,1,18,0
