ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
42,1973,1973-10-14,5,26.241,RAM,,DAL,W 37-31,,,,,,,,,,,,,,,,,,,,,,,,
43,1973,1973-10-21,6,26.248,RAM,,GNB,W 24-7,,,,,,,,,,,,,,,,,,,,,,,,
44,1973,1973-10-28,7,26.255,RAM,@,MIN,L 9-10,,,,,,,,,,,,,,,,,,,,,,,,
45,1973,1973-11-04,8,26.262,RAM,@,ATL,L 13-15,,,,,,,,,,,,,,,,,,,,,,,,
46,1973,1973-11-11,9,26.269,RAM,,NOR,W 29-7,,,,,,,,,,,,,,,,,,,,,,,,
47,1973,1973-11-18,10,26.276,RAM,,SFO,W 31-13,,,,,,,,,,,,,,,,,,,,,,,,
48,1973,1973-11-25,11,26.283,RAM,@,NOR,W 24-13,,,,,,,,,,,,,,,,,,,,,,,,
49,1973,1973-12-02,12,26.290,RAM,@,CHI,W 26-0,,,,,,,,,,,,,,,,,,,,,,,,
50,1973,1973-12-10,13,26.298,RAM,,NYG,W 40-6,,,,,,,,,,,,,,,,,,,,,,,,
51,1973,1973-12-16,14,26.304,RAM,,CLE,W 30-17,,,,,,,,,,,,,,,,,,,,,,,,
52,1974,1974-09-15,1,27.212,RAM,@,DEN,W 17-10,,,,,,,,,,,,,,,,,,,,,,,,
53,1974,1974-09-22,2,27.219,RAM,,NOR,W 24-0,,,,,,,,,,,,,,,,,,,,,,,,
54,1974,1974-09-29,3,27.226,RAM,@,NWE,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,6,0
55,1974,1974-10-06,4,27.233,RAM,,DET,W 16-13,,,,,,,,,,,,,,,,,,,,,,,,
56,1974,1974-10-13,5,27.240,RAM,@,GNB,L 6-17,,,,,,,,,,,,,,,,,,,,,,,,
57,1974,1974-10-20,6,27.247,RAM,,SFO,W 37-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,15,0
58,1974,1974-10-27,7,27.254,RAM,@,NYJ,W 20-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,17,0
59,1974,1974-11-04,8,27.262,RAM,@,SFO,W 15-13,,,,,,,,,,,,,,,,,,,,,,,,
60,1974,1974-11-10,9,27.268,RAM,,ATL,W 21-0,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
61,1974,1974-11-17,10,27.275,RAM,@,NOR,L 7-20,,,,,,,,,,,,,,,,,,,,,,,,
62,1974,1974-11-24,11,27.282,RAM,,MIN,W 20-17,,,,,,,,,,,,,,,,,,,,,,,,
63,1974,1974-12-01,12,27.289,RAM,@,ATL,W 30-7,,,,,,,,,,,,,,,,,,,,,,,,
64,1974,1974-12-09,13,27.297,RAM,,WAS,L 17-23,,,,,,,,,,,,,,,,,,,,,,,,
65,1974,1974-12-15,14,27.303,RAM,,BUF,W 19-14,,,,,,,,,,,,,,,,,,,,,,,,
66,1975,1975-09-21,1,28.218,RAM,@,DAL,L 7-18,,,,,,,,,,,,,,,,,,,,,,,,
67,1975,1975-09-28,2,28.225,RAM,@,SFO,W 23-14,,,,,,,,,,,,,,,,,,,,,,,,
68,1975,1975-10-05,3,28.232,RAM,,BAL,W 24-13,,,,,,,,,,,,,,,,,,,,,,,,
69,1975,1975-10-12,4,28.239,RAM,@,SDG,W 13-10,,,,,,,,,,,,,,,,,,,,,,,,
70,1975,1975-10-19,5,28.246,RAM,,ATL,W 22-7,,,,,,,,,,,,,,,,,,,,,,,,
71,1975,1975-10-26,6,28.253,RAM,,NOR,W 38-14,,,,,,,,,,,,,,,,,,,,,,,,
72,1975,1975-11-03,7,28.261,RAM,@,PHI,W 42-3,,,,,,,,,,,,,,,,,,,,,,,,
73,1975,1975-11-09,8,28.267,RAM,,SFO,L 23-24,,,,,,,,,,,,,,,,,,,,,,,,
74,1975,1975-11-16,9,28.274,RAM,@,ATL,W 16-7,,,,,,,,,,,,,,,,,,,,,,,,
75,1975,1975-11-23,10,28.281,RAM,,CHI,W 38-10,,,,,,,,,,,,,,,,,,,,,,,,
76,1975,1975-11-27,11,28.285,RAM,@,DET,W 20-0,,,,,,,,,,,,,,,,,,,,,,,,
77,1975,1975-12-07,12,28.295,RAM,@,NOR,W 14-7,,,,,,,,,,,,,,,,,,,,,,,,
78,1975,1975-12-14,13,28.302,RAM,,GNB,W 22-5,,,,,,,,,,,,,,,,,,,,,,,,
79,1975,1975-12-20,14,28.308,RAM,,PIT,W 10-3,,,,,,,,,,,,,,,,,,,,,,,,
80,1976,1976-09-12,1,29.210,RAM,@,ATL,W 30-14,,,,,,,,,,,,,,,,,,,,,,,,
81,1976,1976-09-19,2,29.217,RAM,@,MIN,T 10-10,,,,,,,,,,,,,,,,,,,,,,,,
82,1976,1976-09-26,3,29.224,RAM,,NYG,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,6,0
83,1976,1976-10-03,4,29.231,RAM,@,MIA,W 31-28,,,,,,,,,,,,,,,,,,,,,,,,
84,1976,1976-10-11,5,29.239,RAM,,SFO,L 0-16,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
85,1976,1976-10-17,6,29.245,RAM,,CHI,W 20-12,,,,,,,,,,,,,,,,,,,,,,,,
86,1976,1976-10-24,7,29.252,RAM,@,NOR,W 16-10,,,,,,,,,,,,,,,,,,,,,,,,
87,1976,1976-10-31,8,29.259,RAM,,SEA,W 45-6,,,,,,,,,,,,,,,,,,,,,,,,
88,1976,1976-11-08,9,29.267,RAM,@,CIN,L 12-20,,,,,,,,,,,,,,,,,,,,,,,,
89,1976,1976-11-14,10,29.273,RAM,,STL,L 28-30,,,,,,,,,,,,,,,,,,,,,,,,
90,1976,1976-11-21,11,29.280,RAM,@,SFO,W 23-3,,,,,,,,,,,,,,,,,,,,,,,,
91,1976,1976-11-28,12,29.287,RAM,,NOR,W 33-14,,,,,,,,,,,,,,,,,,,,,,,,
92,1976,1976-12-04,13,29.293,RAM,,ATL,W 59-0,,,,,,,,,,,,,,,,,,,,,,,,
93,1976,1976-12-11,14,29.300,RAM,@,DET,W 20-17,,,,,,,,,,,,,,,,,,,,,,,,
94,1977,1977-09-18,1,30.215,SEA,,BAL,L 14-29,,,,,,,,,,,,,,,,,,,,,,,,
95,1977,1977-09-25,2,30.222,SEA,@,CIN,L 20-42,,,,,,,,,,,,,,,,,,,,,,,,
96,1977,1977-10-02,3,30.229,SEA,,DEN,L 13-24,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,0,0
97,1977,1977-10-09,4,30.236,SEA,@,NWE,L 0-31,,,,,,,,,,,,,,,,,,,,,,,,
98,1977,1977-10-16,5,30.243,SEA,,TAM,W 30-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0
99,1977,1977-10-23,6,30.250,SEA,@,MIA,L 13-31,,,,,,,,,,,,,,,,,,,,,,,,
100,1977,1977-10-30,7,30.257,SEA,,BUF,W 56-17,,,,,,,,,,,,,,,,,,,,,,,,
101,1977,1977-11-06,8,30.264,SEA,@,OAK,L 7-44,,,,,,,,,,,,,,,,,,,,,,,,
102,1977,1977-11-13,9,30.271,SEA,@,NYJ,W 17-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,29,0
103,1977,1977-11-20,10,30.278,SEA,,HOU,L 10-22,,,,,,,,,,,,,,,,,,,,,,,,
104,1977,1977-11-27,11,30.285,SEA,,SDG,L 28-30,,,,,,,,,,,,,,,,,,,,,,,,
105,1977,1977-12-04,12,30.292,SEA,@,PIT,L 20-30,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,9,0
106,1977,1977-12-11,13,30.299,SEA,@,KAN,W 34-31,,,,,,,,,,,,,,,,,,,,,,,,
107,1977,1977-12-18,14,30.306,SEA,,CLE,W 20-19,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,17,0
