ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
23,1995,1995-10-22,7,23.188,STL,,SFO,L 10-44,,0,0,,0,,,,
24,1995,1995-10-29,8,23.195,STL,@,PHI,L 9-20,,0,0,,0,,,,
25,1995,1995-11-05,9,23.202,STL,@,NOR,L 10-19,,0,0,,0,,,,
26,1995,1995-11-12,10,23.209,STL,,CAR,W 28-17,,0,0,,0,,,,
27,1995,1995-11-19,11,23.216,STL,@,ATL,L 6-31,,0,0,,0,,,,
28,1995,1995-11-26,12,23.223,STL,@,SFO,L 13-41,,0,0,,0,,,,
29,1995,1995-12-03,13,23.230,STL,@,NYJ,W 23-20,,0,0,,0,,,,
30,1995,1995-12-10,14,23.237,STL,,BUF,L 27-45,,0,0,,0,,,,
31,1995,1995-12-17,15,23.244,STL,,WAS,L 23-35,,0,0,,0,0.0,1,0,0
32,1995,1995-12-24,16,23.251,STL,,MIA,L 22-41,,0,0,,0,,,,
33,1996,1996-09-01,1,24.137,STL,,CIN,W 26-16,,0,0,,0,0.0,1,61,0
34,1996,1996-09-08,2,24.144,STL,@,SFO,L 0-34,,0,0,,0,,,,
35,1996,1996-09-22,3,24.158,STL,,WAS,L 10-17,,0,0,,0,,,,
36,1996,1996-09-29,4,24.165,STL,@,ARI,L 28-31,,0,0,,0,,,,
37,1996,1996-10-06,5,24.172,STL,,SFO,L 11-28,,0,0,,0,0.0,1,0,0
38,1996,1996-10-13,6,24.179,STL,@,CAR,L 13-45,,0,0,,0,,,,
39,1996,1996-10-20,7,24.186,STL,,JAX,W 17-14,,0,0,,0,0.0,2,68,0
40,1996,1996-10-27,8,24.193,STL,@,BAL,L 31-37,,0,0,,0,0.0,1,22,0
41,1996,1996-11-03,9,24.200,STL,@,PIT,L 6-42,,0,0,,0,,,,
42,1996,1996-11-10,10,24.207,STL,,ATL,W 59-16,,0,0,,0,,,,
43,1996,1996-11-17,11,24.214,STL,,CAR,L 10-20,,1,17,17.00,0,0.0,0,0,0
44,1996,1996-11-24,12,24.221,STL,,GNB,L 9-24,,0,0,,0,0.0,1,0,0
45,1996,1996-12-01,13,24.228,STL,@,NOR,W 26-10,,0,0,,0,,,,
46,1996,1996-12-08,14,24.235,STL,@,CHI,L 9-35,,1,20,20.00,0,0.0,0,0,0
47,1996,1996-12-15,15,24.242,STL,@,ATL,W 34-27,,0,0,,0,0.0,3,1,0
48,1996,1996-12-21,16,24.248,STL,,NOR,W 14-13,,1,2,2.00,0,0.0,0,0,0
49,1997,1997-08-31,1,25.136,STL,,NOR,W 38-24,,0,0,,0,0.0,2,6,0
50,1997,1997-09-07,2,25.143,STL,,SFO,L 12-15,,0,0,,0,0.0,1,30,0
51,1997,1997-09-14,3,25.150,STL,@,DEN,L 14-35,,,,,,,,,
52,1997,1997-09-21,4,25.157,STL,,NYG,W 13-3,,0,0,,0,0.0,1,39,0
53,1997,1997-09-28,5,25.164,STL,@,OAK,L 17-35,,,,,,,,,
54,1997,1997-10-12,6,25.178,STL,@,SFO,L 10-30,,0,0,,0,1.0,0,0,0
55,1997,1997-10-19,7,25.185,STL,,SEA,L 9-17,,,,,,,,,
56,1997,1997-10-26,8,25.192,STL,,KAN,L 20-28,,,,,,,,,
57,1997,1997-11-02,9,25.199,STL,@,ATL,L 31-34,,0,0,,0,1.0,0,0,0
58,1997,1997-11-09,10,25.206,STL,@,GNB,L 7-17,,,,,,,,,
59,1997,1997-11-16,11,25.213,STL,,ATL,L 21-27,,,,,,,,,
60,1997,1997-11-23,12,25.220,STL,,CAR,L 10-16,,,,,,,,,
61,1997,1997-11-30,13,25.227,STL,@,WAS,W 23-20,,0,0,,0,0.0,1,18,0
62,1997,1997-12-07,14,25.234,STL,@,NOR,W 34-27,,0,0,,0,0.0,1,0,0
63,1997,1997-12-14,15,25.241,STL,,CHI,L 10-13,,,,,,,,,
64,1997,1997-12-20,16,25.247,STL,@,CAR,W 30-18,,0,0,,0,0.0,2,9,0
65,1998,1998-09-06,1,26.142,STL,,NOR,L 17-24,,,,,,,,,
66,1998,1998-09-13,2,26.149,STL,,MIN,L 31-38,,,,,,,,,
67,1998,1998-09-20,3,26.156,STL,@,BUF,W 34-33,,,,,,,,,
68,1998,1998-09-27,4,26.163,STL,,ARI,L 17-20,,0,0,,0,0.0,1,0,0
69,1998,1998-10-11,5,26.177,STL,,NYJ,W 30-10,,,,,,,,,
70,1998,1998-10-18,6,26.184,STL,@,MIA,L 0-14,,0,0,,0,1.0,0,0,0
71,1998,1998-10-25,7,26.191,STL,,SFO,L 10-28,,,,,,,,,
72,1998,1998-11-01,8,26.198,STL,@,ATL,L 15-37,,,,,,,,,
73,1998,1998-11-08,9,26.205,STL,@,CHI,W 20-12,,0,0,,0,0.0,1,0,0
74,1998,1998-11-15,10,26.212,STL,@,NOR,L 3-24,,,,,,,,,
75,1998,1998-11-22,11,26.219,STL,,CAR,L 20-24,,,,,,,,,
76,1998,1998-11-29,12,26.226,STL,,ATL,L 10-21,,0,0,,0,0.0,1,20,0
77,1998,1998-12-03,13,26.230,STL,@,PHI,L 14-17,,,,,,,,,
78,1998,1998-12-13,14,26.240,STL,,NWE,W 32-18,,,,,,,,,
79,1998,1998-12-20,15,26.247,STL,@,CAR,L 13-20,,,,,,,,,
80,1998,1998-12-27,16,26.254,STL,@,SFO,L 19-38,,,,,,,,,
81,1999,1999-09-12,1,27.148,STL,,BAL,W 27-10,*,0,0,,0,0.0,1,0,0
82,1999,1999-09-26,2,27.162,STL,,ATL,W 35-7,*,,,,,,,,
83,1999,1999-10-03,3,27.169,STL,@,CIN,W 38-10,*,0,0,,0,0.0,1,10,0
84,1999,1999-10-10,4,27.176,STL,,SFO,W 42-20,*,,,,,,,,
85,1999,1999-10-17,5,27.183,STL,@,ATL,W 41-13,*,0,0,,0,1.0,0,0,0
86,1999,1999-10-24,6,27.190,STL,,CLE,W 34-3,*,,,,,,,,
87,1999,1999-10-31,7,27.197,STL,@,TEN,L 21-24,*,,,,,,,,
88,1999,1999-11-07,8,27.204,STL,@,DET,L 27-31,*,,,,,,,,
89,1999,1999-11-14,9,27.211,STL,,CAR,W 35-10,*,,,,,,,,
90,2000,2000-09-04,1,28.140,STL,,DEN,W 41-36,*,,,,,,,,
91,2000,2000-09-10,2,28.146,STL,@,SEA,W 37-34,*,0,0,,0,0.0,1,9,0
92,2000,2000-09-17,3,28.153,STL,,SFO,W 41-24,*,,,,,,,,
93,2000,2000-09-24,4,28.160,STL,@,ATL,W 41-20,*,,,,,,,,
94,2000,2000-10-01,5,28.167,STL,,SDG,W 57-31,*,,,,,,,,
95,2000,2000-10-15,6,28.181,STL,,ATL,W 45-29,*,,,,,,,,
96,2000,2000-10-22,7,28.188,STL,@,KAN,L 34-54,*,,,,,,,,
97,2000,2000-10-29,8,28.195,STL,@,SFO,W 34-24,*,,,,,,,,
98,2000,2000-11-05,9,28.202,STL,,CAR,L 24-27,*,,,,,,,,
99,2000,2000-11-12,10,28.209,STL,@,NYG,W 38-24,*,1,4,4.00,0,0.0,0,0,0
100,2000,2000-11-20,11,28.217,STL,,WAS,L 20-33,*,,,,,,,,
101,2000,2000-11-26,12,28.223,STL,,NOR,L 24-31,,,,,,,,,
102,2000,2000-12-03,13,28.230,STL,@,CAR,L 3-16,,,,,,,,,
103,2000,2000-12-10,14,28.237,STL,,MIN,W 40-29,*,,,,,,,,
104,2000,2000-12-18,15,28.245,STL,@,TAM,L 35-38,,,,,,,,,
105,2000,2000-12-24,16,28.251,STL,@,NOR,W 26-21,,,,,,,,,
106,2001,2001-09-09,1,29.145,WAS,@,SDG,L 3-30,,,,,,,,,
107,2001,2001-09-24,2,29.160,WAS,@,GNB,L 0-37,,,,,,,,,
108,2001,2001-09-30,3,29.166,WAS,,KAN,L 13-45,,,,,,,,,
109,2001,2001-10-07,4,29.173,WAS,@,NYG,L 9-23,,0,0,,0,1.0,0,0,0
110,2001,2001-10-15,5,29.181,WAS,@,DAL,L 7-9,,,,,,,,,
111,2001,2001-10-21,6,29.187,WAS,,CAR,W 17-14,,,,,,,,,
112,2001,2001-10-28,7,29.194,WAS,,NYG,W 35-21,,0,0,,0,0.0,1,0,0
113,2001,2001-11-04,8,29.201,WAS,,SEA,W 27-14,,,,,,,,,
114,2001,2001-11-18,9,29.215,WAS,@,DEN,W 17-10,,,,,,,,,
115,2001,2001-11-25,10,29.222,WAS,@,PHI,W 13-3,,,,,,,,,
116,2001,2001-12-02,11,29.229,WAS,,DAL,L 14-20,,,,,,,,,
117,2001,2001-12-09,12,29.236,WAS,@,ARI,W 20-10,,,,,,,,,
118,2001,2001-12-16,13,29.243,WAS,,PHI,L 6-20,,,,,,,,,
119,2001,2001-12-23,14,29.250,WAS,,CHI,L 15-20,,,,,,,,,
120,2001,2001-12-30,15,29.257,WAS,@,NOR,W 40-10,,,,,,,,,
121,2001,2002-01-06,16,29.264,WAS,,ARI,W 20-17,,,,,,,,,
122,2002,2002-09-08,1,30.144,SDG,@,CIN,W 34-6,,,,,,,,,
123,2002,2002-09-15,2,30.151,SDG,,HOU,W 24-3,,,,,,,,,
124,2002,2002-09-22,3,30.158,SDG,@,ARI,W 23-15,,,,,,,,,
125,2002,2002-09-29,4,30.165,SDG,,NWE,W 21-14,,,,,,,,,
126,2002,2002-10-06,5,30.172,SDG,@,DEN,L 9-26,,,,,,,,,
127,2002,2002-10-13,6,30.179,SDG,,KAN,W 35-34,,0,0,,0,0.0,1,26,0
128,2002,2002-10-20,7,30.186,SDG,@,OAK,W 27-21,,,,,,,,,
129,2002,2002-11-03,8,30.200,SDG,,NYJ,L 13-44,,,,,,,,,
130,2002,2002-11-10,9,30.207,SDG,@,STL,L 24-28,,,,,,,,,
131,2002,2002-11-24,11,30.221,SDG,@,MIA,L 3-30,*,,,,,,,,
132,2002,2002-12-01,12,30.228,SDG,,DEN,W 30-27,*,,,,,,,,
133,2002,2002-12-08,13,30.235,SDG,,OAK,L 7-27,*,,,,,,,,
134,2002,2002-12-15,14,30.242,SDG,@,BUF,L 13-20,*,,,,,,,,
135,2002,2002-12-22,15,30.249,SDG,@,KAN,L 22-24,*,0,0,,0,0.0,1,0,0
136,2002,2002-12-29,16,30.256,SDG,,SEA,L 28-31,*,,,,,,,,
