ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
20,2012,2012-12-02,12,24.050,CHI,,SEA,L 17-23,,,,,,,0.0%,,,,,,,,,,,,,
21,2012,2012-12-16,14,24.064,CHI,,GNB,L 13-21,,,,,,,0.0%,,,,,,,,,,,,,
22,2013,2013-09-22,3,24.344,CIN,,GNB,W 34-30,,,,,,,0.0%,,,,,,,,,,,,,
23,2013,2013-09-29,4,24.351,CIN,@,CLE,L 6-17,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0
24,2013,2013-10-06,5,24.358,CIN,,NWE,W 13-6,,,,,,,0.0%,,,,,,,,,,,,,
25,2013,2013-10-13,6,25.000,CIN,@,BUF,W 27-24,,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,0.0,0,0,0,0,0
26,2013,2013-10-20,7,25.007,CIN,@,DET,W 27-24,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0,0,0,0
27,2013,2013-10-27,8,25.014,CIN,,NYJ,W 49-9,,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0,0,0,0
28,2013,2013-10-31,9,25.018,CIN,@,MIA,L 20-22,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0
29,2013,2013-11-10,10,25.028,CIN,@,BAL,L 17-20,,,,,,,0.0%,,,,,,,,,,,,,
30,2013,2013-11-17,11,25.035,CIN,,CLE,W 41-20,,,,,,,0.0%,,,,,,,,,,,,,
31,2013,2013-12-29,16,25.077,CIN,,BAL,W 34-17,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,0.0,1,0,0,0,0
32,2014,2014-09-07,1,25.329,CIN,@,BAL,W 23-16,,,,,,,0.0%,,,,,,,,,,,,,
33,2014,2014-09-14,2,25.336,CIN,,ATL,W 24-10,,4,2,42,21.00,0,50.0%,10.50,0,0,,0,0,0,0.0,0,0,0,0,0
34,2014,2014-09-21,3,25.343,CIN,,TEN,W 33-7,,,,,,,0.0%,,,,,,,,,,,,,
35,2014,2014-10-05,4,25.357,CIN,@,NWE,L 17-43,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0
36,2014,2014-10-12,5,25.364,CIN,,CAR,T 37-37,,5,4,40,10.00,0,80.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0
37,2014,2014-10-19,6,26.006,CIN,@,IND,L 0-27,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0
38,2014,2014-10-26,7,26.013,CIN,,BAL,W 27-24,,,,,,,0.0%,,,,,,,,,,,,,
39,2014,2014-11-30,12,26.048,CIN,@,TAM,W 14-13,,,,,,,0.0%,,,,,,,,,,,,,
40,2014,2014-12-22,15,26.070,CIN,,DEN,W 37-28,,2,1,11,11.00,0,50.0%,5.50,1,-1,-1.00,0,0,0,0.0,0,0,0,0,0
41,2014,2014-12-28,16,26.076,CIN,@,PIT,L 17-27,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0,1,6,0
