ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
19,1961,1961-12-03,12,24.345,GNB,,NYG,W 20-17,0,0,,0,2,10,5.00,0,,,,,,,0,0,0,0,0
20,1961,1961-12-17,14,24.359,GNB,@,RAM,W 24-17,0,0,,0,1,13,13.00,0,,,,,,,0,0,1,21,0
21,1962,1962-09-16,1,25.267,GNB,,MIN,W 34-7,0,0,,0,2,68,34.00,0,,,,,,,0,0,2,9,0
22,1962,1962-09-23,2,25.274,GNB,,STL,W 17-0,0,0,,0,3,20,6.67,0,,,,,,,0,0,0,0,0
23,1962,1962-09-30,3,25.281,GNB,,CHI,W 49-0,0,0,,0,2,14,7.00,0,,,,,,,0,0,2,0,0
24,1962,1962-10-07,4,25.288,GNB,,DET,W 9-7,0,0,,0,3,33,11.00,0,,,,,,,0,0,0,0,0
25,1962,1962-10-14,5,25.295,GNB,@,MIN,W 48-21,0,0,,0,0,0,,0,,,,,,,0,0,1,37,0
26,1962,1962-10-21,6,25.302,GNB,,SFO,W 31-13,0,0,,0,0,0,,0,,,,,,,0,0,1,15,0
27,1962,1962-11-04,8,25.316,GNB,@,CHI,W 38-7,0,0,,0,1,7,7.00,0,,,,,,,0,0,1,26,0
28,1962,1962-11-11,9,25.323,GNB,@,PHI,W 49-0,0,0,,0,3,20,6.67,0,,,,,,,0,0,1,20,0
29,1962,1962-11-18,10,25.330,GNB,,BAL,W 17-13,0,0,,0,2,21,10.50,0,,,,,,,0,0,0,0,0
30,1962,1962-11-22,11,25.334,GNB,@,DET,L 14-26,0,0,,0,1,29,29.00,0,,,,,,,0,0,0,0,0
31,1962,1962-12-02,12,25.344,GNB,,RAM,W 41-10,0,0,,0,4,23,5.75,0,,,,,,,0,0,0,0,0
32,1962,1962-12-09,13,25.351,GNB,@,SFO,W 31-21,0,0,,0,1,14,14.00,0,,,,,,,0,0,1,25,0
33,1962,1962-12-16,14,25.358,GNB,@,RAM,W 20-17,0,0,,0,1,24,24.00,0,,,,,,,0,0,0,0,0
34,1963,1963-09-15,1,26.266,GNB,,CHI,L 3-10,0,0,,0,1,9,9.00,0,,,,,,,0,0,0,0,0
35,1963,1963-09-22,2,26.273,GNB,,DET,W 31-10,0,0,,0,3,59,19.67,0,,,,,,,0,0,1,22,0
36,1963,1963-09-29,3,26.280,GNB,,BAL,W 31-20,0,0,,0,0,0,,0,,,,,,,0,0,1,1,0
37,1963,1963-10-06,4,26.287,GNB,,RAM,W 42-10,1,20,20.00,0,2,20,10.00,0,,,,,,,0,0,0,0,0
38,1963,1963-10-13,5,26.294,GNB,@,MIN,W 37-28,0,0,,0,1,0,0.00,0,,,,,,,0,0,1,3,0
39,1963,1963-10-20,6,26.301,GNB,@,STL,W 30-7,0,0,,0,0,0,,0,,,,,,,0,0,1,21,0
40,1963,1963-10-27,7,26.308,GNB,@,BAL,W 34-20,0,0,,0,1,5,5.00,0,,,,,,,0,0,0,0,0
41,1963,1963-11-10,9,26.322,GNB,,MIN,W 28-7,0,0,,0,1,3,3.00,0,,,,,,,0,0,0,0,0
42,1963,1963-11-17,10,26.329,GNB,@,CHI,L 7-26,0,0,,0,1,17,17.00,0,,,,,,,0,0,0,0,0
43,1963,1963-11-24,11,26.336,GNB,,SFO,W 28-10,0,0,,0,2,15,7.50,0,,,,,,,0,0,0,0,0
44,1963,1963-11-28,12,26.340,GNB,@,DET,T 13-13,0,0,,0,2,7,3.50,0,,,,,,,0,0,0,0,0
45,1963,1963-12-07,13,26.349,GNB,@,RAM,W 31-14,0,0,,0,2,22,11.00,0,,,,,,,0,0,1,20,0
46,1963,1963-12-14,14,26.356,GNB,@,SFO,W 21-17,0,0,,0,3,12,4.00,0,,,,,,,0,0,0,0,0
47,1964,1964-10-11,5,27.293,GNB,,SFO,W 24-14,0,0,,0,3,54,18.00,0,1,1,100.0,,1,0.0,0,1,0,0,0
48,1965,1965-09-19,1,28.270,GNB,@,PIT,W 41-9,0,0,,0,1,14,14.00,0,,,,,,,0,0,0,0,0
49,1965,1965-10-03,3,28.284,GNB,,CHI,W 23-14,0,0,,0,1,-2,-2.00,0,,,,,,,0,0,0,0,0
50,1965,1965-10-10,4,28.291,GNB,,SFO,W 27-10,0,0,,0,2,4,2.00,0,,,,,,,0,0,1,11,0
51,1965,1965-10-17,5,28.298,GNB,@,DET,W 31-21,0,0,,0,1,5,5.00,0,,,,,,,0,0,1,28,0
52,1965,1965-10-24,6,28.305,GNB,,DAL,W 13-3,0,0,,0,1,-3,-3.00,0,,,,,,,0,0,1,18,0
53,1965,1965-10-31,7,28.312,GNB,@,CHI,L 10-31,0,0,,0,1,0,0.00,0,,,,,,,0,0,0,0,0
54,1965,1965-11-07,8,28.319,GNB,,DET,L 7-12,0,0,,0,1,1,1.00,0,,,,,,,0,0,1,0,0
55,1965,1965-11-28,11,28.340,GNB,@,RAM,L 10-21,0,0,,0,1,8,8.00,0,,,,,,,0,0,1,8,0
56,1965,1965-12-05,12,28.347,GNB,,MIN,W 24-19,0,0,,0,1,-6,-6.00,0,,,,,,,0,0,0,0,0
57,1965,1965-12-19,14,28.361,GNB,@,SFO,T 24-24,0,0,,0,3,17,5.67,0,,,,,,,0,0,1,0,0
58,1966,1966-09-18,2,29.269,GNB,@,CLE,W 21-20,0,0,,0,1,-7,-7.00,0,,,,,,,0,0,0,0,0
59,1966,1966-09-25,3,29.276,GNB,,RAM,W 24-13,0,0,,0,5,25,5.00,0,,,,,,,0,0,0,0,0
60,1966,1966-10-02,4,29.283,GNB,,DET,W 23-14,0,0,,0,1,10,10.00,0,,,,,,,0,0,0,0,0
61,1966,1966-10-09,5,29.290,GNB,@,SFO,L 20-21,0,0,,0,4,15,3.75,0,,,,,,,0,0,0,0,0
62,1966,1966-10-16,6,29.297,GNB,@,CHI,W 17-0,0,0,,0,1,5,5.00,0,,,,,,,1,6,1,20,1
63,1966,1966-10-30,8,29.311,GNB,@,DET,W 31-7,0,0,,0,1,-5,-5.00,0,,,,,,,0,0,0,0,0
64,1966,1966-11-20,10,29.332,GNB,,CHI,W 13-6,0,0,,0,1,3,3.00,0,,,,,,,0,0,0,0,0
65,1966,1966-11-27,11,29.339,GNB,@,MIN,W 28-16,0,0,,0,1,0,0.00,0,,,,,,,0,0,0,0,0
66,1966,1966-12-04,12,29.346,GNB,,SFO,W 20-7,0,0,,0,2,16,8.00,0,,,,,,,0,0,0,0,0
67,1966,1966-12-10,13,29.352,GNB,@,BAL,W 14-10,0,0,,0,1,5,5.00,0,,,,,,,0,0,2,18,0
68,1966,1966-12-18,14,29.360,GNB,@,RAM,W 27-23,1,0,0.00,0,4,15,3.75,0,,,,,,,0,0,0,0,0
69,1967,1967-10-08,4,30.289,GNB,@,DET,W 27-17,1,0,0.00,0,0,0,,0,,,,,,,0,0,0,0,0
70,1967,1967-10-15,5,30.296,GNB,,MIN,L 7-10,0,0,,0,1,-6,-6.00,0,,,,,,,0,0,0,0,0
71,1967,1967-10-22,6,30.303,GNB,@,NYG,W 48-21,0,0,,0,1,8,8.00,0,,,,,,,0,0,1,6,0
72,1967,1967-11-05,8,30.317,GNB,@,BAL,L 10-13,0,0,,0,3,-5,-1.67,0,,,,,,,0,0,0,0,0
73,1967,1967-11-19,10,30.331,GNB,,SFO,W 13-0,0,0,,0,2,0,0.00,0,,,,,,,0,0,1,25,0
74,1967,1967-11-26,11,30.338,GNB,@,CHI,W 17-13,0,0,,0,1,-2,-2.00,0,,,,,,,0,0,1,12,0
75,1967,1967-12-03,12,30.345,GNB,@,MIN,W 30-27,0,0,,0,2,1,0.50,0,,,,,,,0,0,0,0,0
76,1967,1967-12-09,13,30.351,GNB,@,RAM,L 24-27,0,0,,0,0,0,,0,,,,,,,0,0,1,17,0
77,1967,1967-12-17,14,30.359,GNB,,PIT,L 17-24,0,0,,0,2,7,3.50,0,,,,,,,0,0,0,0,0
78,1968,1968-09-15,1,31.267,GNB,,PHI,W 30-13,0,0,,0,1,6,6.00,0,,,,,,,0,0,0,0,0
79,1968,1968-09-22,2,31.274,GNB,,MIN,L 13-26,0,0,,0,3,31,10.33,0,,,,,,,0,0,0,0,0
80,1968,1968-09-29,3,31.281,GNB,,DET,L 17-23,0,0,,0,1,4,4.00,0,,,,,,,0,0,0,0,0
81,1968,1968-10-06,4,31.288,GNB,@,ATL,W 38-7,0,0,,0,2,9,4.50,0,,,,,,,0,0,1,19,0
82,1968,1968-10-13,5,31.295,GNB,,RAM,L 14-16,0,0,,0,1,4,4.00,0,,,,,,,0,0,0,0,0
83,1968,1968-10-20,6,31.302,GNB,@,DET,T 14-14,0,0,,0,2,4,2.00,0,,,,,,,0,0,0,0,0
84,1968,1968-10-28,7,31.310,GNB,@,DAL,W 28-17,0,0,,0,1,2,2.00,0,,,,,,,0,0,0,0,0
85,1968,1968-11-03,8,31.316,GNB,,CHI,L 10-13,0,0,,0,3,7,2.33,0,,,,,,,0,0,0,0,0
86,1968,1968-11-10,9,31.323,GNB,@,MIN,L 10-14,0,0,,0,2,14,7.00,0,,,,,,,0,0,0,0,0
87,1968,1968-11-17,10,31.330,GNB,,NOR,W 29-7,0,0,,0,0,0,,0,,,,,,,0,0,1,35,0
88,1968,1968-11-24,11,31.337,GNB,@,WAS,W 27-7,0,0,,0,2,10,5.00,0,,,,,,,0,0,0,0,0
89,1968,1968-12-01,12,31.344,GNB,@,SFO,L 20-27,0,0,,0,2,16,8.00,0,,,,,,,0,0,0,0,0
90,1968,1968-12-07,13,31.350,GNB,,BAL,L 3-16,0,0,,0,3,14,4.67,0,,,,,,,0,0,0,0,0
91,1968,1968-12-15,14,31.358,GNB,@,CHI,W 28-27,0,0,,0,3,5,1.67,0,,,,,,,0,0,0,0,0
92,1969,1969-09-28,2,32.279,GNB,,SFO,W 14-7,0,0,,0,1,0,0.00,0,,,,,,,0,0,0,0,0
93,1969,1969-10-05,3,32.286,GNB,@,MIN,L 7-19,0,0,,0,3,16,5.33,0,,,,,,,0,0,0,0,0
94,1969,1969-10-12,4,32.293,GNB,@,DET,W 28-17,0,0,,0,0,0,,0,,,,,,,0,0,1,19,0
95,1969,1969-10-19,5,32.300,GNB,@,RAM,L 21-34,0,0,,0,2,9,4.50,0,,,,,,,0,0,0,0,0
96,1969,1969-11-02,7,32.314,GNB,@,PIT,W 38-34,0,0,,0,1,13,13.00,0,,,,,,,0,0,0,0,0
97,1969,1969-11-16,9,32.328,GNB,,MIN,L 7-9,0,0,,0,0,0,,0,,,,,,,0,0,1,0,0
98,1969,1969-12-07,12,32.349,GNB,@,CLE,L 7-20,0,0,,0,1,0,0.00,0,,,,,,,0,0,0,0,0
99,1969,1969-12-14,13,32.356,GNB,@,CHI,W 21-3,0,0,,0,0,0,,0,,,,,,,0,0,1,21,0
100,1970,1970-09-20,1,33.271,GNB,,DET,L 0-40,,,,,,,,,,,,,,,,,,,
101,1970,1970-09-27,2,33.278,GNB,,ATL,W 27-24,0,0,,0,0,0,,0,,,,,,,0,0,1,12,0
102,1970,1970-10-04,3,33.285,GNB,,MIN,W 13-10,0,0,,0,1,9,9.00,0,,,,,,,0,0,1,24,0
103,1970,1970-10-12,4,33.293,GNB,@,SDG,W 22-20,0,0,,0,0,0,,0,,,,,,,0,0,2,28,0
104,1970,1970-10-18,5,33.299,GNB,,RAM,L 21-31,0,0,,0,3,19,6.33,0,,,,,,,0,0,0,0,0
105,1970,1970-10-25,6,33.306,GNB,,PHI,W 30-17,,,,,,,,,,,,,,,,,,,
106,1970,1970-11-01,7,33.313,GNB,@,SFO,L 10-26,0,0,,0,1,2,2.00,0,,,,,,,0,0,0,0,0
107,1970,1970-11-09,8,33.321,GNB,,BAL,L 10-13,0,0,,0,2,3,1.50,0,,,,,,,0,0,0,0,0
108,1970,1970-11-15,9,33.327,GNB,,CHI,W 20-19,,,,,,,,,,,,,,,,,,,
109,1970,1970-11-22,10,33.334,GNB,@,MIN,L 3-10,0,0,,0,1,12,12.00,0,,,,,,,0,0,0,0,0
110,1970,1970-11-26,11,33.338,GNB,@,DAL,L 3-16,,,,,,,,,,,,,,,,,,,
111,1970,1970-12-06,12,33.348,GNB,@,PIT,W 20-12,0,0,,0,2,6,3.00,0,,,,,,,0,0,1,14,0
112,1970,1970-12-13,13,33.355,GNB,@,CHI,L 17-35,0,0,,0,0,0,,0,,,,,,,0,0,1,12,0
113,1970,1970-12-20,14,33.362,GNB,@,DET,L 0-20,0,0,,0,1,7,7.00,0,,,,,,,0,0,1,20,0
114,1971,1971-09-19,1,34.270,GNB,,NYG,L 40-42,0,0,,0,1,4,4.00,0,,,,,,,0,0,0,0,0
115,1971,1971-09-26,2,34.277,GNB,,DEN,W 34-13,0,0,,0,2,16,8.00,0,,,,,,,0,0,0,0,0
116,1971,1971-10-03,3,34.284,GNB,,CIN,W 20-17,0,0,,0,1,1,1.00,0,,,,,,,0,0,0,0,0
117,1971,1971-10-10,4,34.291,GNB,@,DET,L 28-31,,,,,,,,,,,,,,,,,,,
118,1971,1971-10-17,5,34.298,GNB,,MIN,L 13-24,,,,,,,,,,,,,,,,,,,
119,1971,1971-10-24,6,34.305,GNB,@,RAM,L 13-30,,,,,,,,,,,,,,,,,,,
120,1971,1971-11-01,7,34.313,GNB,,DET,T 14-14,,,,,,,,,,,,,,,,,,,
121,1971,1971-11-07,8,34.319,GNB,@,CHI,W 17-14,0,0,,0,0,0,,0,,,,,,,0,0,1,8,0
122,1971,1971-11-14,9,34.326,GNB,@,MIN,L 0-3,,,,,,,,,,,,,,,,,,,
123,1971,1971-11-22,10,34.334,GNB,@,ATL,L 21-28,,,,,,,,,,,,,,,,,,,
124,1971,1971-11-28,11,34.340,GNB,,NOR,L 21-29,,,,,,,,,,,,,,,,,,,
125,1971,1971-12-05,12,34.347,GNB,@,STL,T 16-16,,,,,,,,,,,,,,,,,,,
126,1971,1971-12-12,13,34.354,GNB,,CHI,W 31-10,,,,,,,,,,,,,,,,,,,
127,1971,1971-12-19,14,34.361,GNB,@,MIA,L 6-27,,,,,,,,,,,,,,,,,,,
