ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
23,1966,1966-11-20,10,23.225,NYG,,ATL,L 16-27,1,-1,-1.00,0,2,5,2.50,0,0,0,,0,,,,,,,0,0
24,1966,1966-11-27,11,23.232,NYG,@,WAS,L 41-72,2,8,4.00,0,1,-5,-5.00,0,0,0,,0,,,,,,,0,0
25,1966,1966-12-18,14,23.253,NYG,,DAL,L 7-17,8,18,2.25,0,0,0,,0,0,0,,0,,,,,,,0,0
26,1967,1967-10-15,5,24.189,NYG,@,PIT,W 27-24,0,0,,0,0,0,,0,0,0,,0,2,3,66.7,,1,0.0,0,2
27,1967,1967-11-12,9,24.217,GNB,,CLE,W 55-7,6,24,4.00,0,,,,,,,,,,,,,,,,
28,1967,1967-12-09,13,24.244,GNB,@,RAM,L 24-27,4,12,3.00,1,1,6,6.00,0,,,,,,,,,,,1,
29,1967,1967-12-17,14,24.252,GNB,,PIT,L 17-24,4,20,5.00,0,,,,,,,,,,,,,,,,
30,1968,1968-09-15,1,25.159,GNB,,PHI,W 30-13,,,,,,,,,,,,,,,,,,,,
31,1968,1968-09-22,2,25.166,GNB,,MIN,L 13-26,,,,,,,,,,,,,,,,,,,,
32,1968,1968-09-29,3,25.173,GNB,,DET,L 17-23,,,,,,,,,,,,,,,,,,,,
33,1968,1968-10-06,4,25.180,GNB,@,ATL,W 38-7,2,1,0.50,0,0,0,,0,0,0,,0,4,4,100.0,1,2,50.0,0,7
34,1968,1968-10-13,5,25.187,GNB,,RAM,L 14-16,,,,,,,,,,,,,,,,,,,,
35,1968,1968-10-20,6,25.194,GNB,@,DET,T 14-14,0,0,,0,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
36,1968,1968-10-28,7,25.202,GNB,@,DAL,W 28-17,,,,,,,,,,,,,,,,,,,,
37,1968,1968-11-03,8,25.208,GNB,,CHI,L 10-13,0,0,,0,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
38,1968,1968-11-10,9,25.215,GNB,@,MIN,L 10-14,,,,,,,,,,,,,,,,,,,,
39,1968,1968-11-17,10,25.222,GNB,,NOR,W 29-7,8,21,2.63,0,0,0,,0,0,0,,0,,,,,,,0,0
40,1968,1968-11-24,11,25.229,GNB,@,WAS,W 27-7,5,24,4.80,0,1,9,9.00,0,0,0,,0,,,,,,,0,0
41,1968,1968-12-01,12,25.236,GNB,@,SFO,L 20-27,,,,,,,,,,,,,,,,,,,,
42,1968,1968-12-07,13,25.242,GNB,,BAL,L 3-16,0,0,,0,1,3,3.00,0,0,0,,0,,,,,,,0,0
43,1968,1968-12-15,14,25.250,GNB,@,CHI,W 28-27,2,3,1.50,1,1,-6,-6.00,0,0,0,,0,,,,,,,1,6
44,1970,1970-10-25,6,27.199,NYJ,,BUF,L 6-10,1,-3,-3.00,0,0,0,,0,0,0,,0,,,,,,,0,0
45,1970,1970-11-01,7,27.206,NYJ,,NYG,L 10-22,5,4,0.80,0,0,0,,0,0,0,,0,,,,,,,0,0
46,1970,1970-11-08,8,27.213,NYJ,@,PIT,L 17-21,1,2,2.00,0,3,27,9.00,1,0,0,,0,,,,,,,1,6
47,1970,1970-11-15,9,27.220,NYJ,@,RAM,W 31-20,4,7,1.75,0,0,0,,0,0,0,,0,,,,,,,0,0
48,1970,1970-11-22,10,27.227,NYJ,,BOS,W 17-3,9,34,3.78,0,0,0,,0,0,0,,0,,,,,,,0,0
49,1970,1970-11-29,11,27.234,NYJ,,MIN,W 20-10,,,,,,,,,,,,,,,,,,,,
50,1970,1970-12-06,12,27.241,NYJ,,OAK,L 13-14,0,0,,0,0,0,,0,2,20,10.00,0,,,,,,,0,0
51,1970,1970-12-13,13,27.248,NYJ,@,MIA,L 10-16,0,0,,0,0,0,,0,1,3,3.00,0,,,,,,,0,0
52,1970,1970-12-19,14,27.254,NYJ,@,BAL,L 20-35,0,0,,0,0,0,,0,1,9,9.00,0,,,,,,,0,0
