ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
31,1971,1971-10-03,3,28.172,WAS,@,DAL,W 20-16,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
32,1971,1971-10-10,4,28.179,WAS,,HOU,W 22-13,,0,0,,0,0,0,,0,0,,,1,1,100.0,5,7,71.4,0,16
33,1971,1971-10-17,5,28.186,WAS,,STL,W 20-0,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8
34,1971,1971-10-24,6,28.193,WAS,@,KAN,L 20-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,4,50.0,0,8
35,1971,1971-10-31,7,28.200,WAS,,NOR,W 24-14,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6
36,1971,1971-11-07,8,28.207,WAS,,PHI,T 7-7,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
37,1971,1971-11-14,9,28.214,WAS,@,CHI,L 15-16,,0,0,,0,0,0,,0,0,,,,,,5,6,83.3,0,15
38,1971,1971-11-21,10,28.221,WAS,,DAL,L 0-13,,0,0,,0,0,0,,0,0,,,,,,,1,0.0,0,0
39,1971,1971-11-28,11,28.228,WAS,@,PHI,W 20-13,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,4,50.0,0,8
40,1971,1971-12-05,12,28.235,WAS,,NYG,W 23-7,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,5,60.0,0,11
41,1971,1971-12-13,13,28.243,WAS,@,RAM,W 38-24,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,3,33.3,0,8
42,1971,1971-12-19,14,28.249,WAS,,CLE,L 13-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,4,50.0,0,7
43,1972,1972-09-18,1,29.157,WAS,@,MIN,W 24-21,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6
44,1972,1972-09-24,2,29.163,WAS,,STL,W 24-10,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6
45,1972,1972-10-01,3,29.170,WAS,@,NWE,L 23-24,,0,0,,0,0,0,,0,0,,,3,3,100.0,,2,0.0,0,3
46,1972,1972-10-08,4,29.177,WAS,,PHI,W 14-0,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2
47,1972,1972-10-15,5,29.184,WAS,@,STL,W 33-3,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15
48,1972,1972-10-22,6,29.191,WAS,,DAL,W 24-20,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6
49,1972,1972-10-29,7,29.198,WAS,@,NYG,W 23-16,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
50,1972,1972-11-05,8,29.205,WAS,@,NYJ,W 35-17,,0,0,,0,0,0,,0,0,,,5,5,100.0,,1,0.0,0,5
51,1972,1972-11-12,9,29.212,WAS,,NYG,W 27-13,,0,0,,0,0,0,,0,0,,,3,4,75.0,,3,0.0,0,3
52,1972,1972-11-20,10,29.220,WAS,,ATL,W 24-13,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6
53,1972,1972-11-26,11,29.226,WAS,,GNB,W 21-16,,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3
54,1972,1972-12-03,12,29.233,WAS,@,PHI,W 23-7,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11
55,1972,1972-12-09,13,29.239,WAS,@,DAL,L 24-34,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6
56,1972,1972-12-17,14,29.247,WAS,,BUF,L 17-24,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
57,1973,1973-09-16,1,30.155,WAS,,SDG,W 38-0,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,3,33.3,0,8
58,1973,1973-09-23,2,30.162,WAS,@,STL,L 27-34,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,5,40.0,0,9
59,1973,1973-09-30,3,30.169,WAS,@,PHI,W 28-7,,0,0,,0,0,0,,0,0,,,4,4,100.0,,2,0.0,0,4
60,1973,1973-10-08,4,30.177,WAS,,DAL,W 14-7,,0,0,,0,0,0,,0,0,,,2,2,100.0,,3,0.0,0,2
61,1973,1973-10-14,5,30.183,WAS,@,NYG,W 21-3,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3
62,1973,1973-10-21,6,30.190,WAS,,STL,W 31-13,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7
63,1973,1973-10-28,7,30.197,WAS,@,NOR,L 3-19,,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3
64,1973,1973-11-05,8,30.205,WAS,@,PIT,L 16-21,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,4,75.0,0,10
65,1973,1973-11-11,9,30.211,WAS,,SFO,W 33-9,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,5,80.0,0,15
66,1973,1973-11-18,10,30.218,WAS,,BAL,W 22-14,,0,0,,0,0,0,,0,0,,,1,1,100.0,5,5,100.0,0,16
67,1973,1973-11-22,11,30.222,WAS,@,DET,W 20-0,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,5,40.0,0,8
68,1973,1973-12-02,12,30.232,WAS,,NYG,W 27-24,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,3,66.7,0,9
69,1973,1973-12-09,13,30.239,WAS,@,DAL,L 7-27,,0,0,,0,0,0,,0,0,,,1,1,100.0,,3,0.0,0,1
70,1973,1973-12-16,14,30.246,WAS,,PHI,W 38-20,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,2,50.0,0,8
