ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
36,2001,2001-10-14,4,24.345,ARI,@,CHI,L 13-20,,,,,,,0.0%,,,,,,,,,
37,2001,2001-11-04,7,25.001,ARI,,PHI,L 7-21,,,,,,,0.0%,,,,,,,,,
38,2001,2001-11-11,8,25.008,ARI,,NYG,L 10-17,,,,,,,0.0%,,,,,,,,,
39,2001,2001-11-18,9,25.015,ARI,,DET,W 45-38,,,,,,,0.0%,,,,,,,,,
40,2001,2001-11-25,10,25.022,ARI,@,SDG,W 20-17,,,,,,,0.0%,,,,,,,,,
41,2001,2001-12-02,11,25.029,ARI,@,OAK,W 34-31,,,,,,,0.0%,,,,,,,,,
42,2001,2001-12-09,12,25.036,ARI,,WAS,L 10-20,,,,,,,0.0%,,,,,,,,,
43,2001,2001-12-15,13,25.042,ARI,@,NYG,L 13-17,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0
44,2001,2001-12-23,14,25.050,ARI,,DAL,W 17-10,,,,,,,0.0%,,,,,,,,,
45,2001,2001-12-30,15,25.057,ARI,@,CAR,W 30-7,,0,0,0,,0,0.0%,,1,1,1.00,0,0,0,,0
46,2001,2002-01-06,16,25.064,ARI,@,WAS,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,1,11,11.00,0
47,2002,2002-09-08,1,25.309,ARI,@,WAS,L 23-31,,,,,,,0.0%,,,,,,,,,
48,2002,2002-10-20,6,25.351,ARI,,DAL,W 9-6,,1,,,,,0.0%,,,,,,,,,
49,2002,2002-10-27,7,25.358,ARI,@,SFO,L 28-38,*,,,,,,0.0%,,,,,,,,,
50,2002,2002-11-03,8,26.000,ARI,,STL,L 14-27,,,,,,,0.0%,,,,,,,,,
51,2002,2002-11-10,9,26.007,ARI,,SEA,L 6-27,,,,,,,0.0%,,,,,,,,,
52,2002,2002-11-17,10,26.014,ARI,@,PHI,L 14-38,,,,,,,0.0%,,,,,,,,,
53,2002,2002-11-24,11,26.021,ARI,,OAK,L 20-41,,0,,,,,0.0%,,,,,,,,,
54,2002,2002-12-01,12,26.028,ARI,@,KAN,L 0-49,,,,,,,0.0%,,,,,,,,,
55,2002,2002-12-08,13,26.035,ARI,,DET,W 23-20,,,,,,,0.0%,,,,,,,,,
56,2002,2002-12-15,14,26.042,ARI,@,STL,L 28-30,,0,,,,,0.0%,,,,,,,,,
57,2002,2002-12-21,15,26.048,ARI,,SFO,L 14-17,,0,,,,,0.0%,,,,,,,,,
58,2002,2002-12-29,16,26.056,ARI,@,DEN,L 7-37,,,,,,,0.0%,,,,,,,,,
