ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
20,2007,2007-12-23,15,27.027,ARI,,ATL,W 30-27,,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
21,2007,2007-12-30,16,27.034,ARI,,STL,W 48-19,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
22,2008,2008-09-07,1,27.286,ARI,@,SFO,W 23-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
23,2008,2008-09-14,2,27.293,ARI,,MIA,W 31-10,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
24,2008,2008-09-21,3,27.300,ARI,@,WAS,L 17-24,,1,0,0,,0,0.0%,0.00,0,0,,0,1,1,100.00,18,0,0,118.7,0,0,18.00,18.00,0,0,,0,0,0,0.0,0,0
25,2008,2008-09-28,4,27.307,ARI,@,NYJ,L 35-56,,7,5,50,10.00,1,71.4%,7.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,1,0
26,2008,2008-10-05,5,27.314,ARI,,BUF,W 41-17,,4,3,10,3.33,0,75.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
27,2008,2008-10-12,6,27.321,ARI,,DAL,W 30-24,,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0
28,2008,2008-10-26,7,27.335,ARI,@,CAR,L 23-27,,4,4,51,12.75,0,100.0%,12.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0
29,2008,2008-11-02,8,27.342,ARI,@,STL,W 34-13,,1,1,56,56.00,1,100.0%,56.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
30,2008,2008-11-10,9,27.350,ARI,,SFO,W 29-24,,5,4,38,9.50,0,80.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0.0,0,0
31,2008,2008-11-16,10,27.356,ARI,@,SEA,W 26-20,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0
32,2008,2008-11-23,11,27.363,ARI,,NYG,L 29-37,,6,5,69,13.80,0,83.3%,11.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
33,2008,2008-11-27,12,28.001,ARI,@,PHI,L 20-48,,5,1,3,3.00,0,20.0%,0.60,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,1.00,0,0,0,0.0,0,0
34,2008,2008-12-07,13,28.011,ARI,,STL,W 34-10,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
35,2008,2008-12-14,14,28.018,ARI,,MIN,L 14-35,,3,3,82,27.33,1,100.0%,27.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
36,2008,2008-12-21,15,28.025,ARI,@,NWE,L 7-47,,4,2,36,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
37,2008,2008-12-28,16,28.032,ARI,,SEA,W 34-21,*,6,4,43,10.75,1,66.7%,7.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
38,2009,2009-09-13,1,28.291,ARI,,SFO,L 16-20,,7,5,74,14.80,0,71.4%,10.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
39,2009,2009-09-20,2,28.298,ARI,@,JAX,W 31-17,,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
40,2009,2009-09-27,3,28.305,ARI,,IND,L 10-31,,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
41,2009,2009-10-11,4,28.319,ARI,,HOU,W 28-21,,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
42,2009,2009-10-18,5,28.326,ARI,@,SEA,W 27-3,,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
43,2009,2009-10-25,6,28.333,ARI,@,NYG,W 24-17,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
44,2009,2009-11-01,7,28.340,ARI,,CAR,L 21-34,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
45,2009,2009-11-08,8,28.347,ARI,@,CHI,W 41-21,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
46,2009,2009-12-27,15,29.031,ARI,,STL,W 31-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
47,2009,2010-01-03,16,29.038,ARI,,GNB,L 7-33,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
48,2011,2011-09-11,1,30.289,KAN,,BUF,L 7-41,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
49,2011,2011-09-18,2,30.296,KAN,@,DET,L 3-48,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
50,2011,2011-11-21,10,30.360,KAN,@,NWE,L 3-34,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
51,2011,2011-11-27,11,31.001,KAN,,PIT,L 9-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
52,2011,2011-12-04,12,31.008,KAN,@,CHI,W 10-3,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
53,2011,2011-12-11,13,31.015,KAN,@,NYJ,L 10-37,,6,2,28,14.00,1,33.3%,4.67,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
