ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
20,2008,2008-10-05,5,23.275,SDG,@,MIA,L 10-17,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,8,2,0,0,0
21,2008,2008-10-12,6,23.282,SDG,,NWE,W 30-10,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,10,0,0,0,0
22,2008,2008-10-19,7,23.289,SDG,@,BUF,L 14-23,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,7,2,0,0,0
23,2008,2008-10-26,8,23.296,SDG,@,NOR,L 32-37,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,4,0,0,0,0
24,2008,2008-11-09,9,23.310,SDG,,KAN,W 20-19,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,1.0,4,0,0,0,0
25,2008,2008-11-16,10,23.317,SDG,@,PIT,L 10-11,*,0,0,,0,0,0,,0,0,0,,,,,,1,1,1.00,0,0,0,0.0,7,4,0,0,0
26,2008,2008-11-23,11,23.324,SDG,,IND,L 20-23,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,8,2,0,0,0
27,2008,2008-11-30,12,23.331,SDG,,ATL,L 16-22,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,7,3,0,0,0
28,2008,2008-12-04,13,23.335,SDG,,OAK,W 34-7,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,3,0,0,0,0
29,2008,2008-12-14,14,23.345,SDG,@,KAN,W 22-21,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,5,0,0,0,0
30,2008,2008-12-21,15,23.352,SDG,@,TAM,W 41-24,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,8,1,0,0,0
31,2008,2008-12-28,16,23.359,SDG,,DEN,W 52-21,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,10,1,0,0,0
32,2009,2009-09-14,1,24.253,SDG,@,OAK,W 24-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,1,0,0,0
33,2009,2009-09-20,2,24.259,SDG,,BAL,L 26-31,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,9,1,0,0,0
34,2009,2009-09-27,3,24.266,SDG,,MIA,W 23-13,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,6,1,1,31,1
35,2009,2009-10-04,4,24.273,SDG,@,PIT,L 28-38,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,2,0,0,0
36,2009,2009-10-19,5,24.288,SDG,,DEN,L 23-34,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,0,0,0,0
37,2009,2009-10-25,6,24.294,SDG,@,KAN,W 37-7,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1.0,3,0,0,0,0
38,2009,2009-11-01,7,24.301,SDG,,OAK,W 24-16,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,3,0,0,0
39,2009,2009-11-08,8,24.308,SDG,@,NYG,W 21-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,8,1,0,0,0
40,2009,2009-11-15,9,24.315,SDG,,PHI,W 31-23,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,1,0,0,0
41,2009,2009-11-22,10,24.322,SDG,@,DEN,W 32-3,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.5,5,2,0,0,0
42,2009,2009-11-29,11,24.329,SDG,,KAN,W 43-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,0,0,0,0
43,2009,2009-12-20,14,24.350,SDG,,CIN,W 27-24,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,7,1,0,0,0
44,2009,2009-12-25,15,24.355,SDG,@,TEN,W 42-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,1,1,13,0
45,2010,2010-09-13,1,25.252,SDG,@,KAN,L 14-21,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,0,0,0,0
46,2010,2010-09-19,2,25.258,SDG,,JAX,W 38-13,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.5,3,2,0,0,0
47,2010,2010-09-26,3,25.265,SDG,@,SEA,L 20-27,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,6,0,0,0,0
48,2010,2010-10-03,4,25.272,SDG,,ARI,W 41-10,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,0,0,0,0
49,2010,2010-10-10,5,25.279,SDG,@,OAK,L 27-35,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,2,1,0,0,0
50,2010,2010-10-17,6,25.286,SDG,@,STL,L 17-20,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,11,1,0,0,0
51,2010,2010-10-24,7,25.293,SDG,,NWE,L 20-23,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,3,2,0,0,0
52,2010,2010-10-31,8,25.300,SDG,,TEN,W 33-25,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,10,1,0,0,0
53,2010,2010-11-07,9,25.307,SDG,@,HOU,W 29-23,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,7,1,0,0,0
54,2010,2010-11-22,10,25.322,SDG,,DEN,W 35-14,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,2,1,0,0,0
55,2010,2010-11-28,11,25.328,SDG,@,IND,W 36-14,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,4,0,1,41,1
56,2010,2010-12-05,12,25.335,SDG,,OAK,L 13-28,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,5,1,0,0,0
57,2010,2010-12-12,13,25.342,SDG,,KAN,W 31-0,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,3,0,0,0,0
58,2010,2010-12-16,14,25.346,SDG,,SFO,W 34-7,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,5,0,0,0,0
59,2010,2010-12-26,15,25.356,SDG,@,CIN,L 20-34,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,11,5,0,0,0
60,2010,2011-01-02,16,25.363,SDG,@,DEN,W 33-28,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,5,1,1,23,0
61,2011,2011-09-11,1,26.250,SDG,,MIN,W 24-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,1,0,0,0
62,2011,2011-09-18,2,26.257,SDG,@,NWE,L 21-35,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,8,4,0,0,0
63,2011,2011-09-25,3,26.264,SDG,,KAN,W 20-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,1,1,0,0
64,2011,2011-10-02,4,26.271,SDG,,MIA,W 26-16,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,6,2,1,20,0
65,2011,2011-10-09,5,26.278,SDG,@,DEN,W 29-24,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,0,0,0,0
66,2011,2011-10-23,6,26.292,SDG,@,NYJ,L 21-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,1,1,25,0
67,2011,2011-10-31,7,26.300,SDG,@,KAN,L 20-23,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,7,0,2,18,0
68,2011,2011-11-06,8,26.306,SDG,,GNB,L 38-45,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,1,0,0,0
69,2011,2011-11-10,9,26.310,SDG,,OAK,L 17-24,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,7,1,0,0,0
70,2011,2011-11-20,10,26.320,SDG,@,CHI,L 20-31,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,0,0,0
71,2011,2011-11-27,11,26.327,SDG,,DEN,L 13-16,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,2,0,0,0
72,2011,2011-12-05,12,26.335,SDG,@,JAX,W 38-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,1,0,0
73,2011,2011-12-11,13,26.341,SDG,,BUF,W 37-10,*,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,1,1,26,0
74,2011,2011-12-18,14,26.348,SDG,,BAL,W 34-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,0,0,0
75,2011,2011-12-24,15,26.354,SDG,@,DET,L 10-38,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,3,0,0,0
76,2011,2012-01-01,16,26.362,SDG,@,OAK,W 38-26,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,1,0,0,0
77,2012,2012-09-10,1,27.250,SDG,@,OAK,W 22-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,7,0,0,0,0
78,2012,2012-09-16,2,27.256,SDG,,TEN,W 38-10,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,0,1,8,0
79,2012,2012-09-23,3,27.263,SDG,,ATL,L 3-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,2,0,0,0
80,2012,2012-09-30,4,27.270,SDG,@,KAN,W 37-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,2,1,21,0
81,2012,2012-10-07,5,27.277,SDG,@,NOR,L 24-31,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1.0,6,1,0,0,0
82,2012,2012-10-15,6,27.285,SDG,,DEN,L 24-35,*,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0.0,5,1,0,0,0
83,2012,2012-10-28,7,27.298,SDG,@,CLE,L 6-7,*,0,0,,0,0,0,,0,0,0,,0,0,,,5,46,9.20,0,0,0,0.0,5,1,0,0,0
84,2012,2012-11-01,8,27.302,SDG,,KAN,W 31-13,*,0,0,,0,0,0,,0,0,0,,0,0,,,1,2,2.00,0,0,0,0.0,7,0,0,0,0
85,2012,2012-11-11,9,27.312,SDG,@,TAM,L 24-34,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,0,0,0,0
86,2012,2012-11-18,10,27.319,SDG,@,DEN,L 23-30,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,6,0.0,5,1,1,23,1
87,2012,2012-11-25,11,27.326,SDG,,BAL,L 13-16,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,6,1,0,0,0
88,2012,2012-12-02,12,27.333,SDG,,CIN,L 13-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,0,0,0,0
89,2012,2012-12-09,13,27.340,SDG,@,PIT,W 34-24,*,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,1,0,0,0
90,2012,2012-12-16,14,27.347,SDG,,CAR,L 7-31,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,7,3,0,0,0
91,2012,2012-12-23,15,27.354,SDG,@,NYJ,W 27-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,7,0,0,0,0
92,2012,2012-12-30,16,27.361,SDG,,OAK,W 24-21,*,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,7,1,0,0,0
93,2013,2013-09-09,1,28.248,SDG,,HOU,L 28-31,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,9,2,0,0,0
94,2013,2013-09-15,2,28.254,SDG,@,PHI,W 33-30,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,0,0,0
95,2013,2013-09-22,3,28.261,SDG,@,TEN,L 17-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,6,3,0,0,0
96,2013,2013-09-29,4,28.268,SDG,,DAL,W 30-21,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,2,0,0,0
97,2013,2013-10-06,5,28.275,SDG,@,OAK,L 17-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,2,0,0,0
98,2013,2013-10-14,6,28.283,SDG,,IND,W 19-9,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,1,0,0,0
99,2013,2013-10-20,7,28.289,SDG,@,JAX,W 24-6,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,0,0,0,0
100,2013,2013-11-03,8,28.303,SDG,@,WAS,L 24-30,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,9,6,0,0,0
101,2013,2013-11-10,9,28.310,SDG,,DEN,L 20-28,*,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,3,0,0,0
102,2013,2013-11-17,10,28.317,SDG,@,MIA,L 16-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1.0,7,0,0,0,0
103,2013,2013-11-24,11,28.324,SDG,@,KAN,W 41-38,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,6,0,0,0,0
104,2013,2013-12-01,12,28.331,SDG,,CIN,L 10-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,6,1,1,21,0
105,2013,2013-12-08,13,28.338,SDG,,NYG,W 37-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,0,0,0
106,2013,2013-12-12,14,28.342,SDG,@,DEN,W 27-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,0,0,0,0
107,2013,2013-12-22,15,28.352,SDG,,OAK,W 26-13,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,2,1,0,0
108,2013,2013-12-29,16,28.359,SDG,,KAN,W 27-24,*,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,9,5,0,0,0
109,2014,2014-09-08,1,29.247,SDG,@,ARI,L 17-18,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,1,0,0,0
110,2014,2014-09-14,2,29.253,SDG,,SEA,W 30-21,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,1,0,0,0
111,2014,2014-09-21,3,29.260,SDG,@,BUF,W 22-10,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,9,1,0,0,0
112,2014,2014-09-28,4,29.267,SDG,,JAX,W 33-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,1,1,17,0
113,2014,2014-10-05,5,29.274,SDG,,NYJ,W 31-0,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,0,0,0
114,2014,2014-10-12,6,29.281,SDG,@,OAK,W 31-28,*,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0.0,4,4,0,0,0
115,2014,2014-10-19,7,29.288,SDG,,KAN,L 20-23,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,10,3,0,0,0
116,2014,2014-10-23,8,29.292,SDG,@,DEN,L 21-35,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,9,2,0,0,0
117,2014,2014-11-02,9,29.302,SDG,@,MIA,L 0-37,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,6,0,0,0,0
118,2014,2014-11-16,10,29.316,SDG,,OAK,W 13-6,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,1,0,0,0
119,2014,2014-11-23,11,29.323,SDG,,STL,W 27-24,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,6,3,0,0,0
120,2014,2014-11-30,12,29.330,SDG,@,BAL,W 34-33,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,2,0,0,0
121,2014,2014-12-07,13,29.337,SDG,,NWE,L 14-23,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,6,1,0,0,0
122,2014,2014-12-14,14,29.344,SDG,,DEN,L 10-22,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,8,1,0,0,0
123,2014,2014-12-20,15,29.350,SDG,@,SFO,W 38-35,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,8,2,0,0,0
124,2014,2014-12-28,16,29.358,SDG,@,KAN,L 7-19,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,0,0,0,0
125,2015,2015-09-13,1,30.252,SDG,,DET,W 33-28,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,7,0,0,0,0
126,2015,2015-09-20,2,30.259,SDG,@,CIN,L 19-24,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,7,3,0,0,0
127,2015,2015-09-27,3,30.266,SDG,@,MIN,L 14-31,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,6,2,0,0,0
128,2015,2015-10-04,4,30.273,SDG,,CLE,W 30-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.5,6,4,0,0,0
129,2015,2015-10-12,5,30.281,SDG,,PIT,L 20-24,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,2,0,0,0
130,2015,2015-10-18,6,30.287,SDG,@,GNB,L 20-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,0,0,0,0
131,2015,2015-11-09,9,30.309,SDG,,CHI,L 19-22,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,9,4,0,0,0
132,2015,2015-11-22,10,30.322,SDG,,KAN,L 3-33,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,3,0,0,0
133,2015,2015-11-29,11,30.329,SDG,@,JAX,W 31-25,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,0,0,0
134,2015,2015-12-06,12,30.336,SDG,,DEN,L 3-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,2,0,0,0
135,2015,2015-12-13,13,30.343,SDG,@,KAN,L 3-10,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,0,0,0
136,2015,2015-12-20,14,30.350,SDG,,MIA,W 30-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,1,0,0,0
137,2015,2015-12-24,15,30.354,SDG,@,OAK,L 20-23,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,2,0,0,0
138,2016,2016-09-11,1,31.251,BAL,,BUF,W 13-7,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,1,0,0,0
139,2016,2016-09-18,2,31.258,BAL,@,CLE,W 25-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,1,1,0,0
140,2016,2016-09-25,3,31.265,BAL,@,JAX,W 19-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,0,0,0
141,2016,2016-10-02,4,31.272,BAL,,OAK,L 27-28,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,1,0,0,0
142,2016,2016-10-09,5,31.279,BAL,,WAS,L 10-16,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,4,0,0,0
143,2016,2016-10-16,6,31.286,BAL,@,NYG,L 23-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,3,0,0,0
144,2016,2016-10-23,7,31.293,BAL,@,NYJ,L 16-24,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,7,0,0,0
145,2016,2016-11-06,8,31.307,BAL,,PIT,W 21-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,2,0,0,0
146,2016,2016-11-10,9,31.311,BAL,,CLE,W 28-7,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,1,25,0
147,2016,2016-11-20,10,31.321,BAL,@,DAL,L 17-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,2,0,0,0
148,2016,2016-11-27,11,31.328,BAL,,CIN,W 19-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,2,0,0,0
149,2016,2016-12-04,12,31.335,BAL,,MIA,W 38-6,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,1,1,53,0
150,2016,2016-12-12,13,31.343,BAL,@,NWE,L 23-30,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1.0,6,5,1,14,0
151,2016,2016-12-18,14,31.349,BAL,,PHI,W 27-26,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,6,0,0,0
152,2016,2016-12-25,15,31.356,BAL,@,PIT,L 27-31,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,2,0,0,0
153,2016,2017-01-01,16,31.363,BAL,@,CIN,L 10-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,4,0,0,0
154,2017,2017-09-10,1,32.249,BAL,@,CIN,W 20-0,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,1,0,0,0
155,2017,2017-09-17,2,32.256,BAL,,CLE,W 24-10,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,1,2,0
156,2017,2017-09-24,3,32.263,BAL,@,JAX,L 7-44,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,0,0,0
157,2017,2017-10-01,4,32.270,BAL,,PIT,L 9-26,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,4,1,0,0
158,2017,2017-10-08,5,32.277,BAL,@,OAK,W 30-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,3,0,0,0
159,2017,2017-10-15,6,32.284,BAL,,CHI,L 24-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,0,0,0,0
160,2017,2017-10-22,7,32.291,BAL,@,MIN,L 16-24,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,1,0,0,0
161,2017,2017-10-26,8,32.295,BAL,,MIA,W 40-0,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,0,0,0,0
162,2017,2017-11-05,9,32.305,BAL,@,TEN,L 20-23,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,1,22,0
