ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
59,2008,2008-11-27,12,28.153,SEA,@,DAL,L 9-34,,0,0,,0,0,0,0.0,1,1
60,2008,2008-12-07,13,28.163,SEA,,NWE,L 21-24,,,,,,,,,,
61,2008,2008-12-14,14,28.170,SEA,@,STL,W 23-20,,0,0,,0,0,0,0.0,2,0
62,2008,2008-12-21,15,28.177,SEA,,NYJ,W 13-3,,0,0,,0,0,0,1.0,1,0
63,2008,2008-12-28,16,28.184,SEA,@,ARI,L 21-34,,,,,,,,,,
64,2009,2009-09-13,1,29.078,SEA,,STL,W 28-0,,,,,,,,,,
65,2009,2009-09-20,2,29.085,SEA,@,SFO,L 10-23,*,0,0,,0,0,0,1.0,2,1
66,2009,2009-09-27,3,29.092,SEA,,CHI,L 19-25,,,,,,,,,,
67,2009,2009-10-04,4,29.099,SEA,@,IND,L 17-34,,0,0,,0,0,0,0.0,2,0
68,2009,2009-10-11,5,29.106,SEA,,JAX,W 41-0,,0,0,,0,0,0,0.0,0,1
69,2009,2009-10-18,6,29.113,SEA,,ARI,L 3-27,,0,0,,0,0,0,0.0,1,0
70,2009,2009-11-08,8,29.134,SEA,,DET,W 32-20,,0,0,,0,0,0,0.0,0,0
71,2009,2009-11-15,9,29.141,SEA,@,ARI,L 20-31,,,,,,,,,,
72,2009,2009-11-29,11,29.155,SEA,@,STL,W 27-17,,0,0,,0,0,0,0.0,3,0
73,2009,2009-12-06,12,29.162,SEA,,SFO,W 20-17,,,,,,,,,,
74,2009,2009-12-13,13,29.169,SEA,@,HOU,L 7-34,,0,0,,0,0,0,0.0,0,1
75,2009,2009-12-20,14,29.176,SEA,,TAM,L 7-24,,,,,,,,,,
76,2009,2010-01-03,16,29.190,SEA,,TEN,L 13-17,,,,,,,,,,
77,2010,2010-10-17,5,30.112,SEA,@,CHI,W 23-20,,0,0,,0,0,0,0.0,0,1
78,2010,2010-10-24,6,30.119,SEA,,ARI,W 22-10,,0,0,,0,0,0,0.0,0,1
79,2010,2010-10-31,7,30.126,SEA,@,OAK,L 3-33,,0,0,,0,0,0,0.0,0,1
80,2010,2010-11-07,8,30.133,SEA,,NYG,L 7-41,*,0,0,,0,0,0,0.0,1,1
81,2010,2010-11-14,9,30.140,SEA,@,ARI,W 36-18,,,,,,,,,,
82,2010,2010-11-21,10,30.147,SEA,@,NOR,L 19-34,,0,0,,0,0,0,0.0,1,0
83,2010,2010-11-28,11,30.154,SEA,,KAN,L 24-42,,0,0,,0,0,0,0.0,0,0
84,2010,2010-12-05,12,30.161,SEA,,CAR,W 31-14,,0,0,,0,0,0,0.0,0,1
85,2010,2010-12-12,13,30.168,SEA,@,SFO,L 21-40,,0,0,,0,0,0,0.0,2,0
86,2010,2010-12-19,14,30.175,SEA,,ATL,L 18-34,,0,0,,0,0,0,0.0,0,2
87,2010,2010-12-26,15,30.182,SEA,@,TAM,L 15-38,,0,0,,0,0,0,0.0,0,0
88,2010,2011-01-02,16,30.189,SEA,,STL,W 16-6,,0,0,,0,0,0,0.0,0,0
