ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
23,1967,1967-10-07,4,25.107,PIT,@,CLE,L 10-21,0,0,,0,0,0,,0,2,54,27.00,0,0,0,,0,0,0,0
24,1967,1967-10-15,5,25.115,PIT,,NYG,L 24-27,0,0,,0,0,0,,0,2,49,24.50,0,0,0,,0,0,0,0
25,1967,1967-10-29,7,25.129,PIT,@,NOR,W 14-10,0,0,,0,0,0,,0,1,24,24.00,0,0,0,,0,0,0,0
26,1967,1967-11-05,8,25.136,PIT,,CLE,L 14-34,0,0,,0,0,0,,0,5,74,14.80,0,0,0,,0,0,0,0
27,1967,1967-11-12,9,25.143,PIT,@,STL,T 14-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,41,0
28,1967,1967-11-19,10,25.150,PIT,@,NYG,L 20-28,0,0,,0,0,0,,0,1,30,30.00,0,0,0,,0,1,0,0
29,1967,1967-11-26,11,25.157,PIT,,MIN,L 27-41,0,0,,0,0,0,,0,2,47,23.50,0,0,0,,0,0,0,0
30,1967,1967-12-17,14,25.178,PIT,@,GNB,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
31,1968,1968-10-27,7,26.127,PIT,,PHI,W 6-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,20,0
32,1968,1968-11-03,8,26.134,PIT,@,ATL,W 41-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,23,0
33,1969,1969-10-12,4,27.112,PIT,@,NYG,L 7-10,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
34,1969,1969-10-18,5,27.118,PIT,@,CLE,L 31-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,26,0
35,1969,1969-11-02,7,27.133,PIT,,GNB,L 34-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
36,1969,1969-11-16,9,27.147,PIT,,CLE,L 3-24,0,0,,0,0,0,,0,0,0,,0,2,0,0.00,0,1,11,0
37,1969,1969-12-14,13,27.175,PIT,,NYG,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
38,1970,1970-09-20,1,28.090,DEN,@,BUF,W 25-10,,,,,,,,,,,,,,,,,,,
39,1970,1970-09-27,2,28.097,DEN,,PIT,W 16-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
40,1970,1970-10-11,4,28.111,DEN,@,OAK,L 23-35,,,,,,,,,,,,,,,,,,,
41,1970,1970-10-18,5,28.118,DEN,,ATL,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,65,0
42,1970,1970-10-25,6,28.125,DEN,@,SFO,L 14-19,,,,,,,,,,,,,,,,,,,
43,1970,1970-11-01,7,28.132,DEN,,WAS,L 3-19,,,,,,,,,,,,,,,,,,,
44,1970,1970-11-08,8,28.139,DEN,@,SDG,L 21-24,,,,,,,,,,,,,,,,,,,
45,1970,1970-11-15,9,28.146,DEN,,OAK,L 19-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,34,0
46,1970,1970-11-22,10,28.153,DEN,@,NOR,W 31-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
47,1970,1970-11-29,11,28.160,DEN,@,HOU,L 21-31,,,,,,,,,,,,,,,,,,,
48,1970,1970-12-06,12,28.167,DEN,@,KAN,L 0-16,,,,,,,,,,,,,,,,,,,
49,1970,1970-12-13,13,28.174,DEN,,SDG,T 17-17,,,,,,,,,,,,,,,,,,,
50,1970,1970-12-20,14,28.181,DEN,,CLE,L 13-27,,,,,,,,,,,,,,,,,,,
