ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
22,1974,1974-11-04,8,24.297,SFO,,RAM,L 13-15,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,240,40.00,0
23,1974,1974-11-10,9,24.303,SFO,@,DAL,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,173,43.25,0
24,1974,1974-11-17,10,24.310,SFO,@,CHI,W 34-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,148,37.00,0
25,1974,1974-11-24,11,24.317,SFO,,ATL,W 27-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,259,43.17,0
26,1974,1974-12-01,12,24.324,SFO,@,CLE,L 0-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,246,35.14,0
27,1974,1974-12-08,13,24.331,SFO,,GNB,W 7-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,133,26.60,1
28,1974,1974-12-15,14,24.338,SFO,,NOR,W 35-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,275,45.83,0
29,1975,1975-09-21,1,25.253,SFO,@,MIN,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,194,38.80,0
30,1975,1975-09-28,2,25.260,SFO,,RAM,L 14-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,229,38.17,1
31,1975,1975-10-05,3,25.267,SFO,@,KAN,W 20-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,205,41.00,0
32,1975,1975-10-12,4,25.274,SFO,,ATL,L 3-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,162,40.50,0
33,1975,1975-10-19,5,25.281,SFO,,NOR,W 35-21,1,-10,-10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,121,40.33,0
34,1975,1975-10-26,6,25.288,SFO,@,NWE,L 16-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,171,34.20,1
35,1975,1975-11-02,7,25.295,SFO,,DET,L 17-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,121,40.33,0
36,1975,1975-11-09,8,25.302,SFO,@,RAM,W 24-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,176,35.20,1
37,1975,1975-11-16,9,25.309,SFO,,CHI,W 31-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,195,48.75,0
38,1975,1975-11-23,10,25.316,SFO,@,NOR,W 16-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,303,43.29,0
39,1975,1975-11-30,11,25.323,SFO,@,PHI,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,115,38.33,0
40,1975,1975-12-07,12,25.330,SFO,,HOU,L 13-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,242,48.40,0
41,1975,1975-12-14,13,25.337,SFO,@,ATL,L 9-31,0,0,,0,2,29,14.50,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,334,47.71,0
42,1975,1975-12-21,14,25.344,SFO,,NYG,L 23-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,236,47.20,0
43,1976,1976-09-12,1,26.245,SFO,@,GNB,W 26-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,267,44.50,0
44,1976,1976-09-19,2,26.252,SFO,,CHI,L 12-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,8,318,39.75,1
45,1976,1976-09-26,3,26.259,SFO,@,SEA,W 37-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,153,30.60,0
46,1976,1976-10-03,4,26.266,SFO,,NYJ,W 17-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,216,43.20,0
47,1976,1976-10-11,5,26.274,SFO,@,RAM,W 16-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,252,42.00,0
48,1976,1976-10-17,6,26.280,SFO,,NOR,W 33-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,249,41.50,0
49,1976,1976-10-23,7,26.286,SFO,,ATL,W 15-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,10,381,38.10,0
50,1976,1976-10-31,8,26.294,SFO,@,STL,L 20-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,148,37.00,0
51,1976,1976-11-07,9,26.301,SFO,,WAS,L 21-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,213,42.60,0
52,1976,1976-11-14,10,26.308,SFO,@,ATL,L 16-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,196,39.20,0
53,1976,1976-11-21,11,26.315,SFO,,RAM,L 3-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,11,517,47.00,0
54,1976,1976-11-29,12,26.323,SFO,,MIN,W 20-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,219,36.50,0
55,1976,1976-12-05,13,26.329,SFO,@,SDG,L 7-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,209,41.80,0
56,1976,1976-12-12,14,26.336,SFO,@,NOR,W 27-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,296,42.29,1
57,1977,1977-09-19,1,27.251,SFO,@,PIT,L 0-27,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,0,0,9,353,39.22,0
58,1977,1977-09-25,2,27.257,SFO,,MIA,L 15-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,2,0.0,1,1,100.0,0,3,3,133,44.33,1
59,1977,1977-10-02,3,27.264,SFO,@,RAM,L 14-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2,6,226,37.67,1
60,1977,1977-10-09,4,27.271,SFO,,ATL,L 0-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,9,314,34.89,0
61,1977,1977-10-16,5,27.278,SFO,@,NYG,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,97,32.33,1
62,1977,1977-10-23,6,27.285,SFO,,DET,W 28-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,9,277,30.78,0
63,1977,1977-10-30,7,27.292,SFO,,TAM,W 20-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,124,31.00,0
64,1977,1977-11-06,8,27.299,SFO,@,ATL,W 10-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,10,413,41.30,0
65,1977,1977-11-13,9,27.306,SFO,@,NOR,W 10-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,294,42.00,0
66,1977,1977-11-20,10,27.313,SFO,,RAM,L 10-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,103,25.75,0
67,1977,1977-11-27,11,27.320,SFO,,NOR,W 20-17,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,0,0,3,135,45.00,0
68,1977,1977-12-04,12,27.327,SFO,@,MIN,L 27-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,81,27.00,0
69,1977,1977-12-12,13,27.335,SFO,,DAL,L 35-42,0,0,,0,0,0,,0,1,1,100.00,15,0,0,118.7,0,0,15.00,15.00,,,,,,,0,0,5,183,36.60,0
70,1977,1977-12-18,14,27.341,SFO,@,GNB,L 14-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,2,68,34.00,0
