ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
43,2005,2005-09-11,1,26.159,CAR,,NOR,L 20-23,,,,,,,,,,,,,,
44,2005,2005-09-18,2,26.166,CAR,,NWE,W 27-17,,,,,,,,,,,,,,
45,2005,2005-09-25,3,26.173,CAR,@,MIA,L 24-27,,,,,,,,,,,,,,
46,2005,2005-10-03,4,26.181,CAR,,GNB,W 32-29,,,,,,,,,,,,,,
47,2005,2005-10-09,5,26.187,CAR,@,ARI,W 24-20,,,,,,,,,,,,,,
48,2005,2005-10-16,6,26.194,CAR,@,DET,W 21-20,,,,,,,,,,,,,,
49,2005,2005-10-30,7,26.208,CAR,,MIN,W 38-13,,,,,,,,,,,,,,
50,2005,2005-11-06,8,26.215,CAR,@,TAM,W 34-14,,,,,,,,,,,,,,
51,2005,2005-11-13,9,26.222,CAR,,NYJ,W 30-3,,,,,,,,,,,,,,
52,2005,2005-11-20,10,26.229,CAR,@,CHI,L 3-13,,,,,,,,,,,,,,
53,2005,2005-11-27,11,26.236,CAR,@,BUF,W 13-9,,,,,,,,,,,,,,
54,2005,2005-12-04,12,26.243,CAR,,ATL,W 24-6,,,,,,,,,,,,,,
55,2005,2005-12-11,13,26.250,CAR,,TAM,L 10-20,,,,,,,,,,,,,,
56,2005,2005-12-18,14,26.257,CAR,@,NOR,W 27-10,,,,,,,,,,,,,,
57,2005,2005-12-24,15,26.263,CAR,,DAL,L 20-24,,,,,,,,,,,,,,
58,2005,2006-01-01,16,26.271,CAR,@,ATL,W 44-11,,,,,,,,,,,,,,
59,2006,2006-09-10,1,27.158,CHI,@,GNB,W 26-0,,,,,,,,,,,,,,
60,2006,2006-09-17,2,27.165,CHI,,DET,W 34-7,,,,,,,,,,,,,,
61,2006,2006-09-24,3,27.172,CHI,@,MIN,W 19-16,,,,,,,,,,,,,,
62,2006,2006-10-01,4,27.179,CHI,,SEA,W 37-6,,,,,,,,,,,,,,
63,2006,2006-10-08,5,27.186,CHI,,BUF,W 40-7,,,,,,,,,,,,,,
64,2006,2006-10-16,6,27.194,CHI,@,ARI,W 24-23,,,,,,,,,,,,,,
65,2006,2006-10-29,7,27.207,CHI,,SFO,W 41-10,,,,,,,,,,,,,,
66,2006,2006-11-05,8,27.214,CHI,,MIA,L 13-31,,,,,,,,,,,,,,
67,2006,2006-12-03,12,27.242,CHI,,MIN,W 23-13,,0,0,,0,1,0,0.00,0,0,0,0.0,,
68,2006,2006-12-11,13,27.250,CHI,@,STL,W 42-27,,,,,,,,,,,,,,
69,2006,2006-12-17,14,27.256,CHI,,TAM,W 34-31,,,,,,,,,,,,,,
70,2006,2006-12-24,15,27.263,CHI,@,DET,W 26-21,,,,,,,,,,,,,,
71,2006,2006-12-31,16,27.270,CHI,,GNB,L 7-26,,,,,,,,,,,,,,
72,2007,2007-09-09,1,28.157,CAR,@,STL,W 27-13,,,,,,,,,,,,,,
73,2007,2007-09-16,2,28.164,CAR,,HOU,L 21-34,,,,,,,,,,,,,,
74,2008,2008-09-07,1,29.155,CAR,@,SDG,W 26-24,,0,0,,0,0,0,,0,0,0,0.0,0,0
75,2008,2008-09-14,2,29.162,CAR,,CHI,W 20-17,,0,0,,0,0,0,,0,0,0,0.0,0,1
76,2008,2008-09-21,3,29.169,CAR,@,MIN,L 10-20,,,,,,,,,,,,,,
77,2008,2008-09-28,4,29.176,CAR,,ATL,W 24-9,,,,,,,,,,,,,,
78,2008,2008-10-05,5,29.183,CAR,,KAN,W 34-0,,0,0,,0,0,0,,0,0,0,0.0,0,0
79,2008,2008-10-12,6,29.190,CAR,@,TAM,L 3-27,,,,,,,,,,,,,,
80,2008,2008-10-19,7,29.197,CAR,,NOR,W 30-7,,0,0,,0,0,0,,0,0,0,0.0,0,0
81,2008,2008-10-26,8,29.204,CAR,,ARI,W 27-23,,0,0,,0,0,0,,0,0,0,0.0,0,0
82,2008,2008-11-09,9,29.218,CAR,@,OAK,W 17-6,,0,0,,0,0,0,,0,0,0,0.0,0,0
83,2008,2008-11-16,10,29.225,CAR,,DET,W 31-22,,,,,,,,,,,,,,
84,2008,2008-11-23,11,29.232,CAR,@,ATL,L 28-45,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
85,2008,2008-11-30,12,29.239,CAR,@,GNB,W 35-31,,0,0,,0,0,0,,0,0,0,0.0,1,0
86,2008,2008-12-08,13,29.247,CAR,,TAM,W 38-23,,0,0,,0,0,0,,0,0,0,0.0,0,0
87,2008,2008-12-14,14,29.253,CAR,,DEN,W 30-10,,,,,,,,,,,,,,
88,2008,2008-12-21,15,29.260,CAR,@,NYG,L 28-34,,,,,,,,,,,,,,
89,2008,2008-12-28,16,29.267,CAR,@,NOR,W 33-31,,0,0,,0,0,0,,0,1,6,0.0,0,0
90,2009,2009-09-13,1,30.161,CAR,,PHI,L 10-38,,,,,,,,,,,,,,
91,2009,2009-09-20,2,30.168,CAR,@,ATL,L 20-28,,,,,,,,,,,,,,
92,2009,2009-09-28,3,30.176,CAR,@,DAL,L 7-21,,0,0,,0,0,0,,0,0,0,0.0,0,0
93,2009,2009-10-11,4,30.189,CAR,,WAS,W 20-17,,0,0,,0,0,0,,0,0,0,0.0,0,0
94,2009,2009-10-18,5,30.196,CAR,@,TAM,W 28-21,,,,,,,,,,,,,,
95,2009,2009-11-01,7,30.210,CAR,@,ARI,W 34-21,,0,0,,0,0,0,,0,0,0,0.0,1,0
96,2009,2009-11-08,8,30.217,CAR,@,NOR,L 20-30,,0,0,,0,0,0,,0,0,0,0.0,0,0
97,2009,2009-11-15,9,30.224,CAR,,ATL,W 28-19,,0,0,,0,0,0,,0,0,0,0.0,0,0
98,2009,2009-11-19,10,30.228,CAR,,MIA,L 17-24,,0,0,,0,0,0,,0,0,0,0.0,0,0
99,2009,2009-11-29,11,30.238,CAR,@,NYJ,L 6-17,,,,,,,,,,,,,,
100,2009,2009-12-06,12,30.245,CAR,,TAM,W 16-6,,0,0,,0,0,0,,0,0,0,0.0,0,0
101,2009,2009-12-13,13,30.252,CAR,@,NWE,L 10-20,,0,0,,0,0,0,,0,0,0,0.0,0,0
102,2009,2009-12-20,14,30.259,CAR,,MIN,W 26-7,,0,0,,0,0,0,,0,0,0,1.0,1,0
103,2009,2009-12-27,15,30.266,CAR,@,NYG,W 41-9,,0,0,,0,0,0,,0,0,0,0.0,1,0
104,2009,2010-01-03,16,30.273,CAR,,NOR,W 23-10,,0,0,,0,0,0,,0,0,0,0.0,1,0
105,2010,2010-10-03,4,31.181,DET,@,GNB,L 26-28,,0,0,,0,0,0,,0,0,0,0.0,0,0
106,2010,2010-10-10,5,31.188,DET,,STL,W 44-6,,0,0,,0,0,0,,0,0,0,0.0,1,0
107,2010,2010-10-17,6,31.195,DET,@,NYG,L 20-28,,,,,,,,,,,,,,
