ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
25,2014,2014-11-16,10,25.190,ARI,,DET,W 14-6,,0,0,,0,0.0,0,0,5,197,39.40,0
26,2014,2014-11-23,11,25.197,ARI,@,SEA,L 3-19,,0,0,,0,0.0,0,0,6,223,37.17,1
27,2014,2014-11-30,12,25.204,ARI,@,ATL,L 18-29,,0,0,,0,0.0,0,0,5,242,48.40,0
28,2014,2014-12-07,13,25.211,ARI,,KAN,W 17-14,,0,0,,0,0.0,0,0,4,183,45.75,0
29,2014,2014-12-11,14,25.215,ARI,@,STL,W 12-6,,0,0,,0,0.0,0,0,8,307,38.38,0
30,2014,2014-12-21,15,25.225,ARI,,SEA,L 6-35,,0,0,,0,0.0,0,0,9,393,43.67,0
31,2014,2014-12-28,16,25.232,ARI,@,SFO,L 17-20,,0,0,,0,0.0,0,0,3,107,35.67,0
32,2015,2015-09-13,1,26.126,ARI,,NOR,W 31-19,,0,0,,0,0.0,0,0,4,158,39.50,0
33,2015,2015-09-20,2,26.133,ARI,@,CHI,W 48-23,,0,0,,0,0.0,0,0,3,121,40.33,0
34,2015,2015-09-27,3,26.140,ARI,,SFO,W 47-7,,0,0,,0,0.0,0,0,4,144,36.00,0
35,2015,2015-10-04,4,26.147,ARI,,STL,L 22-24,,0,0,,0,0.0,0,0,1,44,44.00,0
36,2015,2015-10-11,5,26.154,ARI,@,DET,W 42-17,,0,0,,0,0.0,0,0,6,227,37.83,0
37,2015,2015-10-18,6,26.161,ARI,@,PIT,L 13-25,,0,0,,0,0.0,0,0,3,129,43.00,0
38,2015,2015-10-26,7,26.169,ARI,,BAL,W 26-18,,0,0,,0,0.0,0,0,3,144,48.00,1
39,2015,2015-11-01,8,26.175,ARI,@,CLE,W 34-20,,0,0,,0,0.0,0,0,2,100,50.00,0
40,2015,2015-11-15,9,26.189,ARI,@,SEA,W 39-32,,0,0,,0,0.0,0,0,3,134,44.67,0
41,2015,2015-11-22,10,26.196,ARI,,CIN,W 34-31,,0,0,,0,0.0,0,0,4,185,46.25,0
42,2015,2015-11-29,11,26.203,ARI,@,SFO,W 19-13,,0,0,,0,0.0,0,0,4,183,45.75,0
43,2015,2015-12-06,12,26.210,ARI,@,STL,W 27-3,,0,0,,0,0.0,0,0,6,261,43.50,0
44,2015,2015-12-10,13,26.214,ARI,,MIN,W 23-20,,0,0,,0,0.0,0,0,3,133,44.33,0
45,2015,2015-12-20,14,26.224,ARI,@,PHI,W 40-17,,0,0,,0,0.0,0,0,4,156,39.00,0
46,2015,2015-12-27,15,26.231,ARI,,GNB,W 38-8,,0,0,,0,0.0,0,0,4,172,43.00,0
47,2015,2016-01-03,16,26.238,ARI,,SEA,L 6-36,,0,0,,0,0.0,0,0,6,284,47.33,0
48,2016,2016-09-11,1,27.124,ARI,,NWE,L 21-23,,0,0,,0,0.0,0,0,5,180,36.00,0
49,2016,2016-09-18,2,27.131,ARI,,TAM,W 40-7,,0,0,,0,0.0,0,0,6,279,46.50,0
50,2016,2016-09-25,3,27.138,ARI,@,BUF,L 18-33,,1,0,0.00,0,0.0,0,0,4,146,36.50,0
51,2016,2016-11-20,10,27.194,ARI,@,MIN,L 24-30,,0,0,,0,0.0,0,0,5,224,44.80,0
52,2016,2016-11-27,11,27.201,ARI,@,ATL,L 19-38,,0,0,,0,0.0,0,0,4,166,41.50,0
53,2016,2016-12-04,12,27.208,ARI,,WAS,W 31-23,,0,0,,0,0.0,0,0,3,119,39.67,0
54,2016,2016-12-11,13,27.215,ARI,@,MIA,L 23-26,,0,0,,0,0.0,0,0,5,236,47.20,0
