ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
14,1999,2000-01-02,16,22.186,DEN,,SDG,L 6-12,,2,53,26.50,0,4,5,1.25,0,0,0,0,0,0
15,2000,2000-09-03,1,23.065,BUF,,TEN,W 16-13,,3,35,11.67,0,5,10,2.00,0,0,0,0,0,0
16,2000,2000-09-10,2,23.072,BUF,,GNB,W 27-18,,2,62,31.00,0,3,3,1.00,0,0,0,0,0,0
17,2000,2000-09-17,3,23.079,BUF,@,NYJ,L 14-27,,4,77,19.25,0,3,22,7.33,0,0,0,0,0,0
18,2000,2000-10-01,4,23.093,BUF,,IND,L 16-18,,2,39,19.50,0,2,23,11.50,0,0,0,0,0,0
19,2000,2000-10-08,5,23.100,BUF,@,MIA,L 13-22,,3,41,13.67,0,1,0,0.00,0,0,0,0,0,0
20,2000,2000-10-15,6,23.107,BUF,,SDG,W 27-24,,5,101,20.20,0,1,0,0.00,0,0,0,0,0,0
21,2000,2000-10-22,7,23.114,BUF,@,MIN,L 27-31,,3,73,24.33,0,2,23,11.50,0,0,0,0,0,0
22,2000,2000-10-29,8,23.121,BUF,,NYJ,W 23-20,,4,92,23.00,0,2,22,11.00,0,0,0,0,0,0
23,2000,2000-11-05,9,23.128,BUF,@,NWE,W 16-13,,1,22,22.00,0,3,14,4.67,0,0,0,0,0,0
24,2000,2000-11-12,10,23.135,BUF,,CHI,W 20-3,,2,51,25.50,0,5,34,6.80,0,0,0,0,0,0
25,2000,2000-11-19,11,23.142,BUF,@,KAN,W 21-17,,2,43,21.50,0,2,15,7.50,0,0,0,0,0,0
26,2000,2000-11-26,12,23.149,BUF,@,TAM,L 17-31,*,5,108,21.60,0,4,-3,-0.75,0,0,0,0,0,0
27,2000,2000-12-03,13,23.156,BUF,,MIA,L 6-33,,3,47,15.67,0,0,0,,0,0,0,0,0,0
28,2000,2000-12-11,14,23.164,BUF,@,IND,L 20-44,*,3,77,25.67,0,0,0,,0,0,0,0,0,0
29,2000,2000-12-17,15,23.170,BUF,,NWE,L 10-13,*,2,26,13.00,0,0,0,,0,0,0,0,0,0
30,2000,2000-12-23,16,23.176,BUF,@,SEA,W 42-23,,,,,,,,,,,,,,
31,2001,2001-09-30,3,24.092,BUF,,PIT,L 3-20,,,,,,,,,,,,,,
32,2001,2001-10-07,4,24.099,BUF,,NYJ,L 36-42,,,,,,,,,,,,,,
33,2001,2001-10-18,5,24.110,BUF,@,JAX,W 13-10,,,,,,,,,,,,,,
34,2001,2001-10-28,6,24.120,BUF,@,SDG,L 24-27,,,,,,,,,,,,,,
35,2001,2001-11-04,7,24.127,BUF,,IND,L 14-30,,,,,,,,,,,,,,
36,2001,2001-11-11,8,24.134,BUF,@,NWE,L 11-21,,,,,,,,,,,,,,
37,2001,2001-11-18,9,24.141,BUF,,SEA,L 20-23,,,,,,,,,,,,,,
38,2001,2001-11-25,10,24.148,BUF,,MIA,L 27-34,,,,,,,,,,,,,,
39,2001,2001-12-02,11,24.155,BUF,@,SFO,L 0-35,,4,66,16.50,0,0,0,,0,0,0,0,0,0
40,2001,2001-12-09,12,24.162,BUF,,CAR,W 25-24,,,,,,,,,,,,,,
41,2001,2001-12-16,13,24.169,BUF,,NWE,L 9-12,,0,0,,0,0,0,,0,0,0,1,23,0
42,2001,2001-12-23,14,24.176,BUF,@,ATL,L 30-33,,1,30,30.00,0,0,0,,0,0,0,0,0,0
43,2001,2001-12-30,15,24.183,BUF,@,NYJ,W 14-9,,,,,,,,,,,,,,
44,2001,2002-01-06,16,24.190,BUF,@,MIA,L 7-34,,,,,,,,,,,,,,
45,2002,2002-09-08,1,25.070,BUF,,NYJ,L 31-37,*,,,,,,,,,,,,,
46,2002,2002-09-15,2,25.077,BUF,@,MIN,W 45-39,*,,,,,,,,,,,,,
47,2002,2002-09-22,3,25.084,BUF,@,DEN,L 23-28,,,,,,,,,,,,,,
48,2002,2002-09-29,4,25.091,BUF,,CHI,W 33-27,*,,,,,,,,,,,,,
49,2002,2002-10-06,5,25.098,BUF,,OAK,L 31-49,*,,,,,,,,,,,,,
50,2002,2002-10-13,6,25.105,BUF,@,HOU,W 31-24,*,,,,,,,,,,,,,
51,2002,2002-10-20,7,25.112,BUF,@,MIA,W 23-10,*,,,,,,,,,,,,,
52,2002,2002-10-27,8,25.119,BUF,,DET,W 24-17,*,0,0,,0,0,0,,0,0,0,1,0,0
53,2002,2002-11-03,9,25.126,BUF,,NWE,L 7-38,*,,,,,,,,,,,,,
54,2002,2002-11-17,10,25.140,BUF,@,KAN,L 16-17,,,,,,,,,,,,,,
55,2002,2002-11-24,11,25.147,BUF,@,NYJ,L 13-31,,,,,,,,,,,,,,
56,2002,2002-12-01,12,25.154,BUF,,MIA,W 38-21,,,,,,,,,,,,,,
57,2002,2002-12-08,13,25.161,BUF,@,NWE,L 17-27,,,,,,,,,,,,,,
58,2002,2002-12-15,14,25.168,BUF,,SDG,W 20-13,,,,,,,,,,,,,,
