ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
23,1996,1996-12-01,13,24.046,PIT,@,BAL,L 17-31,,0,0,,0,0,0,,0,,,,1,2,2.00,0,2,0,0,,0,0.0%,0.00,0,0,0,0,,0
24,1996,1996-12-08,14,24.053,PIT,,SDG,W 16-3,,1,2,50.00,7,0,0,58.3,0,0,3.50,3.50,2,14,7.00,0,4,0,0,,0,0.0%,0.00,0,0,0,0,,0
25,1996,1996-12-15,15,24.060,PIT,,SFO,L 15-25,,0,0,,0,0,0,,0,,,,0,0,,0,4,2,56,28.00,1,50.0%,14.00,1,6,0,0,,0
26,1996,1996-12-22,16,24.067,PIT,@,CAR,L 14-18,,8,21,38.10,77,0,2,9.5,2,10,3.67,-0.62,7,102,14.57,1,0,0,0,,0,0.0%,,1,6,0,0,,0
27,1997,1997-08-31,1,24.319,PIT,,DAL,L 7-37,*,13,28,46.43,104,1,1,53.3,3,15,3.71,2.82,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
28,1997,1997-09-07,2,24.326,PIT,,WAS,W 14-13,*,8,17,47.06,82,0,1,36.9,1,9,4.82,2.18,10,70,7.00,1,0,0,0,,0,0.0%,,1,6,0,0,,0
29,1997,1997-09-22,3,24.341,PIT,@,JAX,L 21-30,*,11,16,68.75,155,2,1,113.3,2,2,9.69,9.38,7,19,2.71,1,0,0,0,,0,0.0%,,1,6,0,0,,0
30,1997,1997-09-28,4,24.347,PIT,,TEN,W 37-24,*,16,24,66.67,244,1,0,113.9,1,8,10.17,11.00,6,24,4.00,2,0,0,0,,0,0.0%,,2,12,0,0,,0
31,1997,1997-10-05,5,24.354,PIT,@,BAL,W 42-34,*,18,28,64.29,246,3,3,88.4,2,29,8.79,6.11,6,78,13.00,2,0,0,0,,0,0.0%,,2,12,0,0,,0
32,1997,1997-10-12,6,24.361,PIT,,IND,W 24-22,*,5,11,45.45,72,0,0,67.2,0,0,6.55,6.55,3,11,3.67,0,0,0,0,,0,0.0%,,0,0,0,0,,0
33,1997,1997-10-19,7,25.003,PIT,@,CIN,W 26-10,*,16,33,48.48,246,2,2,68.5,0,0,7.45,5.94,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
34,1997,1997-10-26,8,25.010,PIT,,JAX,W 23-17,*,25,42,59.52,317,2,1,89.1,3,19,7.55,7.43,8,37,4.63,1,,0,0,,0,0.0%,,1,6,0,0,,0
35,1997,1997-11-03,9,25.018,PIT,@,KAN,L 10-13,*,11,21,52.38,101,1,1,61.8,1,8,4.81,3.62,3,24,8.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
36,1997,1997-11-09,10,25.024,PIT,,BAL,W 37-0,*,14,27,51.85,196,1,0,87.9,1,8,7.26,8.00,2,2,1.00,1,0,0,0,,0,0.0%,,1,6,0,0,,0
37,1997,1997-11-16,11,25.031,PIT,,CIN,W 20-3,*,11,22,50.00,128,2,0,98.3,1,5,5.82,7.64,4,5,1.25,0,0,0,0,,0,0.0%,,0,0,0,0,,0
38,1997,1997-11-23,12,25.038,PIT,@,PHI,L 20-23,*,20,43,46.51,294,2,3,55.8,2,22,6.84,4.63,3,33,11.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
39,1997,1997-11-30,13,25.045,PIT,@,ARI,W 26-20,*,18,35,51.43,179,0,0,66.2,2,14,5.11,5.11,6,27,4.50,0,0,0,0,,0,0.0%,,0,0,0,0,,0
40,1997,1997-12-07,14,25.052,PIT,,DEN,W 35-24,*,18,29,62.07,303,3,1,117.5,1,13,10.45,10.97,10,49,4.90,2,0,0,0,,0,0.0%,,2,12,0,0,,0
41,1997,1997-12-13,15,25.058,PIT,@,NWE,W 24-21,*,26,48,54.17,266,1,2,59.9,0,0,5.54,4.08,10,57,5.70,1,0,0,0,,0,0.0%,,1,6,0,0,,0
42,1997,1997-12-21,16,25.066,PIT,@,TEN,L 6-16,*,6,16,37.50,87,0,1,29.9,0,0,5.44,2.63,5,20,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
43,1998,1998-09-06,1,25.325,PIT,@,BAL,W 20-13,*,14,27,51.85,173,1,2,53.5,2,16,6.41,3.81,5,21,4.20,1,0,0,0,,0,0.0%,,1,6,0,0,,0
44,1998,1998-09-13,2,25.332,PIT,,CHI,W 17-12,*,17,30,56.67,137,1,1,65.6,3,28,4.57,3.73,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
45,1998,1998-09-20,3,25.339,PIT,@,MIA,L 0-21,*,11,35,31.43,82,0,3,5.1,1,4,2.34,-1.51,2,17,8.50,0,0,0,0,,0,0.0%,,0,0,1,35,35.00,0
46,1998,1998-09-27,4,25.346,PIT,,SEA,W 13-10,*,16,25,64.00,108,0,0,73.4,2,8,4.32,4.32,11,22,2.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
47,1998,1998-10-11,5,25.360,PIT,@,CIN,L 20-25,*,13,22,59.09,151,0,0,79.9,3,22,6.86,6.86,7,103,14.71,0,0,0,0,,0,0.0%,,0,0,0,0,,0
48,1998,1998-10-18,6,26.002,PIT,,BAL,W 16-6,*,12,27,44.44,196,1,1,66.3,5,34,7.26,6.33,6,18,3.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
49,1998,1998-10-26,7,26.010,PIT,@,KAN,W 20-13,*,11,22,50.00,82,1,0,74.4,1,9,3.73,4.64,5,14,2.80,0,1,1,17,17.00,0,100.0%,17.00,0,0,0,0,,0
50,1998,1998-11-01,8,26.016,PIT,,TEN,L 31-41,*,23,32,71.88,230,2,3,73.7,0,0,7.19,4.22,3,4,1.33,0,0,0,0,,0,0.0%,,0,0,0,0,,0
51,1998,1998-11-09,9,26.024,PIT,,GNB,W 27-20,*,15,22,68.18,231,1,0,117.8,2,7,10.50,11.41,6,37,6.17,1,0,0,0,,0,0.0%,,1,6,0,0,,0
52,1998,1998-11-15,10,26.030,PIT,@,TEN,L 14-23,*,22,28,78.57,239,2,0,126.0,1,2,8.54,9.96,8,34,4.25,0,0,0,0,,0,0.0%,,0,0,0,0,,0
53,1998,1998-11-22,11,26.037,PIT,,JAX,W 30-15,*,25,36,69.44,208,1,0,93.3,0,0,5.78,6.33,4,26,6.50,0,0,0,0,,0,0.0%,,0,0,0,0,,0
54,1998,1998-11-26,12,26.041,PIT,@,DET,L 16-19,*,21,36,58.33,225,1,1,74.4,5,17,6.25,5.56,4,22,5.50,0,0,0,0,,0,0.0%,,0,0,0,0,,0
55,1998,1998-12-06,13,26.051,PIT,,NWE,L 9-23,*,21,45,46.67,206,0,2,41.5,3,11,4.58,2.58,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,,0
56,1998,1998-12-13,14,26.058,PIT,@,TAM,L 3-16,*,9,21,42.86,88,0,3,15.7,1,10,4.19,-2.24,5,10,2.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
57,1998,1998-12-20,15,26.065,PIT,,CIN,L 24-25,*,5,13,38.46,30,0,0,46.6,2,21,2.31,2.31,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
58,1998,1998-12-28,16,26.073,PIT,@,JAX,L 3-21,*,17,37,45.95,174,0,2,37.4,2,18,4.70,2.27,10,66,6.60,0,0,0,0,,0,0.0%,,0,0,0,0,,0
59,1999,1999-09-12,1,26.331,PIT,@,CLE,W 43-0,*,15,23,65.22,173,1,0,102.3,1,12,7.52,8.39,7,35,5.00,1,0,0,0,,0,0.0%,,1,6,0,0,,0
60,1999,1999-09-19,2,26.338,PIT,@,BAL,W 23-20,*,18,27,66.67,138,0,0,78.9,3,17,5.11,5.11,8,51,6.38,1,0,0,0,,0,0.0%,,1,6,0,0,,0
61,1999,1999-09-26,3,26.345,PIT,,SEA,L 10-29,*,7,14,50.00,61,0,3,22.3,2,13,4.36,-5.29,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0,0,,0
62,1999,1999-10-03,4,26.352,PIT,,JAX,L 3-17,*,15,32,46.88,126,0,1,44.5,4,27,3.94,2.53,6,41,6.83,0,0,0,0,,0,0.0%,,0,0,0,0,,0
63,1999,1999-10-10,5,26.359,PIT,@,BUF,L 21-24,*,21,29,72.41,216,2,1,102.1,2,9,7.45,7.28,3,11,3.67,0,0,0,0,,0,0.0%,,0,0,0,0,,0
64,1999,1999-10-17,6,27.001,PIT,@,CIN,W 17-3,*,17,29,58.62,134,0,0,70.2,2,9,4.62,4.62,7,1,0.14,0,0,0,0,,0,0.0%,,0,0,0,0,,0
65,1999,1999-10-25,7,27.009,PIT,,ATL,W 13-9,*,13,21,61.90,127,1,0,94.7,1,12,6.05,7.00,10,37,3.70,0,0,0,0,,0,0.0%,,0,0,0,0,,0
66,1999,1999-11-07,8,27.022,PIT,@,SFO,W 27-6,*,15,26,57.69,139,1,0,85.3,1,9,5.35,6.12,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,0,0,,0
67,1999,1999-11-14,9,27.029,PIT,,CLE,L 15-16,*,15,32,46.88,137,0,2,32.9,1,7,4.28,1.47,6,52,8.67,0,0,0,0,,0,0.0%,,0,0,0,0,,0
68,1999,1999-11-21,10,27.036,PIT,@,TEN,L 10-16,*,18,30,60.00,177,1,1,73.9,5,16,5.90,5.07,3,14,4.67,0,0,0,0,,0,0.0%,,0,0,0,0,,0
69,1999,1999-11-28,11,27.043,PIT,,CIN,L 20-27,*,5,11,45.45,36,0,2,14.0,0,0,3.27,-4.91,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,,0
70,1999,1999-12-02,12,27.047,PIT,@,JAX,L 6-20,,0,0,,0,0,0,,0,,,,0,0,,0,4,3,21,7.00,0,75.0%,5.25,0,0,0,0,,0
71,1999,1999-12-12,13,27.057,PIT,,BAL,L 24-31,,1,1,100.00,0,0,0,79.2,0,0,0.00,0.00,0,0,,0,6,4,71,17.75,1,66.7%,11.83,1,6,0,0,,0
72,1999,1999-12-18,14,27.063,PIT,@,KAN,L 19-35,*,0,0,,0,0,0,,0,,,,1,5,5.00,0,4,2,21,10.50,0,50.0%,5.25,0,0,0,0,,0
73,1999,1999-12-26,15,27.071,PIT,,CAR,W 30-20,,,,,,,,,0,,,,,,,,2,,,,,0.0%,,,,,,,
74,1999,2000-01-02,16,27.078,PIT,,TEN,L 36-47,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,,,,
75,2000,2000-09-03,1,27.323,PIT,,BAL,L 0-16,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
76,2000,2000-09-17,2,27.337,PIT,@,CLE,L 20-23,,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,,0
77,2000,2000-09-24,3,27.344,PIT,,TEN,L 20-23,,1,4,25.00,6,0,0,39.6,0,0,1.50,1.50,2,17,8.50,1,0,0,0,,0,0.0%,,1,6,0,0,,0
78,2000,2000-10-01,4,27.351,PIT,@,JAX,W 24-13,*,10,16,62.50,132,0,1,62.5,2,9,8.25,5.44,9,61,6.78,0,0,0,0,,0,0.0%,,0,0,0,0,,0
79,2000,2000-10-08,5,27.358,PIT,@,NYJ,W 20-3,*,17,26,65.38,140,1,0,91.8,1,3,5.38,6.15,6,33,5.50,0,0,0,0,,0,0.0%,,0,0,0,0,,0
80,2000,2000-10-15,6,27.365,PIT,,CIN,W 15-0,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,,,,
81,2000,2000-10-22,7,28.006,PIT,,CLE,W 22-0,,7,13,53.85,74,0,0,70.7,2,10,5.69,5.69,6,15,2.50,0,0,0,0,,0,0.0%,,0,0,0,0,,0
82,2000,2000-10-29,8,28.013,PIT,@,BAL,W 9-6,*,9,18,50.00,133,1,0,93.1,5,22,7.39,8.50,9,31,3.44,0,0,0,0,,0,0.0%,,0,0,0,0,,0
83,2000,2000-11-05,9,28.020,PIT,@,TEN,L 7-9,*,7,22,31.82,112,1,1,46.0,2,19,5.09,3.95,6,31,5.17,0,0,0,0,,0,0.0%,,0,0,0,0,,0
84,2000,2000-11-12,10,28.027,PIT,,PHI,L 23-26,*,14,31,45.16,159,0,1,47.6,3,19,5.13,3.68,3,17,5.67,0,0,0,0,,0,0.0%,,0,0,0,0,,0
85,2000,2000-11-19,11,28.034,PIT,,JAX,L 24-34,*,13,27,48.15,188,1,2,52.7,5,33,6.96,4.37,6,59,9.83,2,0,0,0,,0,0.0%,,2,12,0,0,,0
86,2000,2000-11-26,12,28.041,PIT,@,CIN,W 48-28,*,11,20,55.00,182,3,0,125.4,3,12,9.10,12.10,6,31,5.17,1,0,0,0,,0,0.0%,,1,6,0,0,,0
87,2000,2000-12-03,13,28.048,PIT,,OAK,W 21-20,*,14,23,60.87,136,2,0,106.4,2,10,5.91,7.65,3,33,11.00,1,0,0,0,,0,0.0%,,1,6,0,0,,0
88,2000,2000-12-10,14,28.055,PIT,@,NYG,L 10-30,*,20,34,58.82,224,1,1,76.1,2,7,6.59,5.85,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,0,0,,0
89,2000,2000-12-16,15,28.061,PIT,,WAS,W 24-3,*,11,21,52.38,175,0,0,80.5,1,1,8.33,8.33,8,19,2.38,0,0,0,0,,0,0.0%,,0,0,0,0,,0
90,2000,2000-12-24,16,28.069,PIT,@,SDG,W 34-21,*,16,32,50.00,190,1,2,52.9,2,5,5.94,3.75,10,81,8.10,2,0,0,0,,0,0.0%,,2,12,0,0,,0
91,2001,2001-09-09,1,28.328,PIT,@,JAX,L 3-21,*,21,37,56.76,181,0,2,47.2,3,20,4.89,2.46,6,31,5.17,0,0,0,0,,0,0.0%,,0,0,0,0,,0
92,2001,2001-09-30,2,28.349,PIT,@,BUF,W 20-3,*,15,22,68.18,107,0,0,79.2,2,7,4.86,4.86,3,-3,-1.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
93,2001,2001-10-07,3,28.356,PIT,,CIN,W 16-7,*,15,24,62.50,151,0,0,80.4,2,13,6.29,6.29,9,62,6.89,1,0,0,0,,0,0.0%,,1,6,0,0,,0
94,2001,2001-10-14,4,28.363,PIT,@,KAN,W 20-17,*,15,25,60.00,141,1,0,88.9,3,28,5.64,6.44,7,47,6.71,0,0,0,0,,0,0.0%,,0,0,0,0,,0
95,2001,2001-10-21,5,29.005,PIT,@,TAM,W 17-10,*,10,16,62.50,100,0,2,40.6,2,8,6.25,0.63,7,32,4.57,0,0,0,0,,0,0.0%,,0,0,0,0,,0
96,2001,2001-10-29,6,29.013,PIT,,TEN,W 34-7,*,13,22,59.09,232,1,0,110.4,3,17,10.55,11.45,4,8,2.00,1,0,0,0,,0,0.0%,,1,6,0,0,,0
97,2001,2001-11-04,7,29.019,PIT,,BAL,L 10-13,*,22,37,59.46,236,1,0,87.2,2,11,6.38,6.92,8,31,3.88,0,0,0,0,,0,0.0%,,0,0,0,0,,0
98,2001,2001-11-11,8,29.026,PIT,@,CLE,W 15-12,*,18,32,56.25,188,0,0,73.4,1,4,5.88,5.88,7,65,9.29,0,0,0,0,,0,0.0%,,0,0,0,0,,0
99,2001,2001-11-18,9,29.033,PIT,,JAX,W 20-7,*,21,33,63.64,266,1,0,98.8,2,9,8.06,8.67,5,50,10.00,1,0,0,0,,0,0.0%,,1,6,0,0,,0
100,2001,2001-11-25,10,29.040,PIT,@,TEN,W 34-24,*,19,31,61.29,254,2,0,108.8,1,7,8.19,9.48,8,54,6.75,1,0,0,0,,0,0.0%,,1,6,0,0,,0
101,2001,2001-12-02,11,29.047,PIT,,MIN,W 21-16,*,13,19,68.42,157,0,1,71.6,0,0,8.26,5.89,7,9,1.29,0,0,0,0,,0,0.0%,,0,0,0,0,,0
102,2001,2001-12-09,12,29.054,PIT,,NYJ,W 18-7,*,20,36,55.56,214,0,0,73.1,1,3,5.94,5.94,7,36,5.14,0,0,0,0,,0,0.0%,,0,0,0,0,,0
103,2001,2001-12-16,13,29.061,PIT,@,BAL,W 26-21,*,20,31,64.52,333,2,0,122.1,3,15,10.74,12.03,10,55,5.50,0,0,0,0,,0,0.0%,,0,0,0,0,,0
104,2001,2001-12-23,14,29.068,PIT,,DET,W 47-14,*,17,26,65.38,226,3,0,131.2,1,12,8.69,11.00,4,22,5.50,1,0,0,0,,0,0.0%,,1,6,0,0,,0
105,2001,2001-12-30,15,29.075,PIT,@,CIN,L 23-26,*,19,35,54.29,251,3,4,66.2,2,11,7.17,3.74,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,,0
106,2001,2002-01-06,16,29.082,PIT,,CLE,W 28-7,*,8,16,50.00,72,0,2,22.9,1,10,4.50,-1.13,4,38,9.50,0,0,0,0,,0,0.0%,,0,0,0,0,,0
107,2002,2002-09-09,1,29.328,PIT,@,NWE,L 14-30,*,24,37,64.86,242,1,3,58.6,5,38,6.54,3.43,8,16,2.00,1,0,0,0,,0,0.0%,,1,6,0,0,,0
108,2002,2002-09-15,2,29.334,PIT,,OAK,L 17-30,*,18,34,52.94,201,2,1,78.2,0,0,5.91,5.76,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,0,0,,0
109,2002,2002-09-29,3,29.348,PIT,,CLE,W 16-13,*,15,25,60.00,143,0,1,59.2,0,0,5.72,3.92,7,30,4.29,0,1,0,0,,0,0.0%,0.00,0,0,0,0,,0
110,2002,2002-10-27,7,30.011,PIT,@,BAL,W 31-18,,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
111,2002,2002-11-17,10,30.032,PIT,@,TEN,L 23-31,,13,17,76.47,124,2,0,135.4,0,0,7.29,9.65,1,11,11.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
112,2002,2002-11-24,11,30.039,PIT,,CIN,W 29-21,*,22,26,84.62,236,1,0,117.3,1,1,9.08,9.85,11,40,3.64,0,0,0,0,,0,0.0%,,0,0,0,0,,0
113,2002,2002-12-01,12,30.046,PIT,@,JAX,W 25-23,*,16,26,61.54,202,0,1,69.7,1,7,7.77,6.04,12,84,7.00,1,0,0,0,,0,0.0%,,1,6,0,0,,0
114,2003,2003-09-07,1,30.326,CHI,@,SFO,L 7-49,*,14,34,41.18,95,1,3,21.9,5,23,2.79,-0.59,6,21,3.50,0,0,0,0,,0,0.0%,,0,0,0,0,,0
115,2003,2003-09-14,2,30.333,CHI,@,MIN,L 13-24,*,13,21,61.90,137,1,0,96.7,3,17,6.52,7.48,6,25,4.17,0,0,0,0,,0,0.0%,,0,0,0,0,,0
116,2003,2003-09-29,3,30.348,CHI,,GNB,L 23-38,*,25,44,56.82,201,0,2,49.5,5,21,4.57,2.52,12,71,5.92,1,0,0,0,,0,0.0%,,1,6,0,0,,0
117,2003,2003-10-05,4,30.354,CHI,,OAK,W 24-21,*,13,24,54.17,160,1,2,54.2,2,16,6.67,3.75,9,52,5.78,0,0,0,0,,0,0.0%,,0,0,0,0,,0
118,2003,2003-10-12,5,30.361,CHI,@,NOR,L 13-20,*,10,21,47.62,152,1,0,87.8,3,21,7.24,8.19,9,42,4.67,0,0,0,0,,0,0.0%,,0,0,0,0,,0
119,2003,2003-11-23,11,31.038,CHI,@,DEN,W 19-10,,7,15,46.67,47,0,0,54.0,1,7,3.13,3.13,8,29,3.63,1,0,0,0,,0,0.0%,,1,6,0,0,,0
120,2003,2003-11-30,12,31.045,CHI,,ARI,W 28-3,*,22,37,59.46,284,2,0,101.6,3,16,7.68,8.76,5,26,5.20,1,0,0,0,,0,0.0%,,1,6,0,0,,0
121,2003,2003-12-07,13,31.052,CHI,@,GNB,L 21-34,*,17,40,42.50,256,1,3,41.2,3,25,6.40,3.53,3,22,7.33,0,0,0,0,,0,0.0%,,0,0,0,0,,0
122,2003,2003-12-28,16,31.073,CHI,@,KAN,L 3-31,,5,15,33.33,86,0,2,14.2,0,0,5.73,-0.27,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
123,2004,2004-11-14,9,32.029,BAL,@,NYJ,W 20-17,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0.0%,,0,0,5,177,35.40,0
124,2004,2004-12-12,13,32.057,BAL,,NYG,W 37-14,,0,0,,0,0,0,,,,,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
125,2005,2005-11-06,8,33.021,BAL,,CIN,L 9-21,,0,0,,0,0,0,,,,,,4,24,6.00,0,1,0,0,,0,0.0%,0.00,0,0,0,0,,0
