ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
13,2014,2014-10-12,6,26.054,WAS,@,ARI,L 20-30,*,24,38,63.16,354,2,3,78.2,2,19,9.32,6.82,0,0,,0,,0,0
14,2014,2014-10-19,7,26.061,WAS,,TEN,W 19-17,*,10,16,62.50,139,0,1,64.3,1,8,8.69,5.88,0,0,,0,,0,0
15,2015,2015-09-13,1,27.025,WAS,,MIA,L 10-17,*,21,31,67.74,196,1,2,68.7,1,8,6.32,4.06,2,-1,-0.50,0,,0,0
16,2015,2015-09-20,2,27.032,WAS,,STL,W 24-10,*,23,27,85.19,203,1,0,110.3,2,12,7.52,8.26,0,0,,0,,0,0
17,2015,2015-09-24,3,27.036,WAS,@,NYG,L 21-32,*,30,49,61.22,316,1,2,69.8,1,11,6.45,5.02,0,0,,0,,0,0
18,2015,2015-10-04,4,27.046,WAS,,PHI,W 23-20,*,31,46,67.39,290,1,0,91.8,1,0,6.30,6.74,1,1,1.00,1,,1,6
19,2015,2015-10-11,5,27.053,WAS,@,ATL,L 19-25,*,21,32,65.63,219,1,2,69.7,1,0,6.84,4.66,1,1,1.00,0,,0,0
20,2015,2015-10-18,6,27.060,WAS,@,NYJ,L 20-34,*,25,43,58.14,196,1,2,57.9,1,5,4.56,2.93,1,1,1.00,0,,0,0
21,2015,2015-10-25,7,27.067,WAS,,TAM,W 31-30,*,33,40,82.50,317,3,0,124.7,1,12,7.93,9.43,3,15,5.00,1,,1,6
22,2015,2015-11-08,8,27.081,WAS,@,NWE,L 10-27,*,22,40,55.00,217,1,1,68.4,1,4,5.43,4.80,0,0,,0,,0,0
23,2015,2015-11-15,9,27.088,WAS,,NOR,W 47-14,*,20,25,80.00,324,4,0,158.3,3,23,12.96,16.16,0,0,,0,,0,0
24,2015,2015-11-22,10,27.095,WAS,@,CAR,L 16-44,*,22,30,73.33,207,1,1,89.2,5,35,6.90,6.07,1,4,4.00,0,,0,0
25,2015,2015-11-29,11,27.102,WAS,,NYG,W 20-14,*,20,29,68.97,302,1,0,114.4,0,0,10.41,11.10,4,1,0.25,1,,1,6
26,2015,2015-12-07,12,27.110,WAS,,DAL,L 16-19,*,22,31,70.97,219,1,0,101.4,3,26,7.06,7.71,1,6,6.00,0,,0,0
27,2015,2015-12-13,13,27.116,WAS,@,CHI,W 24-21,*,24,31,77.42,300,1,1,104.2,3,25,9.68,8.87,4,13,3.25,1,,1,6
28,2015,2015-12-20,14,27.123,WAS,,BUF,W 35-25,*,22,28,78.57,319,4,0,153.7,1,11,11.39,14.25,3,11,3.67,1,,1,6
29,2015,2015-12-26,15,27.129,WAS,@,PHI,W 38-24,*,31,46,67.39,365,4,0,120.3,2,14,7.93,9.67,5,-4,-0.80,0,,0,0
30,2015,2016-01-03,16,27.137,WAS,@,DAL,W 34-23,*,12,15,80.00,176,3,0,155.1,0,0,11.73,15.73,0,0,,0,,0,0
31,2016,2016-09-12,1,28.024,WAS,,PIT,L 16-38,*,30,43,69.77,329,0,2,72.7,0,0,7.65,5.56,1,8,8.00,0,,0,0
32,2016,2016-09-18,2,28.030,WAS,,DAL,L 23-27,*,28,46,60.87,364,1,1,84.0,2,14,7.91,7.37,2,20,10.00,0,,0,0
33,2016,2016-09-25,3,28.037,WAS,@,NYG,W 29-27,*,21,35,60.00,296,2,0,106.4,2,14,8.46,9.60,3,-5,-1.67,0,,0,0
34,2016,2016-10-02,4,28.044,WAS,,CLE,W 31-20,*,21,27,77.78,183,3,1,116.5,3,27,6.78,7.33,0,0,,0,,0,0
35,2016,2016-10-09,5,28.051,WAS,@,BAL,W 16-10,*,29,41,70.73,260,1,1,85.4,1,10,6.34,5.73,1,-1,-1.00,0,,0,0
36,2016,2016-10-16,6,28.058,WAS,,PHI,W 27-20,*,18,34,52.94,263,2,1,85.8,0,0,7.74,7.59,2,8,4.00,0,,0,0
37,2016,2016-10-23,7,28.065,WAS,@,DET,L 17-20,*,30,39,76.92,301,1,0,106.9,2,18,7.72,8.23,3,15,5.00,1,,1,6
38,2016,2016-10-30,8,28.072,WAS,@,CIN,T 27-27,*,38,56,67.86,458,2,1,97.2,1,12,8.18,8.09,3,-1,-0.33,0,,0,0
39,2016,2016-11-13,9,28.086,WAS,,MIN,W 26-20,*,22,33,66.67,262,2,0,110.9,1,2,7.94,9.15,1,-1,-1.00,0,,0,0
40,2016,2016-11-20,10,28.093,WAS,,GNB,W 42-24,*,21,30,70.00,375,3,0,145.8,2,11,12.50,14.50,4,4,1.00,0,,0,0
41,2016,2016-11-24,11,28.097,WAS,@,DAL,L 26-31,*,41,53,77.36,449,3,0,120.7,0,0,8.47,9.60,1,2,2.00,0,,0,0
42,2016,2016-12-04,12,28.107,WAS,@,ARI,L 23-31,*,21,37,56.76,271,1,1,77.6,2,25,7.32,6.65,2,0,0.00,1,,1,6
43,2016,2016-12-11,13,28.114,WAS,@,PHI,W 27-22,*,14,21,66.67,234,2,1,116.0,2,7,11.14,10.90,4,6,1.50,0,,0,0
44,2016,2016-12-19,14,28.122,WAS,,CAR,L 15-26,*,32,47,68.09,315,0,1,77.9,1,9,6.70,5.74,2,11,5.50,0,,0,0
45,2016,2016-12-24,15,28.127,WAS,@,CHI,W 41-21,*,18,29,62.07,270,1,0,104.1,0,0,9.31,10.00,5,30,6.00,2,,2,12
46,2016,2017-01-01,16,28.135,WAS,,NYG,L 10-19,*,22,35,62.86,287,1,2,74.3,4,41,8.20,6.20,0,0,,0,,0,0
47,2017,2017-09-10,1,29.022,WAS,,PHI,L 17-30,*,23,40,57.50,240,1,1,72.9,4,40,6.00,5.38,4,30,7.50,0,,0,0
48,2017,2017-09-17,2,29.029,WAS,@,LAR,W 27-20,*,18,27,66.67,179,1,0,97.6,2,23,6.63,7.37,3,7,2.33,0,,0,0
49,2017,2017-09-24,3,29.036,WAS,,OAK,W 27-10,*,25,30,83.33,365,3,0,150.7,1,9,12.17,14.17,1,2,2.00,0,,0,0
50,2017,2017-10-02,4,29.044,WAS,@,KAN,L 20-29,*,14,24,58.33,220,2,0,116.7,0,0,9.17,10.83,7,38,5.43,0,,0,0
51,2017,2017-10-15,5,29.057,WAS,,SFO,W 26-24,*,25,37,67.57,330,2,1,102.3,1,5,8.92,8.78,4,26,6.50,1,,1,6
52,2017,2017-10-23,6,29.065,WAS,@,PHI,L 24-34,*,30,40,75.00,303,3,1,110.7,4,34,7.58,7.95,3,18,6.00,0,,0,0
53,2017,2017-10-29,7,29.071,WAS,,DAL,L 19-33,*,26,39,66.67,263,1,1,83.6,4,27,6.74,6.10,1,0,0.00,0,,0,0
54,2017,2017-11-05,8,29.078,WAS,@,SEA,W 17-14,*,21,31,67.74,247,0,0,91.7,6,54,7.97,7.97,3,4,1.33,0,,0,0
55,2017,2017-11-12,9,29.085,WAS,,MIN,L 30-38,*,26,45,57.78,327,1,1,78.7,1,14,7.27,6.71,4,5,1.25,2,,2,12
56,2017,2017-11-19,10,29.092,WAS,@,NOR,L 31-34,*,22,32,68.75,322,3,0,132.6,2,22,10.06,11.94,3,11,3.67,0,,0,0
57,2017,2017-11-23,11,29.096,WAS,,NYG,W 20-10,*,19,31,61.29,242,2,1,93.8,6,41,7.81,7.65,3,4,1.33,0,,0,0
58,2017,2017-11-30,12,29.103,WAS,@,DAL,L 14-38,*,26,37,70.27,251,2,2,84.4,4,27,6.78,5.43,3,6,2.00,0,,0,0
59,2017,2017-12-10,13,29.113,WAS,@,LAC,L 13-30,*,15,27,55.56,151,1,1,68.6,2,15,5.59,4.67,2,8,4.00,0,,0,0
60,2017,2017-12-17,14,29.120,WAS,,ARI,W 20-15,*,18,26,69.23,196,2,0,116.8,1,9,7.54,9.08,2,0,0.00,0,,0,0
61,2017,2017-12-24,15,29.127,WAS,,DEN,W 27-11,*,19,37,51.35,299,3,1,94.3,0,0,8.08,8.49,5,8,1.60,0,,0,0
62,2017,2017-12-31,16,29.134,WAS,@,NYG,L 10-18,*,20,37,54.05,158,0,3,31.1,3,22,4.27,0.62,1,12,12.00,1,,1,6
63,2018,2018-09-09,1,30.021,MIN,,SFO,W 24-16,*,20,36,55.56,244,2,0,95.1,3,17,6.78,7.89,4,26,6.50,0,,0,0
64,2018,2018-09-16,2,30.028,MIN,@,GNB,T 29-29,*,35,48,72.92,425,4,1,118.8,2,13,8.85,9.58,2,5,2.50,0,,0,0
65,2018,2018-09-23,3,30.035,MIN,,BUF,L 6-27,*,40,55,72.73,296,1,1,83.6,4,18,5.38,4.93,2,2,1.00,0,,0,0
66,2018,2018-09-27,4,30.039,MIN,@,LAR,L 31-38,*,36,50,72.00,422,3,0,117.2,4,30,8.44,9.64,4,28,7.00,0,,0,0
