ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
47,2017,2017-10-15,5,26.240,ATL,,MIA,L 17-20,*,8,4,39,9.75,0,50.0%,4.88,0,0,,0,0,0,,0,,0,0
48,2017,2017-10-22,6,26.247,ATL,@,NWE,L 7-23,,2,2,24,12.00,0,100.0%,12.00,1,-5,-5.00,0,0,0,,0,,0,0
49,2017,2017-10-29,7,26.254,ATL,@,NYJ,W 25-20,,1,1,-3,-3.00,0,100.0%,-3.00,0,0,,0,0,0,,0,,0,0
50,2017,2017-11-05,8,26.261,ATL,@,CAR,L 17-20,,4,3,56,18.67,0,75.0%,14.00,1,3,3.00,0,0,0,,0,,0,0
51,2017,2017-11-12,9,26.268,ATL,,DAL,W 27-7,,3,3,58,19.33,0,100.0%,19.33,1,15,15.00,0,0,0,,0,,0,0
52,2017,2017-11-20,10,26.276,ATL,@,SEA,W 34-31,,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,,0,0
53,2017,2017-11-26,11,26.282,ATL,,TAM,W 34-20,*,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,,0,0
54,2017,2017-12-03,12,26.289,ATL,,MIN,L 9-14,,2,1,6,6.00,0,50.0%,3.00,1,5,5.00,0,0,0,,0,,0,0
55,2017,2017-12-07,13,26.293,ATL,,NOR,W 20-17,,1,1,10,10.00,0,100.0%,10.00,1,9,9.00,0,0,0,,0,,0,0
56,2017,2017-12-18,14,26.304,ATL,@,TAM,W 24-21,,2,2,16,8.00,0,100.0%,8.00,1,3,3.00,0,0,0,,0,,0,0
57,2017,2017-12-24,15,26.310,ATL,@,NOR,L 13-23,,4,1,20,20.00,0,25.0%,5.00,1,12,12.00,0,0,0,,0,,0,0
58,2017,2017-12-31,16,26.317,ATL,,CAR,W 22-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
59,2018,2018-09-09,1,27.204,CHI,@,GNB,L 23-24,,5,5,25,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0
60,2018,2018-09-17,2,27.212,CHI,,SEA,W 24-17,*,7,4,30,7.50,0,57.1%,4.29,3,17,5.67,0,0,0,,0,,0,0
61,2018,2018-09-23,3,27.218,CHI,@,ARI,W 16-14,,10,6,34,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,,0,0
