ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
21,1992,1992-10-04,5,22.349,NYJ,,NWE,W 30-21,,0,0,,0,0,0,1.0,0,0,0
22,1992,1992-10-11,6,22.356,NYJ,@,IND,L 3-6,,,,,,,,,,,
23,1992,1992-10-26,7,23.005,NYJ,,BUF,L 20-24,,,,,,,,,,,
24,1992,1992-11-01,8,23.011,NYJ,,MIA,W 26-14,,,,,,,,,,,
25,1992,1992-11-08,9,23.018,NYJ,@,DEN,L 16-27,,,,,,,,,,,
26,1992,1992-11-15,10,23.025,NYJ,,CIN,W 17-14,,0,0,,0,0,0,1.0,0,0,0
27,1992,1992-11-22,11,23.032,NYJ,@,NWE,L 3-24,,,,,,,,,,,
28,1992,1992-11-29,12,23.039,NYJ,,KAN,L 7-23,,,,,,,,,,,
29,1992,1992-12-06,13,23.046,NYJ,@,BUF,W 24-17,,,,,,,,,,,
30,1992,1992-12-13,14,23.053,NYJ,,IND,L 6-10,,,,,,,,,,,
31,1992,1992-12-20,15,23.060,NYJ,@,MIA,L 17-19,,,,,,,,,,,
32,1992,1992-12-26,16,23.066,NYJ,,NOR,L 0-20,,0,0,,0,0,0,0.0,1,1,0
33,1993,1993-09-05,1,23.319,NYJ,,DEN,L 20-26,,0,0,,0,0,0,1.0,0,0,0
34,1993,1993-09-12,2,23.326,NYJ,@,MIA,W 24-14,,0,0,,0,0,0,1.0,0,0,0
35,1993,1993-09-26,3,23.340,NYJ,,NWE,W 45-7,,,,,,,,,,,
36,1993,1993-10-03,4,23.347,NYJ,,PHI,L 30-35,,,,,,,,,,,
37,1993,1993-10-10,5,23.354,NYJ,@,RAI,L 20-24,,,,,,,,,,,
38,1993,1993-10-24,6,24.003,NYJ,,BUF,L 10-19,,,,,,,,,,,
39,1993,1993-10-31,7,24.010,NYJ,@,NYG,W 10-6,,,,,,,,,,,
40,1993,1993-11-07,8,24.017,NYJ,,MIA,W 27-10,,,,,,,,,,,
41,1993,1993-11-14,9,24.024,NYJ,@,IND,W 31-17,,0,0,,0,0,0,1.0,0,0,0
42,1993,1993-11-21,10,24.031,NYJ,,CIN,W 17-12,,,,,,,,,,,
43,1993,1993-11-28,11,24.038,NYJ,@,NWE,W 6-0,,,,,,,,,,,
44,1993,1993-12-05,12,24.045,NYJ,,IND,L 6-9,,,,,,,,,,,
45,1993,1993-12-11,13,24.051,NYJ,@,WAS,W 3-0,,0,0,,0,0,0,1.0,0,0,0
46,1993,1993-12-18,14,24.058,NYJ,,DAL,L 7-28,,0,0,,0,0,0,0.0,1,1,0
47,1993,1993-12-26,15,24.066,NYJ,@,BUF,L 14-16,,0,0,,0,0,0,0.0,1,3,0
48,1993,1994-01-02,16,24.073,NYJ,@,HOU,L 0-24,,,,,,,,,,,
49,1994,1994-09-04,1,24.318,NYJ,@,BUF,W 23-3,,,,,,,,,,,
50,1994,1994-09-11,2,24.325,NYJ,,DEN,W 25-22,,0,0,,0,1,6,0.0,1,67,1
51,1994,1994-09-18,3,24.332,NYJ,@,MIA,L 14-28,,0,0,,0,0,0,0.0,1,0,0
52,1994,1994-09-25,4,24.339,NYJ,,CHI,L 7-19,,,,,,,,,,,
53,1994,1994-10-02,5,24.346,NYJ,@,CLE,L 7-27,,,,,,,,,,,
54,1994,1994-10-09,6,24.353,NYJ,,IND,W 16-6,,0,0,,0,0,0,0.5,0,0,0
55,1994,1994-10-16,7,24.360,NYJ,,NWE,W 24-17,,,,,,,,,,,
56,1994,1994-10-30,8,25.009,NYJ,@,IND,L 25-28,,0,0,,0,1,6,0.0,1,18,1
57,1994,1994-11-06,9,25.016,NYJ,,BUF,W 22-17,,0,0,,0,0,0,1.0,1,21,0
58,1994,1994-11-13,10,25.023,NYJ,@,GNB,L 10-17,,,,,,,,,,,
59,1994,1994-11-20,11,25.030,NYJ,@,MIN,W 31-21,,0,0,,0,0,0,1.0,0,0,0
60,1994,1994-11-27,12,25.037,NYJ,,MIA,L 24-28,,,,,,,,,,,
61,1994,1994-12-04,13,25.044,NYJ,@,NWE,L 13-24,,,,,,,,,,,
62,1994,1994-12-10,14,25.050,NYJ,,DET,L 7-18,,,,,,,,,,,
63,1994,1994-12-18,15,25.058,NYJ,,SDG,L 6-21,,0,0,,0,0,0,0.5,0,0,0
64,1994,1994-12-24,16,25.064,NYJ,@,HOU,L 10-24,,0,0,,0,0,0,3.0,0,0,0
65,1995,1995-09-03,1,25.317,NYJ,@,MIA,L 14-52,,,,,,,,,,,
66,1995,1995-09-10,2,25.324,NYJ,,IND,L 24-27,,,,,,,,,,,
67,1995,1995-09-17,3,25.331,NYJ,,JAX,W 27-10,,,,,,,,,,,
68,1995,1995-09-24,4,25.338,NYJ,@,ATL,L 3-13,,,,,,,,,,,
69,1995,1995-10-01,5,25.345,NYJ,,OAK,L 10-47,,0,0,,0,0,0,1.0,0,0,0
70,1995,1995-10-08,6,25.352,NYJ,@,BUF,L 10-29,,,,,,,,,,,
71,1995,1995-10-15,7,25.359,NYJ,@,CAR,L 15-26,,0,0,,0,1,6,0.0,1,15,1
72,1995,1995-10-22,8,26.001,NYJ,,MIA,W 17-16,,0,0,,0,0,0,0.0,1,7,0
73,1995,1995-10-29,9,26.008,NYJ,@,IND,L 10-17,,0,0,,0,0,0,2.0,0,0,0
74,1995,1995-11-05,10,26.015,NYJ,,NWE,L 7-20,,,,,,,,,,,
75,1995,1995-11-19,11,26.029,NYJ,,BUF,L 26-28,,,,,,,,,,,
76,1995,1995-11-26,12,26.036,NYJ,@,SEA,W 16-10,,,,,,,,,,,
77,1995,1995-12-03,13,26.043,NYJ,,STL,L 20-23,,0,0,,0,0,0,1.0,0,0,0
78,1995,1995-12-10,14,26.050,NYJ,@,NWE,L 28-31,,,,,,,,,,,
79,1995,1995-12-17,15,26.057,NYJ,@,HOU,L 6-23,,0,0,,0,0,0,1.0,0,0,0
80,1995,1995-12-24,16,26.064,NYJ,,NOR,L 0-12,,,,,,,,,,,
81,1996,1996-09-01,1,26.316,NYJ,@,DEN,L 6-31,,,,,,,,,,,
82,1996,1996-09-08,2,26.323,NYJ,,IND,L 7-21,,,,,,,,,,,
83,1996,1996-09-15,3,26.330,NYJ,@,MIA,L 27-36,,,,,,,,,,,
84,1996,1996-09-22,4,26.337,NYJ,,NYG,L 6-13,,,,,,,,,,,
85,1996,1996-09-29,5,26.344,NYJ,@,WAS,L 16-31,,,,,,,,,,,
86,1996,1996-10-06,6,26.351,NYJ,,OAK,L 13-34,,,,,,,,,,,
87,1996,1996-10-13,7,26.358,NYJ,@,JAX,L 17-21,,,,,,,,,,,
88,1996,1996-10-20,8,26.365,NYJ,,BUF,L 22-25,,,,,,,,,,,
89,1996,1996-10-27,9,27.006,NYJ,@,ARI,W 31-21,,0,0,,0,0,0,0.5,0,0,0
90,1997,1997-08-31,1,27.314,NYJ,@,SEA,W 41-3,,,,,,,,,,,
91,1997,1997-09-07,2,27.321,NYJ,,BUF,L 22-28,,,,,,,,,,,
92,1997,1997-09-14,3,27.328,NYJ,@,NWE,L 24-27,,0,0,,0,1,6,0.0,1,43,1
93,1997,1997-09-21,4,27.335,NYJ,,OAK,W 23-22,,0,0,,0,0,0,1.0,0,0,0
94,1997,1997-09-28,5,27.342,NYJ,@,CIN,W 31-14,,0,0,,0,0,0,1.0,0,0,0
95,1997,1997-10-05,6,27.349,NYJ,@,IND,W 16-12,,0,0,,0,0,0,1.0,0,0,0
96,1997,1997-10-12,7,27.356,NYJ,,MIA,L 20-31,,,,,,,,,,,
97,1997,1997-10-19,8,27.363,NYJ,,NWE,W 24-19,,0,0,,0,0,0,1.5,0,0,0
98,1997,1997-11-02,9,28.012,TAM,@,IND,W 31-28,,,,,,,,,,,
99,1997,1997-11-09,10,28.019,NYJ,@,MIA,L 17-24,,,,,,,,,,,
100,1997,1997-11-16,11,28.026,NYJ,@,CHI,W 23-15,,0,0,,0,0,0,1.0,0,0,0
101,1997,1997-11-23,12,28.033,NYJ,,MIN,W 23-21,,,,,,,,,,,
102,1997,1997-11-30,13,28.040,NYJ,@,BUF,L 10-20,,0,0,,0,0,0,2.0,0,0,0
103,1997,1997-12-07,14,28.047,NYJ,,IND,L 14-22,,,,,,,,,,,
104,1997,1997-12-14,15,28.054,NYJ,,TAM,W 31-0,,0,0,,0,0,0,0.5,0,0,0
105,1997,1997-12-21,16,28.061,NYJ,@,DET,L 10-13,,,,,,,,,,,
106,1998,1998-09-06,1,28.320,NYJ,@,SFO,L 30-36,,,,,,,,,,,
107,1998,1998-09-20,3,28.334,NYJ,,IND,W 44-6,,0,0,,0,0,0,1.0,0,0,0
108,1998,1998-10-04,4,28.348,NYJ,,MIA,W 20-9,,,,,,,,,,,
109,1998,1998-10-11,5,28.355,NYJ,@,STL,L 10-30,,0,0,,0,0,0,1.0,0,0,0
110,1998,1998-10-19,6,28.363,NYJ,@,NWE,W 24-14,,0,0,,0,0,0,2.0,0,0,0
111,1998,1998-10-25,7,29.004,NYJ,,ATL,W 28-3,,0,0,,0,0,0,1.0,1,11,0
112,1998,1998-11-01,8,29.011,NYJ,@,KAN,W 20-17,,,,,,,,,,,
113,1998,1998-11-08,9,29.018,NYJ,,BUF,W 34-12,,0,0,,0,0,0,1.0,0,0,0
114,1998,1998-11-15,10,29.025,NYJ,@,IND,L 23-24,,,,,,,,,,,
115,1998,1998-11-22,11,29.032,NYJ,@,TEN,W 24-3,,,,,,,,,,,
116,1998,1998-11-29,12,29.039,NYJ,,CAR,W 48-21,,,,,,,,,,,
117,1998,1998-12-06,13,29.046,NYJ,,SEA,W 32-31,,,,,,,,,,,
118,1998,1998-12-13,14,29.053,NYJ,@,MIA,W 21-16,,0,0,,0,0,0,1.0,0,0,0
119,1998,1998-12-19,15,29.059,NYJ,@,BUF,W 17-10,,,,,,,,,,,
120,1998,1998-12-27,16,29.067,NYJ,,NWE,W 31-10,,,,,,,,,,,
121,1999,1999-09-12,1,29.326,NYJ,,NWE,L 28-30,*,,,,,,,,,,
122,1999,1999-09-19,2,29.333,NYJ,@,BUF,L 3-17,*,,,,,,,,,,
123,1999,1999-09-26,3,29.340,NYJ,,WAS,L 20-27,*,,,,,,,,,,
124,1999,1999-10-03,4,29.347,NYJ,@,DEN,W 21-13,*,,,,,,,,,,
125,1999,1999-10-11,5,29.355,NYJ,,JAX,L 6-16,*,0,0,,0,0,0,2.0,0,0,0
126,1999,1999-10-17,6,29.361,NYJ,,IND,L 13-16,*,,,,,,,,,,
127,1999,1999-10-24,7,30.003,NYJ,@,OAK,L 23-24,*,0,0,,0,0,0,1.0,0,0,0
128,1999,1999-11-07,8,30.017,NYJ,,ARI,W 12-7,*,0,0,,0,0,0,1.0,0,0,0
129,1999,1999-11-15,9,30.025,NYJ,@,NWE,W 24-17,*,,,,,,,,,,
130,1999,1999-11-21,10,30.031,NYJ,,BUF,W 17-7,*,,,,,,,,,,
131,1999,1999-11-28,11,30.038,NYJ,@,IND,L 6-13,*,,,,,,,,,,
132,1999,1999-12-05,12,30.045,NYJ,@,NYG,L 28-41,*,0,0,,0,0,0,1.0,0,0,0
133,1999,1999-12-12,13,30.052,NYJ,,MIA,W 28-20,*,0,0,,0,0,0,0.5,0,0,0
134,1999,1999-12-19,14,30.059,NYJ,@,DAL,W 22-21,*,,,,,,,,,,
135,1999,1999-12-27,15,30.067,NYJ,@,MIA,W 38-31,*,,,,,,,,,,
136,1999,2000-01-02,16,30.073,NYJ,,SEA,W 19-9,*,,,,,,,,,,
137,2000,2000-09-03,1,30.318,NYJ,@,GNB,W 20-16,*,,,,,,,,,,
138,2000,2000-09-11,2,30.326,NYJ,,NWE,W 20-19,*,0,0,,0,0,0,1.0,0,0,0
139,2000,2000-09-17,3,30.332,NYJ,,BUF,W 27-14,,,,,,,,,,,
140,2000,2000-09-24,4,30.339,NYJ,@,TAM,W 21-17,*,0,0,,0,0,0,1.0,0,0,0
141,2000,2000-10-08,5,30.353,NYJ,,PIT,L 3-20,,,,,,,,,,,
142,2000,2000-10-15,6,30.360,NYJ,@,NWE,W 34-17,*,1,3,3.00,0,0,0,1.0,1,23,0
143,2000,2000-10-23,7,31.002,NYJ,,MIA,W 40-37,*,,,,,,,,,,
144,2000,2000-10-29,8,31.008,NYJ,@,BUF,L 20-23,*,,,,,,,,,,
145,2000,2000-11-05,9,31.015,NYJ,,DEN,L 23-30,*,0,0,,0,0,0,1.0,0,0,0
146,2000,2000-11-12,10,31.022,NYJ,@,IND,L 15-23,*,,,,,,,,,,
147,2000,2000-11-19,11,31.029,NYJ,@,MIA,W 20-3,*,0,0,,0,0,0,2.0,0,0,0
148,2000,2000-11-26,12,31.036,NYJ,,CHI,W 17-10,,,,,,,,,,,
149,2000,2000-12-03,13,31.043,NYJ,,IND,W 27-17,*,0,0,,0,0,0,1.0,0,0,0
150,2000,2000-12-10,14,31.050,NYJ,@,OAK,L 7-31,,,,,,,,,,,
151,2000,2000-12-17,15,31.057,NYJ,,DET,L 7-10,,0,0,,0,0,0,1.0,0,0,0
152,2000,2000-12-24,16,31.064,NYJ,@,BAL,L 20-34,,0,0,,0,0,0,2.0,0,0,0
153,2001,2001-09-09,1,31.323,NYJ,,IND,L 24-45,*,,,,,,,,,,
154,2001,2001-09-23,2,31.337,NYJ,@,NWE,W 10-3,*,,,,,,,,,,
155,2001,2001-10-01,3,31.345,NYJ,,SFO,L 17-19,*,,,,,,,,,,
156,2001,2001-10-07,4,31.351,NYJ,@,BUF,W 42-36,*,0,0,,0,0,0,1.0,0,0,0
157,2001,2001-10-14,5,31.358,NYJ,,MIA,W 21-17,*,,,,,,,,,,
158,2001,2001-10-21,6,32.000,NYJ,,STL,L 14-34,*,,,,,,,,,,
159,2001,2001-10-28,7,32.007,NYJ,@,CAR,W 13-12,*,,,,,,,,,,
160,2001,2001-11-04,8,32.014,NYJ,@,NOR,W 16-9,*,0,0,,0,0,0,0.0,1,17,0
161,2001,2001-11-11,9,32.021,NYJ,,KAN,W 27-7,*,,,,,,,,,,
162,2001,2001-11-18,10,32.028,NYJ,@,MIA,W 24-0,*,0,0,,0,0,0,1.0,0,0,0
163,2001,2001-12-02,11,32.042,NYJ,,NWE,L 16-17,*,,,,,,,,,,
164,2001,2001-12-09,12,32.049,NYJ,@,PIT,L 7-18,*,,,,,,,,,,
165,2001,2001-12-16,13,32.056,NYJ,,CIN,W 15-14,*,,,,,,,,,,
166,2001,2001-12-23,14,32.063,NYJ,@,IND,W 29-28,*,0,0,,0,0,0,1.0,0,0,0
167,2001,2001-12-30,15,32.070,NYJ,,BUF,L 9-14,*,,,,,,,,,,
168,2001,2002-01-06,16,32.077,NYJ,@,OAK,W 24-22,*,,,,,,,,,,
169,2002,2002-09-08,1,32.322,NYJ,@,BUF,W 37-31,*,,,,,,,,,,
170,2002,2002-09-15,2,32.329,NYJ,,NWE,L 7-44,*,,,,,,,,,,
171,2002,2002-09-22,3,32.336,NYJ,@,MIA,L 3-30,*,,,,,,,,,,
172,2002,2002-09-29,4,32.343,NYJ,@,JAX,L 3-28,*,,,,,,,,,,
173,2002,2002-10-06,5,32.350,NYJ,,KAN,L 25-29,*,,,,,,,,,,
174,2002,2002-10-20,6,32.364,NYJ,,MIN,W 20-7,*,0,0,,0,0,0,0.0,1,14,0
175,2002,2002-10-27,7,33.006,NYJ,,CLE,L 21-24,*,,,,,,,,,,
176,2002,2002-11-03,8,33.013,NYJ,@,SDG,W 44-13,*,,,,,,,,,,
177,2002,2002-11-10,9,33.020,NYJ,,MIA,W 13-10,*,,,,,,,,,,
178,2002,2002-11-17,10,33.027,NYJ,@,DET,W 31-14,*,,,,,,,,,,
179,2002,2002-11-24,11,33.034,NYJ,,BUF,W 31-13,*,0,0,,0,0,0,0.5,0,0,0
180,2002,2002-12-02,12,33.042,NYJ,@,OAK,L 20-26,*,,,,,,,,,,
181,2002,2002-12-08,13,33.048,NYJ,,DEN,W 19-13,*,,,,,,,,,,
182,2002,2002-12-15,14,33.055,NYJ,@,CHI,L 13-20,*,,,,,,,,,,
183,2002,2002-12-22,15,33.062,NYJ,@,NWE,W 30-17,*,,,,,,,,,,
184,2002,2002-12-29,16,33.069,NYJ,,GNB,W 42-17,*,,,,,,,,,,
185,2003,2003-09-04,1,33.318,NYJ,@,WAS,L 13-16,*,,,,,,,,,,
186,2003,2003-09-14,2,33.328,NYJ,,MIA,L 10-21,*,,,,,,,,,,
187,2003,2003-09-21,3,33.335,NYJ,@,NWE,L 16-23,*,,,,,,,,,,
188,2003,2003-09-28,4,33.342,NYJ,,DAL,L 6-17,*,,,,,,,,,,
189,2003,2003-10-12,5,33.356,NYJ,,BUF,W 30-3,*,,,,,,,,,,
190,2003,2003-10-19,6,33.363,NYJ,@,HOU,W 19-14,*,,,,,,,,,,
191,2003,2003-10-26,7,34.005,NYJ,@,PHI,L 17-24,*,,,,,,,,,,
192,2003,2003-11-09,9,34.019,NYJ,@,OAK,W 27-24,*,,,,,,,,,,
193,2003,2003-11-16,10,34.026,NYJ,@,IND,L 31-38,*,,,,,,,,,,
194,2003,2003-11-23,11,34.033,NYJ,,JAX,W 13-10,*,,,,,,,,,,
195,2003,2003-12-01,12,34.041,NYJ,,TEN,W 24-17,*,,,,,,,,,,
196,2003,2003-12-07,13,34.047,NYJ,@,BUF,L 6-17,*,,,,,,,,,,
197,2003,2003-12-14,14,34.054,NYJ,,PIT,W 6-0,*,,,,,,,,,,
198,2003,2003-12-20,15,34.060,NYJ,,NWE,L 16-21,*,,,,,,,,,,
199,2003,2003-12-28,16,34.068,NYJ,@,MIA,L 21-23,*,,,,,,,,,,
