ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
44,2016,2016-11-27,12,23.324,CLE,,NYG,L 13-27,*,16,44,2.75,0,7,6,47,7.83,0,85.7%,6.71,,0,0
45,2016,2016-12-11,13,23.338,CLE,,CIN,L 10-23,*,10,113,11.30,0,2,1,5,5.00,0,50.0%,2.50,,0,0
46,2016,2016-12-18,14,23.345,CLE,@,BUF,L 13-33,*,8,28,3.50,0,2,0,0,,0,0.0%,0.00,,0,0
47,2016,2016-12-24,15,23.351,CLE,,SDG,W 20-17,*,16,54,3.38,2,5,4,4,1.00,0,80.0%,0.80,,2,12
48,2016,2017-01-01,16,23.359,CLE,@,PIT,L 24-27,*,19,152,8.00,0,4,3,16,5.33,0,75.0%,4.00,,0,0
49,2017,2017-09-10,1,24.245,CLE,,PIT,L 18-21,*,17,33,1.94,0,2,2,33,16.50,0,100.0%,16.50,1,0,2
50,2017,2017-09-17,2,24.252,CLE,@,BAL,L 10-24,*,10,37,3.70,0,1,0,0,,0,0.0%,0.00,,0,0
51,2017,2017-09-24,3,24.259,CLE,@,IND,L 28-31,*,12,44,3.67,0,3,2,10,5.00,0,66.7%,3.33,,0,0
52,2017,2017-10-01,4,24.266,CLE,,CIN,L 7-31,*,7,20,2.86,0,2,1,7,7.00,0,50.0%,3.50,,0,0
53,2017,2017-10-08,5,24.273,CLE,,NYJ,L 14-17,*,16,60,3.75,0,3,2,7,3.50,0,66.7%,2.33,,0,0
54,2017,2017-10-15,6,24.280,CLE,@,HOU,L 17-33,*,12,58,4.83,0,2,2,15,7.50,0,100.0%,7.50,,0,0
55,2017,2017-10-22,7,24.287,CLE,,TEN,L 9-12,*,17,35,2.06,0,6,4,36,9.00,0,66.7%,6.00,,0,0
56,2017,2017-10-29,8,24.294,CLE,,MIN,L 16-33,*,11,64,5.82,1,6,4,54,13.50,0,66.7%,9.00,,1,6
57,2017,2017-11-12,9,24.308,CLE,@,DET,L 24-38,*,16,90,5.63,1,2,1,5,5.00,0,50.0%,2.50,,1,6
58,2017,2017-11-19,10,24.315,CLE,,JAX,L 7-19,*,11,18,1.64,0,0,0,0,,0,0.0%,,,0,0
59,2017,2017-11-26,11,24.322,CLE,@,CIN,L 16-30,*,16,95,5.94,0,2,1,10,10.00,0,50.0%,5.00,,0,0
60,2017,2017-12-03,12,24.329,CLE,@,LAC,L 10-19,*,10,41,4.10,0,1,1,3,3.00,0,100.0%,3.00,,0,0
61,2017,2017-12-10,13,24.336,CLE,,GNB,L 21-27,*,19,121,6.37,0,3,3,10,3.33,0,100.0%,3.33,,0,0
62,2017,2017-12-17,14,24.343,CLE,,BAL,L 10-27,*,5,72,14.40,0,5,4,-7,-1.75,0,80.0%,-1.40,,0,0
63,2017,2017-12-24,15,24.350,CLE,@,CHI,L 3-20,*,12,44,3.67,0,4,1,-1,-1.00,0,25.0%,-0.25,,0,0
64,2017,2017-12-31,16,24.357,CLE,@,PIT,L 24-28,*,15,21,1.40,0,0,0,0,,0,0.0%,,,0,0
65,2018,2018-09-10,1,25.245,NYJ,@,DET,W 48-17,,10,102,10.20,2,0,0,0,,0,0.0%,,,2,12
66,2018,2018-09-16,2,25.251,NYJ,,MIA,L 12-20,,12,35,2.92,0,3,2,4,2.00,0,66.7%,1.33,,0,0
67,2018,2018-09-20,3,25.255,NYJ,@,CLE,L 17-21,,16,34,2.13,2,3,2,17,8.50,0,66.7%,5.67,,2,12
