ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
13,1960,1960-12-18,14,22.100,DTX,,BUF,W 24-7,8,13,1.63,0,4,130,32.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0
14,1961,1961-09-10,1,23.001,DTX,,SDG,L 10-26,10,37,3.70,0,2,23,11.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
15,1961,1961-09-24,2,23.015,DTX,@,OAK,W 42-35,5,33,6.60,1,3,84,28.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,2,12,0,0,0
16,1961,1961-10-01,3,23.022,DTX,,HOU,W 26-21,6,17,2.83,0,3,46,15.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
17,1961,1961-10-08,4,23.029,DTX,@,DEN,W 19-12,0,0,,0,2,15,7.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
18,1961,1961-10-22,6,23.043,DTX,@,HOU,L 7-38,0,0,,0,1,33,33.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
19,1961,1961-10-29,7,23.050,DTX,,BOS,L 17-18,6,25,4.17,0,3,27,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
20,1961,1961-11-03,8,23.055,DTX,@,BOS,L 21-28,3,9,3.00,0,4,35,8.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
21,1961,1961-11-12,9,23.064,DTX,,BUF,L 20-30,4,7,1.75,0,3,36,12.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0
22,1961,1961-11-19,10,23.071,DTX,@,SDG,L 14-24,4,8,2.00,0,3,53,17.67,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,1,6,0,0,0
23,1961,1961-11-26,11,23.078,DTX,,OAK,W 43-11,1,-1,-1.00,0,2,42,21.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0
24,1961,1961-12-10,13,23.092,DTX,,DEN,W 49-21,3,3,1.00,0,6,112,18.67,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0
25,1961,1961-12-17,14,23.099,DTX,,NYT,W 35-24,10,62,6.20,1,3,95,31.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0
26,1962,1962-09-23,2,24.014,DTX,@,OAK,W 26-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,4,0
27,1962,1962-10-28,7,24.049,DTX,@,HOU,W 31-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,1,0
28,1962,1962-11-11,9,24.063,DTX,@,NYT,W 52-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,20,0
29,1962,1962-12-02,12,24.084,DTX,@,BUF,L 14-23,0,0,,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
30,1963,1963-09-07,1,24.363,KAN,@,DEN,W 59-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,14,0
31,1963,1963-10-06,4,25.027,KAN,,HOU,W 28-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,19,0
32,1963,1963-10-27,7,25.048,KAN,@,HOU,L 7-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,16,16.00,0,0,0,0,0,0
33,1963,1963-12-14,13,25.096,KAN,,BOS,W 35-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,8,0
34,1964,1964-09-13,1,26.004,KAN,@,BUF,L 17-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,16,16.00,0,0,0,0,0,0
35,1964,1964-11-22,10,26.074,KAN,@,HOU,W 28-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,17,0
36,1965,1965-09-26,3,27.017,KAN,@,SDG,T 10-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
37,1965,1965-10-17,6,27.038,KAN,,BUF,L 7-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,35,0
38,1965,1965-11-14,10,27.066,KAN,,SDG,W 31-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,64,0
39,1966,1966-09-25,3,28.016,KAN,@,BOS,W 43-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,2,40,1
40,1966,1966-10-23,7,28.044,KAN,@,DEN,W 56-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,15,0
41,1966,1966-10-30,8,28.051,KAN,,HOU,W 48-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,33,0
42,1966,1966-11-06,9,28.058,KAN,,SDG,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,29,0
43,1966,1966-11-13,10,28.065,KAN,,MIA,W 34-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,5,0
44,1966,1966-12-11,13,28.093,KAN,@,MIA,W 19-18,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,14,0
45,1967,1967-09-24,2,29.015,KAN,@,MIA,W 24-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,7,0
46,1967,1967-10-08,4,29.029,KAN,,MIA,W 41-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,10,0
47,1967,1967-10-29,7,29.050,KAN,,DEN,W 52-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
48,1967,1967-11-19,10,29.071,KAN,,SDG,L 16-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0,0,0,0
49,1967,1967-12-17,14,29.099,KAN,@,DEN,W 38-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
50,1968,1968-09-28,4,30.019,KAN,@,MIA,W 48-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,13,0
51,1968,1968-10-20,7,30.041,KAN,,OAK,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,7,0
52,1968,1968-10-27,8,30.048,KAN,,SDG,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,0,0
53,1968,1968-11-28,12,30.080,KAN,,HOU,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,26,13.00,0,0,0,1,4,0
54,1968,1968-12-08,13,30.090,KAN,@,SDG,W 40-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,16,0
55,1969,1969-09-14,1,31.005,KAN,@,SDG,W 27-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,30,0
56,1969,1969-09-28,3,31.019,KAN,@,CIN,L 19-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,26,0
57,1969,1969-10-12,5,31.033,KAN,,HOU,W 24-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,27,0
58,1969,1969-11-02,8,31.054,KAN,@,BUF,W 29-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,54,0
59,1969,1969-11-16,10,31.068,KAN,@,NYJ,W 34-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,21,0
60,1970,1970-09-20,1,32.011,KAN,@,MIN,L 10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1970,1970-09-28,2,32.019,KAN,@,BAL,W 44-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,41,0
62,1970,1970-10-04,3,32.025,KAN,@,DEN,L 13-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1970,1970-10-11,4,32.032,KAN,,BOS,W 23-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,3,0
64,1970,1970-10-18,5,32.039,KAN,@,CIN,W 27-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1970,1970-10-25,6,32.046,KAN,,DAL,L 16-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1970,1970-11-01,7,32.053,KAN,,OAK,T 17-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1970,1970-11-08,8,32.060,KAN,,HOU,W 24-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,17,0
68,1970,1970-11-15,9,32.067,KAN,@,PIT,W 31-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,65,0
69,1970,1970-11-22,10,32.074,KAN,,STL,T 6-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1970,1970-11-29,11,32.081,KAN,,SDG,W 26-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1970,1970-12-06,12,32.088,KAN,,DEN,W 16-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,29,0
72,1970,1970-12-12,13,32.094,KAN,@,OAK,L 6-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1970,1970-12-20,14,32.102,KAN,@,SDG,L 13-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1971,1971-09-19,1,33.010,KAN,@,SDG,L 14-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1971,1971-09-26,2,33.017,KAN,@,HOU,W 20-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1971,1971-10-03,3,33.024,KAN,@,DEN,W 16-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,9,0
77,1971,1971-10-10,4,33.031,KAN,,SDG,W 31-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,15,0
78,1971,1971-10-18,5,33.039,KAN,,PIT,W 38-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1971,1971-10-24,6,33.045,KAN,,WAS,W 27-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1971,1971-10-31,7,33.052,KAN,@,OAK,T 20-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1971,1971-11-07,8,33.059,KAN,@,NYJ,L 10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1971,1971-11-14,9,33.066,KAN,,CLE,W 13-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1971,1971-11-21,10,33.073,KAN,,DEN,W 28-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1971,1971-11-25,11,33.077,KAN,@,DET,L 21-32,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
85,1971,1971-12-06,12,33.088,KAN,@,SFO,W 26-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1971,1971-12-12,13,33.094,KAN,,OAK,W 16-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1971,1971-12-19,14,33.101,KAN,,BUF,W 22-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,29,0
