ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
20,1963,1963-10-27,7,25.192,CHI,,PHI,W 16-7,0,0,,0,0,0,,0,0,0,1,0,0
21,1963,1963-11-17,10,25.213,CHI,,GNB,W 26-7,0,0,,0,0,0,,0,0,0,1,11,0
22,1963,1963-12-08,13,25.234,CHI,,SFO,W 27-7,0,0,,0,0,0,,0,0,0,2,27,0
23,1965,1965-10-17,5,27.182,CHI,@,MIN,W 45-37,0,0,,0,0,0,,0,0,0,1,18,0
24,1965,1965-12-05,12,27.231,CHI,@,BAL,W 13-0,0,0,,0,0,0,,0,0,0,1,4,0
25,1966,1966-10-31,7,28.196,CHI,@,STL,L 17-24,0,0,,0,0,0,,0,0,0,1,0,0
26,1966,1966-11-06,8,28.202,CHI,,DET,T 10-10,0,0,,0,0,0,,0,0,0,1,14,0
27,1966,1966-11-20,10,28.216,CHI,@,GNB,L 6-13,0,0,,0,0,0,,0,0,0,1,20,0
28,1966,1966-12-04,12,28.230,CHI,@,BAL,L 16-21,0,0,,0,0,0,,0,0,0,1,0,0
29,1967,1967-09-24,2,29.159,CHI,@,GNB,L 10-13,0,0,,0,0,0,,0,0,0,3,41,0
30,1967,1967-11-19,10,29.215,CHI,,STL,W 30-3,0,0,,0,0,0,,0,0,0,1,32,0
31,1967,1967-12-03,12,29.229,CHI,@,SFO,W 28-14,0,0,,0,0,0,,0,0,0,1,0,0
32,1968,1968-09-29,3,30.164,CHI,@,MIN,W 27-17,0,0,,0,0,0,,0,0,0,1,18,0
33,1968,1968-10-06,4,30.171,CHI,@,BAL,L 7-28,0,0,,0,0,0,,0,0,0,1,0,0
34,1969,1969-09-21,1,31.156,RAM,@,BAL,W 27-20,0,0,,0,0,0,,0,0,0,1,9,0
35,1969,1969-10-12,4,31.177,RAM,@,SFO,W 27-21,0,0,,0,0,0,,0,0,0,1,25,0
36,1969,1969-11-02,7,31.198,RAM,@,ATL,W 38-6,0,0,,0,0,0,,0,0,0,1,3,0
37,1969,1969-11-09,8,31.205,RAM,,SFO,W 41-30,0,0,,0,0,0,,0,0,0,1,9,0
38,1969,1969-11-30,11,31.226,RAM,@,WAS,W 24-13,0,0,,0,0,0,,0,0,0,1,0,0
39,1970,1970-09-18,1,32.153,RAM,,STL,W 34-13,,,,,,,,,,,,,
40,1970,1970-09-27,2,32.162,RAM,@,BUF,W 19-0,,,,,,,,,,,,,
41,1970,1970-10-04,3,32.169,RAM,,SDG,W 37-10,,,,,,,,,,,,,
42,1970,1970-10-11,4,32.176,RAM,,SFO,L 6-20,,,,,,,,,,,,,
43,1970,1970-10-18,5,32.183,RAM,@,GNB,W 31-21,,,,,,,,,,,,,
44,1970,1970-10-26,6,32.191,RAM,@,MIN,L 3-13,1,3,3.00,0,0,0,,0,0,0,0,0,0
45,1970,1970-11-01,7,32.197,RAM,@,NOR,W 30-17,,,,,,,,,,,,,
46,1970,1970-11-08,8,32.204,RAM,,ATL,T 10-10,,,,,,,,,,,,,
47,1970,1970-11-15,9,32.211,RAM,,NYJ,L 20-31,,,,,,,,,,,,,
48,1970,1970-11-22,10,32.218,RAM,@,ATL,W 17-7,,,,,,,,,,,,,
49,1970,1970-11-29,11,32.225,RAM,@,SFO,W 30-13,,,,,,,,,,,,,
50,1970,1970-12-06,12,32.232,RAM,,NOR,W 34-16,,,,,,,,,,,,,
51,1970,1970-12-14,13,32.240,RAM,,DET,L 23-28,0,0,,0,0,0,,0,0,0,1,10,0
52,1970,1970-12-20,14,32.246,RAM,@,NYG,W 31-3,,,,,,,,,,,,,
53,1971,1971-09-19,1,33.154,WAS,@,STL,W 24-17,1,-2,-2.00,0,0,0,,0,0,0,3,66,0
54,1971,1971-09-26,2,33.161,WAS,@,NYG,W 30-3,0,0,,0,0,0,,0,0,0,1,14,0
55,1971,1971-10-03,3,33.168,WAS,@,DAL,W 20-16,,,,,,,,,,,,,
56,1971,1971-10-10,4,33.175,WAS,,HOU,W 22-13,,,,,,,,,,,,,
57,1971,1971-10-17,5,33.182,WAS,,STL,W 20-0,,,,,,,,,,,,,
58,1971,1971-10-24,6,33.189,WAS,@,KAN,L 20-27,,,,,,,,,,,,,
59,1971,1971-10-31,7,33.196,WAS,,NOR,W 24-14,,,,,,,,,,,,,
60,1971,1971-11-07,8,33.203,WAS,,PHI,T 7-7,,,,,,,,,,,,,
61,1971,1971-11-14,9,33.210,WAS,@,CHI,L 15-16,,,,,,,,,,,,,
62,1971,1971-11-21,10,33.217,WAS,,DAL,L 0-13,,,,,,,,,,,,,
63,1971,1971-11-28,11,33.224,WAS,@,PHI,W 20-13,0,0,,0,0,0,,0,0,0,1,22,0
64,1971,1971-12-05,12,33.231,WAS,,NYG,W 23-7,,,,,,,,,,,,,
65,1971,1971-12-13,13,33.239,WAS,@,RAM,W 38-24,,,,,,,,,,,,,
66,1971,1971-12-19,14,33.245,WAS,,CLE,L 13-20,,,,,,,,,,,,,
67,1972,1972-09-18,1,34.153,WAS,@,MIN,W 24-21,,,,,,,,,,,,,
68,1972,1972-09-24,2,34.159,WAS,,STL,W 24-10,,,,,,,,,,,,,
69,1972,1972-10-01,3,34.166,WAS,@,NWE,L 23-24,,,,,,,,,,,,,
