ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
32,1981,1981-11-22,12,24.326,CHI,,DET,L 7-23,0,0,,0,,,,,,
33,1981,1981-11-26,13,24.330,CHI,@,DAL,L 9-10,0,0,,0,,,,,,
34,1981,1981-12-06,14,24.340,CHI,,MIN,W 10-9,1,18,18.00,0,0,0,0.0,0,0,0
35,1981,1981-12-13,15,24.347,CHI,@,OAK,W 23-6,0,0,,0,,,,,,
36,1981,1981-12-20,16,24.354,CHI,,DEN,W 35-24,0,0,,0,1,6,0.0,1,44,1
37,1982,1982-09-12,1,25.255,CHI,@,DET,L 10-17,0,0,,0,0,0,2.0,0,0,0
38,1982,1982-11-21,3,25.325,CHI,,DET,W 20-17,,,,,,,,,,
39,1982,1982-11-28,4,25.332,CHI,@,MIN,L 7-35,0,0,,0,0,0,0.5,0,0,0
40,1982,1982-12-05,5,25.339,CHI,,NWE,W 26-13,,,,,,,,,,
41,1982,1982-12-12,6,25.346,CHI,@,SEA,L 14-20,,,,,,,,,,
42,1982,1982-12-19,7,25.353,CHI,,STL,L 7-10,,,,,,,,,,
43,1982,1982-12-26,8,25.360,CHI,@,RAM,W 34-26,,,,,,,,,,
44,1982,1983-01-02,9,26.002,CHI,@,TAM,L 23-26,0,0,,0,0,0,1.0,0,0,0
45,1983,1983-09-04,1,26.247,CHI,,ATL,L 17-20,,,,,,,,,,
46,1983,1983-09-11,2,26.254,CHI,,TAM,W 17-10,,,,,,,,,,
47,1983,1983-09-18,3,26.261,CHI,@,NOR,L 31-34,0,0,,0,0,0,1.0,0,0,0
48,1983,1983-09-25,4,26.268,CHI,@,BAL,L 19-22,,,,,,,,,,
49,1983,1983-10-02,5,26.275,CHI,,DEN,W 31-14,0,0,,0,0,0,2.0,0,0,0
50,1983,1983-10-09,6,26.282,CHI,,MIN,L 14-23,,,,,,,,,,
51,1983,1983-10-16,7,26.289,CHI,@,DET,L 17-31,,,,,,,,,,
52,1983,1983-10-23,8,26.296,CHI,@,PHI,W 7-6,0,0,,0,0,0,2.0,0,0,0
53,1983,1983-10-30,9,26.303,CHI,,DET,L 17-38,0,0,,0,0,0,1.0,0,0,0
54,1983,1983-11-06,10,26.310,CHI,@,RAM,L 14-21,,,,,,,,,,
55,1983,1983-12-04,14,26.338,CHI,@,GNB,L 28-31,,,,,,,,,,
56,1983,1983-12-11,15,26.345,CHI,@,MIN,W 19-13,,,,,,,,,,
57,1983,1983-12-18,16,26.352,CHI,,GNB,W 23-21,,,,,,,,,,
58,1984,1984-09-02,1,27.246,CHI,,TAM,W 34-14,0,0,,0,0,0,0.0,1,34,0
59,1984,1984-09-09,2,27.253,CHI,,DEN,W 27-0,,,,,,,,,,
60,1984,1984-09-16,3,27.260,CHI,@,GNB,W 9-7,,,,,,,,,,
61,1984,1984-09-23,4,27.267,CHI,@,SEA,L 9-38,,,,,,,,,,
62,1984,1984-09-30,5,27.274,CHI,,DAL,L 14-23,,,,,,,,,,
63,1984,1984-10-07,6,27.281,CHI,,NOR,W 20-7,,,,,,,,,,
64,1984,1984-10-14,7,27.288,CHI,@,STL,L 21-38,,,,,,,,,,
65,1984,1984-10-21,8,27.295,CHI,@,TAM,W 44-9,,,,,,,,,,
66,1984,1984-10-28,9,27.302,CHI,,MIN,W 16-7,0,0,,0,0,0,1.0,0,0,0
67,1984,1984-11-04,10,27.309,CHI,,RAI,W 17-6,0,0,,0,0,0,1.0,0,0,0
68,1984,1984-11-11,11,27.316,CHI,@,RAM,L 13-29,,,,,,,,,,
69,1984,1984-11-18,12,27.323,CHI,,DET,W 16-14,,,,,,,,,,
70,1984,1984-11-25,13,27.330,CHI,@,MIN,W 34-3,,,,,,,,,,
71,1984,1984-12-03,14,27.338,CHI,@,SDG,L 7-20,,,,,,,,,,
72,1984,1984-12-09,15,27.344,CHI,,GNB,L 14-20,,,,,,,,,,
73,1984,1984-12-16,16,27.351,CHI,@,DET,W 30-13,,,,,,,,,,
74,1986,1986-09-07,1,29.250,CHI,,CLE,W 41-31,,,,,,,,,,
75,1986,1986-09-14,2,29.257,CHI,,PHI,W 13-10,,,,,,,,,,
76,1986,1986-09-22,3,29.265,CHI,@,GNB,W 25-12,,,,,,,,,,
77,1986,1986-09-28,4,29.271,CHI,@,CIN,W 44-7,0,0,,0,0,0,1.0,0,0,0
78,1986,1986-10-05,5,29.278,CHI,,MIN,W 23-0,0,0,,0,0,0,1.0,0,0,0
79,1986,1986-10-12,6,29.285,CHI,@,HOU,W 20-7,,,,,,,,,,
80,1986,1986-10-19,7,29.292,CHI,@,MIN,L 7-23,,,,,,,,,,
81,1986,1986-10-26,8,29.299,CHI,,DET,W 13-7,,,,,,,,,,
82,1986,1986-11-03,9,29.307,CHI,,RAM,L 17-20,,,,,,,,,,
83,1986,1986-11-09,10,29.313,CHI,@,TAM,W 23-3,,,,,,,,,,
84,1986,1986-11-16,11,29.320,CHI,@,ATL,W 13-10,,,,,,,,,,
85,1986,1986-11-23,12,29.327,CHI,,GNB,W 12-10,,,,,,,,,,
86,1986,1986-11-30,13,29.334,CHI,,PIT,W 13-10,,,,,,,,,,
87,1986,1986-12-07,14,29.341,CHI,,TAM,W 48-14,,,,,,,,,,
88,1986,1986-12-15,15,29.349,CHI,@,DET,W 16-13,,,,,,,,,,
89,1986,1986-12-21,16,29.355,CHI,@,DAL,W 24-10,,,,,,,,,,
90,1987,1987-09-14,1,30.257,CHI,,NYG,W 34-19,,,,,,,,,,
91,1987,1987-09-20,2,30.263,CHI,,TAM,W 20-3,,,,,,,,,,
92,1987,1987-10-25,6,30.298,CHI,@,TAM,W 27-26,,,,,,,,,,
93,1987,1987-11-01,7,30.305,CHI,,KAN,W 31-28,,,,,,,,,,
94,1987,1987-11-08,8,30.312,CHI,@,GNB,W 26-24,,,,,,,,,,
95,1987,1987-11-16,9,30.320,CHI,@,DEN,L 29-31,,,,,,,,,,
96,1987,1987-11-22,10,30.326,CHI,,DET,W 30-10,,,,,,,,,,
97,1987,1987-11-29,11,30.333,CHI,,GNB,W 23-10,0,0,,0,0,0,1.0,0,0,0
98,1987,1987-12-06,12,30.340,CHI,@,MIN,W 30-24,0,0,,0,0,0,0.5,0,0,0
99,1987,1987-12-14,13,30.348,CHI,@,SFO,L 0-41,,,,,,,,,,
100,1987,1987-12-20,14,30.354,CHI,,SEA,L 21-34,,,,,,,,,,
101,1987,1987-12-27,15,30.361,CHI,@,RAI,W 6-3,,,,,,,,,,
102,1988,1988-09-04,1,31.248,CHI,,MIA,W 34-7,0,0,,0,0,0,0.5,0,0,0
103,1988,1988-09-11,2,31.255,CHI,@,IND,W 17-13,,,,,,,,,,
104,1988,1988-09-18,3,31.262,CHI,,MIN,L 7-31,,,,,,,,,,
105,1988,1988-09-25,4,31.269,CHI,@,GNB,W 24-6,0,0,,0,0,0,2.0,0,0,0
106,1988,1988-10-02,5,31.276,CHI,,BUF,W 24-3,0,0,,0,0,0,1.0,0,0,0
107,1988,1988-10-09,6,31.283,CHI,@,DET,W 24-7,,,,,,,,,,
108,1988,1988-10-16,7,31.290,CHI,,DAL,W 17-7,,,,,,,,,,
109,1988,1988-10-24,8,31.298,CHI,,SFO,W 10-9,,,,,,,,,,
110,1988,1988-10-30,9,31.304,CHI,@,NWE,L 7-30,,,,,,,,,,
111,1988,1988-11-06,10,31.311,CHI,,TAM,W 28-10,,,,,,,,,,
112,1988,1988-11-13,11,31.318,CHI,@,WAS,W 34-14,,,,,,,,,,
113,1988,1988-11-20,12,31.325,CHI,@,TAM,W 27-15,,,,,,,,,,
114,1988,1988-11-27,13,31.332,CHI,,GNB,W 16-0,,,,,,,,,,
115,1988,1988-12-05,14,31.340,CHI,@,RAM,L 3-23,,,,,,,,,,
116,1988,1988-12-11,15,31.346,CHI,,DET,W 13-12,,,,,,,,,,
117,1988,1988-12-19,16,31.354,CHI,@,MIN,L 27-28,,,,,,,,,,
118,1989,1989-09-10,1,32.253,PHI,,SEA,W 31-7,,,,,,,,,,
119,1989,1989-09-17,2,32.260,PHI,@,WAS,W 42-37,,,,,,,,,,
120,1989,1989-09-24,3,32.267,PHI,,SFO,L 28-38,0,0,,0,0,0,1.0,1,11,0
121,1989,1989-10-02,4,32.275,PHI,@,CHI,L 13-27,,,,,,,,,,
122,1989,1989-10-08,5,32.281,PHI,,NYG,W 21-19,,,,,,,,,,
123,1989,1989-10-15,6,32.288,PHI,@,PHO,W 17-5,0,0,,0,0,0,0.0,1,7,0
124,1989,1989-10-22,7,32.295,PHI,,RAI,W 10-7,,,,,,,,,,
125,1989,1989-10-29,8,32.302,PHI,@,DEN,W 28-24,,,,,,,,,,
126,1989,1989-11-05,9,32.309,PHI,@,SDG,L 17-20,,,,,,,,,,
127,1989,1989-11-12,10,32.316,PHI,,WAS,L 3-10,,,,,,,,,,
128,1989,1989-11-19,11,32.323,PHI,,MIN,W 10-9,,,,,,,,,,
129,1989,1989-11-23,12,32.327,PHI,@,DAL,W 27-0,,,,,,,,,,
130,1989,1989-12-03,13,32.337,PHI,@,NYG,W 24-17,,,,,,,,,,
131,1989,1989-12-10,14,32.344,PHI,,DAL,W 20-10,,,,,,,,,,
132,1989,1989-12-18,15,32.352,PHI,@,NOR,L 20-30,,,,,,,,,,
133,1989,1989-12-24,16,32.358,PHI,,PHO,W 31-14,0,0,,0,0,0,1.0,0,0,0
134,1990,1990-09-09,1,33.252,PHI,@,NYG,L 20-27,,,,,,,,,,
135,1990,1990-09-16,2,33.259,PHI,,PHO,L 21-23,,,,,,,,,,
136,1990,1990-09-23,3,33.266,PHI,@,RAM,W 27-21,,,,,,,,,,
137,1990,1990-09-30,4,33.273,PHI,,IND,L 23-24,,,,,,,,,,
138,1990,1990-10-15,5,33.288,PHI,,MIN,W 32-24,,,,,,,,,,
139,1990,1990-10-21,6,33.294,PHI,@,WAS,L 7-13,,,,,,,,,,
140,1990,1990-10-28,7,33.301,PHI,@,DAL,W 21-20,,,,,,,,,,
141,1990,1990-11-04,8,33.308,PHI,,NWE,W 48-20,,,,,,,,,,
142,1990,1990-11-12,9,33.316,PHI,,WAS,W 28-14,,,,,,,,,,
143,1990,1990-11-18,10,33.322,PHI,@,ATL,W 24-23,,,,,,,,,,
144,1990,1990-11-25,11,33.329,PHI,,NYG,W 31-13,,,,,,,,,,
145,1990,1990-12-02,12,33.336,PHI,@,BUF,L 23-30,,,,,,,,,,
146,1990,1990-12-09,13,33.343,PHI,@,MIA,L 20-23,,,,,,,,,,
147,1990,1990-12-16,14,33.350,PHI,,GNB,W 31-0,,,,,,,,,,
148,1990,1990-12-23,15,33.357,PHI,,DAL,W 17-3,,,,,,,,,,
149,1990,1990-12-29,16,33.363,PHI,@,PHO,W 23-21,,,,,,,,,,
