ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
34,1971,1971-11-14,9,30.218,BUF,@,NWE,L 33-38,,,,,,,,,,,,,
35,1971,1971-11-28,11,30.232,BUF,,NWE,W 27-20,,,,,,,,,,,,,
36,1971,1971-12-05,12,30.239,BUF,@,BAL,L 0-24,,,,,,,,,,,,,
37,1971,1971-12-12,13,30.246,BUF,,HOU,L 14-20,,,,,,,,,,,,,
38,1971,1971-12-19,14,30.253,BUF,@,KAN,L 9-22,,,,,,,,,,,,,
39,1972,1972-10-15,5,31.188,BUF,@,OAK,L 16-28,,,,,,,,,,,,,
40,1972,1972-10-22,6,31.195,BUF,@,MIA,L 23-24,,,,,,,,,,,,,
41,1972,1972-10-29,7,31.202,BUF,,PIT,L 21-38,,,,,,,,,,,,,
42,1972,1972-11-05,8,31.209,BUF,,MIA,L 16-30,,,,,,,,,,,,,
43,1972,1972-11-12,9,31.216,BUF,@,NYJ,L 3-41,,,,,,,,,,,,,
44,1972,1972-11-19,10,31.223,BUF,@,NWE,W 27-24,,,,,,,,,,,,,
45,1972,1972-11-26,11,31.230,BUF,@,CLE,L 10-27,0,0,,0,0,0,,0,0,0,1,0,0
46,1972,1972-12-03,12,31.237,BUF,@,BAL,L 7-35,,,,,,,,,,,,,
47,1972,1972-12-10,13,31.244,BUF,,DET,T 21-21,,,,,,,,,,,,,
48,1972,1972-12-17,14,31.251,BUF,@,WAS,W 24-17,,,,,,,,,,,,,
49,1973,1973-09-16,1,32.159,SDG,@,WAS,L 0-38,,,,,,,,,,,,,
50,1973,1973-09-23,2,32.166,SDG,,BUF,W 34-7,0,0,,0,0,0,,0,0,0,2,45,0
51,1973,1973-09-30,3,32.173,SDG,,CIN,L 13-20,,,,,,,,,,,,,
52,1973,1973-10-07,4,32.180,SDG,@,PIT,L 21-38,,,,,,,,,,,,,
53,1973,1973-10-14,5,32.187,SDG,,OAK,L 17-27,,,,,,,,,,,,,
54,1973,1973-10-21,6,32.194,SDG,,ATL,L 0-41,,,,,,,,,,,,,
55,1973,1973-10-28,7,32.201,SDG,@,CLE,T 16-16,,,,,,,,,,,,,
56,1973,1973-11-04,8,32.208,SDG,,KAN,L 0-19,,,,,,,,,,,,,
57,1973,1973-11-11,9,32.215,SDG,@,DEN,L 19-30,0,0,,0,0,0,,0,0,0,1,1,0
58,1973,1973-11-18,10,32.222,SDG,,NOR,W 17-14,,,,,,,,,,,,,
59,1973,1973-11-25,11,32.229,SDG,@,OAK,L 3-31,,,,,,,,,,,,,
60,1973,1973-12-02,12,32.236,SDG,@,NWE,L 14-30,,,,,,,,,,,,,
61,1973,1973-12-09,13,32.243,SDG,,DEN,L 28-42,,,,,,,,,,,,,
62,1973,1973-12-16,14,32.250,SDG,@,KAN,L 6-33,,,,,,,,,,,,,
